X	Y
0	0
0	6000
6000	0
6000	6000
948.1923077	42.38461538
956.6071429	43.60714286
962.84	46.38
967.225	47.675
981.2727273	49.90909091
977.1333333	54.68888889
982.5416667	58.8125
976.7647059	60.41176471
1060.230769	117.7692308
1065.615385	118.7179487
1070.541667	120.3125
1076.262295	129.2704918
1071.357143	129.1428571
1090.542857	137.4857143
1095.214286	141.9285714
1099.310345	145.1034483
1080.428571	145.3214286
1075	148.0625
1109.37931	151.5172414
1082.90411	155.5890411
1112.192308	155.6923077
1117.418605	158.1395349
1122.927273	164.2181818
1087.25641	168.474359
1109.6	169.625
1128.666667	169.75
1116.027027	171.7297297
1084.444444	175.2222222
1081.34375	184.125
1093.155556	185.9777778
1081.181818	188.6363636
1093	192.3333333
1077.611111	194.3888889
1091.857143	197.6666667
968.4705882	257.2352941
967.3614458	262.4698795
955.9166667	272.2083333
951.6551724	273.862069
943.6060606	276.030303
958.3230769	276.8461538
949.8285714	278.4285714
1192.148148	278.5925926
979.1923077	280
942.6296296	282.4074074
984.4166667	283.1666667
1196.84375	282.46875
1195.515152	286.6666667
947.2	286.9333333
951.7368421	290.3684211
1198.578947	293.1403509
946.8484848	294.0909091
959.3684211	293.5263158
1203.45	294.45
952.6341463	296.5365854
976.5	298.2222222
961.3823529	298.7647059
956.3548387	299.9354839
1207.0625	301.59375
970.4516129	302.9677419
982.6263736	302.7252747
1203.909091	305.0454545
1204	312.1764706
1226	314.8
1204.73913	317.7391304
1222.975	319.475
1226	322.9444444
1278.564516	345.1129032
1282.352941	350.5882353
1284.210526	353.3157895
1287.447368	357.9210526
773.5820896	360.1641791
1292	365.4722222
778.9772727	368.9545455
1296.5	371.5
1300.588235	377.6470588
1304.625	383.25
1307.555556	387.6666667
1310	391.3333333
1313.238095	395.047619
1316.8	400.52
1322.425926	409.5
1327.913043	420.7391304
1113.413793	423.9770115
1331.95	427.75
1101.4375	428.1
1334.230769	432.3846154
1336.291667	436.4166667
1340.481481	445.037037
1016.65	466.75
1014.092593	474.1851852
1175.076923	489.3846154
1183.854839	492.1129032
1173.411765	495.254902
1165.648649	497.9189189
1143.064516	501.0967742
1151.47619	500.7619048
1157.930233	501.0930233
1147.636364	505.0909091
1152.930233	507.2093023
1158.818182	507
1162.95	506.15
1133.538462	512.1538462
1153.565217	515.4347826
1118.555556	516.4444444
1143.571429	516.3333333
1115.6	518.96
1121.909091	518.8181818
1126.5	518.5
1159.434783	519.8550725
1066.363636	522.0909091
1072.877193	524.2631579
1137.384615	524.0769231
1120.944444	525.6944444
1133	526.1818182
1163.04	526.4
1066.027027	527.1621622
1127.112903	527.2258065
1156.725806	528.8064516
1166.619048	530.4285714
1173.571429	530.1904762
1090.842105	534.7368421
1055.454545	537.9545455
1060.5	538.5
1143.923077	539
1389.060606	541.1515152
1128.728	542.792
1085.6	548.4
1129	549.5
1133.810811	549.9459459
1042.861111	549.8333333
1048.428571	551.2285714
1138.428571	550.2857143
1145.09375	551.78125
1391.505051	554.3232323
1037.809524	556.3968254
1141.190476	554.452381
1171.5	555
1119.111111	555.5185185
1093.083333	556.9166667
1098.416667	556.3611111
1086.166667	558.1060606
1103.214286	557.9642857
1378.384615	557.7692308
1124.779661	559.2372881
1161.454545	558.3636364
1141.714286	560.3571429
1052.488372	563.4651163
1047.155556	565.0444444
1116.545455	564.3939394
1059.733333	564.9
1135.966667	564.4
1040.666667	565.8333333
1025.827586	567.7931034
1126.461538	566.8205128
1154.769231	568.2692308
1160.8125	568.5
1020.941176	568.8823529
1047.173913	570.326087
1094.272727	567.3636364
1133	569
1148.862069	568.5517241
1414.5	568.1785714
1102.12963	570.6481481
1036.962963	571.4074074
1078.333333	570.6666667
1094.866667	571.7333333
1024.533333	571.7333333
1030.614035	572.4736842
1058.737705	572.2622951
1090.222222	571.6666667
1122.857143	571.7619048
1142.223529	570.2352941
1051.707865	575.3146067
1182.794872	573.4615385
1415.769231	575.0769231
1041.909091	574.4545455
1082.084746	574.5254237
1099.076923	575.4615385
1420.830986	577.971831
1074.363636	577.8181818
1041.592593	578.8518519
1125.264706	579.1470588
1035.266667	578.1555556
1084.136364	579.8181818
1044.785714	582.1071429
1058.863636	581.2954545
1079.35	580.05
1091.469697	580.1666667
1072.5	583
1086.464286	584
1417.04	583.12
1052.508475	584.3559322
1080.297872	585.3404255
1102.380952	585.5714286
1124.466667	586.1777778
1134.75	586.25
1176.030303	587.1818182
1073.886364	588.2272727
1033.560976	588.7926829
1090.12766	590.212766
1103.254386	591.6929825
1060.46875	591.03125
1094.6	591.1
1054.0625	592.21875
1067.24	591.9
1082.868421	591
1076.469697	595.3181818
1119.298246	594.4385965
1171.5	595.5
1038.338983	595.8644068
1085.131579	596.1842105
1131.785714	594.3214286
1030.222222	596.5
1065	599.8275862
1152.113208	598.4528302
1094.64	599.68
1127.809524	600.952381
1116.85	601.325
1122.375	601.375
1020.695652	603.3478261
1107.07	605.89
1025.822222	603.1555556
1061.181818	606.3636364
1092.333333	606.7692308
1097.2	607.2
1112.482759	609.2413793
1202.44186	607.4651163
1026.344828	609.9655172
1100.882353	611.1764706
1120.381443	610.257732
1001.8	610.1
1018.785714	610.2142857
1055.8	611.3
1003.567901	613.9012346
1023.25	612.4583333
1086.2	611.24
1089.820513	612.974359
1144.628571	612.3714286
1185.9375	613.6125
1190.764706	610.8235294
1044.763158	612.6578947
1065.971429	611.5428571
1172.38843	615
1179.466667	612.8333333
967.4074074	614.1481481
1205.224719	614.5280899
1211.291667	612.7916667
954.4375	614.75
1027.730769	615.9615385
1070.634409	617.8924731
1080.448276	615.5747126
1107.272727	615.1818182
1139.482759	615.9310345
980.5625	618.2421875
1194.021277	615.7659574
1112.15625	617.171875
1014.5	618.1666667
1033.083333	619.3333333
1042.698925	618.2795699
1093.566667	616.2333333
1146.351351	620
951.5714286	619.3928571
992.7894737	619.6315789
997.9772727	619.6136364
1153.863636	620.5454545
1197.518519	619.9259259
956.2	620.48
964.7849462	620.5913978
1095.842105	622.2894737
1102.278689	619.1147541
1137.970588	622.0882353
938.56	622.12
1052.086957	618
1118.868421	621.3157895
1132.492537	622.5522388
1168.0125	621.6125
1466.142857	622.9285714
724.0769231	623.1538462
990.7272727	622.9090909
995.4705882	623.2941176
1053.114286	623.6857143
1107.386364	623.4318182
1124.780488	624.5609756
1188.703704	622.5555556
