X	Y
0	0
0	4025
4025	0
4025	4025
892.8	14
825.1333333	33.63333333
903.4864865	35.08108108
1004.152174	38.89130435
832.6486486	39.5
907.483871	43.83870968
912.1621622	47.08108108
948.3529412	52
805.0416667	52.5625
881.1186441	58.52542373
892.6052632	57.39473684
714.9137931	60.51724138
737.8867925	61.35849057
1027.272727	69.94545455
988.5428571	76.91428571
843.3043478	79.52173913
847.7857143	81.82142857
862.6190476	81.38095238
777.5925926	82.88888889
864.3888889	85.11111111
689.952381	89.26190476
989.8809524	88.69047619
800.1935484	90.90322581
657	92.5
877.6315789	92.13157895
1016.857143	92.21428571
978.0243902	93.07317073
844.3783784	95.35135135
845.8823529	99.82352941
1008.083333	98.66666667
1010.630435	102.8913043
810.96	108.92
814.7	111.05
1116.04878	110.4634146
902.3461538	110.5769231
771.6170213	111.6382979
905.6153846	112.7692308
1058.575758	112.2424242
1123.083333	112.4166667
911.7826087	116.6304348
681.7826087	118.4782609
691.3125	118.6875
686.7027027	119.8378378
630.4666667	123.2666667
872.6764706	123.0882353
641.2903226	124.9032258
635.15	125.75
800.4347826	125.9130435
1017.47619	126.3809524
923.296875	128.75
813.4390244	138.4390244
840.15	140.55
758.6333333	145.3666667
969.1935484	144.6451613
604.8181818	145.969697
721.6415094	145.9811321
959.5789474	145.7894737
907.3541667	147.4791667
955.2173913	147.9130435
599.1071429	149.5357143
615.1758242	149.8131868
724.5192308	152.7307692
880.5	152.4047619
830.3	154.75
628	156.4615385
721.5405405	156.4324324
1073.24	157.12
918.5	158.5
1143.894737	159.8684211
833.9666667	162.7333333
641.5	165.5
799.28	165.92
1007.96	165.52
1003.24	167.68
750.5625	168.71875
998.5238095	169
994.0714286	172.6190476
941.3793103	175.8275862
671.7142857	179.3333333
1045.135135	179.3513514
968.4428571	182.0428571
1122.789474	181.8947368
1279.625	183.5625
1042.333333	184.5
809.2	185
1043.25	188.5625
770.6176471	192.1764706
1055.44	196.88
948.9516129	203.4516129
829.5	207.8846154
915.3888889	209.2777778
846.0344828	210.2068966
597	210.5
601.7222222	212.2222222
1158.134328	213.0597015
611.1698113	215.6603774
597.5555556	216.2222222
1263.548387	216.2258065
1120.157895	222.5438596
1269.757576	220.8333333
1057.40678	224.6271186
1356.76	223.24
673.7083333	223.25
538.9454545	227.4545455
676.4090909	228.7727273
1355.8	229.2
1112.301887	232.9811321
1356.020408	233.7959184
724.9473684	235.1315789
738.75	234.75
756.6363636	235.3181818
1363.439024	234.8292683
785.9230769	237.3076923
782.8695652	240.6086957
823.1714286	240.6285714
654.902439	242.2682927
803.1176471	243.5882353
1375.066667	242.9333333
902.7407407	248.3333333
1380.454545	248.1515152
1386.184211	252.3684211
666.6119403	255.5970149
1390.5	255.5
1394	258.4074074
545.7586207	261.8965517
1397	261.6
457	263.5
970.7575758	263
597.0714286	263.7142857
1291.234043	264.4255319
1000.911765	266.7941176
1091.136364	266.3181818
1401.271186	268.3728814
879.0952381	270.3571429
1411.583333	271.8333333
1004	272.6111111
1128.351351	272.0810811
452	275.5
713.2142857	275.5
1040.805556	276
1055.566667	276.2166667
934.6888889	277.7333333
1124.266667	277.9333333
551.8095238	281
1118.303571	283.8214286
856.24	284.04
634.7910448	285.3283582
733.5757576	287.2424242
1404.62963	294
953.9677419	299.9354839
1349.694444	297.9444444
1340.235294	300.8823529
428.372093	308.3255814
948.8409091	308.2045455
891.2909091	309.8363636
301.3333333	313.3333333
947	314
1152.702703	313.6216216
856	314.1923077
306.7727273	315.7045455
1086.8125	314.59375
1557.677419	317.9032258
793.2083333	318.875
1029.391304	320.8478261
410.6216216	322.8918919
1448.217391	323.5869565
680	329
1057.4375	330.1875
875.4333333	334.2333333
1444.470588	333.6862745
717.7692308	345.0512821
377.8064516	346.9032258
1079.1	346.8
649.0833333	350.8333333
379.75	352.0833333
1266.780488	353.9512195
699.1904762	358.6190476
379.0909091	358.0227273
559.375	361.125
1415.758621	360.862069
576.9565217	361.7391304
582.6086957	363.5652174
928.6521739	364.3478261
1509.9375	363.6875
1129.384615	365.8461538
1133.4	365.25
1221.71875	366.59375
1226.666667	365.8571429
1037.970588	368.4705882
762.925	374.1
760.1428571	379.4642857
1476.166667	379.0952381
493.7857143	380.0952381
1035.285714	381.6857143
559.4358974	383.8717949
1346.481481	384.7407407
680.6428571	386.3571429
1512.892857	389.2857143
629.7142857	390.047619
1586.225806	389.5967742
847.8571429	395.3928571
380.7619048	397.1666667
1503.37931	396.862069
1569.24	396.96
1542	397.8
1259.9375	399.1875
1537.428571	399.5714286
1427.5	401.3636364
737.6603774	412.8679245
346.15	417.45
381.9090909	416.7727273
1057.135135	414.3243243
1054.30303	420.2727273
1284.413793	418.3448276
318.0540541	421.6756757
361.9444444	422.3148148
371.6153846	422.1923077
1103.772727	422.2727273
1409.892857	422
1439.333333	425.2807018
399.8	427.5
675.8846154	427.6923077
1100.481481	429.3703704
475.0857143	429.4
744.3125	428.84375
1372.283019	429.8113208
480.2352941	431.7941176
281.137931	432
392.1724138	432.8965517
590.3493976	433.2771084
746.8095238	435.047619
675.8684211	434.7631579
1619	435.5
1523.583333	439.25
970.875	440
1011.576923	440.2692308
1099.337349	442.2168675
1428.702703	440.7837838
1622.210526	443.0350877
805.9393939	444.2121212
1185.032258	444.4193548
755.2653061	450.6530612
1582.625	451.725
1251.809524	455.047619
328.3653846	455.7115385
837.52	455.8
1680.692308	456.6666667
323.0666667	458.6333333
884.9245283	455.9811321
930.4615385	459.8974359
878.0357143	462.1607143
1028.179487	461.4871795
1078.568966	460.2586207
307.952381	461.8809524
341.09375	466.46875
930.5	468
1335.028169	466.6760563
349.6938776	469.9795918
335.6470588	470.6666667
370.1111111	468.837037
345.8333333	474.375
929.6	472.6
1287.222222	475.6944444
363.0512821	476.9487179
369.05	477.45
784.5217391	479.173913
1285.277778	481.7777778
1449.769231	482.025641
1617.265306	482.7346939
1664.925926	484.037037
929.5142857	487.1714286
1282.178571	486.5
1372.060606	487.3333333
529.1111111	488.2777778
701	489.6923077
817.9555556	489.9555556
1385.829787	492.7234043
567.6060606	496.7878788
1561.382353	497.6764706
815.6285714	499.3714286
1290.782609	500.3478261
1604.09375	505.78125
421.2653061	506.7755102
1091.513514	509.7567568
1612	516
403.6666667	520.8888889
1662.820513	521.8717949
425.1363636	520.8409091
681.2083333	524.2916667
699.68	524
1003.5	528.2307692
938.9	528.6666667
429.5	533.0967742
1252.642857	532.8428571
1287.291667	532.7083333
1243.224138	535.137931
1318.541176	535.5647059
691.8823529	537.5294118
1332.62069	536.9310345
763.7121212	537.2878788
695.0666667	541.1333333
719.8292683	539.7317073
1544.44186	540.4651163
1709.945946	539.4594595
199	543.5
1418.774194	543.0967742
1375.191489	543.9361702
569.88	545.92
712.9591837	547.5306122
1560.183673	547.7346939
566.1428571	549.7959184
575.5696203	549.3037975
1320.827586	551
1445.444444	550.7777778
572.8	555.05
1049.807692	554.4615385
1124.568966	557.9137931
1643.2125	557.475
1057.914286	556.6285714
219.6666667	562.4333333
1045.5	562.7045455
315.6296296	563.8518519
475.2075472	562.3962264
831.8536585	562.8292683
826.3090909	566.7818182
1603.596154	565.4807692
311.375	567.125
640.5806452	567.6451613
302	568.9
1054.571429	567.2857143
820.96875	570.8125
474	571.862069
294.4	573.05
278.2678571	575.1785714
472.8461538	577.9230769
1519.038462	577.6923077
1174.12	578.16
1498.72	580
1167.293103	582.8965517
298.8225806	581.3548387
308.8888889	585.2222222
1495.375	585.25
1289.108108	584.4864865
