X	Y
0	0
0	4025
4025	0
4025	4025
822.9534884	36.73255814
797.6	42.5
802.5	47.28571429
860.0666667	51.35555556
846.9736842	51.36842105
818.6842105	51.71052632
866.25	52.41666667
901.7941176	56.11764706
905.3125	57.75
789.35	60.45
906.6774194	62.25806452
738.5	65.5
704.9634146	69.1097561
929.75	70.66666667
922.5	75.5
670.6111111	77.27777778
882.9545455	77
666.4	78.4
688.5555556	80.22222222
657.7692308	81.53846154
937.5625	81.375
888.3529412	82.20588235
653.9375	84.1875
928.4285714	84.51428571
664.5890411	84.8630137
894.4516129	88.24193548
931.4285714	87.32142857
660.5	88.09090909
644	89.5
828.5384615	89.07692308
808.3478261	91.10869565
658.0666667	92.4
665.3333333	91.77777778
818.2173913	91.91304348
837.2647059	91.58823529
943.0434783	97.17391304
611.625	101.75
659.5	103.3636364
618.08	104.72
838.3157895	104.7368421
934.8	105.5714286
715.7777778	105.5925926
709.6	107.5
612.6129032	107.9677419
856.375	107.9375
608.78	111.7
805.3636364	110.3333333
839.0769231	110.2692308
1005.666667	114
1011.416667	115.3333333
836.65	117.05
826.8181818	117.6666667
1015.346154	118.6538462
677.5729167	119.3333333
748.5	121.5
824.2580645	122.7258065
605.0612245	131.755102
721.75	134.65625
711.1388889	135.3888889
836	138.3461538
705.8064516	138.0967742
584.8636364	142.2272727
812.2903226	142.4516129
701.7575758	143.6515152
1089.285714	142.5
867.5	144
636.8166667	144.95
784.7804878	149.0731707
966.8888889	149.2222222
540.8095238	158.1428571
1018.684211	159
1065.862069	164.1724138
930.3095238	167.2738095
524.6	169.4
896.3103448	169.3793103
1214.352941	169.9411765
1028.888889	170.3333333
1091.608696	170.5652174
1182.973684	170.9605263
1193.340426	170.6595745
1207.75	170
1088.357143	172.3571429
1215.294118	172.7058824
526	173.1428571
1200.290909	172.9636364
1209.304348	173.5652174
1224.213333	173.1333333
1033.966667	173.7333333
1102.926471	174.3970588
1243.821429	175.9285714
839.9642857	177.3928571
1249.181818	178.3333333
952.8421053	180.8421053
1263.751553	181.4285714
590.425	183.7
497.4642857	184.1071429
623.4909091	184.5090909
512.425	184.625
989.1186441	186.779661
524.4772727	184.9772727
490.9310345	186.3793103
613.0181818	186.3272727
1286.117647	187.5882353
1041.933333	187.4
1226.088235	195.9705882
1287.56	194.92
799.0185185	197.0555556
724.0576923	198.4230769
818.5735294	199.2205882
915.0882353	198.8235294
968.9074074	205.4814815
651.6153846	207.2307692
532.5	209
885.65625	209.71875
1040.454545	211.7727273
660.2857143	213.6349206
559.2708333	215.4583333
928.75	215.1730769
637.8292683	219.0243902
1098.964286	220.6785714
998.8055556	222.7222222
1146.666667	224.2916667
1189.612903	227.2580645
838.3454545	225.1818182
1245	227
1103.166667	229.9444444
444.0909091	230.9090909
677.7045455	231.3181818
835.7	231.7
734	233
945.25	235.5
1195.301887	234.2075472
840.1333333	236.3833333
529.12	236.84
1296.755102	238.122449
527.3095238	240.6428571
1145.975	237.7
415.9375	241.125
1261.023256	240.9767442
423.31	240.96
1094.075	243.15
1198.538462	243.2115385
1205.552239	241.5671642
1300.5	243.25
1191.106061	245.0909091
420.5416667	247.3333333
1178.578947	247.2105263
1184.861111	248.0833333
414.7105263	248.1578947
1043.75	247.4375
648.0869565	248.8695652
570	250
573	250
1172.04	249.4
833.1578947	251.1578947
897	252.2
1059.5	251.8461538
1227.5	251.7857143
1337.76	252.2
1255.447761	250.8507463
420.5	254
480.75	255.0833333
500.2045455	254.8181818
719.5625	255
1136.557692	255.0576923
1202.703704	255.0740741
506.2941176	256.2352941
448.4	256.7111111
587.8709677	257.9677419
1132.272727	258.3636364
793.4767442	261.4069767
1119.333333	260.4666667
1239.666667	259.7222222
1080.892308	260.2153846
901.8888889	263.3333333
1132.24	263.36
1243.5	264.5
1136	265.5
1077.537037	269.1481481
1121.592593	265.962963
452.0740741	266.5925926
777.0757576	267.530303
1127.089286	265.7321429
544.04	270.6
413.9615385	271.2692308
459.8	272.6
387.7843137	273.745098
411.5076923	276.2153846
1059.035714	275.8571429
382.3333333	278.4047619
388.8787879	279.5454545
394.3023256	279.4418605
1381.30303	280.6363636
747.9354839	282.0967742
1071.163636	282.0909091
1248	282
663.875	284.925
376.7142857	284.2857143
380.2666667	285.3666667
384.2307692	284.5
389.2830189	286.0566038
814.84375	288.28125
367.8529412	289.9411765
1264.645833	292.34375
1300.95	292.9
711.1777778	295.7111111
908.7857143	298.9285714
938.8823529	299.2941176
515.3333333	302.5098039
905.5405405	305.0540541
850.2	304.8666667
872.9259259	305.4074074
1341.5	305.5294118
1336.190476	306.952381
822.3333333	308.1041667
936.5952381	307.4285714
998.2173913	308.3478261
1201.846154	308.8846154
585.5333333	310.2666667
902	312.5
1000.702703	312.472973
1266.181818	312.3181818
535.5319149	312.6808511
896.9384615	314.1846154
1402	314.8
1273.92	315.96
447.4411765	318.7352941
680.0784314	318.372549
1286.5	320
456.2	321.1666667
754.8181818	321.8181818
1503	320.8275862
376.0192308	323.9230769
380.5217391	325.1304348
447.2	324.5
456.4230769	325.8846154
648.6428571	325.1428571
594.9565217	325.3913043
780.0909091	328.6363636
419.0434783	329.673913
625.5	329.7777778
376.5819672	332.8934426
691.3220339	335.1355932
1521.307692	334.9230769
1129.945455	337.0727273
1547.588235	337.1176471
577.8	338.9333333
1006.868421	337.1973684
376.5882353	339.5294118
372.15	341.0666667
960.7	342.15
383.2727273	343.5757576
912.5	343.8125
362.6666667	345.4444444
1115.2	346
1158.851852	347.1111111
1112	348.2
382.6153846	350.3846154
733.5882353	350.8823529
387.5263158	351.6315789
906.6341463	348.9512195
541.4285714	353.6190476
902	353.0952381
1113.741935	354.4032258
464.3333333	355
1066.52381	355.2857143
1321.301887	358.7924528
1067.72	360
1398.125	358.8333333
1361.5	365.5
646.6875	368.0625
755.3809524	370.4285714
811.5757576	369.5757576
1291.756757	371.4864865
434.5	373.1923077
351.6904762	378.1666667
377.75	377.5
1489.5	377.5
381.5294118	378.4705882
996.1363636	381.7727273
1098.310345	383.2413793
1185.835165	384.010989
1446.666667	385.3030303
1560.826087	388
576.1777778	391.2
1122.854545	390.1636364
1115.568966	396.862069
643	398.625
979.3888889	397.75
1379.090909	398.0909091
973.8235294	399.7647059
1108.586207	399.8275862
312.0666667	401.3333333
884	403
1102.383333	402.75
1353.285714	402.5
688.6785714	407.3214286
1097.945946	407.0810811
1460.625	407.75
1635.647059	407.5294118
707.5263158	410.3684211
1643.5	412.5
1093.5	413.2857143
1639.26087	412.4782609
751.1176471	414.3823529
1633.703704	415.1111111
926.8979592	415.9183673
523.5	416.8
1046	415.7142857
1649.275862	418.1724138
1602.935484	417.3548387
1043.608696	419.2173913
1319.882353	419.4117647
1408.921053	421.9473684
1593.341463	420.5853659
1598.4	422.2
473.4851485	423.6930693
1019.75	423.3333333
1590.242424	424.5454545
1583.409836	427.5409836
556.6315789	430.2631579
297.6153846	431.9230769
833.1578947	432.5263158
556.6774194	435.8387097
595.8653846	436.4423077
839.5652174	437.826087
1234.97561	438.6341463
560.2040816	440.2244898
1246	441.4473684
365.1956522	442.1956522
1168	442.5
1361.310345	446.1034483
561.6842105	447.1578947
1339.03125	447.09375
1500.285714	447.3571429
722.875	448.9821429
1055.357143	450.4642857
1538.4	450.08
449.4642857	455.6428571
568.125	454.5
1479.057143	455.3142857
1425.588235	456.3235294
1336.107143	458.0357143
388	459.5
614.6666667	461.2666667
1106.585366	460.4390244
878.6470588	460.6764706
332.92	464.44
618.5714286	464.6785714
