X	Y
0	0
0	5143
5143	0
5143	5143
1139.333333	61.96666667
1194.314286	69.54285714
1172.456522	70.58695652
1171.513514	75.78378378
1176.90625	80.3125
1180.5	84.25
1065.933333	139.6
1088.210526	147.4736842
1086.419355	149.0645161
1209	153.6666667
1097.333333	153.5666667
1101.318182	157.9545455
1209.424242	158.4242424
1043.285714	170.9285714
1278.6	181.0666667
1058.615385	185.8461538
1272.5	188
1061.384615	192.3846154
1278.375	191.6875
1188.916667	195.8333333
1192.216216	202.1621622
1110.882353	203.5882353
1264.103448	204.3448276
1294.736842	216.1578947
1113.074074	219.5925926
1110.886364	224.5227273
1295.642857	226.3571429
1159.741935	251.7096774
1239.931818	252.2045455
1089.038462	253.8846154
937	257
1273.423077	255.9230769
1086.897436	259.2307692
1083.470588	264.3529412
1158.5	265
1292.842105	272.4736842
1155.266667	273.2
1045.677419	276.0645161
935.1176471	276.4117647
1154.666667	278.1904762
910.744186	283.3488372
1029.833333	285.0833333
1035.5	298
1228	301.1052632
1287.27027	303.3513514
1229	305
1170.481481	310.0740741
1175.909091	311.7575758
956.1538462	313.0769231
887.2142857	313.9285714
1269.555556	314.3333333
1059.5	315.5
1188.833333	315.2916667
1181.631579	316.1578947
1185.625	318.375
1301.105263	316.5263158
1299.472222	322
1273	324.1
1211.5	331.5
1152.214286	333.6428571
1221.315789	339.8421053
968.6981132	338.4528302
969.56	344.08
974.3548387	345.7096774
1224.266667	348.9166667
1167.777778	349.5
1271.025641	351.4615385
1227.965517	355.3793103
1172.65	354.75
1136.071429	360.5714286
1067.5	361
790.25	362.05
1146.927711	364.5180723
1154.870968	363.7419355
1129.064516	364.9677419
1138.148936	364.6382979
1231.116279	364.1860465
1155.973684	367.6578947
1170.02439	366.8536585
1135.384615	369.1923077
1143	369
1120.5	370.2
1127.4	370.95
1161.425532	372.1914894
1168.75	372.7083333
1232.166667	373
1125	375.4545455
1118.6	375.9
1153.088235	376.4117647
1235.105263	375.5789474
1051.5	377.2
1158.365385	379
1166.388889	377.3055556
1171	377.5
907.125	379.875
1136.2	380.4666667
1153.5	383.4642857
1050	383.5
820.9285714	383.8928571
1083.333333	386.2666667
1126.333333	386.4242424
1141.902439	384.9268293
1147.775	386.25
1086.25	390.625
1015.5	401
1020.5	401.5
1108.3	403.8
1162.2	403.85
1113.947368	404.9473684
1201.863636	405.9545455
1110.25	407.4375
1070.641509	411.7358491
1011.772727	421.5909091
1107.5	422
1005	425.1111111
1058.333333	430.8888889
1020	431.3529412
939.5	433
1099.28125	434.5625
1105.918033	433.1311475
1112.075472	432.3773585
843.5	434.8
1118.235294	436.0588235
1058	437.2
882.9387755	438.3877551
1105.1	440.2
905.8	443.5
1049.153846	444.7692308
728.1538462	448.5384615
1044.909091	450.1818182
908.4285714	453.6190476
988.9130435	457.6521739
1008.5	459.5
1266.653061	463.0204082
987.5	465
1001.529412	468.3529412
1006.190476	469.4285714
998.32	470.68
1003.277778	473.1666667
1270.7	470.4
887.1666667	476.2777778
998.0740741	477.3703704
1276.28125	476.890625
865.3703704	479.4074074
1269.269231	478.7307692
1281.684211	480.7368421
1265.735294	482.7647059
1285.071429	481.8571429
1102.206897	483.7586207
1185.836364	485.6727273
955.1818182	487.0909091
735.5	491.5
1102.552632	491.1578947
1227.545455	493.3636364
1126.142857	497.2857143
1126	501.5
1233.492958	501.7464789
803.35	506.3
961.5294118	507.6666667
956.6444444	508.6666667
1285.333333	512.4444444
729.56	519.92
1008	520.5
904.8	521
1030.772152	521.8860759
1144.791667	522.5
1023.357143	525.6785714
856.5925926	528.0740741
1015	528.1666667
934.2876712	528.4109589
1024.12	529.92
1272.76	528.96
1216.5	530
860.75	530.6666667
1017.923077	529.7307692
1032.066667	529.52
938.3888889	532.2222222
995.8148148	531.1851852
991.8461538	533.8076923
1012.259259	532.9259259
1215.181818	534.7575758
1014.054054	537.0810811
1019.195652	537.2826087
1033.44	535.2
1242.594203	536.4637681
1031.060606	539.4545455
946.1136364	541.3863636
1006.84375	540.59375
1036.150943	541.4339623
920.3846154	541.6153846
1070.032258	544
1106.5	543
1062.352941	546
946.5	547.5
911.7142857	549.6428571
948.8823529	551.4117647
1173.533333	551.1333333
1067.09375	551.65625
681	553.8461538
735.6956522	554.2173913
684.3076923	555.5384615
957.6315789	557.0526316
689.3673469	559.4081633
1032.565217	559.7391304
1221.090909	566.0909091
1289	567.6785714
700	569.5
817.8125	571.5
820.4193548	576.1935484
824.4615385	581.8461538
1139.5	582.8
794	583.5
1044.666667	585.1111111
802.2608696	586.6521739
1139.5	586.7142857
836.5263158	587.8947368
832.0727273	592.3454545
669.7857143	589.5714286
660.1071429	593.0714286
638.4615385	595.2307692
650.1764706	597.8235294
727.8648649	598.1081081
863.6363636	597.7727273
739.5	599
832.2096774	601.7580645
1210.2	603.5
1271.258065	603.4193548
922.6666667	602.969697
973.5	604.5
829.5769231	612.0769231
987.5	611.5
966.8	615.5
746.0869565	617.4347826
993.3636364	616.9090909
828.2	618.65
969.7916667	621.6458333
631.7105263	623.4736842
829.7826087	623.1304348
1255.391304	623.2173913
652.9545455	623.9090909
645.9428571	625.4857143
783.4347826	626.6086957
830	628.173913
1001.55	628.55
696.95	629.9
1326.109756	629.6341463
954.6	632.7142857
1330.626667	635.24
846.125	635.875
849	637
904	636.5
852.3888889	637.7222222
891.2380952	637.5714286
1324.769231	640.5769231
774.1818182	641.4545455
873.1346154	643.5384615
892.4090909	646.6363636
974.1818182	646.7272727
1331.836735	645.3469388
906.5	653.25
875.5	654.5
1082.181818	657.8181818
702.9	663.5333333
1102.909091	665.3636364
805.0697674	668.6744186
739.6111111	671.7222222
842.85	678.3
883.5	683.5
672.625	684.2083333
1149.851852	686.3333333
773.0384615	687.1538462
1243.5	689.2857143
1295	687.5135135
915.5	690.2
1331.612903	690.1935484
733.7	693.7
1314.571429	694.8571429
774.9	697.95
958.25	698.3333333
873.4545455	699.1818182
675	700
1314.772727	699.4090909
1035.9	701.3
975.0909091	703.3181818
1314.292308	703.8
978.8	704.9333333
1321.943396	705.0377358
812.6530612	706.5510204
1097.764706	711.8235294
1094	713.173913
1062.9	713.9
1078.545455	715.2045455
1089.333333	714.7333333
1085.434783	716.5217391
1072.55	720.45
932.5416667	724.8333333
1162.75	742.375
1069.357143	744.2857143
1005.7	747.0333333
1072	747.7083333
1127.882353	747.5882353
1024.189189	753.8648649
999.6153846	756.3846154
859.5	760.4166667
616.974026	765.7727273
1022.714286	769.5
1130	770
1326.983871	769.9677419
913.5	777.2857143
1041.932203	777.1016949
