X	Y
0	0
0	5143
5143	0
5143	5143
1065.555556	71.81481481
1043.675676	99.75675676
1030.656716	126.4477612
1038.631579	126.7368421
1029.7	151.0666667
1058	174.3333333
1177.384615	180.6153846
1184.129032	179.9032258
1075.842105	191.5263158
1074.357143	195.7142857
1080.5	198
1084.892857	201.6071429
931.5	202
923.5	203.3928571
1126.5	207
1086	209.1935484
1137.153846	210.5384615
1146.54	209.96
1019.921053	214.4210526
1126.190476	217.047619
1030.222222	217.5
1160.416667	218.5
958.8387097	220.516129
963.4347826	220.9130435
1062.708333	220.0416667
1171.368421	219.7368421
1101.675676	222.4594595
1176.701754	221.3508772
1013.723404	221.9361702
1057.888889	221.8888889
1161.181818	223
948.4	223.6
1144.888889	224.6666667
918.9230769	226.7692308
954.25	226.125
1057.5	227.8
1114.892857	227.6785714
981.9230769	229.6923077
1120.571429	229.9285714
1158.513514	229.5405405
1147.454545	232.6363636
960	232.826087
1102.771429	232.6571429
1115.846154	233.6538462
1129.117647	234.1764706
1160.909091	233.9090909
1172.363636	236.2727273
1162	237.6666667
1008	238
1023.666667	237.7333333
945.8965517	238.7931034
1126.875	239.5
1152.708333	238.375
1119.5	241
1135.740741	242.4444444
930.6666667	243.5
940.65	242.95
1156.126761	244.3802817
1162.692308	243.5769231
966.2105263	244
1149.222222	245.7407407
1134.75	248.4375
1147.6	249.6
1152	250
1229.28	250.36
900.452381	251.6190476
1160.647059	250.5294118
1148.88	253.24
1140.941176	255.3529412
1155.823529	253.4411765
1161.333333	255.4583333
1126.454545	255.8636364
1134.4	257.1777778
1151.909091	255.7272727
1226.909091	256.0909091
1059.5	258.2222222
947.5	258.7777778
1116.588235	259.8823529
968.5	261.2222222
1031.705882	262.4117647
1089.727273	261.5
1127.5	262.2631579
1133.8	263
1141.542857	264.3142857
1156.25	263.5
1110.555556	263.6666667
895.6153846	265.6153846
1104.7	265.3
1150.8	264.44
1043.8	266
1144.666667	266.6666667
1032.5	267.5
1087.2	267.5
1164.137931	266.0862069
1136.444444	268.3333333
952.5714286	269.7142857
1131.631579	269.9473684
1158.214286	270.2857143
1069.857143	271.6071429
1125.45	272.7
1141.612903	272.6451613
970.7307692	273.3461538
1104.411765	272.8823529
1111.830769	273.4
1153.027027	272.0540541
1162.948276	274.9827586
1032.882353	273.5882353
1044.24	273.52
1169.555556	273.0833333
947.3333333	274.8888889
1146.625	276.5625
1156.941176	276.4117647
1131.857143	277.2571429
979.2682927	277.1707317
983.4848485	277.3939394
969.0909091	278.6363636
1126.345455	278.5090909
1016.363636	279.9090909
1039.925	280.3
1143.3	279.8
998.75	280.875
1114.962963	281.8888889
1182.111111	282.0888889
975.8421053	283.0526316
1154.548387	282.7096774
1173.536585	281.8780488
1129.6	284.4
1134.767442	283.1627907
1142.038462	283.4615385
1167.705882	284.2058824
922.3207547	283.1509434
1098.7	284.9
1119.6875	285.0625
934.3684211	285.5263158
982.875	286.125
1071.5	286.5
957.3076923	286.8846154
1014.585366	286.4634146
1026.357143	286
1109.583333	286.8333333
924.4545455	289.2121212
1145.724138	287.7931034
1037.5	288.3333333
1121.6	290.12
1033.151515	289.2424242
1103.64	289.68
1151.255319	290.1702128
1179.888889	289.4444444
916.0454545	290.4090909
1090.827586	290.7586207
1160.5	291
1075.897959	288.7346939
1189.227273	291.1818182
1142.888889	291.962963
962.9166667	294.3333333
955.8809524	295.1904762
1088.73913	295.5652174
1146.611111	295.7222222
1180.267327	297.3465347
910.4782609	295.3913043
920	296.2941176
926.4423077	295.8269231
1120.6	295.5428571
1139	296
1010.5	296.7777778
912.5897436	300.2564103
1161.7	298.15
1190.571429	297.0857143
991.5862069	299.0344828
1056.117647	299
1115.225806	299.0645161
1079.7	301.8333333
1146.066667	300.6
933.0892857	301.5714286
1062.869565	301.5217391
1097.4	301.96
922.0943396	301.9622642
1069.177778	302.4
1139.666667	303
940.3454545	303.9454545
965.7142857	303.952381
1084.896552	304
1101.315789	304.4210526
1106.193548	303.2903226
1121.363636	304.4545455
1171.545455	304.6363636
946.5111111	304.6888889
1058.028169	306.6901408
1112	306.2
1146.9	306.1
918.9047619	306.8095238
927.65625	304.4375
930.3076923	307.8461538
952.9	306.6
1064.820513	307.2307692
923.5384615	308.6923077
975	308.3076923
1122.904762	308.9047619
1167.96875	307.4375
913.25	309.125
958.3333333	309.0555556
981.0666667	309.2
1075.619048	309.4285714
951.5925926	311.037037
1001.583333	310.8333333
1084.462963	311.2037037
1140.235294	310.8529412
1066.333333	312.25
1107.157895	313.1578947
1145.866667	313.1333333
920.2857143	314.1428571
977.5625	314.25
1078.121951	314.9512195
1103.785714	314.5
1126.2	314.44
1170.857143	314
915	314.6923077
1130.896552	313.1724138
962.96	316.16
1071.022727	315.6818182
1090.769231	316.2307692
1141.114286	317.2857143
1146.941176	316.8235294
1157.846154	318.5384615
919.0714286	319.1785714
926	319.1428571
1087.395833	318.8541667
1076.5	319.625
1124.095238	319.4761905
1183.636364	319.5909091
1100.933333	320.6
1148.648649	320.8648649
918.6086957	323.1304348
928.8666667	322.6
969.2758621	322.3103448
1132.447917	321.5416667
913.7142857	323.0714286
950.3846154	323.3846154
1067.115385	322.6538462
924.0344828	323.9310345
936.1428571	325
987	323.90625
1096.046512	323.6744186
1168.475	322.675
1138	325.6666667
1151.043478	325.3043478
1177.190476	324.952381
1077.466667	325.6666667
1156.636364	325.4545455
1193.142857	326.1428571
1198.121951	326.2682927
927.4782609	329.0869565
1068.05	329.825
1101.789474	329.3684211
1131.57971	328.5942029
913.4210526	329.8947368
1033.307692	331.1153846
1073.384615	330.8461538
1121.096774	330.516129
940.6285714	330.1142857
962.3157895	330.3157895
1079.875	331.03125
1091.325581	331.9069767
1151.684211	331.5
1187.5	331.5
1141.55	332.6
1114.958333	332.7083333
1173.419355	332.5806452
865.3333333	333.6666667
1167.657895	334.8684211
1181.3125	334.125
947.5555556	333.8055556
1121.529412	335
928	336.0740741
887.1666667	337.7333333
943.8571429	337.0857143
986	336.1111111
1060.178571	335.8571429
1092.612903	337.7419355
1147.363636	336.5454545
1156.888889	337.3333333
953.6585366	338.4146341
1179	338.3793103
1000.4	339.2666667
1114.818182	338.8181818
899.9565217	340.3913043
1133.429907	342.4859813
961.5384615	340.5769231
981	340.5
1007.16	340.2
1062.52	340.84
1127.416667	341.5
1144.3125	340.8125
946.1052632	341.6315789
1150.659574	342.787234
1068.666667	343.125
950.8125	344.5
1075.1875	344.8125
1083.75	343.7
939.1304348	346
1141.954545	346.7272727
1199.789474	346.4210526
898.8461538	346.4615385
