X	Y
0	0
0	5143
5143	0
5143	5143
1100.588235	48.29411765
1094.454545	51.72727273
1142.981818	50.63636364
1147.103448	49.72413793
1085.555556	58.66666667
1171.090909	64.45454545
1173.263158	67.15789474
1177.133333	67.6
1176.363636	70.90909091
1179.875	70.125
1102.83871	98.64516129
1107.954545	99.09090909
1107.037037	104.6296296
1206	113
1206.652174	116.3478261
1211.142857	119.3928571
1215.142857	123
1255.923077	135.6923077
1120.807692	137.6923077
1115.307692	138.6153846
1256.5	139.4761905
1115.5	150.5
1046.190476	159.7936508
1284.090909	170.0909091
1284	175
1279.397849	179.7419355
1268.050633	191.9746835
1119.380952	219.5238095
1116.571429	222.4285714
1120.310345	225.1034483
1121.25	230.8
1115.5	232.8
1276.5	238.5
1128.888889	241.6666667
1089.111111	244.8333333
1276.368421	245.9473684
939.7358491	245.8867925
1096.777778	248.9444444
1131.636364	249.9090909
1148.157895	250.1578947
1177.086957	252.2173913
1162.266667	253.2
1108.340909	255.7272727
1171.333333	254.6666667
1087.066667	256.6
932.9591837	257.3265306
942.2093023	258.0697674
948.2307692	258.2692308
1104.8	258.6
1136.875	258.125
1167.8	257.3333333
1150.611111	258.0555556
1107.6	260.7
1153.45	259.95
1123.5	261
1162.356164	262.7123288
949	262
953.5	262
1150.5	264.7142857
936.6829268	263.7073171
1088.285714	266.5
923.5	267.2857143
943.1521739	265.3478261
937	268.2857143
1144.09375	268.5
1126.210526	269
1134.857143	268.7857143
912.2857143	270.2244898
917.2753623	270.7391304
1166.333333	270.4444444
925.3333333	271.1111111
940.8387097	271.516129
1130.958333	272.4583333
1145.5	275.3
920.6956522	276.3043478
932.2	276.9
1132.4	278.125
942.4285714	278.2142857
1142.275	277.075
890.255814	278.0697674
1088.294118	278.6764706
1096.5	278.5
920	280.6470588
941.826087	282
931.3684211	282.6842105
1086.681818	282.9090909
1094	283.5
1128.875	282.9375
948.2222222	286.3888889
1112.027778	285.1944444
1137.797619	283.2142857
1100.333333	286.5416667
1149.181818	286.9545455
1087.902439	289.0487805
1132.35	287.6
1296.73913	288.6086957
1126.333333	290.3333333
1095.966102	289.8474576
1118.119403	289.8507463
1144.232877	289.1369863
1138.702128	293.5744681
1291.470588	292.3333333
1105.5	292.5
1081.210526	293.9473684
1101.107143	294.0357143
1115.441558	295.1558442
1130.754902	296.0784314
1231	295.2777778
1077.148148	295.7407407
1070.777778	297.1111111
1147.185567	297.9793814
1091.918919	298.3513514
1107.528302	297.754717
1071.583333	300.25
1121.709302	303.8953488
955.9583333	301.3333333
1055.135135	302.2162162
1117.24	301.4
1138.604167	301.2291667
1049.090909	303.6363636
1104.958333	303.0277778
1113.175439	306.3508772
1084.03125	304.9895833
1153.416667	303.8888889
1044.722222	305.2777778
1161.5	304.5735294
1127.48	305.34
1049	307
1070.404762	306.8571429
1094.378378	306.972973
1100.285714	308.2244898
1158.043478	307.0434783
1046.75	309.6666667
1080.085106	310.8510638
1106.075758	311.6666667
1138.3	311.4833333
1075.657143	311.6857143
1167.533333	311.1333333
1040.880952	312.7142857
1089.741935	312.9354839
1131.1375	313.05
970.4642857	313.9642857
975	313.5454545
1114.892857	313.8928571
1125.77551	313.6530612
1151.827586	314.7068966
1285.5	315
964.1176471	315.0588235
1082.76	316.2
1087.307692	316.0384615
1119.770833	314.2916667
1042.409091	316.7727273
1065.348485	314.6666667
1109.344828	318.3448276
1157.076923	316.3076923
966.925	319.3
1059.195122	317.9146341
1155	319.7647059
1160.98	318.44
1047.666667	320
1099.488372	318
1114.685714	320.7714286
1135.346939	320.3877551
1084.289474	320.7368421
1044.3125	321.8125
1075.746479	323.1690141
1130.411765	321.6470588
973.6231884	323.1449275
1093.361111	322.5833333
1147.4	321.8571429
1051.058824	323.7647059
1158.708333	323.9583333
1082.283333	326.2166667
1151.883721	325.0930233
968.25	326.5714286
1103.87234	325.0851064
1140.018182	326.3090909
1145.318182	326.9545455
1086.314286	329.1142857
1149.571429	329.6428571
1225.5	329.2222222
1131.133333	326.5
1072.846154	331
1136.736111	332.9444444
977.5625	330.890625
1097.766667	329.4
1130.129032	332
1144.029412	332.9705882
1057.714286	332.5
1083.808511	333.5531915
1149.117647	332.5882353
1093.014706	333.5441176
962.0714286	334.5357143
972.2666667	335.04
981.8484848	337.1818182
1102.875	334.55
1116.333333	332.5714286
1132.470588	336.2941176
1158	335.4680851
1165.6	335.9428571
955.9230769	337.3076923
966.2	337.44
1129.176471	337.7058824
1227.323944	336.6338028
1148.810811	337.3243243
1276.407407	338.7037037
979.3448276	339.9310345
1078.133333	338.7111111
1098.714286	340.4761905
1107.212766	339.9574468
1235.466667	338.7333333
1068.181818	339
1085.04878	338.9756098
1114.333333	340.3571429
1140.514706	340.3088235
1261.888889	340.4444444
1266.875	339.875
967.6153846	340.8461538
1065.058824	341.7058824
1089.038462	341.1153846
1256.8	341
1272.52381	341.0952381
1092.555556	342.1111111
1126.307692	342.7076923
1133.259259	342.8148148
960.6666667	344.5
973.0416667	343.1875
1148.259259	343.7777778
1153.888889	344.3333333
1167.272727	342.7454545
1174.846154	343.6410256
1072.819672	342.4098361
1144.722222	345.2222222
1230.244444	344.5555556
977.6363636	347.3636364
983.3269231	345.5769231
1077.583333	346.3333333
1083.181818	346.2363636
794.5	346.5
955.6153846	347.3846154
1097.617647	346.7647059
1088.84	347.96
1116.365385	346.8461538
1127.366667	348.2666667
1141.162791	348.1627907
1092.8	348
1133.488889	350.1555556
1137	348.44
1165.912281	349.8070175
793.7166667	351.5833333
984	351.96875
1072.3	351.2333333
1109.719298	348.5614035
1148.266667	350.0666667
1179.846154	351.5384615
1058.470588	351.6470588
1075.25	354.9791667
1081.2	352.4
1100	353.1818182
1145.272727	351.6818182
1152.153846	352.9230769
1157.913043	352.1304348
787.2	352.75
978.1428571	353.0285714
1064.189189	352.027027
1090.792453	354.245283
1125.421053	352.8947368
1129.55	353.15
1187.285714	353.3571429
981.8823529	355.7647059
1069.47619	354.8095238
1084.285714	355.1428571
1107.181818	356.5454545
1119.276923	352.9230769
1171.5	354
1043.421053	355.1052632
1184.153846	354
1189.857143	355.5714286
1233.142857	354.4285714
1112.657895	356.1842105
974.8421053	357.1578947
1089.5	357.6363636
1154.928571	357.3571429
1064.067568	358.472973
1078.666667	357.962963
1160.462963	357.2962963
1123.849057	358.6981132
1139.020408	358.1836735
1146.25	358.4318182
1172.5	359
1057.136364	359.3636364
1100.084746	360.8474576
1115.157895	361.3684211
1118.526316	360.9473684
1164.75	359.5416667
917.7352941	360.3529412
984.2962963	360.6111111
