X,Y,Sample,Section,Cell Type
0,0,Mutant1,2,CD11c
0,6000,Mutant1,2,CD11c
6000,0,Mutant1,2,CD11c
6000,6000,Mutant1,2,CD11c
1208.846154,85,Mutant1,2,CD11c
1214.727273,86.36363636,Mutant1,2,CD11c
1270.526316,132.6947368,Mutant1,2,CD11c
1286,146.8,Mutant1,2,CD11c
1302.294118,162.7058824,Mutant1,2,CD11c
1189.727273,170.5,Mutant1,2,CD11c
1311.818182,172.0909091,Mutant1,2,CD11c
1117.571429,172.9642857,Mutant1,2,CD11c
1317.730769,176.6794872,Mutant1,2,CD11c
1226.105263,182.7105263,Mutant1,2,CD11c
1327.125,182.875,Mutant1,2,CD11c
1227.266667,186.7666667,Mutant1,2,CD11c
1155.101266,190.5316456,Mutant1,2,CD11c
1057.75,192.125,Mutant1,2,CD11c
1192.179104,195.6567164,Mutant1,2,CD11c
1184.791667,197.9166667,Mutant1,2,CD11c
1216.927536,201.0869565,Mutant1,2,CD11c
1195.92,200.82,Mutant1,2,CD11c
1182.730769,204.6153846,Mutant1,2,CD11c
1188.6875,203.3125,Mutant1,2,CD11c
1252.727273,209.8181818,Mutant1,2,CD11c
1190.348485,209.969697,Mutant1,2,CD11c
1095.375,215.34375,Mutant1,2,CD11c
1186.836735,214.6122449,Mutant1,2,CD11c
1171.636364,214.2727273,Mutant1,2,CD11c
1263.270588,217.2352941,Mutant1,2,CD11c
1178.797101,216.5362319,Mutant1,2,CD11c
1194.920635,216.8730159,Mutant1,2,CD11c
1219.9375,218.6666667,Mutant1,2,CD11c
1243.247423,219.6907216,Mutant1,2,CD11c
1157,218.675,Mutant1,2,CD11c
1183.938462,222.3153846,Mutant1,2,CD11c
1154.904762,222.6190476,Mutant1,2,CD11c
1116.2,225.2444444,Mutant1,2,CD11c
1160.342105,224.7434211,Mutant1,2,CD11c
1194.375,226.6875,Mutant1,2,CD11c
1104.823529,226.7647059,Mutant1,2,CD11c
1145.814815,226.7962963,Mutant1,2,CD11c
1150.150943,225.8867925,Mutant1,2,CD11c
1173.441441,225.5585586,Mutant1,2,CD11c
1110.575,227.675,Mutant1,2,CD11c
1123.576923,227.6923077,Mutant1,2,CD11c
1251.272727,226.3030303,Mutant1,2,CD11c
1257.9,226.95,Mutant1,2,CD11c
1165.837209,229.627907,Mutant1,2,CD11c
1266.452381,227.8571429,Mutant1,2,CD11c
1133.84,228.12,Mutant1,2,CD11c
1162.678571,233.875,Mutant1,2,CD11c
1106.685714,232.1428571,Mutant1,2,CD11c
1119.630435,232.3695652,Mutant1,2,CD11c
1247.714286,232.7301587,Mutant1,2,CD11c
1114.196429,234.8214286,Mutant1,2,CD11c
1168.833333,233.4166667,Mutant1,2,CD11c
1173.315789,233.1052632,Mutant1,2,CD11c
1263.25,232.625,Mutant1,2,CD11c
1124.846154,235.0769231,Mutant1,2,CD11c
1183.372881,233.8135593,Mutant1,2,CD11c
1268.230769,236.9615385,Mutant1,2,CD11c
1275.285714,237.2857143,Mutant1,2,CD11c
1149.8,239.4,Mutant1,2,CD11c
1129.373134,241.1044776,Mutant1,2,CD11c
1168.947368,242.5263158,Mutant1,2,CD11c
1180.39521,241.9221557,Mutant1,2,CD11c
1230.682927,242.7804878,Mutant1,2,CD11c
1275.333333,242.2380952,Mutant1,2,CD11c
1306.725806,242.4677419,Mutant1,2,CD11c
1311.763636,241.0727273,Mutant1,2,CD11c
1148.52381,243.0238095,Mutant1,2,CD11c
1198.777778,242.5555556,Mutant1,2,CD11c
1064.1,243.775,Mutant1,2,CD11c
1269.424242,243.5757576,Mutant1,2,CD11c
1299.242424,244.6464646,Mutant1,2,CD11c
1058.392157,245.4509804,Mutant1,2,CD11c
1160.194444,245.0555556,Mutant1,2,CD11c
1173.798387,249.3306452,Mutant1,2,CD11c
1130.058824,247.3137255,Mutant1,2,CD11c
1217.416667,247.75,Mutant1,2,CD11c
1068.229508,249.4098361,Mutant1,2,CD11c
1099.804878,251.3170732,Mutant1,2,CD11c
1184.555556,251.3333333,Mutant1,2,CD11c
1304.247059,251.7058824,Mutant1,2,CD11c
1181.475,255,Mutant1,2,CD11c
1091.414634,255.7073171,Mutant1,2,CD11c
1112.333333,254.76,Mutant1,2,CD11c
1164.882353,254.5294118,Mutant1,2,CD11c
1232.3,254.8,Mutant1,2,CD11c
1295.13253,254.9879518,Mutant1,2,CD11c
1207.987805,256.0487805,Mutant1,2,CD11c
1286.571429,257.6428571,Mutant1,2,CD11c
1229.833333,258.0833333,Mutant1,2,CD11c
1248.391304,258.0434783,Mutant1,2,CD11c
1130.322581,260.7096774,Mutant1,2,CD11c
1144.045455,260.2727273,Mutant1,2,CD11c
1300.888889,260.3333333,Mutant1,2,CD11c
1253.166667,262,Mutant1,2,CD11c
1297.464286,263.1071429,Mutant1,2,CD11c
1147.692308,263.6923077,Mutant1,2,CD11c
1289.412371,264.7628866,Mutant1,2,CD11c
1076.76,266.24,Mutant1,2,CD11c
1081.096774,267.3870968,Mutant1,2,CD11c
1214.214286,266.4642857,Mutant1,2,CD11c
1128.416667,269.8333333,Mutant1,2,CD11c
1136.469388,268.2040816,Mutant1,2,CD11c
1282,268.1034483,Mutant1,2,CD11c
1145.128205,268.3076923,Mutant1,2,CD11c
1155,269.8,Mutant1,2,CD11c
1146.830189,274.1320755,Mutant1,2,CD11c
1207.190476,271.5714286,Mutant1,2,CD11c
1138.411765,275.1764706,Mutant1,2,CD11c
1279.44186,274.1162791,Mutant1,2,CD11c
1098.107143,276.8928571,Mutant1,2,CD11c
1178.857143,277.8571429,Mutant1,2,CD11c
1106.3125,278.625,Mutant1,2,CD11c
1238.846154,278.4615385,Mutant1,2,CD11c
1285.666667,279.2380952,Mutant1,2,CD11c
1190.307692,279.8461538,Mutant1,2,CD11c
1248,279.2,Mutant1,2,CD11c
1100.823529,282.3529412,Mutant1,2,CD11c
1136.294118,281.2941176,Mutant1,2,CD11c
1107.418605,282.8372093,Mutant1,2,CD11c
1142.291667,283.7916667,Mutant1,2,CD11c
1162.413793,283.7241379,Mutant1,2,CD11c
1146.583333,286.2777778,Mutant1,2,CD11c
1107.72973,288.0810811,Mutant1,2,CD11c
1112.888889,288.9333333,Mutant1,2,CD11c
1166.454545,289.7727273,Mutant1,2,CD11c
1183.5,287.5483871,Mutant1,2,CD11c
1198.858974,286.7307692,Mutant1,2,CD11c
1103.363636,292.1454545,Mutant1,2,CD11c
1117.972973,291.3513514,Mutant1,2,CD11c
1174.458333,291.1666667,Mutant1,2,CD11c
1209.352941,291.5,Mutant1,2,CD11c
1201.088608,293.3797468,Mutant1,2,CD11c
1132.5,292.3095238,Mutant1,2,CD11c
1127,295.5,Mutant1,2,CD11c
1183.959184,296.7278912,Mutant1,2,CD11c
1137.875,295.95,Mutant1,2,CD11c
1209.518519,296.5185185,Mutant1,2,CD11c
1099.891566,297.8433735,Mutant1,2,CD11c
1309.891304,296.3043478,Mutant1,2,CD11c
1204.65,298.45,Mutant1,2,CD11c
1304.688525,300.9672131,Mutant1,2,CD11c
1314.285714,301.2142857,Mutant1,2,CD11c
1167.333333,302.1111111,Mutant1,2,CD11c
1195.258741,300.034965,Mutant1,2,CD11c
1087,302.3076923,Mutant1,2,CD11c
1080.034483,304.7586207,Mutant1,2,CD11c
1139.9,305.3,Mutant1,2,CD11c
1173.347826,304.3913043,Mutant1,2,CD11c
1310.150943,306.1509434,Mutant1,2,CD11c
1134.777778,306.3333333,Mutant1,2,CD11c
1099.618182,306.0545455,Mutant1,2,CD11c
1075.366667,307.9,Mutant1,2,CD11c
1217.0625,307.6875,Mutant1,2,CD11c
1248.4,307.5166667,Mutant1,2,CD11c
1064.679012,309.4197531,Mutant1,2,CD11c
1071.5,310.0333333,Mutant1,2,CD11c
1091.37037,308.0074074,Mutant1,2,CD11c
1291.5,310,Mutant1,2,CD11c
1328,310,Mutant1,2,CD11c
1243.108108,310.7027027,Mutant1,2,CD11c
1252.02439,311.2195122,Mutant1,2,CD11c
1130.01626,310.1869919,Mutant1,2,CD11c
1145.966667,313.8555556,Mutant1,2,CD11c
1185.396552,310.7586207,Mutant1,2,CD11c
1151.719298,316,Mutant1,2,CD11c
1166,315.5,Mutant1,2,CD11c
1172.307692,317.1538462,Mutant1,2,CD11c
