X,Y,Sample,Section,Cell Type
0,0,Mutant1,2,CD205
0,6000,Mutant1,2,CD205
6000,0,Mutant1,2,CD205
6000,6000,Mutant1,2,CD205
1193.334842,86.42986425,Mutant1,2,CD205
1169.491071,81.20758929,Mutant1,2,CD205
1211.429276,94.39638158,Mutant1,2,CD205
1156.101523,96.93908629,Mutant1,2,CD205
1244.411325,110.4391026,Mutant1,2,CD205
1138.244656,102.8361045,Mutant1,2,CD205
1181.560628,100.1840228,Mutant1,2,CD205
1201.43,106.43,Mutant1,2,CD205
1123.898955,115.1567944,Mutant1,2,CD205
1221.549407,113.9011858,Mutant1,2,CD205
1162.177885,115.9471154,Mutant1,2,CD205
1141.22619,114.6488095,Mutant1,2,CD205
1177.98419,118.6758893,Mutant1,2,CD205
1106.237838,120.9864865,Mutant1,2,CD205
1278.738944,139.5420827,Mutant1,2,CD205
1143.535503,125.3846154,Mutant1,2,CD205
1194.189474,130.4978947,Mutant1,2,CD205
1097.688312,133.0805195,Mutant1,2,CD205
1217.848485,135.2620321,Mutant1,2,CD205
1239.301471,130.7377451,Mutant1,2,CD205
1169.966667,138.2410256,Mutant1,2,CD205
1261.044776,136.5970149,Mutant1,2,CD205
1081.407407,139.6498317,Mutant1,2,CD205
1155.70632,135.2862454,Mutant1,2,CD205
1251.711599,141.2946708,Mutant1,2,CD205
1196.608911,150.019802,Mutant1,2,CD205
1150.054455,146.1336634,Mutant1,2,CD205
1145.123853,151.8715596,Mutant1,2,CD205
1209.587591,151.7846715,Mutant1,2,CD205
1230.453782,149.2268908,Mutant1,2,CD205
1088.836957,152.4456522,Mutant1,2,CD205
1266.663636,152.0818182,Mutant1,2,CD205
1062.491835,167.184438,Mutant1,2,CD205
1120.50168,146.1634938,Mutant1,2,CD205
1103.578275,156.3929712,Mutant1,2,CD205
1079.894737,160.3859649,Mutant1,2,CD205
1301.669617,160.5988201,Mutant1,2,CD205
1250.126214,158.7702265,Mutant1,2,CD205
1219.212644,164.2356322,Mutant1,2,CD205
1135.9,162.92,Mutant1,2,CD205
1186.281977,162.2936047,Mutant1,2,CD205
1270.270073,164.9854015,Mutant1,2,CD205
1207.638243,173.2403101,Mutant1,2,CD205
1234.114286,158.7107143,Mutant1,2,CD205
1127.946746,168.0532544,Mutant1,2,CD205
1318.299213,178.7401575,Mutant1,2,CD205
1095.880407,169.7760814,Mutant1,2,CD205
1244.582734,171.1654676,Mutant1,2,CD205
1144.699612,172.1531008,Mutant1,2,CD205
1168.630682,168.6704545,Mutant1,2,CD205
1283.790625,169.98125,Mutant1,2,CD205
1197.643275,178,Mutant1,2,CD205
1080.704082,178.2108844,Mutant1,2,CD205
1113.02809,175.5674157,Mutant1,2,CD205
1223.737143,176.0285714,Mutant1,2,CD205
1237.254167,181.5166667,Mutant1,2,CD205
1258.807623,181.0217786,Mutant1,2,CD205
1187.386364,182.9772727,Mutant1,2,CD205
1221.22,195.362,Mutant1,2,CD205
1269.556338,189.1901408,Mutant1,2,CD205
1293.603976,188.67737,Mutant1,2,CD205
1157.350515,189.5085911,Mutant1,2,CD205
1103.212121,190,Mutant1,2,CD205
1088.143939,200.0265152,Mutant1,2,CD205
1190.038391,191.2486289,Mutant1,2,CD205
1074.131579,191.6414474,Mutant1,2,CD205
1337.715203,196.6916488,Mutant1,2,CD205
1171.192308,196.5320513,Mutant1,2,CD205
1236.874074,196.2296296,Mutant1,2,CD205
1115.551724,199.0215517,Mutant1,2,CD205
1133.995008,190.9450915,Mutant1,2,CD205
1279.046296,199.6851852,Mutant1,2,CD205
1064.919708,201.1313869,Mutant1,2,CD205
1315.51341,198.7318008,Mutant1,2,CD205
1247.454321,203.1259259,Mutant1,2,CD205
1196.763441,203.9731183,Mutant1,2,CD205
1292.401235,202.6358025,Mutant1,2,CD205
1262.283333,203.7888889,Mutant1,2,CD205
