X,Y,Sample,Section,Cell Type
0,0,Mutant1,5,Claud5
0,6000,Mutant1,5,Claud5
6000,0,Mutant1,5,Claud5
6000,6000,Mutant1,5,Claud5
1200.909091,145.6363636,Mutant1,5,Claud5
1199.540541,150.2972973,Mutant1,5,Claud5
1194.692308,157,Mutant1,5,Claud5
1234.234234,227.1981982,Mutant1,5,Claud5
1235.057143,232.9142857,Mutant1,5,Claud5
1245.875,364.9583333,Mutant1,5,Claud5
1361.931818,386.8181818,Mutant1,5,Claud5
1415.171429,404.4142857,Mutant1,5,Claud5
1413.361111,412.2777778,Mutant1,5,Claud5
1423.53125,427.15625,Mutant1,5,Claud5
1443.682927,471.4512195,Mutant1,5,Claud5
1164,491,Mutant1,5,Claud5
1341.898305,517.559322,Mutant1,5,Claud5
1346.96,527.6,Mutant1,5,Claud5
1330.19403,550.2686567,Mutant1,5,Claud5
1296.333333,557.2727273,Mutant1,5,Claud5
1303.028571,558.1428571,Mutant1,5,Claud5
1227.5,563.125,Mutant1,5,Claud5
1309.166667,563.75,Mutant1,5,Claud5
1370.944444,565.3333333,Mutant1,5,Claud5
1277.863636,567,Mutant1,5,Claud5
1324.823529,567.1470588,Mutant1,5,Claud5
1262,570.625,Mutant1,5,Claud5
1328.814815,571.4074074,Mutant1,5,Claud5
1320.339286,571.5,Mutant1,5,Claud5
1360.904762,573.3095238,Mutant1,5,Claud5
1255.522727,573.3636364,Mutant1,5,Claud5
1316.268293,575.2439024,Mutant1,5,Claud5
1261.333333,576.9382716,Mutant1,5,Claud5
1432.52,578.04,Mutant1,5,Claud5
1479.280702,578.1578947,Mutant1,5,Claud5
1321.692308,579.3076923,Mutant1,5,Claud5
1521.014925,590.8208955,Mutant1,5,Claud5
1517.928571,601.5714286,Mutant1,5,Claud5
1283.5,624.5,Mutant1,5,Claud5
1158.32,631.68,Mutant1,5,Claud5
1233.9375,636.3125,Mutant1,5,Claud5
1420.4375,635.6875,Mutant1,5,Claud5
1416.619048,639.0714286,Mutant1,5,Claud5
1428.536585,637.9268293,Mutant1,5,Claud5
1424.825,636.8,Mutant1,5,Claud5
1431.309524,643.2857143,Mutant1,5,Claud5
1422.766667,644,Mutant1,5,Claud5
1426.75,647.3333333,Mutant1,5,Claud5
1322.6,664.9,Mutant1,5,Claud5
1451.6,667.725,Mutant1,5,Claud5
