X,Y,Sample,Section,Cell Type
0,0,Mutant1,3,Claud34
0,6000,Mutant1,3,Claud34
6000,0,Mutant1,3,Claud34
6000,6000,Mutant1,3,Claud34
1252.795918,210.9795918,Mutant1,3,Claud34
1249.4,221.64,Mutant1,3,Claud34
1199.111111,227.2222222,Mutant1,3,Claud34
1203.884615,228.0769231,Mutant1,3,Claud34
1252.945946,232.3783784,Mutant1,3,Claud34
1191.571429,232.8571429,Mutant1,3,Claud34
1170.533333,233.7333333,Mutant1,3,Claud34
1184.517241,229.7758621,Mutant1,3,Claud34
1202.666667,232.9473684,Mutant1,3,Claud34
1219.966418,231.2201493,Mutant1,3,Claud34
1242.145455,232.9090909,Mutant1,3,Claud34
1234.581967,234.0983607,Mutant1,3,Claud34
1179.014337,239.655914,Mutant1,3,Claud34
1244.75,242.890625,Mutant1,3,Claud34
1191.619048,242.3333333,Mutant1,3,Claud34
1215.59322,240.8474576,Mutant1,3,Claud34
1229.171053,242.1710526,Mutant1,3,Claud34
1208.919118,241.3602941,Mutant1,3,Claud34
1222.185714,246.3428571,Mutant1,3,Claud34
1238.846154,245,Mutant1,3,Claud34
1170.706667,249.2133333,Mutant1,3,Claud34
1184.745455,247.3090909,Mutant1,3,Claud34
1199.863636,242.6493506,Mutant1,3,Claud34
1215.918919,248.5675676,Mutant1,3,Claud34
1235.5,246,Mutant1,3,Claud34
1229.527778,249.2777778,Mutant1,3,Claud34
1242.666667,248.4166667,Mutant1,3,Claud34
1250.177778,247.0888889,Mutant1,3,Claud34
1262.698864,247.0340909,Mutant1,3,Claud34
1191.775862,253,Mutant1,3,Claud34
1254.04,250.16,Mutant1,3,Claud34
1200.04918,255.6803279,Mutant1,3,Claud34
1263.940594,256.7623762,Mutant1,3,Claud34
1186.481481,255.4444444,Mutant1,3,Claud34
1225.54491,257.988024,Mutant1,3,Claud34
1236.422764,254.0081301,Mutant1,3,Claud34
1210.333333,258.245283,Mutant1,3,Claud34
1170.794118,257.4411765,Mutant1,3,Claud34
1284.333333,257.1111111,Mutant1,3,Claud34
1175,257.5,Mutant1,3,Claud34
1163.7,260.1333333,Mutant1,3,Claud34
1249.530435,256.1391304,Mutant1,3,Claud34
1241.768293,261.1707317,Mutant1,3,Claud34
1169.6,262.6,Mutant1,3,Claud34
1272.045455,260.8181818,Mutant1,3,Claud34
1255.772414,263.537931,Mutant1,3,Claud34
1280.320513,263.3974359,Mutant1,3,Claud34
1264.361111,265.5,Mutant1,3,Claud34
1217.527273,264.5818182,Mutant1,3,Claud34
1223.47619,265.9047619,Mutant1,3,Claud34
1272,266,Mutant1,3,Claud34
1203.894737,267.9473684,Mutant1,3,Claud34
1194.982456,267.0964912,Mutant1,3,Claud34
1179,268.5555556,Mutant1,3,Claud34
1241.509804,267.627451,Mutant1,3,Claud34
1211.693878,268.3265306,Mutant1,3,Claud34
1233.195652,268.9130435,Mutant1,3,Claud34
1258.297297,271.2432432,Mutant1,3,Claud34
1182.19697,272.3181818,Mutant1,3,Claud34
1218.275,272.125,Mutant1,3,Claud34
1224.984925,278.9849246,Mutant1,3,Claud34
1193.941176,276.1764706,Mutant1,3,Claud34
1245.754386,272.2807018,Mutant1,3,Claud34
1287.962963,274.6898148,Mutant1,3,Claud34
1211.369748,276.4453782,Mutant1,3,Claud34
1271.90184,272.2453988,Mutant1,3,Claud34
1233.032258,276.8225806,Mutant1,3,Claud34
1244.1375,279.6625,Mutant1,3,Claud34
1252.328947,275.8157895,Mutant1,3,Claud34
1236.339623,282.0943396,Mutant1,3,Claud34
1302.571429,279.3571429,Mutant1,3,Claud34
1309.051282,281.7948718,Mutant1,3,Claud34
1191.75,282.6875,Mutant1,3,Claud34
1206.28125,281.375,Mutant1,3,Claud34
1159.932515,284.196319,Mutant1,3,Claud34
1273.539773,283.2897727,Mutant1,3,Claud34
1213.352941,284.4313725,Mutant1,3,Claud34
1262.715328,282.6788321,Mutant1,3,Claud34
1311.842105,288.7894737,Mutant1,3,Claud34
1209.822581,288.4946237,Mutant1,3,Claud34
1238.464286,287.9642857,Mutant1,3,Claud34
1268.7,291.45,Mutant1,3,Claud34
1171.575758,291.3636364,Mutant1,3,Claud34
1179.145923,288.223176,Mutant1,3,Claud34
1298.54065,286.0203252,Mutant1,3,Claud34
1162.375,293.9204545,Mutant1,3,Claud34
1289.378947,291.4315789,Mutant1,3,Claud34
1201.721311,293.557377,Mutant1,3,Claud34
1255.535865,289.7130802,Mutant1,3,Claud34
1278.298429,295.1465969,Mutant1,3,Claud34
1186.640351,294.3026316,Mutant1,3,Claud34
1195.032258,293.4516129,Mutant1,3,Claud34
1198.75,295.4375,Mutant1,3,Claud34
1298.54902,296,Mutant1,3,Claud34
1214.721311,296.4262295,Mutant1,3,Claud34
1228.854749,294.1061453,Mutant1,3,Claud34
1244.65873,295.5079365,Mutant1,3,Claud34
1315.952381,296.7619048,Mutant1,3,Claud34
1189.627451,302.5588235,Mutant1,3,Claud34
1289.4,300.8235294,Mutant1,3,Claud34
1308.4,301.6958333,Mutant1,3,Claud34
1235.85,300.4,Mutant1,3,Claud34
1207.155556,300.7555556,Mutant1,3,Claud34
1231,301.7179487,Mutant1,3,Claud34
1233.5,306.0853659,Mutant1,3,Claud34
1249.346154,300.9615385,Mutant1,3,Claud34
1182.233333,302.4333333,Mutant1,3,Claud34
1257.910448,302.0746269,Mutant1,3,Claud34
1297.857143,302.5714286,Mutant1,3,Claud34
1223.018868,303.0754717,Mutant1,3,Claud34
1265.058065,307.7677419,Mutant1,3,Claud34
1277.972222,304.5694444,Mutant1,3,Claud34
1195.472973,306.027027,Mutant1,3,Claud34
1215.492063,305.2380952,Mutant1,3,Claud34
1271.375,305.5625,Mutant1,3,Claud34
1249.177778,305.4222222,Mutant1,3,Claud34
1255,308.3777778,Mutant1,3,Claud34
1291.564356,307.8613861,Mutant1,3,Claud34
1203,307.6206897,Mutant1,3,Claud34
1223.375,311.1,Mutant1,3,Claud34
1240.168142,310.2212389,Mutant1,3,Claud34
1211.837209,309.9069767,Mutant1,3,Claud34
1269.78125,312.5625,Mutant1,3,Claud34
1276.31,315.17,Mutant1,3,Claud34
1285.068182,315.3522727,Mutant1,3,Claud34
1231.148148,313.6296296,Mutant1,3,Claud34
1250.176471,312.2352941,Mutant1,3,Claud34
1258.272727,313.0454545,Mutant1,3,Claud34
1302.2,312.15,Mutant1,3,Claud34
1204.612245,313.2040816,Mutant1,3,Claud34
1293.325301,315.9277108,Mutant1,3,Claud34
1186.604878,316.3317073,Mutant1,3,Claud34
1195.608696,315.4782609,Mutant1,3,Claud34
1249.627907,315.5348837,Mutant1,3,Claud34
1199.278481,320.278481,Mutant1,3,Claud34
1213.916667,315.4722222,Mutant1,3,Claud34
1271.36,318.44,Mutant1,3,Claud34
1281.079365,322,Mutant1,3,Claud34
1254.283019,320.4528302,Mutant1,3,Claud34
1218.302752,320.7247706,Mutant1,3,Claud34
1230.6,320.4615385,Mutant1,3,Claud34
1264.661538,321.4615385,Mutant1,3,Claud34
1309.818182,321.1818182,Mutant1,3,Claud34
1201.379085,326.372549,Mutant1,3,Claud34
