X,Y,Sample,Section,Cell Type
0,0,Mutant1,4,Foxp3
0,6000,Mutant1,4,Foxp3
6000,0,Mutant1,4,Foxp3
6000,6000,Mutant1,4,Foxp3
1434.64,557.76,Mutant1,4,Foxp3
1458.090909,561.4848485,Mutant1,4,Foxp3
1365.366667,579.3666667,Mutant1,4,Foxp3
1451.586207,581.4137931,Mutant1,4,Foxp3
1424.970588,583.7941176,Mutant1,4,Foxp3
1391.214286,594.5,Mutant1,4,Foxp3
1381,603.1935484,Mutant1,4,Foxp3
1335.333333,604.875,Mutant1,4,Foxp3
1315.666667,614.875,Mutant1,4,Foxp3
1153.071429,617.3571429,Mutant1,4,Foxp3
1324.529412,616.6470588,Mutant1,4,Foxp3
1317.333333,621.5,Mutant1,4,Foxp3
1245.8,626,Mutant1,4,Foxp3
1358.714286,627.5,Mutant1,4,Foxp3
1475.740741,634.0740741,Mutant1,4,Foxp3
1244.125,643.3333333,Mutant1,4,Foxp3
1500.952381,643.8095238,Mutant1,4,Foxp3
1214.117647,649.5882353,Mutant1,4,Foxp3
1223.666667,654.1428571,Mutant1,4,Foxp3
1229.928571,653.1428571,Mutant1,4,Foxp3
1471.8,655,Mutant1,4,Foxp3
1504.24,655.2,Mutant1,4,Foxp3
1362.038462,656.6153846,Mutant1,4,Foxp3
1319.391304,660.7826087,Mutant1,4,Foxp3
1277.393939,663.4848485,Mutant1,4,Foxp3
1516.76,662.96,Mutant1,4,Foxp3
1223.181818,663.6969697,Mutant1,4,Foxp3
1209.266667,665.4,Mutant1,4,Foxp3
1534,666.5,Mutant1,4,Foxp3
1423.382353,669.1176471,Mutant1,4,Foxp3
1446,671,Mutant1,4,Foxp3
1419.5,678.2222222,Mutant1,4,Foxp3
1311.172414,679.8965517,Mutant1,4,Foxp3
1364.5,680.1875,Mutant1,4,Foxp3
1370.083333,682.0833333,Mutant1,4,Foxp3
1498.190476,686.1428571,Mutant1,4,Foxp3
1196,686.5,Mutant1,4,Foxp3
1421,687.173913,Mutant1,4,Foxp3
1298.4,688.96,Mutant1,4,Foxp3
1319.9375,691.09375,Mutant1,4,Foxp3
1327,695.1428571,Mutant1,4,Foxp3
1331.133333,695.6,Mutant1,4,Foxp3
1231,695.6969697,Mutant1,4,Foxp3
1487.448276,695.6896552,Mutant1,4,Foxp3
1294.517241,697.8275862,Mutant1,4,Foxp3
1300.909091,697.9090909,Mutant1,4,Foxp3
1309.347826,698.9130435,Mutant1,4,Foxp3
1533.571429,702.6190476,Mutant1,4,Foxp3
1378.5,708,Mutant1,4,Foxp3
1486.103448,707.9655172,Mutant1,4,Foxp3
1351.724138,714.4137931,Mutant1,4,Foxp3
1496.5,723.5,Mutant1,4,Foxp3
1413.090909,725.0909091,Mutant1,4,Foxp3
1353.533333,726.1333333,Mutant1,4,Foxp3
1491.5,732.5,Mutant1,4,Foxp3
1315.952381,740.1904762,Mutant1,4,Foxp3
1277.466667,747.1333333,Mutant1,4,Foxp3
1246.555556,752.3333333,Mutant1,4,Foxp3
1255.222222,756.5,Mutant1,4,Foxp3
1403.24,759.96,Mutant1,4,Foxp3
1419.04,761.6,Mutant1,4,Foxp3
1429.782609,764.9130435,Mutant1,4,Foxp3
1303.44,769.92,Mutant1,4,Foxp3
1307.583333,780.0416667,Mutant1,4,Foxp3
1372.363636,788.6666667,Mutant1,4,Foxp3
1277.173913,791,Mutant1,4,Foxp3
1403.5,791.7142857,Mutant1,4,Foxp3
1300.5,795.7857143,Mutant1,4,Foxp3
1482.9,797.05,Mutant1,4,Foxp3
1322.090909,800.9090909,Mutant1,4,Foxp3
1402.892857,812.9285714,Mutant1,4,Foxp3
1413.666667,817.8222222,Mutant1,4,Foxp3
1335.888889,828.2777778,Mutant1,4,Foxp3
1373.692308,828,Mutant1,4,Foxp3
1360.214286,837.5,Mutant1,4,Foxp3
1193.086957,874.4347826,Mutant1,4,Foxp3
1258.5,883,Mutant1,4,Foxp3
1183.565217,903.173913,Mutant1,4,Foxp3
1491.5,907,Mutant1,4,Foxp3
1243.5,916,Mutant1,4,Foxp3
