X,Y,Sample,Section,Cell Type
0,0,Mutant1,2,K5
0,6000,Mutant1,2,K5
6000,0,Mutant1,2,K5
6000,6000,Mutant1,2,K5
1198.090909,218.3636364,Mutant1,2,K5
1193.230769,219.0769231,Mutant1,2,K5
1193.681818,223.3636364,Mutant1,2,K5
1130.727273,243.7272727,Mutant1,2,K5
1096.5,252,Mutant1,2,K5
1195.5,254.8333333,Mutant1,2,K5
1336.541667,311.6666667,Mutant1,2,K5
1177.571429,321.4285714,Mutant1,2,K5
1158.176471,345.2941176,Mutant1,2,K5
1149.580645,348.8709677,Mutant1,2,K5
1154.75,351.45,Mutant1,2,K5
1194.125,351.6666667,Mutant1,2,K5
1424.461538,351.2307692,Mutant1,2,K5
1179.894737,354.2631579,Mutant1,2,K5
1185,355.4090909,Mutant1,2,K5
1232.888889,355.3333333,Mutant1,2,K5
1427.6,355,Mutant1,2,K5
1223.289474,359.1578947,Mutant1,2,K5
1427.833333,358.5555556,Mutant1,2,K5
1204.46875,359.78125,Mutant1,2,K5
1197.15,361,Mutant1,2,K5
1176.56,362.28,Mutant1,2,K5
1430.740741,365.8518519,Mutant1,2,K5
1183.095238,364.3571429,Mutant1,2,K5
1194.266667,365.0666667,Mutant1,2,K5
1168.076923,367.5384615,Mutant1,2,K5
1236.421053,367.1578947,Mutant1,2,K5
1188.461538,368.7692308,Mutant1,2,K5
1221.321429,369.4285714,Mutant1,2,K5
1132.736842,370.7894737,Mutant1,2,K5
1151.615385,370.5641026,Mutant1,2,K5
1237.5,371.125,Mutant1,2,K5
1309.557522,368.6017699,Mutant1,2,K5
1179.97561,372.6097561,Mutant1,2,K5
1213.619048,373.4285714,Mutant1,2,K5
1241.5,373.6764706,Mutant1,2,K5
1230,375.2,Mutant1,2,K5
1319,375.0747664,Mutant1,2,K5
1298.313725,376.5098039,Mutant1,2,K5
1437,376,Mutant1,2,K5
1305.523077,376.1076923,Mutant1,2,K5
1152.846154,379.5384615,Mutant1,2,K5
1313.833333,380.2333333,Mutant1,2,K5
1141.333333,380.9285714,Mutant1,2,K5
1295,381.5,Mutant1,2,K5
1160.117647,382.3235294,Mutant1,2,K5
1246.918919,384.2432432,Mutant1,2,K5
1167,390,Mutant1,2,K5
1241.892857,389.0714286,Mutant1,2,K5
1250.461538,390.4615385,Mutant1,2,K5
1437.636364,390.0909091,Mutant1,2,K5
1393.882353,390.5882353,Mutant1,2,K5
1242.5,393,Mutant1,2,K5
1278.157895,392.1578947,Mutant1,2,K5
1232.8,392.8333333,Mutant1,2,K5
1253.181818,392.9090909,Mutant1,2,K5
1246.740741,395.5925926,Mutant1,2,K5
1267.5,395.5,Mutant1,2,K5
1237.506667,400.1866667,Mutant1,2,K5
1390,405.8,Mutant1,2,K5
1241.366667,407,Mutant1,2,K5
1395.5,418.5,Mutant1,2,K5
1297.25,428.1666667,Mutant1,2,K5
1294.227273,432.9242424,Mutant1,2,K5
1369.903846,540.1923077,Mutant1,2,K5
1387.583333,543.4583333,Mutant1,2,K5
1368,544.5,Mutant1,2,K5
1379.229885,544.0114943,Mutant1,2,K5
1251.565217,554.6086957,Mutant1,2,K5
1321.333333,562.25,Mutant1,2,K5
1256.673469,565.1428571,Mutant1,2,K5
1228.625,569.25,Mutant1,2,K5
1404.923077,572.1794872,Mutant1,2,K5
1464.166667,571.875,Mutant1,2,K5
1045.580645,576.4516129,Mutant1,2,K5
1259.181818,575.5151515,Mutant1,2,K5
1431.2,578.1,Mutant1,2,K5
1416.545455,579.3636364,Mutant1,2,K5
1257.296296,581,Mutant1,2,K5
1415,582,Mutant1,2,K5
