X,Y,Sample,Section,Cell Type
0,0,Mutant1,1,PDGFRb
0,6000,Mutant1,1,PDGFRb
6000,0,Mutant1,1,PDGFRb
6000,6000,Mutant1,1,PDGFRb
1204.435294,141.0941176,Mutant1,1,PDGFRb
1210.033333,135.6,Mutant1,1,PDGFRb
1215.088496,139.1150442,Mutant1,1,PDGFRb
1222.317073,138.902439,Mutant1,1,PDGFRb
1197.977273,145.5113636,Mutant1,1,PDGFRb
1227.170213,140.8297872,Mutant1,1,PDGFRb
1231.777778,142.0666667,Mutant1,1,PDGFRb
1236,145.2533333,Mutant1,1,PDGFRb
1242.756098,144.4634146,Mutant1,1,PDGFRb
1184.068966,148.4137931,Mutant1,1,PDGFRb
1191.454545,147.6136364,Mutant1,1,PDGFRb
1206.147059,150.0294118,Mutant1,1,PDGFRb
1247.830769,147.4,Mutant1,1,PDGFRb
1213.647059,147.4117647,Mutant1,1,PDGFRb
1228.04878,149.1219512,Mutant1,1,PDGFRb
1253.714286,149.3214286,Mutant1,1,PDGFRb
1239.280702,152.0877193,Mutant1,1,PDGFRb
1176.727273,150.6969697,Mutant1,1,PDGFRb
1184.157895,155.4210526,Mutant1,1,PDGFRb
1192.826531,154.3673469,Mutant1,1,PDGFRb
1252.090909,154.7272727,Mutant1,1,PDGFRb
1171.391304,156.3913043,Mutant1,1,PDGFRb
1217.632258,151.483871,Mutant1,1,PDGFRb
1227.214724,158.2822086,Mutant1,1,PDGFRb
1169.648649,161.972973,Mutant1,1,PDGFRb
1204.237037,159.0814815,Mutant1,1,PDGFRb
1213.825,161.4,Mutant1,1,PDGFRb
1249.97619,164.0952381,Mutant1,1,PDGFRb
1163.689655,162.7241379,Mutant1,1,PDGFRb
1176.821429,159.3214286,Mutant1,1,PDGFRb
1206.75,164.375,Mutant1,1,PDGFRb
1232.181818,165.0454545,Mutant1,1,PDGFRb
1242.583333,162.4583333,Mutant1,1,PDGFRb
1236.846154,167.7692308,Mutant1,1,PDGFRb
1175.644737,164.6842105,Mutant1,1,PDGFRb
1192.333333,164.0432099,Mutant1,1,PDGFRb
1221.35,168.3428571,Mutant1,1,PDGFRb
1168.068966,170.1724138,Mutant1,1,PDGFRb
1158.575758,169.7424242,Mutant1,1,PDGFRb
1178.459184,170.2755102,Mutant1,1,PDGFRb
1208.092784,169.556701,Mutant1,1,PDGFRb
1201.928571,170.8571429,Mutant1,1,PDGFRb
1200.881188,176.7425743,Mutant1,1,PDGFRb
1177.84127,178.6190476,Mutant1,1,PDGFRb
1187.793651,174,Mutant1,1,PDGFRb
1192.111111,174.4166667,Mutant1,1,PDGFRb
1183.7,180.825,Mutant1,1,PDGFRb
1198.411765,182.6862745,Mutant1,1,PDGFRb
1182.888889,186,Mutant1,1,PDGFRb
1159,186.2857143,Mutant1,1,PDGFRb
1191.983784,189.827027,Mutant1,1,PDGFRb
1181.78125,191.9375,Mutant1,1,PDGFRb
1150.872093,193.6511628,Mutant1,1,PDGFRb
1170.679739,192.4771242,Mutant1,1,PDGFRb
1131.258065,196.5806452,Mutant1,1,PDGFRb
1157.130435,197.3478261,Mutant1,1,PDGFRb
1176.641026,199.2051282,Mutant1,1,PDGFRb
1162.55,198.925,Mutant1,1,PDGFRb
1197.390244,198.3170732,Mutant1,1,PDGFRb
1149.376344,201.7311828,Mutant1,1,PDGFRb
1141.763158,206.5526316,Mutant1,1,PDGFRb
1159.277778,204.4444444,Mutant1,1,PDGFRb
1129.439024,208.2195122,Mutant1,1,PDGFRb
1154.288889,210.0222222,Mutant1,1,PDGFRb
1150.5,219.5,Mutant1,1,PDGFRb
1128.655172,220.5172414,Mutant1,1,PDGFRb
1133.556818,229.9318182,Mutant1,1,PDGFRb
1190.935065,236.8311688,Mutant1,1,PDGFRb
1191.571429,243.0238095,Mutant1,1,PDGFRb
1197.350877,241.245614,Mutant1,1,PDGFRb
1135.944444,242.4930556,Mutant1,1,PDGFRb
1169.375,242.5625,Mutant1,1,PDGFRb
1206.502128,247.106383,Mutant1,1,PDGFRb
1150.203125,244.140625,Mutant1,1,PDGFRb
1162.881356,244.9830508,Mutant1,1,PDGFRb
1143.333333,248.3333333,Mutant1,1,PDGFRb
1158.5,247.6428571,Mutant1,1,PDGFRb
1154.97619,250.6428571,Mutant1,1,PDGFRb
1129.885714,253.3142857,Mutant1,1,PDGFRb
1038.183673,253.6530612,Mutant1,1,PDGFRb
1266.229167,255.4791667,Mutant1,1,PDGFRb
1134.692308,257.2307692,Mutant1,1,PDGFRb
1052.307692,262.2307692,Mutant1,1,PDGFRb
1379.195122,262.195122,Mutant1,1,PDGFRb
1032.052632,262.0263158,Mutant1,1,PDGFRb
1042.125,264.125,Mutant1,1,PDGFRb
1046.578947,268.1052632,Mutant1,1,PDGFRb
1033.807018,268.5438596,Mutant1,1,PDGFRb
1041.571429,268.3214286,Mutant1,1,PDGFRb
1058.9375,269.1875,Mutant1,1,PDGFRb
1033.917526,276.1649485,Mutant1,1,PDGFRb
1383.48913,272.1086957,Mutant1,1,PDGFRb
1390.652778,276.5694444,Mutant1,1,PDGFRb
1048.309677,276.7290323,Mutant1,1,PDGFRb
1246.933333,277.8,Mutant1,1,PDGFRb
1069.765217,280.0956522,Mutant1,1,PDGFRb
1094.117647,283.7647059,Mutant1,1,PDGFRb
1397.197674,282.3953488,Mutant1,1,PDGFRb
1405.234043,283.4255319,Mutant1,1,PDGFRb
1077.241935,285.1935484,Mutant1,1,PDGFRb
1242.983871,283.1451613,Mutant1,1,PDGFRb
1042.523529,287.4764706,Mutant1,1,PDGFRb
1235.710526,283.5614035,Mutant1,1,PDGFRb
1129.133333,286.6,Mutant1,1,PDGFRb
1246.25,288.0909091,Mutant1,1,PDGFRb
1370.796117,286.3495146,Mutant1,1,PDGFRb
1409.452381,287.452381,Mutant1,1,PDGFRb
1054.898551,287.7681159,Mutant1,1,PDGFRb
1081.265625,288.78125,Mutant1,1,PDGFRb
1377.875,286.55,Mutant1,1,PDGFRb
1414.9,289.92,Mutant1,1,PDGFRb
1236.1,290.7,Mutant1,1,PDGFRb
1382.393939,289.5,Mutant1,1,PDGFRb
1249.826087,291.7826087,Mutant1,1,PDGFRb
1064.977273,291.5909091,Mutant1,1,PDGFRb
1038.35,293.5,Mutant1,1,PDGFRb
1240.382353,295.4117647,Mutant1,1,PDGFRb
1268.422018,291.146789,Mutant1,1,PDGFRb
1407.75,292.625,Mutant1,1,PDGFRb
1419.552632,293.8421053,Mutant1,1,PDGFRb
1182.909091,293.6363636,Mutant1,1,PDGFRb
1131.22,292.78,Mutant1,1,PDGFRb
1277.632432,293.8,Mutant1,1,PDGFRb
1036.744186,299.2790698,Mutant1,1,PDGFRb
1106.111111,296.1111111,Mutant1,1,PDGFRb
