X,Y,Sample,Section,Cell Type
0,0,Mutant1,2,UEA1
0,6000,Mutant1,2,UEA1
6000,0,Mutant1,2,UEA1
6000,6000,Mutant1,2,UEA1
1278.654762,165.2619048,Mutant1,2,UEA1
1287.677419,165,Mutant1,2,UEA1
1285.125,171.125,Mutant1,2,UEA1
1281.5,172,Mutant1,2,UEA1
1271.163636,172.2727273,Mutant1,2,UEA1
1263.06,176.94,Mutant1,2,UEA1
1257.396825,182.9206349,Mutant1,2,UEA1
1272.317829,181.620155,Mutant1,2,UEA1
1248.990099,185,Mutant1,2,UEA1
1279.901099,184.4395604,Mutant1,2,UEA1
1264.615385,189.5811966,Mutant1,2,UEA1
1287.294737,188.1473684,Mutant1,2,UEA1
1214.615385,189.2307692,Mutant1,2,UEA1
1310.3125,188.0625,Mutant1,2,UEA1
1208.517857,189.0535714,Mutant1,2,UEA1
1251.391304,190.7826087,Mutant1,2,UEA1
1255,192,Mutant1,2,UEA1
1312.37931,194.8534483,Mutant1,2,UEA1
1220.289474,191.6842105,Mutant1,2,UEA1
1293.185185,192.5555556,Mutant1,2,UEA1
1198.818182,193.5454545,Mutant1,2,UEA1
1227.730769,192.0897436,Mutant1,2,UEA1
1246.807692,193.4230769,Mutant1,2,UEA1
1281.931034,194.4137931,Mutant1,2,UEA1
1237.637037,192.5037037,Mutant1,2,UEA1
1276.316667,195.65,Mutant1,2,UEA1
1216.119048,195.1666667,Mutant1,2,UEA1
1241.416667,197.2708333,Mutant1,2,UEA1
1270.179487,196.1923077,Mutant1,2,UEA1
1325.3,197.2,Mutant1,2,UEA1
1211.215686,196.3137255,Mutant1,2,UEA1
1204.02,195.76,Mutant1,2,UEA1
1225.734043,199.393617,Mutant1,2,UEA1
1288.448819,200.5748032,Mutant1,2,UEA1
1254.653226,198.6854839,Mutant1,2,UEA1
1296.555556,199.4814815,Mutant1,2,UEA1
1198.195402,201.2758621,Mutant1,2,UEA1
1209.06,201.96,Mutant1,2,UEA1
1283.138686,206.6277372,Mutant1,2,UEA1
1243.5,204.3684211,Mutant1,2,UEA1
1249.381818,203.1454545,Mutant1,2,UEA1
1268.152542,203.7966102,Mutant1,2,UEA1
1220.25,204.9375,Mutant1,2,UEA1
1298.713287,209.020979,Mutant1,2,UEA1
1258.289474,205.2631579,Mutant1,2,UEA1
1227.166667,207.8125,Mutant1,2,UEA1
1239.55814,207.4651163,Mutant1,2,UEA1
1248.305556,210.7361111,Mutant1,2,UEA1
1341.546667,209.2666667,Mutant1,2,UEA1
1211.130435,207.5217391,Mutant1,2,UEA1
1232.404255,209.6702128,Mutant1,2,UEA1
1257.5,211,Mutant1,2,UEA1
1263.222222,207.462963,Mutant1,2,UEA1
1220.333333,212.4393939,Mutant1,2,UEA1
1200.844828,211.7758621,Mutant1,2,UEA1
1273.650943,210.745283,Mutant1,2,UEA1
1211.826667,215.28,Mutant1,2,UEA1
1201.571429,221.647619,Mutant1,2,UEA1
1262.649123,214.6491228,Mutant1,2,UEA1
1242.129496,216.7266187,Mutant1,2,UEA1
1272.886269,233.3134535,Mutant1,2,UEA1
1304.083333,217.0416667,Mutant1,2,UEA1
1308,216.5,Mutant1,2,UEA1
1283.264706,218.6470588,Mutant1,2,UEA1
1288.365079,217.2063492,Mutant1,2,UEA1
1210,221.4390244,Mutant1,2,UEA1
1222.898305,218.1864407,Mutant1,2,UEA1
1231.421053,219.7631579,Mutant1,2,UEA1
1267.967742,219.3548387,Mutant1,2,UEA1
1296.164706,219.2941176,Mutant1,2,UEA1
1337.666667,220,Mutant1,2,UEA1
1256.223529,220.8235294,Mutant1,2,UEA1
1234.842105,229.2315789,Mutant1,2,UEA1
1241.438356,230.239726,Mutant1,2,UEA1
