ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1241.20547945,193.452054795,1
1,2,1263.01785714,190.178571429,2
1,3,1234.75,193.178571429,3
1,4,1249.80555556,192.333333333,4
1,5,1216.34375,196.296875,5
1,6,1206.70588235,193.823529412,6
1,7,1258.50847458,194.711864407,7
1,8,1227.03846154,194.269230769,8
1,9,1269.62711864,193.796610169,9
1,10,1178.74074074,198.703703704,10
1,11,1222.93975904,201.228915663,11
1,12,1206.42857143,198.142857143,12
1,13,1211.4,197.371428571,13
1,14,1199.86746988,198.072289157,14
1,15,1211.1954023,204.195402299,15
1,16,1201.96969697,205.484848485,16
1,17,1219.19148936,208.70212766,17
1,18,1207.99382716,213.827160494,18
1,19,1217.65517241,215.896551724,19
1,20,1192.88,219.533333333,20
1,21,1201.16666667,219.833333333,21
1,22,1218.48148148,220.185185185,22
1,23,1173.2745098,222.676470588,23
1,24,1186.22727273,221.909090909,24
1,25,1194.71698113,225.867924528,25
1,26,1200.73684211,224.526315789,26
1,27,1182.19047619,225.0,27
1,28,1165.36842105,227.526315789,28
1,29,1216.06122449,227.530612245,29
1,30,1224.08695652,228.043478261,30
1,31,1172.2,232.569230769,31
1,32,1179.1754386,231.596491228,32
1,33,1221.44827586,234.465517241,33
1,34,1222.98113208,239.867924528,34
1,35,1177.25396825,239.714285714,35
1,36,1217.70833333,246.222222222,36
1,37,1171.81481481,246.185185185,37
1,38,1225.4516129,263.967741935,38
1,39,1212.07936508,263.126984127,39
1,40,1231.88571429,265.114285714,40
1,41,1243.775,265.175,41
1,42,1203.77142857,268.771428571,42
1,43,1210.51162791,269.395348837,43
1,44,1199.10526316,271.078947368,44
1,45,1176.88888889,271.277777778,45
1,46,1217.60264901,273.158940397,46
1,47,1228.0,270.169230769,47
1,48,1184.59090909,272.727272727,48
1,49,1192.10714286,271.571428571,49
1,50,1208.37931034,275.362068966,50
1,51,1239.53710247,273.908127208,51
1,52,1268.96551724,276.206896552,52
1,53,1291.45454545,276.181818182,53
1,54,1195.140625,276.765625,54
1,55,1280.6,278.0,55
1,56,1187.83870968,279.64516129,56
1,57,1203.58974359,282.820512821,57
1,58,1222.38709677,279.516129032,58
1,59,1210.47368421,283.078947368,59
1,60,1225.75,282.25,60
1,61,1247.68852459,282.245901639,61
1,62,1282.875,282.208333333,62
1,63,1236.15277778,282.055555556,63
1,64,1256.94690265,281.991150442,64
1,65,1191.92708333,287.3125,65
1,66,1291.0,286.0,66
1,67,1177.94897959,286.724489796,67
1,68,1198.31914894,287.340425532,68
1,69,1210.06896552,289.620689655,69
1,70,1236.63636364,286.613636364,70
1,71,1182.32539683,287.920634921,71
1,72,1222.91666667,288.444444444,72
