ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1193.33484163,86.4298642534,1
1,2,1169.49107143,81.2075892857,2
1,3,1211.42927632,94.3963815789,3
1,4,1156.10152284,96.9390862944,4
1,5,1244.41132479,110.439102564,5
1,6,1138.24465558,102.836104513,6
1,7,1181.56062767,100.184022825,7
1,8,1201.43,106.43,8
1,9,1123.8989547,115.156794425,9
1,10,1221.54940711,113.901185771,10
1,11,1162.17788462,115.947115385,11
1,12,1141.22619048,114.648809524,12
1,13,1177.98418972,118.675889328,13
1,14,1106.23783784,120.986486486,14
1,15,1278.73894437,139.542082739,15
1,16,1143.53550296,125.384615385,16
1,17,1194.18947368,130.497894737,17
1,18,1097.68831169,133.080519481,18
1,19,1217.84848485,135.262032086,19
1,20,1239.30147059,130.737745098,20
1,21,1169.96666667,138.241025641,21
1,22,1261.04477612,136.597014925,22
1,23,1081.40740741,139.64983165,23
1,24,1155.7063197,135.286245353,24
1,25,1251.71159875,141.294670846,25
1,26,1196.60891089,150.01980198,26
1,27,1150.05445545,146.133663366,27
1,28,1145.12385321,151.871559633,28
1,29,1209.58759124,151.784671533,29
1,30,1230.45378151,149.226890756,30
1,31,1088.83695652,152.445652174,31
1,32,1266.66363636,152.081818182,32
1,33,1062.49183477,167.18443804,33
1,34,1120.50167973,146.163493841,34
1,35,1103.57827476,156.392971246,35
1,36,1079.89473684,160.385964912,36
1,37,1301.66961652,160.598820059,37
1,38,1250.12621359,158.770226537,38
1,39,1219.21264368,164.235632184,39
1,40,1135.9,162.92,40
1,41,1186.28197674,162.293604651,41
1,42,1270.27007299,164.98540146,42
1,43,1207.63824289,173.240310078,43
1,44,1234.11428571,158.710714286,44
1,45,1127.94674556,168.053254438,45
1,46,1318.2992126,178.74015748,46
1,47,1095.88040712,169.776081425,47
1,48,1244.58273381,171.165467626,48
1,49,1144.6996124,172.153100775,49
1,50,1168.63068182,168.670454545,50
1,51,1283.790625,169.98125,51
1,52,1197.64327485,178.0,52
1,53,1080.70408163,178.210884354,53
1,54,1113.02808989,175.56741573,54
1,55,1223.73714286,176.028571429,55
1,56,1237.25416667,181.516666667,56
1,57,1258.8076225,181.021778584,57
1,58,1187.38636364,182.977272727,58
1,59,1221.22,195.362,59
1,60,1269.55633803,189.190140845,60
1,61,1293.60397554,188.677370031,61
1,62,1157.35051546,189.508591065,62
1,63,1103.21212121,190.0,63
1,64,1088.14393939,200.026515152,64
1,65,1190.03839122,191.248628885,65
1,66,1074.13157895,191.641447368,66
1,67,1337.71520343,196.691648822,67
1,68,1171.19230769,196.532051282,68
1,69,1236.87407407,196.22962963,69
1,70,1115.55172414,199.021551724,70
1,71,1133.99500832,190.945091514,71
1,72,1279.0462963,199.685185185,72
1,73,1064.91970803,201.131386861,73
1,74,1315.51340996,198.731800766,74
1,75,1247.45432099,203.125925926,75
1,76,1196.76344086,203.97311828,76
1,77,1292.40123457,202.635802469,77
1,78,1262.28333333,203.788888889,78
1,79,1135.69911504,205.796460177,79
1,80,1048.79310345,205.387931034,80
1,81,1160.10810811,205.328828829,81
1,82,1177.27472527,206.17032967,82
1,83,1355.20422535,213.295774648,83
1,84,1122.26410835,213.478555305,84
1,85,1149.29015544,212.062176166,85
1,86,1190.26633166,212.296482412,86
1,87,1346.0733945,213.706422018,87
1,88,1271.37951807,212.024096386,88
1,89,1325.16104869,211.4082397,89
1,90,1337.9122807,216.921052632,90
1,91,1259.81666667,214.958333333,91
1,92,1097.11270492,218.096311475,92
1,93,1288.06693712,216.22515213,93
1,94,1169.9296875,218.625,94
1,95,1303.46955128,224.685897436,95
1,96,1051.29496403,224.920863309,96
1,97,1065.84692597,219.872020075,97
1,98,1145.68656716,222.197014925,98
1,99,1275.33802817,227.873239437,99
1,100,1088.2,229.427906977,100
1,101,1357.48262548,233.046332046,101
1,102,1125.38064516,231.393548387,102
1,103,1321.58157895,236.589473684,103
1,104,1372.31972789,240.063492063,104
1,105,1050.08333333,236.255952381,105
1,106,1152.93877551,235.591836735,106
1,107,1344.19270833,231.21875,107
1,108,1081.82394366,239.556338028,108
1,109,1164.79012346,238.185185185,109
1,110,1103.47674419,239.963178295,110
1,111,1353.28857143,252.908571429,111
1,112,1121.13703704,248.025925926,112
1,113,1057.02702703,247.175675676,113
1,114,1087.89655172,249.974137931,114
1,115,1319.56171285,256.911838791,115
1,116,1386.17045455,251.920454545,116
1,117,1336.01694915,253.322033898,117
1,118,1085.19918699,260.678861789,118
1,119,1111.54385965,257.078947368,119
1,120,1395.77272727,258.727272727,120
1,121,1290.17040359,255.00896861,121
1,122,1066.46043165,262.942446043,122
1,123,1377.17741935,263.870967742,123
1,124,1299.97979798,266.257575758,124
1,125,1403.72857143,266.778571429,125
1,126,1051.74618321,266.013358779,126
1,127,1100.76957494,269.96196868,127
1,128,1390.85350318,271.777070064,128
1,129,1321.15291262,274.317961165,129
