ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1136.77586207,72.7413793103,1
1,2,1159.5,74.375,2
1,3,1165.69767442,75.6046511628,3
1,4,1123.04761905,74.5555555556,4
1,5,1142.07407407,77.8888888889,5
1,6,1146.41176471,77.1176470588,6
1,7,1153.35087719,79.0,7
1,8,1133.18461538,79.4615384615,8
1,9,1161.3,83.9,9
1,10,1114.56976744,85.3953488372,10
1,11,1232.0,90.5,11
1,12,1125.07936508,87.3492063492,12
1,13,1120.75609756,95.3902439024,13
1,14,1108.15873016,93.0476190476,14
1,15,1103.48148148,97.462962963,15
1,16,1098.31428571,99.9142857143,16
1,17,1116.875,99.6666666667,17
1,18,1095.26027397,105.684931507,18
1,19,1123.06382979,119.808510638,19
1,20,1095.96428571,124.285714286,20
1,21,1091.98181818,132.481818182,21
1,22,1245.04444444,168.6,22
1,23,1242.89189189,173.783783784,23
1,24,1332.609375,176.78125,24
1,25,1325.77419355,180.806451613,25
1,26,1169.36538462,206.096153846,26
1,27,1281.25490196,211.450980392,27
1,28,1261.60416667,213.708333333,28
1,29,1351.5,217.0,29
1,30,1352.0,221.0,30
1,31,1347.19565217,223.673913043,31
1,32,1117.98076923,227.153846154,32
1,33,1125.67857143,254.0,33
1,34,1342.29032258,254.419354839,34
1,35,1239.73913043,257.52173913,35
1,36,1345.97058824,257.970588235,36
1,37,1409.47916667,266.145833333,37
1,38,1170.5,270.083333333,38
1,39,1274.40740741,272.740740741,39
1,40,1426.72916667,288.875,40
1,41,1198.5,294.5,41
1,42,1192.70588235,297.264705882,42
1,43,1229.61403509,297.649122807,43
1,44,1283.70588235,298.823529412,44
1,45,1189.4516129,302.161290323,45
1,46,1198.33684211,301.831578947,46
1,47,1408.22222222,307.222222222,47
1,48,1070.98648649,310.878378378,48
1,49,1200.96153846,309.230769231,49
1,50,1413.5,309.5,50
1,51,1080.91139241,310.569620253,51
1,52,1062.10869565,317.239130435,52
1,53,1202.72222222,320.648148148,53
1,54,1169.62790698,333.488372093,54
1,55,1311.68181818,334.272727273,55
1,56,1162.11111111,336.388888889,56
1,57,1205.86956522,337.52173913,57
1,58,1083.5625,343.020833333,58
1,59,1138.94444444,350.777777778,59
1,60,1456.18548387,351.669354839,60
1,61,1144.85185185,354.0,61
1,62,1449.86363636,360.409090909,62
1,63,1454.05882353,361.323529412,63
1,64,1403.5,362.1,64
1,65,1351.21818182,366.872727273,65
1,66,1450.515625,367.90625,66
1,67,1349.66666667,375.0,67
1,68,1354.26829268,375.707317073,68
1,69,1448.3968254,380.571428571,69
1,70,1351.54761905,382.428571429,70
1,71,1356.63636364,381.636363636,71
1,72,1446.46511628,387.534883721,72
1,73,1491.30769231,386.846153846,73
1,74,1052.16216216,390.324324324,74
1,75,1355.48,390.84,75
1,76,1258.29268293,393.341463415,76
1,77,1195.34883721,403.046511628,77
1,78,1369.68888889,416.911111111,78
1,79,1087.5,420.708333333,79
1,80,1405.12727273,422.836363636,80
1,81,1373.95,421.75,81
1,82,1399.68421053,423.894736842,82
1,83,1395.78571429,428.047619048,83
1,84,1379.0,427.35483871,84
1,85,1477.39726027,433.205479452,85
1,86,1381.46428571,435.428571429,86
1,87,1389.18181818,432.242424242,87
1,88,1400.9137931,434.112068966,88
1,89,1385.97368421,437.0,89
1,90,1449.18309859,437.253521127,90
1,91,1391.08695652,440.282608696,91
1,92,1470.05405405,440.459459459,92
1,93,1462.0,442.5,93
1,94,1456.49019608,441.980392157,94
1,95,1538.85,441.45,95
1,96,1540.52,447.08,96
1,97,1541.53846154,449.615384615,97
1,98,1542.90909091,451.818181818,98
1,99,1543.77659574,459.234042553,99
1,100,1546.11538462,464.692307692,100
1,101,1543.6875,470.25,101
1,102,1287.17142857,479.085714286,102
1,103,1115.15217391,480.391304348,103
1,104,1122.36666667,480.866666667,104
1,105,1526.66666667,480.133333333,105
1,106,1535.54761905,483.857142857,106
1,107,1289.45454545,483.772727273,107
1,108,1523.89655172,487.034482759,108
1,109,1288.19354839,488.741935484,109
1,110,1205.0,488.632352941,110
1,111,1040.26190476,490.142857143,111
1,112,1033.34375,493.4375,112
1,113,1479.86666667,494.366666667,113
1,114,1529.92592593,493.092592593,114
1,115,1039.5483871,498.387096774,115
1,116,1477.64285714,499.107142857,116
1,117,1287.72972973,498.891891892,117
1,118,1415.25,498.6,118
1,119,1044.75,502.125,119
1,120,1475.31578947,504.315789474,120
1,121,1250.75609756,508.975609756,121
1,122,1244.43181818,510.636363636,122
1,123,1467.87368421,510.536842105,123
1,124,1251.74137931,515.068965517,124
1,125,1457.97619048,522.869047619,125
1,126,1545.27586207,522.586206897,126
1,127,1592.34090909,531.886363636,127
1,128,1050.65432099,532.87654321,128
