ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1260.34375,242.21875,1
1,2,1271.95555556,252.488888889,2
1,3,1311.1,254.7,3
1,4,1248.38095238,262.428571429,4
1,5,1280.98666667,262.44,5
1,6,1301.7826087,257.420289855,6
1,7,1334.80769231,264.884615385,7
1,8,1287.35,267.175,8
1,9,1313.07518797,265.84962406,9
1,10,1303.31914894,267.141843972,10
1,11,1325.93939394,271.272727273,11
1,12,1318.21649485,274.494845361,12
1,13,1278.27272727,272.354545455,13
1,14,1269.18,275.9,14
1,15,1289.92857143,275.142857143,15
1,16,1294.79166667,271.5625,16
1,17,1251.5,275.8125,17
1,18,1283.76595745,281.042553191,18
1,19,1296.41666667,280.083333333,19
1,20,1303.98630137,279.123287671,20
1,21,1310.24285714,281.157142857,21
1,22,1318.01481481,286.525925926,22
1,23,1273.1,287.657142857,23
1,24,1287.33333333,289.888888889,24
1,25,1299.45751634,291.87254902,25
1,26,1282.85714286,291.333333333,26
1,27,1240.8,293.333333333,27
1,28,1233.29824561,295.210526316,28
1,29,1248.09090909,296.863636364,29
1,30,1215.925,299.6875,30
1,31,1225.74193548,301.107526882,31
1,32,1308.89285714,300.330357143,32
1,33,1302.3125,300.3125,33
1,34,1331.0,301.606060606,34
1,35,1240.22277228,304.707920792,35
1,36,1294.49253731,304.23880597,36
1,37,1324.22033898,304.796610169,37
1,38,1222.984375,317.296875,38
1,39,1274.13142857,317.691428571,39
1,40,1227.3125,321.46875,40
1,41,1266.25,322.375,41
1,42,1280.14705882,325.470588235,42
1,43,1281.2,337.0,43
1,44,1277.34285714,344.228571429,44
1,45,1311.5,369.777777778,45
1,46,1391.93333333,372.6,46
1,47,1424.375,787.892857143,47
1,48,1412.15686275,827.588235294,48
1,49,1378.12765957,842.925531915,49
1,50,1391.05263158,851.315789474,50
1,51,1396.0,851.5,51
1,52,1382.21052632,851.684210526,52
1,53,1397.59615385,863.384615385,53
1,54,1375.07407407,862.111111111,54
1,55,1385.1728972,860.757009346,55
1,56,1391.71428571,865.214285714,56
1,57,1373.6,866.36,57
1,58,1402.18918919,866.351351351,58
1,59,1412.71428571,865.857142857,59
1,60,1375.47619048,869.952380952,60
