ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1252.79591837,210.979591837,1
1,2,1249.4,221.64,2
1,3,1199.11111111,227.222222222,3
1,4,1203.88461538,228.076923077,4
1,5,1252.94594595,232.378378378,5
1,6,1191.57142857,232.857142857,6
1,7,1170.53333333,233.733333333,7
1,8,1184.51724138,229.775862069,8
1,9,1202.66666667,232.947368421,9
1,10,1219.96641791,231.220149254,10
1,11,1242.14545455,232.909090909,11
1,12,1234.58196721,234.098360656,12
1,13,1179.01433692,239.655913978,13
1,14,1244.75,242.890625,14
1,15,1191.61904762,242.333333333,15
1,16,1215.59322034,240.847457627,16
1,17,1229.17105263,242.171052632,17
1,18,1208.91911765,241.360294118,18
1,19,1222.18571429,246.342857143,19
1,20,1238.84615385,245.0,20
1,21,1170.70666667,249.213333333,21
1,22,1184.74545455,247.309090909,22
1,23,1199.86363636,242.649350649,23
1,24,1215.91891892,248.567567568,24
1,25,1235.5,246.0,25
1,26,1229.52777778,249.277777778,26
1,27,1242.66666667,248.416666667,27
1,28,1250.17777778,247.088888889,28
1,29,1262.69886364,247.034090909,29
1,30,1191.77586207,253.0,30
1,31,1254.04,250.16,31
1,32,1200.04918033,255.680327869,32
1,33,1263.94059406,256.762376238,33
1,34,1186.48148148,255.444444444,34
1,35,1225.54491018,257.988023952,35
1,36,1236.42276423,254.008130081,36
1,37,1210.33333333,258.245283019,37
1,38,1170.79411765,257.441176471,38
1,39,1284.33333333,257.111111111,39
1,40,1175.0,257.5,40
1,41,1163.7,260.133333333,41
1,42,1249.53043478,256.139130435,42
1,43,1241.76829268,261.170731707,43
1,44,1169.6,262.6,44
1,45,1272.04545455,260.818181818,45
1,46,1255.77241379,263.537931034,46
1,47,1280.32051282,263.397435897,47
1,48,1264.36111111,265.5,48
1,49,1217.52727273,264.581818182,49
1,50,1223.47619048,265.904761905,50
1,51,1272.0,266.0,51
1,52,1203.89473684,267.947368421,52
1,53,1194.98245614,267.096491228,53
1,54,1179.0,268.555555556,54
1,55,1241.50980392,267.62745098,55
1,56,1211.69387755,268.326530612,56
1,57,1233.19565217,268.913043478,57
1,58,1258.2972973,271.243243243,58
1,59,1182.1969697,272.318181818,59
1,60,1218.275,272.125,60
1,61,1224.98492462,278.984924623,61
1,62,1193.94117647,276.176470588,62
1,63,1245.75438596,272.280701754,63
1,64,1287.96296296,274.689814815,64
1,65,1211.3697479,276.445378151,65
1,66,1271.90184049,272.245398773,66
1,67,1233.03225806,276.822580645,67
1,68,1244.1375,279.6625,68
1,69,1252.32894737,275.815789474,69
1,70,1236.33962264,282.094339623,70
1,71,1302.57142857,279.357142857,71
1,72,1309.05128205,281.794871795,72
1,73,1191.75,282.6875,73
1,74,1206.28125,281.375,74
1,75,1159.93251534,284.196319018,75
1,76,1273.53977273,283.289772727,76
1,77,1213.35294118,284.431372549,77
1,78,1262.71532847,282.678832117,78
1,79,1311.84210526,288.789473684,79
1,80,1209.82258065,288.494623656,80
1,81,1238.46428571,287.964285714,81
1,82,1268.7,291.45,82
1,83,1171.57575758,291.363636364,83
1,84,1179.14592275,288.223175966,84
1,85,1298.54065041,286.020325203,85
1,86,1162.375,293.920454545,86
1,87,1289.37894737,291.431578947,87
1,88,1201.72131148,293.557377049,88
1,89,1255.53586498,289.713080169,89
1,90,1278.29842932,295.146596859,90
1,91,1186.64035088,294.302631579,91
1,92,1195.03225806,293.451612903,92
1,93,1198.75,295.4375,93
1,94,1298.54901961,296.0,94
1,95,1214.72131148,296.426229508,95
1,96,1228.8547486,294.106145251,96
1,97,1244.65873016,295.507936508,97
1,98,1315.95238095,296.761904762,98
1,99,1189.62745098,302.558823529,99
1,100,1289.4,300.823529412,100
