ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1434.64,557.76,1
1,2,1458.09090909,561.484848485,2
1,3,1365.36666667,579.366666667,3
1,4,1451.5862069,581.413793103,4
1,5,1424.97058824,583.794117647,5
1,6,1391.21428571,594.5,6
1,7,1381.0,603.193548387,7
1,8,1335.33333333,604.875,8
1,9,1315.66666667,614.875,9
1,10,1153.07142857,617.357142857,10
1,11,1324.52941176,616.647058824,11
1,12,1317.33333333,621.5,12
1,13,1245.8,626.0,13
1,14,1358.71428571,627.5,14
1,15,1475.74074074,634.074074074,15
1,16,1244.125,643.333333333,16
1,17,1500.95238095,643.80952381,17
1,18,1214.11764706,649.588235294,18
1,19,1223.66666667,654.142857143,19
1,20,1229.92857143,653.142857143,20
1,21,1471.8,655.0,21
1,22,1504.24,655.2,22
1,23,1362.03846154,656.615384615,23
1,24,1319.39130435,660.782608696,24
1,25,1277.39393939,663.484848485,25
1,26,1516.76,662.96,26
1,27,1223.18181818,663.696969697,27
1,28,1209.26666667,665.4,28
1,29,1534.0,666.5,29
1,30,1423.38235294,669.117647059,30
1,31,1446.0,671.0,31
1,32,1419.5,678.222222222,32
1,33,1311.17241379,679.896551724,33
1,34,1364.5,680.1875,34
1,35,1370.08333333,682.083333333,35
1,36,1498.19047619,686.142857143,36
1,37,1196.0,686.5,37
1,38,1421.0,687.173913043,38
1,39,1298.4,688.96,39
1,40,1319.9375,691.09375,40
1,41,1327.0,695.142857143,41
1,42,1331.13333333,695.6,42
1,43,1231.0,695.696969697,43
1,44,1487.44827586,695.689655172,44
1,45,1294.51724138,697.827586207,45
1,46,1300.90909091,697.909090909,46
1,47,1309.34782609,698.913043478,47
1,48,1533.57142857,702.619047619,48
1,49,1378.5,708.0,49
1,50,1486.10344828,707.965517241,50
1,51,1351.72413793,714.413793103,51
1,52,1496.5,723.5,52
1,53,1413.09090909,725.090909091,53
1,54,1353.53333333,726.133333333,54
1,55,1491.5,732.5,55
1,56,1315.95238095,740.19047619,56
1,57,1277.46666667,747.133333333,57
1,58,1246.55555556,752.333333333,58
1,59,1255.22222222,756.5,59
1,60,1403.24,759.96,60
1,61,1419.04,761.6,61
1,62,1429.7826087,764.913043478,62
1,63,1303.44,769.92,63
1,64,1307.58333333,780.041666667,64
1,65,1372.36363636,788.666666667,65
1,66,1277.17391304,791.0,66
1,67,1403.5,791.714285714,67
1,68,1300.5,795.785714286,68
1,69,1482.9,797.05,69
1,70,1322.09090909,800.909090909,70
1,71,1402.89285714,812.928571429,71
1,72,1413.66666667,817.822222222,72
1,73,1335.88888889,828.277777778,73
1,74,1373.69230769,828.0,74
1,75,1360.21428571,837.5,75
1,76,1193.08695652,874.434782609,76
1,77,1258.5,883.0,77
1,78,1183.56521739,903.173913043,78
1,79,1491.5,907.0,79
1,80,1243.5,916.0,80
1,81,1011.33333333,957.703703704,81
1,82,1243.14285714,967.523809524,82
1,83,1462.22222222,1076.5,83
1,84,1440.06666667,1080.23333333,84
1,85,1521.0,1087.0,85
