ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1145.39130435,328.971014493,1
1,2,1132.12820513,338.743589744,2
1,3,1122.26086957,341.608695652,3
1,4,1136.70909091,342.581818182,4
1,5,1128.36585366,343.829268293,5
1,6,1156.6875,346.9375,6
1,7,1121.54545455,349.181818182,7
1,8,1163.06666667,349.4,8
1,9,1130.1875,356.625,9
1,10,1124.78571429,360.178571429,10
1,11,1137.77777778,360.333333333,11
1,12,1131.13953488,362.744186047,12
1,13,1154.58823529,364.117647059,13
1,14,1136.81395349,365.465116279,14
1,15,1150.06818182,369.090909091,15
1,16,1161.46376812,368.782608696,16
1,17,1291.06060606,490.348484848,17
1,18,1280.66071429,493.714285714,18
1,19,1194.9375,532.6875,19
1,20,1190.5,540.285714286,20
1,21,1193.91304348,540.608695652,21
1,22,1352.08333333,556.083333333,22
1,23,1361.68627451,558.31372549,23
1,24,1348.67088608,562.493670886,24
1,25,1321.58823529,566.882352941,25
1,26,1336.15625,566.8125,26
1,27,1330.625,571.90625,27
1,28,1340.54545455,572.818181818,28
1,29,1311.71428571,578.142857143,29
1,30,1321.625,582.625,30
1,31,1332.08333333,583.083333333,31
1,32,1294.6,585.1,32
1,33,1338.58064516,586.064516129,33
1,34,1249.86538462,589.884615385,34
1,35,1315.94736842,590.315789474,35
1,36,1311.57142857,591.857142857,36
1,37,1299.23333333,592.266666667,37
1,38,1243.77419355,593.451612903,38
1,39,1341.36363636,593.454545455,39
1,40,1305.28813559,593.728813559,40
1,41,1334.79411765,594.941176471,41
1,42,1351.75,595.9375,42
1,43,1233.76923077,604.384615385,43
1,44,1322.06451613,605.451612903,44
1,45,1306.61607143,608.982142857,45
1,46,1310.33333333,615.733333333,46
1,47,1317.85714286,615.571428571,47
1,48,1222.32727273,616.490909091,48
1,49,1229.33333333,617.111111111,49
1,50,1322.5862069,617.586206897,50
1,51,1319.15789474,620.973684211,51
1,52,1216.33333333,622.388888889,52
1,53,1264.71153846,624.153846154,53
1,54,1278.59016393,623.245901639,54
1,55,1298.42222222,623.8,55
1,56,1305.61904762,625.523809524,56
1,57,1320.0,626.5,57
1,58,1227.09836066,630.229508197,58
1,59,1314.56521739,631.0,59
1,60,1238.36363636,631.136363636,60
1,61,1294.04545455,630.818181818,61
1,62,1220.08333333,631.083333333,62
1,63,1202.21621622,634.891891892,63
1,64,1304.80769231,633.307692308,64
1,65,1311.78125,635.125,65
1,66,1223.85714286,636.571428571,66
1,67,1277.41666667,635.783333333,67
1,68,1319.68292683,635.048780488,68
1,69,1331.25396825,634.841269841,69
1,70,1300.13333333,637.466666667,70
1,71,1208.53448276,638.706896552,71
1,72,1215.22222222,638.111111111,72
1,73,1236.97959184,638.224489796,73
1,74,1272.62962963,638.222222222,74
1,75,1229.85714286,640.196428571,75
1,76,1218.26666667,640.6,76
1,77,1322.34375,639.6875,77
1,78,1361.13333333,639.733333333,78
1,79,1261.03125,642.5,79
1,80,1277.0,641.88,80
1,81,1251.78571429,644.214285714,81
1,82,1219.52173913,644.782608696,82
1,83,1303.08571429,645.857142857,83
1,84,1213.13513514,644.648648649,84
1,85,1222.38095238,649.333333333,85
1,86,1237.68421053,647.684210526,86
1,87,1269.45098039,647.0,87
1,88,1263.9375,650.71875,88
1,89,1230.0952381,650.19047619,89
1,90,1258.10714286,650.410714286,90
1,91,1301.43333333,652.466666667,91
1,92,1354.4,652.92,92
1,93,1252.35897436,654.384615385,93
1,94,1211.80821918,654.945205479,94
1,95,1240.4,656.4,95
1,96,1267.88372093,656.023255814,96
1,97,1280.03478261,656.513043478,97
1,98,1271.72222222,657.666666667,98
1,99,1286.4,657.8,99
1,100,1234.78125,658.03125,100
1,101,1245.53125,658.3125,101
1,102,1260.97727273,658.409090909,102
1,103,1215.18181818,662.015151515,103
1,104,1254.77419355,661.629032258,104
1,105,1296.95744681,660.914893617,105
1,106,1263.23529412,662.647058824,106
1,107,1309.52727273,659.381818182,107
1,108,1243.55769231,664.269230769,108
1,109,1330.04761905,664.738095238,109
1,110,1272.44,665.24,110
1,111,1306.22222222,666.962962963,111
1,112,1242.5,669.392857143,112
1,113,1294.72222222,667.972222222,113
1,114,1300.5,668.0,114
1,115,1286.08571429,670.514285714,115
1,116,1198.92857143,668.857142857,116
1,117,1203.73529412,669.352941176,117
1,118,1238.88888889,672.111111111,118
1,119,1270.93333333,671.966666667,119
1,120,1291.16216216,674.702702703,120
1,121,1381.51219512,673.487804878,121
1,122,1203.71428571,675.095238095,122
1,123,1298.15189873,675.949367089,123
1,124,1378.66666667,677.111111111,124
1,125,1266.07142857,678.410714286,125
1,126,1363.31067961,678.669902913,126
1,127,1181.6375,679.7375,127
1,128,1201.4,678.6,128
1,129,1244.47540984,678.278688525,129
1,130,1322.63888889,679.388888889,130
1,131,1133.0,680.3,131
1,132,1145.21428571,680.285714286,132
