ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1204.43529412,141.094117647,1
1,2,1210.03333333,135.6,2
1,3,1215.08849558,139.115044248,3
1,4,1222.31707317,138.902439024,4
1,5,1197.97727273,145.511363636,5
1,6,1227.17021277,140.829787234,6
1,7,1231.77777778,142.066666667,7
1,8,1236.0,145.253333333,8
1,9,1242.75609756,144.463414634,9
1,10,1184.06896552,148.413793103,10
1,11,1191.45454545,147.613636364,11
1,12,1206.14705882,150.029411765,12
1,13,1247.83076923,147.4,13
1,14,1213.64705882,147.411764706,14
1,15,1228.04878049,149.12195122,15
1,16,1253.71428571,149.321428571,16
1,17,1239.28070175,152.087719298,17
1,18,1176.72727273,150.696969697,18
1,19,1184.15789474,155.421052632,19
1,20,1192.82653061,154.367346939,20
1,21,1252.09090909,154.727272727,21
1,22,1171.39130435,156.391304348,22
1,23,1217.63225806,151.483870968,23
1,24,1227.21472393,158.282208589,24
1,25,1169.64864865,161.972972973,25
1,26,1204.23703704,159.081481481,26
1,27,1213.825,161.4,27
1,28,1249.97619048,164.095238095,28
1,29,1163.68965517,162.724137931,29
1,30,1176.82142857,159.321428571,30
1,31,1206.75,164.375,31
1,32,1232.18181818,165.045454545,32
1,33,1242.58333333,162.458333333,33
1,34,1236.84615385,167.769230769,34
1,35,1175.64473684,164.684210526,35
1,36,1192.33333333,164.043209877,36
1,37,1221.35,168.342857143,37
1,38,1168.06896552,170.172413793,38
1,39,1158.57575758,169.742424242,39
1,40,1178.45918367,170.275510204,40
1,41,1208.09278351,169.556701031,41
1,42,1201.92857143,170.857142857,42
1,43,1200.88118812,176.742574257,43
1,44,1177.84126984,178.619047619,44
1,45,1187.79365079,174.0,45
1,46,1192.11111111,174.416666667,46
1,47,1183.7,180.825,47
1,48,1198.41176471,182.68627451,48
1,49,1182.88888889,186.0,49
1,50,1159.0,186.285714286,50
1,51,1191.98378378,189.827027027,51
1,52,1181.78125,191.9375,52
1,53,1150.87209302,193.651162791,53
1,54,1170.67973856,192.477124183,54
1,55,1131.25806452,196.580645161,55
1,56,1157.13043478,197.347826087,56
1,57,1176.64102564,199.205128205,57
1,58,1162.55,198.925,58
1,59,1197.3902439,198.317073171,59
1,60,1149.37634409,201.731182796,60
1,61,1141.76315789,206.552631579,61
1,62,1159.27777778,204.444444444,62
1,63,1129.43902439,208.219512195,63
1,64,1154.28888889,210.022222222,64
1,65,1150.5,219.5,65
1,66,1128.65517241,220.517241379,66
1,67,1133.55681818,229.931818182,67
1,68,1190.93506494,236.831168831,68
1,69,1191.57142857,243.023809524,69
1,70,1197.35087719,241.245614035,70
1,71,1135.94444444,242.493055556,71
1,72,1169.375,242.5625,72
1,73,1206.50212766,247.106382979,73
1,74,1150.203125,244.140625,74
1,75,1162.88135593,244.983050847,75
1,76,1143.33333333,248.333333333,76
1,77,1158.5,247.642857143,77
1,78,1154.97619048,250.642857143,78
1,79,1129.88571429,253.314285714,79
1,80,1038.18367347,253.653061224,80
1,81,1266.22916667,255.479166667,81
1,82,1134.69230769,257.230769231,82
1,83,1052.30769231,262.230769231,83
1,84,1379.19512195,262.195121951,84
1,85,1032.05263158,262.026315789,85
1,86,1042.125,264.125,86
1,87,1046.57894737,268.105263158,87
1,88,1033.80701754,268.543859649,88
1,89,1041.57142857,268.321428571,89
1,90,1058.9375,269.1875,90
1,91,1033.91752577,276.164948454,91
1,92,1383.48913043,272.108695652,92
1,93,1390.65277778,276.569444444,93
1,94,1048.30967742,276.729032258,94
1,95,1246.93333333,277.8,95
1,96,1069.76521739,280.095652174,96
1,97,1094.11764706,283.764705882,97
1,98,1397.19767442,282.395348837,98
1,99,1405.23404255,283.425531915,99
1,100,1077.24193548,285.193548387,100
1,101,1242.98387097,283.14516129,101
1,102,1042.52352941,287.476470588,102
1,103,1235.71052632,283.561403509,103
1,104,1129.13333333,286.6,104
1,105,1246.25,288.090909091,105
1,106,1370.7961165,286.349514563,106
1,107,1409.45238095,287.452380952,107
1,108,1054.89855072,287.768115942,108
1,109,1081.265625,288.78125,109
1,110,1377.875,286.55,110
1,111,1414.9,289.92,111
1,112,1236.1,290.7,112
1,113,1382.39393939,289.5,113
1,114,1249.82608696,291.782608696,114
1,115,1064.97727273,291.590909091,115
1,116,1038.35,293.5,116
1,117,1240.38235294,295.411764706,117
1,118,1268.42201835,291.146788991,118
1,119,1407.75,292.625,119
1,120,1419.55263158,293.842105263,120
1,121,1182.90909091,293.636363636,121
1,122,1131.22,292.78,122
1,123,1277.63243243,293.8,123
1,124,1036.74418605,299.279069767,124
1,125,1106.11111111,296.111111111,125
1,126,1115.51282051,292.41025641,126
1,127,1123.15189873,292.493670886,127
1,128,1061.01282051,298.974358974,128
1,129,1074.52040816,298.486394558,129
1,130,1357.76470588,297.235294118,130
1,131,1425.27659574,297.829787234,131
1,132,1255.09230769,296.369230769,132
1,133,1094.50724638,296.985507246,133
1,134,1128.64102564,298.205128205,134
1,135,1044.98823529,300.176470588,135
1,136,1088.71428571,300.095238095,136
1,137,1116.77358491,303.141509434,137
1,138,1053.60504202,304.789915966,138
1,139,1277.48387097,301.870967742,139
1,140,1430.21052632,302.5,140
1,141,1103.26086957,304.217391304,141
1,142,1134.336,304.336,142
1,143,1246.96875,302.046875,143
1,144,1126.36781609,305.643678161,144
1,145,1143.12727273,299.9,145
1,146,1147.10714286,302.678571429,146
1,147,1254.45384615,306.253846154,147
1,148,1434.39130435,304.565217391,148
1,149,1038.81343284,309.305970149,149
