ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1315.74074074,216.814814815,1
1,2,1281.76595745,236.893617021,2
1,3,1262.16666667,238.916666667,3
1,4,1275.0,250.064516129,4
1,5,1299.92857143,251.357142857,5
1,6,1307.53333333,252.022222222,6
1,7,1302.24137931,256.931034483,7
1,8,1305.81818182,256.0,8
1,9,1310.02631579,258.631578947,9
1,10,1295.65853659,256.634146341,10
1,11,1277.53333333,260.533333333,11
1,12,1244.75,261.125,12
1,13,1300.18181818,261.5,13
1,14,1296.34146341,263.951219512,14
1,15,1286.66666667,267.111111111,15
1,16,1304.35227273,267.227272727,16
1,17,1319.14893617,268.382978723,17
1,18,1311.16393443,267.721311475,18
1,19,1279.48648649,271.918918919,19
1,20,1294.97014925,271.089552239,20
1,21,1273.0,273.666666667,21
1,22,1315.88461538,274.628205128,22
1,23,1249.44444444,275.222222222,23
1,24,1296.83333333,277.214285714,24
1,25,1306.56521739,275.347826087,25
1,26,1281.35294118,277.014705882,26
1,27,1311.61538462,278.769230769,27
1,28,1266.75,278.375,28
1,29,1283.46,281.56,29
1,30,1306.95454545,280.897727273,30
1,31,1317.66666667,280.888888889,31
1,32,1287.65217391,282.347826087,32
1,33,1291.87878788,280.333333333,33
1,34,1299.57142857,282.214285714,34
1,35,1266.15,283.7,35
1,36,1304.90909091,285.545454545,36
1,37,1341.5,283.727272727,37
1,38,1286.27586207,287.0,38
1,39,1292.38235294,286.794117647,39
1,40,1299.25,286.863636364,40
1,41,1317.73134328,287.268656716,41
1,42,1274.01265823,287.620253165,42
1,43,1265.5,291.5,43
1,44,1290.0,291.586206897,44
1,45,1297.29268293,292.536585366,45
1,46,1233.33333333,293.333333333,46
1,47,1292.95833333,295.083333333,47
1,48,1301.84615385,293.0,48
1,49,1298.61904762,297.857142857,49
1,50,1227.52702703,296.864864865,50
1,51,1223.66666667,300.650793651,51
1,52,1268.625,300.25,52
1,53,1361.70833333,299.854166667,53
1,54,1241.07407407,302.425925926,54
1,55,1303.0,302.8125,55
1,56,1327.96296296,302.296296296,56
1,57,1232.88235294,302.470588235,57
1,58,1294.28787879,302.909090909,58
