X	Y	Sample	Section	Cell Type
0	0	Mutant1	1	CD11c
0	6000	Mutant1	1	CD11c
6000	0	Mutant1	1	CD11c
6000	6000	Mutant1	1	CD11c
1241.205479	193.4520548	Mutant1	1	CD11c
1263.017857	190.1785714	Mutant1	1	CD11c
1234.75	193.1785714	Mutant1	1	CD11c
1249.805556	192.3333333	Mutant1	1	CD11c
1216.34375	196.296875	Mutant1	1	CD11c
1206.705882	193.8235294	Mutant1	1	CD11c
1258.508475	194.7118644	Mutant1	1	CD11c
1227.038462	194.2692308	Mutant1	1	CD11c
1269.627119	193.7966102	Mutant1	1	CD11c
1178.740741	198.7037037	Mutant1	1	CD11c
1222.939759	201.2289157	Mutant1	1	CD11c
1206.428571	198.1428571	Mutant1	1	CD11c
1211.4	197.3714286	Mutant1	1	CD11c
1199.86747	198.0722892	Mutant1	1	CD11c
1211.195402	204.1954023	Mutant1	1	CD11c
1201.969697	205.4848485	Mutant1	1	CD11c
1219.191489	208.7021277	Mutant1	1	CD11c
1207.993827	213.8271605	Mutant1	1	CD11c
1217.655172	215.8965517	Mutant1	1	CD11c
1192.88	219.5333333	Mutant1	1	CD11c
1201.166667	219.8333333	Mutant1	1	CD11c
1218.481481	220.1851852	Mutant1	1	CD11c
1173.27451	222.6764706	Mutant1	1	CD11c
1186.227273	221.9090909	Mutant1	1	CD11c
1194.716981	225.8679245	Mutant1	1	CD11c
1200.736842	224.5263158	Mutant1	1	CD11c
1182.190476	225	Mutant1	1	CD11c
1165.368421	227.5263158	Mutant1	1	CD11c
1216.061224	227.5306122	Mutant1	1	CD11c
1224.086957	228.0434783	Mutant1	1	CD11c
1172.2	232.5692308	Mutant1	1	CD11c
1179.175439	231.5964912	Mutant1	1	CD11c
1221.448276	234.4655172	Mutant1	1	CD11c
1222.981132	239.8679245	Mutant1	1	CD11c
1177.253968	239.7142857	Mutant1	1	CD11c
1217.708333	246.2222222	Mutant1	1	CD11c
1171.814815	246.1851852	Mutant1	1	CD11c
1225.451613	263.9677419	Mutant1	1	CD11c
1212.079365	263.1269841	Mutant1	1	CD11c
1231.885714	265.1142857	Mutant1	1	CD11c
1243.775	265.175	Mutant1	1	CD11c
1203.771429	268.7714286	Mutant1	1	CD11c
1210.511628	269.3953488	Mutant1	1	CD11c
1199.105263	271.0789474	Mutant1	1	CD11c
1176.888889	271.2777778	Mutant1	1	CD11c
1217.602649	273.1589404	Mutant1	1	CD11c
1228	270.1692308	Mutant1	1	CD11c
1184.590909	272.7272727	Mutant1	1	CD11c
1192.107143	271.5714286	Mutant1	1	CD11c
1208.37931	275.362069	Mutant1	1	CD11c
1239.537102	273.9081272	Mutant1	1	CD11c
1268.965517	276.2068966	Mutant1	1	CD11c
1291.454545	276.1818182	Mutant1	1	CD11c
1195.140625	276.765625	Mutant1	1	CD11c
1280.6	278	Mutant1	1	CD11c
1187.83871	279.6451613	Mutant1	1	CD11c
1203.589744	282.8205128	Mutant1	1	CD11c
1222.387097	279.516129	Mutant1	1	CD11c
1210.473684	283.0789474	Mutant1	1	CD11c
1225.75	282.25	Mutant1	1	CD11c
1247.688525	282.2459016	Mutant1	1	CD11c
1282.875	282.2083333	Mutant1	1	CD11c
1236.152778	282.0555556	Mutant1	1	CD11c
1256.946903	281.9911504	Mutant1	1	CD11c
1191.927083	287.3125	Mutant1	1	CD11c
1291	286	Mutant1	1	CD11c
1177.94898	286.7244898	Mutant1	1	CD11c
