X	Y	Sample	Section	Cell Type
0	0	Mutant1	4	CD205
0	6000	Mutant1	4	CD205
6000	0	Mutant1	4	CD205
6000	6000	Mutant1	4	CD205
1222.125478	97.92484076	Mutant1	4	CD205
1184.502959	93.0591716	Mutant1	4	CD205
1170.046875	100.978125	Mutant1	4	CD205
1180.519802	106.5346535	Mutant1	4	CD205
1266.264249	111.9119171	Mutant1	4	CD205
1198.859756	107.3292683	Mutant1	4	CD205
1148.945736	118.0398671	Mutant1	4	CD205
1162.678571	111	Mutant1	4	CD205
1278.491525	112.5932203	Mutant1	4	CD205
1216.48048	121.5015015	Mutant1	4	CD205
1251.144432	125.8864388	Mutant1	4	CD205
1195.034483	121.3850575	Mutant1	4	CD205
1182.518293	121.6737805	Mutant1	4	CD205
1232.015267	124.4885496	Mutant1	4	CD205
1283.970803	125.9124088	Mutant1	4	CD205
1294.931507	123.7534247	Mutant1	4	CD205
1133.895385	134.1415385	Mutant1	4	CD205
1169.632258	130.3483871	Mutant1	4	CD205
1309.876033	133.2644628	Mutant1	4	CD205
1121.468493	141.569863	Mutant1	4	CD205
1222.282799	138.1982507	Mutant1	4	CD205
1237.934783	136	Mutant1	4	CD205
1288.515873	135.4047619	Mutant1	4	CD205
1157.221622	137.5513514	Mutant1	4	CD205
1262.707865	141.906367	Mutant1	4	CD205
1301.971292	140.9043062	Mutant1	4	CD205
1202.374613	143.7678019	Mutant1	4	CD205
1159.217125	148.2538226	Mutant1	4	CD205
1276.850877	146.9780702	Mutant1	4	CD205
1317.133172	150.7118644	Mutant1	4	CD205
1114.512469	156.0548628	Mutant1	4	CD205
1187.867347	152.9489796	Mutant1	4	CD205
1249.885246	155.4139344	Mutant1	4	CD205
1298.819876	151.8881988	Mutant1	4	CD205
1143.155172	151.8793103	Mutant1	4	CD205
1211.06	152.985	Mutant1	4	CD205
1232.533333	154.2458333	Mutant1	4	CD205
1286.491525	154.2838983	Mutant1	4	CD205
1175.122642	161.745283	Mutant1	4	CD205
1153.964015	164.6761364	Mutant1	4	CD205
1299.981308	161.5700935	Mutant1	4	CD205
1329.876289	166.5025773	Mutant1	4	CD205
1240.753731	163.8731343	Mutant1	4	CD205
1270.275534	162.7268409	Mutant1	4	CD205
1221.015831	167.1530343	Mutant1	4	CD205
1121.235294	167.8235294	Mutant1	4	CD205
1165.4	168.2526316	Mutant1	4	CD205
1287.398649	169.5810811	Mutant1	4	CD205
1137.622093	174.3197674	Mutant1	4	CD205
1304.835417	173.08125	Mutant1	4	CD205
1189.466899	167.6149826	Mutant1	4	CD205
1260.228261	171.8858696	Mutant1	4	CD205
1200.529851	175.7686567	Mutant1	4	CD205
1118.17551	177.677551	Mutant1	4	CD205
1164.161905	178.1428571	Mutant1	4	CD205
1252.092199	173.8865248	Mutant1	4	CD205
1175.755459	183.279476	Mutant1	4	CD205
1330.914286	183.1714286	Mutant1	4	CD205
1098.924494	185.2081031	Mutant1	4	CD205
1245.572816	188.1359223	Mutant1	4	CD205
1320.165644	183.7423313	Mutant1	4	CD205
1351.671667	188.0516667	Mutant1	4	CD205
1209.775546	190.209607	Mutant1	4	CD205
1338.608187	192.3859649	Mutant1	4	CD205
1174.604651	195.6162791	Mutant1	4	CD205
1094.657795	201.2053232	Mutant1	4	CD205
1284.041667	198.5185185	Mutant1	4	CD205
1233.678571	199.25	Mutant1	4	CD205
1250.503448	201.8827586	Mutant1	4	CD205
1267.865672	199.6019901	Mutant1	4	CD205
1308.711656	195	Mutant1	4	CD205
1318.769231	200.3254438	Mutant1	4	CD205
1140.530303	200.1742424	Mutant1	4	CD205
1329.284553	198.3902439	Mutant1	4	CD205
1184.839695	207.1679389	Mutant1	4	CD205
1297.004149	205.6639004	Mutant1	4	CD205
1353.72093	206.8527132	Mutant1	4	CD205
1113	210.1339286	Mutant1	4	CD205
1307.028409	211.8068182	Mutant1	4	CD205
1276.43379	211.0365297	Mutant1	4	CD205
1232.856061	212.7878788	Mutant1	4	CD205
1366.6	223.4269663	Mutant1	4	CD205
1381.443262	215.0992908	Mutant1	4	CD205
1357.485714	218.8190476	Mutant1	4	CD205
1083.130435	224.2378517	Mutant1	4	CD205
1258.274336	219.6902655	Mutant1	4	CD205
1222.621749	220.0141844	Mutant1	4	CD205
1155.930233	221	Mutant1	4	CD205
1241.642308	220.0807692	Mutant1	4	CD205
1273.117647	221.1882353	Mutant1	4	CD205
1285.809249	221.7976879	Mutant1	4	CD205
1329.585475	217.326257	Mutant1	4	CD205
1347.648855	223.3206107	Mutant1	4	CD205
1117.467391	227.4456522	Mutant1	4	CD205
1205.400881	225.8634361	Mutant1	4	CD205
1146.379592	236.5469388	Mutant1	4	CD205
1274.385455	231.4254545	Mutant1	4	CD205
1168.27907	234.1162791	Mutant1	4	CD205
1373.391705	237.3870968	Mutant1	4	CD205
1199.608911	236.0544554	Mutant1	4	CD205
1384.175299	236.4143426	Mutant1	4	CD205
1297.157729	231.2365931	Mutant1	4	CD205
1317.310096	238.8365385	Mutant1	4	CD205
1348.583851	239.5755694	Mutant1	4	CD205
1100.703297	239.5604396	Mutant1	4	CD205
1217.308642	239.0617284	Mutant1	4	CD205
1245.303823	235.5191147	Mutant1	4	CD205
1264.154472	241.0569106	Mutant1	4	CD205
1284.067227	244.8823529	Mutant1	4	CD205
1398.671053	240.3815789	Mutant1	4	CD205
1200.551867	248.9875519	Mutant1	4	CD205
1230.109244	244.1680672	Mutant1	4	CD205
1212.706897	248.0603448	Mutant1	4	CD205
1249.358621	248.8275862	Mutant1	4	CD205
1307.149606	248.976378	Mutant1	4	CD205
1389.591429	254.1628571	Mutant1	4	CD205
1135.22	253.63	Mutant1	4	CD205
1239.283019	254.1132075	Mutant1	4	CD205
1317.380952	255.8285714	Mutant1	4	CD205
1410.730337	254.752809	Mutant1	4	CD205
1174.071587	252.4081181	Mutant1	4	CD205
1333.037406	252.4389027	Mutant1	4	CD205
1297.864629	258.3340611	Mutant1	4	CD205
1225.423729	261.4847458	Mutant1	4	CD205
1251.146617	267.4398496	Mutant1	4	CD205
1359.757042	258.5070423	Mutant1	4	CD205
1420.256098	259.5731707	Mutant1	4	CD205
1123.807107	258.0406091	Mutant1	4	CD205
1372.51752	260.2614555	Mutant1	4	CD205
1080.730061	260.6564417	Mutant1	4	CD205
1397.846154	265.4139194	Mutant1	4	CD205
1148.729412	265.3223529	Mutant1	4	CD205
1320.153465	265.460396	Mutant1	4	CD205
1345.802198	263.4395604	Mutant1	4	CD205
1411.910256	265.3076923	Mutant1	4	CD205
1123.522876	268.8562092	Mutant1	4	CD205
1164.431734	271.9298893	Mutant1	4	CD205
1331.663265	270.4489796	Mutant1	4	CD205
1133.953216	277.2836257	Mutant1	4	CD205
1178.496454	273.1985816	Mutant1	4	CD205
1383.377682	275.4678112	Mutant1	4	CD205
1214.23366	274.6633987	Mutant1	4	CD205
1313.173077	274.5769231	Mutant1	4	CD205
1113.192157	275.2627451	Mutant1	4	CD205
1297.537037	274.1049383	Mutant1	4	CD205
1351.040323	275.5806452	Mutant1	4	CD205
1365.45	278.695	Mutant1	4	CD205
1242.07	280.01	Mutant1	4	CD205
1157.05036	286.3345324	Mutant1	4	CD205
1312.546512	281.6976744	Mutant1	4	CD205
1193.388889	280.4545455	Mutant1	4	CD205
1408.204969	277.673913	Mutant1	4	CD205
1354.519126	286.8907104	Mutant1	4	CD205
1180.2	292.0112	Mutant1	4	CD205
1104.449541	286.5266055	Mutant1	4	CD205
1140.514286	291.075	Mutant1	4	CD205
1446.466667	289.225	Mutant1	4	CD205
1373.471616	288.8777293	Mutant1	4	CD205
1405.22179	290.1634241	Mutant1	4	CD205
1430.026379	281.0167866	Mutant1	4	CD205
1086.445055	292.7417582	Mutant1	4	CD205
1387.517007	293.1632653	Mutant1	4	CD205
1129.708571	298.9028571	Mutant1	4	CD205
1379.722222	298.8222222	Mutant1	4	CD205
1412.791209	300.5641026	Mutant1	4	CD205
1338.309156	293.4577883	Mutant1	4	CD205
1097.583333	302.9393939	Mutant1	4	CD205
1365.914191	302.2937294	Mutant1	4	CD205
1159.525	302.44	Mutant1	4	CD205
1394.573427	303.5174825	Mutant1	4	CD205
1087.142857	305.6326531	Mutant1	4	CD205
1196.947761	305.3619403	Mutant1	4	CD205
1430.018182	306.7064935	Mutant1	4	CD205
1453.863905	311.5739645	Mutant1	4	CD205
1144.12093	308.9534884	Mutant1	4	CD205
1325.987654	311.962963	Mutant1	4	CD205
1386.78607	312.2935323	Mutant1	4	CD205
1370.887097	312.9112903	Mutant1	4	CD205
1120.575277	308.3755943	Mutant1	4	CD205
1336.339623	313.8616352	Mutant1	4	CD205
1358.62963	316.1111111	Mutant1	4	CD205
1088.020408	316.0229592	Mutant1	4	CD205
1413.235294	320.4901961	Mutant1	4	CD205
1111.240909	319.3318182	Mutant1	4	CD205
1374.854701	321.8632479	Mutant1	4	CD205
1195.768817	317.7365591	Mutant1	4	CD205
1428.502058	324.2716049	Mutant1	4	CD205
1385.60733	325.8691099	Mutant1	4	CD205
1442.332192	323.6232877	Mutant1	4	CD205
1103.597938	324.9072165	Mutant1	4	CD205
1349.377119	326.4131356	Mutant1	4	CD205
1468.034296	327.8158845	Mutant1	4	CD205
1454.849624	328.2105263	Mutant1	4	CD205
1397.670391	324.6368715	Mutant1	4	CD205
1366.722826	338.5869565	Mutant1	4	CD205
1329.124542	331.1025641	Mutant1	4	CD205
1387.984375	338.046875	Mutant1	4	CD205
1203.722433	333.8897338	Mutant1	4	CD205
