X	Y	Sample	Section	Cell Type
0	0	Mutant1	3	CD31
0	6000	Mutant1	3	CD31
6000	0	Mutant1	3	CD31
6000	6000	Mutant1	3	CD31
1136.775862	72.74137931	Mutant1	3	CD31
1159.5	74.375	Mutant1	3	CD31
1165.697674	75.60465116	Mutant1	3	CD31
1123.047619	74.55555556	Mutant1	3	CD31
1142.074074	77.88888889	Mutant1	3	CD31
1146.411765	77.11764706	Mutant1	3	CD31
1153.350877	79	Mutant1	3	CD31
1133.184615	79.46153846	Mutant1	3	CD31
1161.3	83.9	Mutant1	3	CD31
1114.569767	85.39534884	Mutant1	3	CD31
1232	90.5	Mutant1	3	CD31
1125.079365	87.34920635	Mutant1	3	CD31
1120.756098	95.3902439	Mutant1	3	CD31
1108.15873	93.04761905	Mutant1	3	CD31
1103.481481	97.46296296	Mutant1	3	CD31
1098.314286	99.91428571	Mutant1	3	CD31
1116.875	99.66666667	Mutant1	3	CD31
1095.260274	105.6849315	Mutant1	3	CD31
1123.06383	119.8085106	Mutant1	3	CD31
1095.964286	124.2857143	Mutant1	3	CD31
1091.981818	132.4818182	Mutant1	3	CD31
1245.044444	168.6	Mutant1	3	CD31
1242.891892	173.7837838	Mutant1	3	CD31
1332.609375	176.78125	Mutant1	3	CD31
1325.774194	180.8064516	Mutant1	3	CD31
1169.365385	206.0961538	Mutant1	3	CD31
1281.254902	211.4509804	Mutant1	3	CD31
1261.604167	213.7083333	Mutant1	3	CD31
1351.5	217	Mutant1	3	CD31
1352	221	Mutant1	3	CD31
1347.195652	223.673913	Mutant1	3	CD31
1117.980769	227.1538462	Mutant1	3	CD31
1125.678571	254	Mutant1	3	CD31
1342.290323	254.4193548	Mutant1	3	CD31
1239.73913	257.5217391	Mutant1	3	CD31
1345.970588	257.9705882	Mutant1	3	CD31
1409.479167	266.1458333	Mutant1	3	CD31
1170.5	270.0833333	Mutant1	3	CD31
1274.407407	272.7407407	Mutant1	3	CD31
1426.729167	288.875	Mutant1	3	CD31
1198.5	294.5	Mutant1	3	CD31
1192.705882	297.2647059	Mutant1	3	CD31
1229.614035	297.6491228	Mutant1	3	CD31
1283.705882	298.8235294	Mutant1	3	CD31
1189.451613	302.1612903	Mutant1	3	CD31
1198.336842	301.8315789	Mutant1	3	CD31
1408.222222	307.2222222	Mutant1	3	CD31
1070.986486	310.8783784	Mutant1	3	CD31
1200.961538	309.2307692	Mutant1	3	CD31
1413.5	309.5	Mutant1	3	CD31
1080.911392	310.5696203	Mutant1	3	CD31
1062.108696	317.2391304	Mutant1	3	CD31
1202.722222	320.6481481	Mutant1	3	CD31
1169.627907	333.4883721	Mutant1	3	CD31
1311.681818	334.2727273	Mutant1	3	CD31
1162.111111	336.3888889	Mutant1	3	CD31
1205.869565	337.5217391	Mutant1	3	CD31
1083.5625	343.0208333	Mutant1	3	CD31
1138.944444	350.7777778	Mutant1	3	CD31
1456.185484	351.6693548	Mutant1	3	CD31
1144.851852	354	Mutant1	3	CD31
1449.863636	360.4090909	Mutant1	3	CD31
1454.058824	361.3235294	Mutant1	3	CD31
1403.5	362.1	Mutant1	3	CD31
1351.218182	366.8727273	Mutant1	3	CD31
1450.515625	367.90625	Mutant1	3	CD31
1349.666667	375	Mutant1	3	CD31
1354.268293	375.7073171	Mutant1	3	CD31
1448.396825	380.5714286	Mutant1	3	CD31
1351.547619	382.4285714	Mutant1	3	CD31
1356.636364	381.6363636	Mutant1	3	CD31
1446.465116	387.5348837	Mutant1	3	CD31
1491.307692	386.8461538	Mutant1	3	CD31
1052.162162	390.3243243	Mutant1	3	CD31
1355.48	390.84	Mutant1	3	CD31
1258.292683	393.3414634	Mutant1	3	CD31
1195.348837	403.0465116	Mutant1	3	CD31
1369.688889	416.9111111	Mutant1	3	CD31
