X	Y	Sample	Section	Cell Type
0	0	Mutant1	2	Claud5
0	6000	Mutant1	2	Claud5
6000	0	Mutant1	2	Claud5
6000	6000	Mutant1	2	Claud5
1036.95	262.7	Mutant1	2	Claud5
1217.087719	296.8421053	Mutant1	2	Claud5
1214.35	303.2625	Mutant1	2	Claud5
1181.666667	336.75	Mutant1	2	Claud5
1238.041667	340	Mutant1	2	Claud5
1183.506024	342.0843373	Mutant1	2	Claud5
1135.5	350	Mutant1	2	Claud5
1163.095238	351.8095238	Mutant1	2	Claud5
1238.695652	352.826087	Mutant1	2	Claud5
1176.410714	352.5446429	Mutant1	2	Claud5
1186.54	353.22	Mutant1	2	Claud5
1147.153846	355.5384615	Mutant1	2	Claud5
1164.145833	356.375	Mutant1	2	Claud5
1226.258065	357.6451613	Mutant1	2	Claud5
1297.478261	356.5217391	Mutant1	2	Claud5
1155.462963	357.9259259	Mutant1	2	Claud5
1185.843137	358.8039216	Mutant1	2	Claud5
1195.4	360.9333333	Mutant1	2	Claud5
1165.696429	363.0357143	Mutant1	2	Claud5
1189.589744	364.5128205	Mutant1	2	Claud5
1198.166667	366.7333333	Mutant1	2	Claud5
1143.981481	366.6111111	Mutant1	2	Claud5
1205.416667	368.1666667	Mutant1	2	Claud5
1169.44	369.64	Mutant1	2	Claud5
1193.172414	370.1034483	Mutant1	2	Claud5
1159.78481	370.6835443	Mutant1	2	Claud5
1133	374.375	Mutant1	2	Claud5
1173.918129	373.5906433	Mutant1	2	Claud5
1137.5	379.5	Mutant1	2	Claud5
1062.717391	380.4347826	Mutant1	2	Claud5
1298.52381	380.4761905	Mutant1	2	Claud5
1382.290909	381.2545455	Mutant1	2	Claud5
1073.12	382.48	Mutant1	2	Claud5
1296.083333	385.2222222	Mutant1	2	Claud5
1301.8	386.16	Mutant1	2	Claud5
1290.266667	385.8333333	Mutant1	2	Claud5
1058.862745	385.5098039	Mutant1	2	Claud5
1065.27907	386.6511628	Mutant1	2	Claud5
1139.125	387.625	Mutant1	2	Claud5
1134.5	390.9642857	Mutant1	2	Claud5
1126.730769	395.5384615	Mutant1	2	Claud5
1178.857143	398.8571429	Mutant1	2	Claud5
1175.375	403.0833333	Mutant1	2	Claud5
1037.542857	402.9428571	Mutant1	2	Claud5
1316.245902	401.2295082	Mutant1	2	Claud5
1011.225	404.325	Mutant1	2	Claud5
1166.25	406.1666667	Mutant1	2	Claud5
1159.673139	413.4239482	Mutant1	2	Claud5
1174.86	409.86	Mutant1	2	Claud5
1149.646552	407.0775862	Mutant1	2	Claud5
1007.77551	411.6632653	Mutant1	2	Claud5
1140.652778	415.2847222	Mutant1	2	Claud5
1183.34375	412.96875	Mutant1	2	Claud5
1312.283333	411.5666667	Mutant1	2	Claud5
