X	Y	Sample	Section	Cell Type
0	0	Mutant1	2	Foxp3
0	6000	Mutant1	2	Foxp3
6000	0	Mutant1	2	Foxp3
6000	6000	Mutant1	2	Foxp3
1225.125	364.3333333	Mutant1	2	Foxp3
1437.04	574.4	Mutant1	2	Foxp3
1375.217391	580.1304348	Mutant1	2	Foxp3
1304.125	592.125	Mutant1	2	Foxp3
1343.478261	610.3913043	Mutant1	2	Foxp3
1369.384615	618.3846154	Mutant1	2	Foxp3
1357.5	618.5	Mutant1	2	Foxp3
1347.653846	621.5384615	Mutant1	2	Foxp3
1433.586207	622.3793103	Mutant1	2	Foxp3
1387.193548	625.8387097	Mutant1	2	Foxp3
1315.074074	630.5925926	Mutant1	2	Foxp3
1325.121951	630.7560976	Mutant1	2	Foxp3
1402.606061	631.3333333	Mutant1	2	Foxp3
1288.259259	631.5925926	Mutant1	2	Foxp3
1372.692308	632.9615385	Mutant1	2	Foxp3
1297	643	Mutant1	2	Foxp3
1280.222222	647	Mutant1	2	Foxp3
1324.653846	653.3461538	Mutant1	2	Foxp3
1351.6	652.96	Mutant1	2	Foxp3
1221.380952	653.7142857	Mutant1	2	Foxp3
1274.923077	656.9615385	Mutant1	2	Foxp3
1290.375	660.4166667	Mutant1	2	Foxp3
1176.108108	660.2972973	Mutant1	2	Foxp3
1234.883721	661.1395349	Mutant1	2	Foxp3
1391.9	664.35	Mutant1	2	Foxp3
1289.756757	667.5675676	Mutant1	2	Foxp3
1379.555556	672.1333333	Mutant1	2	Foxp3
1265.2	673.24	Mutant1	2	Foxp3
1351.857143	675.1904762	Mutant1	2	Foxp3
1175.428571	675.7714286	Mutant1	2	Foxp3
1371.5	677.5	Mutant1	2	Foxp3
1192.794872	677.7692308	Mutant1	2	Foxp3
1227.4	678.6571429	Mutant1	2	Foxp3
1431.884615	686.5	Mutant1	2	Foxp3
1315.480769	687.5961538	Mutant1	2	Foxp3
1221.218182	689.7636364	Mutant1	2	Foxp3
1348	688.8461538	Mutant1	2	Foxp3
1331.466667	690.6888889	Mutant1	2	Foxp3
1187.944444	693.9166667	Mutant1	2	Foxp3
1231.697674	694.5348837	Mutant1	2	Foxp3
1248.32	694.92	Mutant1	2	Foxp3
1180.411765	696.8823529	Mutant1	2	Foxp3
1163.407407	702.5185185	Mutant1	2	Foxp3
1338.146341	702.902439	Mutant1	2	Foxp3
1242.825	704.025	Mutant1	2	Foxp3
1380.8125	703.46875	Mutant1	2	Foxp3
1230.363636	705.1136364	Mutant1	2	Foxp3
1356.0625	706.6875	Mutant1	2	Foxp3
1350.75	708.2884615	Mutant1	2	Foxp3
1254.75	711	Mutant1	2	Foxp3
1235.54902	712.3333333	Mutant1	2	Foxp3
1311.833333	712.047619	Mutant1	2	Foxp3
1330.631579	711.7368421	Mutant1	2	Foxp3
1373.666667	712.2	Mutant1	2	Foxp3
1143.333333	717.6666667	Mutant1	2	Foxp3
1215.72093	718.372093	Mutant1	2	Foxp3
1270.133333	718.5333333	Mutant1	2	Foxp3
1290.090909	719.0909091	Mutant1	2	Foxp3
1423.808511	720.3617021	Mutant1	2	Foxp3
1230.083333	723.1875	Mutant1	2	Foxp3
1437.973684	725.6842105	Mutant1	2	Foxp3
1217.452381	726.6428571	Mutant1	2	Foxp3
1171.35	727.6	Mutant1	2	Foxp3
1242.25	728	Mutant1	2	Foxp3
1205.384615	734.3846154	Mutant1	2	Foxp3
1316.676471	736	Mutant1	2	Foxp3
1197.276923	740.8769231	Mutant1	2	Foxp3
1210.682927	741.1707317	Mutant1	2	Foxp3
1245.666667	744.25	Mutant1	2	Foxp3
1437.24	743.96	Mutant1	2	Foxp3
1352.277778	745.6111111	Mutant1	2	Foxp3
1403.5	751.7272727	Mutant1	2	Foxp3
1261.933333	753.6666667	Mutant1	2	Foxp3
1241.894737	764.7894737	Mutant1	2	Foxp3
1338.210526	766.8421053	Mutant1	2	Foxp3
1298.055556	767.8888889	Mutant1	2	Foxp3
1290.909091	770.0909091	Mutant1	2	Foxp3
1278.25	773.75	Mutant1	2	Foxp3
1204.826087	778	Mutant1	2	Foxp3
1305.529412	784.8529412	Mutant1	2	Foxp3
1502.125	956.875	Mutant1	2	Foxp3
1457.592593	1005.740741	Mutant1	2	Foxp3
1496.592593	1041.074074	Mutant1	2	Foxp3
1339	1058	Mutant1	2	Foxp3
1476.083333	1068.916667	Mutant1	2	Foxp3
1387.777778	1072.703704	Mutant1	2	Foxp3
1572.2	1081.56	Mutant1	2	Foxp3
1384.477273	1082.681818	Mutant1	2	Foxp3
1467.862069	1083.586207	Mutant1	2	Foxp3
1436.842105	1086.842105	Mutant1	2	Foxp3
1485.090909	1088.045455	Mutant1	2	Foxp3
1340	1091.142857	Mutant1	2	Foxp3
1429.095238	1093.095238	Mutant1	2	Foxp3
1354.304348	1104.217391	Mutant1	2	Foxp3
1426.6	1104.933333	Mutant1	2	Foxp3
1350.08	1106.2	Mutant1	2	Foxp3
1400.875	1112.875	Mutant1	2	Foxp3
1511.97619	1114.809524	Mutant1	2	Foxp3
1366.162162	1123.243243	Mutant1	2	Foxp3
1465.419355	1122.935484	Mutant1	2	Foxp3
1515.422222	1132.8	Mutant1	2	Foxp3
1407.5	1134	Mutant1	2	Foxp3
1533.882353	1136.411765	Mutant1	2	Foxp3
1486	1138.27027	Mutant1	2	Foxp3
1408.826087	1139	Mutant1	2	Foxp3
1499.666667	1141	Mutant1	2	Foxp3
1393.125	1147.8125	Mutant1	2	Foxp3
1454.25	1149.75	Mutant1	2	Foxp3
1331.5	1155.214286	Mutant1	2	Foxp3
1437.189189	1160.243243	Mutant1	2	Foxp3
1462.147059	1161.382353	Mutant1	2	Foxp3
1450.512821	1164.230769	Mutant1	2	Foxp3
1516.423077	1163.846154	Mutant1	2	Foxp3
1502.384615	1164.615385	Mutant1	2	Foxp3
1401	1168.789474	Mutant1	2	Foxp3
1532.757576	1169.484848	Mutant1	2	Foxp3
1438.769231	1177.846154	Mutant1	2	Foxp3
1464.1875	1178.8125	Mutant1	2	Foxp3
1382.230769	1185	Mutant1	2	Foxp3
1377.296296	1196.222222	Mutant1	2	Foxp3
1349.45	1197.65	Mutant1	2	Foxp3
1349.090909	1202.090909	Mutant1	2	Foxp3
1353.111111	1205.111111	Mutant1	2	Foxp3
1245.258065	1219.064516	Mutant1	2	Foxp3
1531.75	1226.409091	Mutant1	2	Foxp3
1353.243902	1235	Mutant1	2	Foxp3
1382.46875	1237.1875	Mutant1	2	Foxp3
1484.6875	1236.9375	Mutant1	2	Foxp3
1498.058824	1241.235294	Mutant1	2	Foxp3
1519.25	1241.4375	Mutant1	2	Foxp3
1529.934783	1245.826087	Mutant1	2	Foxp3
1370.173913	1247	Mutant1	2	Foxp3
1365	1247.875	Mutant1	2	Foxp3
1526.25	1251.3125	Mutant1	2	Foxp3
1532.407407	1253.740741	Mutant1	2	Foxp3
1511.076923	1255.102564	Mutant1	2	Foxp3
1376.5	1257.272727	Mutant1	2	Foxp3
1389.451613	1256.580645	Mutant1	2	Foxp3
1482.888889	1261.133333	Mutant1	2	Foxp3
1369.285714	1263.5	Mutant1	2	Foxp3
1515.892857	1264.428571	Mutant1	2	Foxp3
1489.424242	1272.424242	Mutant1	2	Foxp3
1311.176471	1273.235294	Mutant1	2	Foxp3
1400.021277	1272.510638	Mutant1	2	Foxp3
1641.809524	1273.928571	Mutant1	2	Foxp3
1440.083333	1275.229167	Mutant1	2	Foxp3
1397.925	1279.45	Mutant1	2	Foxp3
1337.913043	1283.956522	Mutant1	2	Foxp3
1380.652174	1294	Mutant1	2	Foxp3
1484.820513	1295.717949	Mutant1	2	Foxp3
1403.5	1298.5	Mutant1	2	Foxp3
1377.5	1299.5	Mutant1	2	Foxp3
1424.190476	1302.5	Mutant1	2	Foxp3
1365.473684	1303.736842	Mutant1	2	Foxp3
1410.255814	1303.534884	Mutant1	2	Foxp3
1546.384615	1309.384615	Mutant1	2	Foxp3
1555.5	1309.2	Mutant1	2	Foxp3
1480.081081	1310.486486	Mutant1	2	Foxp3
1475.1875	1312.6875	Mutant1	2	Foxp3
1527.76	1312.8	Mutant1	2	Foxp3
1496.861111	1314.388889	Mutant1	2	Foxp3
1424.243902	1315.121951	Mutant1	2	Foxp3
1553.1	1316.7	Mutant1	2	Foxp3
