X	Y	Sample	Section	Cell Type
0	0	Mutant1	4	K5
0	6000	Mutant1	4	K5
6000	0	Mutant1	4	K5
6000	6000	Mutant1	4	K5
1220.2	126.1	Mutant1	4	K5
1275.894737	223.5789474	Mutant1	4	K5
1282.071429	224.8571429	Mutant1	4	K5
1382.6875	271.0625	Mutant1	4	K5
1382.733333	275.6666667	Mutant1	4	K5
1388	275	Mutant1	4	K5
1373.076923	281.3846154	Mutant1	4	K5
1376.290323	286.483871	Mutant1	4	K5
1284.421053	346.6842105	Mutant1	4	K5
1320.625	346.75	Mutant1	4	K5
1290.193548	347.2903226	Mutant1	4	K5
1298.8	346.3333333	Mutant1	4	K5
1277.058824	348.7647059	Mutant1	4	K5
1307.142857	350.0714286	Mutant1	4	K5
1298.512821	351.1538462	Mutant1	4	K5
1320.909091	351.0909091	Mutant1	4	K5
1339.5	352.8	Mutant1	4	K5
1183	416.1666667	Mutant1	4	K5
1204.137931	418.7586207	Mutant1	4	K5
1193	419	Mutant1	4	K5
1195.307692	422.5	Mutant1	4	K5
1197.565217	427.1304348	Mutant1	4	K5
1262.930233	433.7906977	Mutant1	4	K5
1267.08	436.76	Mutant1	4	K5
1473.181818	438.5454545	Mutant1	4	K5
1265.631579	449.7894737	Mutant1	4	K5
1296.866667	454.2	Mutant1	4	K5
1289	458.5	Mutant1	4	K5
1390	459.5	Mutant1	4	K5
1266.875	461.015625	Mutant1	4	K5
1259.619048	460.6666667	Mutant1	4	K5
1275.5	461	Mutant1	4	K5
1248.333333	463.7037037	Mutant1	4	K5
1259.965517	465.0517241	Mutant1	4	K5
1281.857143	466.1428571	Mutant1	4	K5
1298.538462	466.8461538	Mutant1	4	K5
1266.538462	468.6153846	Mutant1	4	K5
1291.773585	468.4528302	Mutant1	4	K5
1260.181818	469.6363636	Mutant1	4	K5
1422.75	469.4375	Mutant1	4	K5
1300.074074	471.5185185	Mutant1	4	K5
1284.953488	471.9767442	Mutant1	4	K5
1273.325	473.425	Mutant1	4	K5
1282.84	477.24	Mutant1	4	K5
1317.043478	476.2608696	Mutant1	4	K5
1290.971429	477.4	Mutant1	4	K5
1300.111111	477.3333333	Mutant1	4	K5
1277	478.5	Mutant1	4	K5
1309.25	478.6875	Mutant1	4	K5
1280.472222	482.0555556	Mutant1	4	K5
1283.888889	486.4444444	Mutant1	4	K5
1427.5	488	Mutant1	4	K5
1288.294118	488.5588235	Mutant1	4	K5
1391.181818	490.1363636	Mutant1	4	K5
1319.117647	489.8235294	Mutant1	4	K5
1325.166667	494.5416667	Mutant1	4	K5
1436.6875	494.125	Mutant1	4	K5
1329.894737	494.5789474	Mutant1	4	K5
1484.083333	494.6666667	Mutant1	4	K5
1291.461538	494.4615385	Mutant1	4	K5
1298.054054	498.7297297	Mutant1	4	K5
1335.5	497.2857143	Mutant1	4	K5
1443.153846	498.9230769	Mutant1	4	K5
1433.175	499.5	Mutant1	4	K5
1306.106383	501.1914894	Mutant1	4	K5
1327.666667	501.2666667	Mutant1	4	K5
1322.833333	501.9333333	Mutant1	4	K5
1483.5	501.75	Mutant1	4	K5
1312.125	504.875	Mutant1	4	K5
1449.285714	505.1428571	Mutant1	4	K5
1494	506.75	Mutant1	4	K5
1494.269231	512.2692308	Mutant1	4	K5
1508.5	517	Mutant1	4	K5
1487.703704	521.5185185	Mutant1	4	K5
1158	524.8	Mutant1	4	K5
1428.125	547.2083333	Mutant1	4	K5
1459.619048	547.5714286	Mutant1	4	K5
1461.263158	550.9473684	Mutant1	4	K5
1423.5	551.7777778	Mutant1	4	K5
1397.857143	555.5	Mutant1	4	K5
1408.777778	554.3111111	Mutant1	4	K5
1465.451613	565.483871	Mutant1	4	K5
1368.178571	567.25	Mutant1	4	K5
1460.666667	566.25	Mutant1	4	K5
1418.344828	569.9655172	Mutant1	4	K5
1442.636364	569.5	Mutant1	4	K5
1452	570.1764706	Mutant1	4	K5
1457.346154	569.6923077	Mutant1	4	K5
1323.5	571.5	Mutant1	4	K5
1434.02381	579.5595238	Mutant1	4	K5
1442.166667	577.7777778	Mutant1	4	K5
1450.173913	578	Mutant1	4	K5
1424.818182	579.2727273	Mutant1	4	K5
1446.153846	578.6153846	Mutant1	4	K5
1538.5	579.5	Mutant1	4	K5
1452.333333	581.3333333	Mutant1	4	K5
1355.166667	581.4722222	Mutant1	4	K5
1514.833333	582.5	Mutant1	4	K5
1364.5	584	Mutant1	4	K5
1369.333333	586.2222222	Mutant1	4	K5
1399.833333	587.0833333	Mutant1	4	K5
1528.391304	587.0434783	Mutant1	4	K5
1354.535714	588.2857143	Mutant1	4	K5
1415.367925	588.8584906	Mutant1	4	K5
1495.764706	588.7352941	Mutant1	4	K5
1344	589.0833333	Mutant1	4	K5
1432.939394	588.2424242	Mutant1	4	K5
1329.125	590.25	Mutant1	4	K5
1391.25	590.0416667	Mutant1	4	K5
1487.342857	590.9714286	Mutant1	4	K5
1502.367347	590.8367347	Mutant1	4	K5
1360.142857	591.5454545	Mutant1	4	K5
1375.542857	590.8	Mutant1	4	K5
1380.857143	591	Mutant1	4	K5
1443.538462	591.3076923	Mutant1	4	K5
1401.333333	591.4444444	Mutant1	4	K5
1456.83871	592.6451613	Mutant1	4	K5
1295.75	594.05	Mutant1	4	K5
1341.3125	594.25	Mutant1	4	K5
1407.631579	594.6578947	Mutant1	4	K5
1493.595238	593.6428571	Mutant1	4	K5
1332.956522	596.2173913	Mutant1	4	K5
1337	594.5	Mutant1	4	K5
1289	596.5	Mutant1	4	K5
1371.821429	595.7857143	Mutant1	4	K5
1423.291667	595.5	Mutant1	4	K5
1460.037037	597.6666667	Mutant1	4	K5
1300.56	597.04	Mutant1	4	K5
1451.125	596.875	Mutant1	4	K5
1308.214286	597.0714286	Mutant1	4	K5
1321.62963	598.1111111	Mutant1	4	K5
1328.458333	599.2083333	Mutant1	4	K5
1348.818182	598.4545455	Mutant1	4	K5
1337.291667	599.0833333	Mutant1	4	K5
1340.8	598.5	Mutant1	4	K5
1390.857143	598.5555556	Mutant1	4	K5
1406.68254	599.5396825	Mutant1	4	K5
1359.909091	600.8181818	Mutant1	4	K5
1407.090909	603.2272727	Mutant1	4	K5
1448.038462	601.6153846	Mutant1	4	K5
1457.666667	602.9285714	Mutant1	4	K5
1481.565217	601.6086957	Mutant1	4	K5
1464.763889	603.1944444	Mutant1	4	K5
1558.388889	602.8333333	Mutant1	4	K5
1350.576271	602.9152542	Mutant1	4	K5
1371.333333	603.8888889	Mutant1	4	K5
1412.047619	604.1904762	Mutant1	4	K5
1439.2	604	Mutant1	4	K5
1228.25	605.25	Mutant1	4	K5
1336.176471	604.4117647	Mutant1	4	K5
1364.633333	607.4777778	Mutant1	4	K5
1392.941176	605.5882353	Mutant1	4	K5
1474.26087	604.7681159	Mutant1	4	K5
1171.5	606	Mutant1	4	K5
1356.701493	606.9552239	Mutant1	4	K5
1327.428571	607.8285714	Mutant1	4	K5
1445	606.7619048	Mutant1	4	K5
1159.521739	607.7391304	Mutant1	4	K5
1283.5	608	Mutant1	4	K5
