X	Y	Sample	Section	Cell Type
0	0	Mutant1	4	PDGFRb
0	6000	Mutant1	4	PDGFRb
6000	0	Mutant1	4	PDGFRb
6000	6000	Mutant1	4	PDGFRb
1209.480392	78.79411765	Mutant1	4	PDGFRb
1218.12766	76.38297872	Mutant1	4	PDGFRb
1190.850649	77.29220779	Mutant1	4	PDGFRb
1200.659091	79.70454545	Mutant1	4	PDGFRb
1225.309859	79.45070423	Mutant1	4	PDGFRb
1232.905797	83.76811594	Mutant1	4	PDGFRb
1179.434783	82.98550725	Mutant1	4	PDGFRb
1206.538462	83.34615385	Mutant1	4	PDGFRb
1239.746667	83.96	Mutant1	4	PDGFRb
1198.766667	84.7	Mutant1	4	PDGFRb
1218.793103	85.09195402	Mutant1	4	PDGFRb
1170.877863	86.51145038	Mutant1	4	PDGFRb
1248.864407	84.83050847	Mutant1	4	PDGFRb
1161.48	85.64	Mutant1	4	PDGFRb
1203.4	86.75	Mutant1	4	PDGFRb
1226.375	86.5625	Mutant1	4	PDGFRb
1259.922535	90.12676056	Mutant1	4	PDGFRb
1162.243902	89.95121951	Mutant1	4	PDGFRb
1200.2	90.46666667	Mutant1	4	PDGFRb
1155.378378	90.21621622	Mutant1	4	PDGFRb
1244.555556	90.6	Mutant1	4	PDGFRb
1185.723577	93.35772358	Mutant1	4	PDGFRb
1163.769231	95.34615385	Mutant1	4	PDGFRb
1147.528302	95.49056604	Mutant1	4	PDGFRb
1209.04902	92.16666667	Mutant1	4	PDGFRb
1250.043478	93.7826087	Mutant1	4	PDGFRb
1258.764706	96.11764706	Mutant1	4	PDGFRb
1172.682692	97.79807692	Mutant1	4	PDGFRb
1201.660714	95.53571429	Mutant1	4	PDGFRb
1217.470588	95.11764706	Mutant1	4	PDGFRb
1228.5	95.25	Mutant1	4	PDGFRb
1271.070175	94.80701754	Mutant1	4	PDGFRb
1158.347826	97.23913043	Mutant1	4	PDGFRb
1240.533333	95.8	Mutant1	4	PDGFRb
1140.22449	97.81632653	Mutant1	4	PDGFRb
1226.9	98.2	Mutant1	4	PDGFRb
1233.333333	97.8	Mutant1	4	PDGFRb
1275.660714	99.64285714	Mutant1	4	PDGFRb
1254.71831	101.6338028	Mutant1	4	PDGFRb
1265.707317	99.7804878	Mutant1	4	PDGFRb
1153.23301	103.592233	Mutant1	4	PDGFRb
1214.428571	101.8095238	Mutant1	4	PDGFRb
1130.482759	100.8275862	Mutant1	4	PDGFRb
1279.5	103.86	Mutant1	4	PDGFRb
1166.586207	103.9310345	Mutant1	4	PDGFRb
1241.23913	103.8478261	Mutant1	4	PDGFRb
1125.518519	103.1481481	Mutant1	4	PDGFRb
1136.19403	103.0298507	Mutant1	4	PDGFRb
1259.828571	103.6571429	Mutant1	4	PDGFRb
1286	104.5090909	Mutant1	4	PDGFRb
1129.394737	106.7894737	Mutant1	4	PDGFRb
1144.342105	107.1710526	Mutant1	4	PDGFRb
1195.0625	106.09375	Mutant1	4	PDGFRb
