ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,782.538461538,7.15384615385,1
1,2,816.615384615,13.3846153846,2
1,3,831.5,13.2777777778,3
1,4,827.0,19.5,4
1,5,785.466666667,20.1333333333,5
1,6,770.243243243,22.5675675676,6
1,7,779.744680851,21.8936170213,7
1,8,745.137931034,23.1034482759,8
1,9,805.8,24.0,9
1,10,782.833333333,27.4583333333,10
1,11,835.691358025,25.3703703704,11
1,12,845.5625,28.75,12
1,13,842.071428571,30.4285714286,13
1,14,789.042553191,30.9574468085,14
1,15,856.896551724,32.3448275862,15
1,16,746.928571429,32.8571428571,16
1,17,851.730769231,34.6923076923,17
1,18,756.780701754,34.6754385965,18
1,19,845.8,37.2666666667,19
1,20,763.875,40.875,20
1,21,887.24,42.56,21
1,22,895.122807018,44.7192982456,22
1,23,670.5,46.5,23
1,24,867.222222222,45.5,24
1,25,646.571428571,46.9523809524,25
1,26,891.039215686,50.4117647059,26
1,27,631.5,50.8333333333,27
1,28,858.5,50.5,28
1,29,902.397727273,51.625,29
1,30,635.5,53.4285714286,30
1,31,647.35,52.9,31
1,32,896.375,53.5,32
1,33,855.24,54.0,33
1,34,628.655172414,55.275862069,34
1,35,632.923076923,55.7692307692,35
1,36,639.647058824,53.8823529412,36
1,37,716.533333333,57.1333333333,37
1,38,720.55,56.85,38
1,39,860.452380952,58.5,39
1,40,878.552631579,58.9210526316,40
1,41,633.24,60.04,41
1,42,621.989583333,59.2916666667,42
1,43,628.55,60.95,43
1,44,873.538461538,61.3076923077,44
1,45,748.216216216,60.5135135135,45
1,46,882.810344828,61.5517241379,46
1,47,888.811320755,63.679245283,47
1,48,744.305555556,63.4722222222,48
1,49,752.578125,64.265625,49
1,50,907.55,65.3,50
1,51,612.279411765,65.1617647059,51
1,52,893.461538462,67.6538461538,52
1,53,883.37037037,68.1111111111,53
1,54,917.916666667,67.8333333333,54
1,55,888.363636364,68.9090909091,55
1,56,909.211764706,71.8470588235,56
1,57,887.2,72.0,57
1,58,612.681818182,73.9090909091,58
1,59,845.763157895,74.7105263158,59
1,60,898.388888889,75.7777777778,60
1,61,595.644444444,75.9111111111,61
1,62,894.611111111,77.7777777778,62
1,63,902.75,76.375,63
1,64,585.179104478,78.328358209,64
1,65,838.0,77.8461538462,65
1,66,864.456521739,74.7826086957,66
1,67,871.454545455,77.0,67
1,68,867.466666667,78.4666666667,68
1,69,883.8,78.8666666667,69
1,70,900.666666667,78.75,70
1,71,576.536231884,82.1884057971,71
1,72,591.4,80.24,72
1,73,605.673684211,77.4736842105,73
1,74,849.857142857,80.1785714286,74
1,75,860.423076923,78.6153846154,75
1,76,922.0,80.0,76
1,77,942.642857143,79.7857142857,77
1,78,692.422222222,80.1333333333,78
1,79,868.933333333,81.3333333333,79
1,80,843.569444444,82.4305555556,80
1,81,914.043478261,82.5652173913,81
1,82,582.535714286,83.8214285714,82
1,83,770.909090909,82.9090909091,83
1,84,857.923076923,82.2307692308,84
1,85,873.776785714,84.3660714286,85
1,86,882.027777778,83.3611111111,86
1,87,905.588235294,82.7352941176,87
1,88,614.169642857,83.0982142857,88
1,89,833.882352941,84.7647058824,89
1,90,864.84375,83.8125,90
1,91,890.5,83.8518518519,91
1,92,942.8,84.0,92
1,93,689.021276596,84.1276595745,93
1,94,778.5,85.5,94
1,95,854.428571429,82.5,95
1,96,897.791666667,84.625,96
1,97,759.6125,84.5125,97
1,98,861.153846154,86.3846153846,98
1,99,923.166666667,85.8888888889,99
1,100,838.631578947,86.7894736842,100
1,101,847.529411765,86.7647058824,101
1,102,851.458333333,87.375,102
1,103,829.466666667,88.1333333333,103
1,104,878.6,88.6,104
1,105,885.166666667,88.0,105
1,106,560.333333333,89.1111111111,106
1,107,846.117647059,89.8823529412,107
1,108,771.862068966,88.5172413793,108
1,109,970.192307692,91.6923076923,109
1,110,632.166666667,90.8333333333,110
1,111,636.485714286,89.7142857143,111
1,112,953.113636364,91.0454545455,112
1,113,961.103448276,91.6896551724,113
1,114,772.458333333,93.0416666667,114
1,115,976.5,93.7857142857,115
1,116,778.354166667,95.0625,116
1,117,639.083333333,95.9285714286,117
1,118,981.357142857,95.5714285714,118
1,119,1007.7,95.0333333333,119
1,120,983.875,96.4375,120
1,121,998.368421053,97.2631578947,121
1,122,989.549019608,97.9803921569,122
1,123,800.694444444,102.444444444,123
1,124,1021.96551724,104.206896552,124
1,125,548.882352941,105.764705882,125
1,126,1037.89795918,106.653061224,126
1,127,1032.54545455,107.909090909,127
1,128,1016.5,108.5,128
1,129,792.842105263,111.315789474,129
1,130,1025.83673469,110.673469388,130
1,131,538.652173913,111.652173913,131
1,132,1020.875,113.825,132
1,133,532.418604651,115.0,133
1,134,536.75,114.8125,134
1,135,527.425925926,120.703703704,135
1,136,590.9,120.75,136
1,137,676.214285714,122.178571429,137
1,138,1060.32,122.28,138
1,139,1062.25,126.785714286,139
1,140,1068.07142857,127.571428571,140
1,141,1065.11111111,132.62962963,141
1,142,520.0,132.666666667,142
1,143,1059.21212121,131.787878788,143
1,144,1072.46875,133.25,144
1,145,513.787878788,135.363636364,145
1,146,1077.38461538,134.615384615,146
1,147,1094.625,135.5625,147
1,148,1102.3,136.4,148
1,149,588.789473684,141.421052632,149
1,150,501.421052632,144.302631579,150
1,151,1107.75,143.15,151
1,152,512.214285714,144.714285714,152
1,153,1131.5,145.5,153
1,154,1127.25,146.875,154
1,155,1139.5,149.5,155
1,156,1146.04761905,150.095238095,156
1,157,1123.37837838,151.513513514,157
1,158,1128.87878788,151.242424242,158
1,159,1134.53846154,150.153846154,159
1,160,915.76,151.52,160
1,161,1116.77777778,152.925925926,161
1,162,1083.29411765,156.823529412,162
1,163,1123.64705882,159.941176471,163
1,164,470.353846154,168.307692308,164
1,165,1133.75925926,169.722222222,165
1,166,833.615384615,169.615384615,166
1,167,452.538461538,173.369230769,167
1,168,741.064935065,174.376623377,168
1,169,794.6,175.25,169
1,170,857.277777778,176.611111111,170
1,171,1252.78571429,177.285714286,171
1,172,860.352941176,179.941176471,172
1,173,858.15,183.625,173
1,174,1116.4,182.96,174
1,175,1111.88235294,187.470588235,175
1,176,1251.6,189.64,176
1,177,1108.78571429,191.607142857,177
1,178,1257.96078431,191.254901961,178
1,179,526.708333333,195.375,179
1,180,532.847457627,194.474576271,180
1,181,1248.52631579,196.526315789,181
1,182,1260.43478261,197.695652174,182
1,183,522.888888889,196.333333333,183
1,184,619.534883721,198.581395349,184
1,185,535.784,200.68,185
1,186,972.4,207.25,186
1,187,598.238095238,215.952380952,187
1,188,1060.0,219.5,188
1,189,372.048780488,226.365853659,189
1,190,842.875,227.5,190
1,191,380.367567568,230.194594595,191
1,192,427.956521739,232.260869565,192
1,193,406.5,235.5,193
1,194,386.740740741,236.592592593,194
1,195,1102.30136986,237.01369863,195
1,196,394.716666667,237.533333333,196
1,197,1044.44827586,239.086206897,197
1,198,390.0,241.24137931,198
1,199,1038.48,239.08,199
1,200,697.921052632,243.526315789,200
1,201,1276.0625,240.166666667,201
1,202,1034.2,244.155555556,202
1,203,1273.0,244.794871795,203
1,204,384.465116279,244.627906977,204
1,205,390.035714286,246.178571429,205
1,206,395.142857143,247.238095238,206
1,207,380.64,248.56,207
1,208,1037.45679012,249.864197531,208
1,209,782.895833333,249.25,209
1,210,388.761904762,251.19047619,210
1,211,376.117647059,252.176470588,211
1,212,1073.36486486,251.081081081,212
1,213,1080.23076923,251.461538462,213
1,214,392.714285714,252.642857143,214
1,215,382.576923077,254.5,215
1,216,1008.08823529,256.264705882,216
1,217,1078.34146341,258.975609756,217
1,218,1010.90322581,262.419354839,218
1,219,1025.8490566,262.867924528,219
1,220,683.5,265.4,220
1,221,1014.87142857,267.114285714,221
1,222,1037.43478261,269.934782609,222
1,223,1018.0,271.5,223
1,224,1009.6,272.433333333,224
1,225,733.090909091,272.909090909,225
1,226,1041.91666667,273.533333333,226
1,227,1027.16,274.84,227
1,228,1441.90909091,277.424242424,228
1,229,341.947368421,276.315789474,229
1,230,1434.5,276.285714286,230
1,231,1425.4,278.166666667,231
1,232,1024.53846154,278.461538462,232
1,233,1420.50793651,280.761904762,233
1,234,1429.875,278.875,234
1,235,1192.34615385,279.576923077,235
1,236,1441.53846154,282.923076923,236
1,237,1451.11538462,286.076923077,237
1,238,395.5,287.0,238
1,239,1009.46,287.5,239
1,240,1419.36111111,289.638888889,240
1,241,1451.53846154,290.615384615,241
1,242,1456.73913043,289.086956522,242
1,243,1472.58333333,293.25,243
1,244,1467.63636364,294.363636364,244
1,245,1475.8,297.2,245
1,246,1463.11904762,297.119047619,246
1,247,1483.93333333,302.733333333,247
1,248,1017.08333333,305.333333333,248
1,249,1151.01639344,304.852459016,249
1,250,1388.35714286,307.142857143,250
1,251,942.342105263,310.631578947,251
1,252,1155.59183673,308.285714286,252
1,253,1464.65625,309.59375,253
1,254,1378.4,309.35,254
1,255,1374.07407407,311.703703704,255
1,256,1386.8,311.6,256
1,257,1505.625,312.125,257
1,258,437.384615385,313.615384615,258
1,259,946.714285714,315.5,259
1,260,1381.12280702,316.035087719,260
1,261,1386.53846154,315.846153846,261
1,262,1162.76923077,316.846153846,262
1,263,1494.32692308,319.134615385,263
1,264,839.466666667,318.866666667,264
1,265,836.363636364,322.0,265
1,266,1145.27272727,327.409090909,266
1,267,1156.24390244,326.414634146,267
1,268,1014.98305085,328.915254237,268
1,269,1152.11111111,328.444444444,269
1,270,446.56097561,331.43902439,270
1,271,747.437037037,337.666666667,271
1,272,755.833333333,336.266666667,272
1,273,760.179487179,338.051282051,273
1,274,766.681818182,336.136363636,274
1,275,752.4375,337.375,275
1,276,1005.59090909,337.113636364,276
1,277,795.105263158,340.578947368,277
1,278,755.379310345,342.655172414,278
1,279,1412.48837209,342.348837209,279
1,280,1548.64285714,342.857142857,280
1,281,763.710843373,344.361445783,281
1,282,794.8125,344.1875,282
1,283,770.691358025,345.888888889,283
1,284,1495.17777778,344.311111111,284
1,285,421.294117647,348.294117647,285
1,286,655.5,347.727272727,286
1,287,1542.13157895,347.421052632,287
1,288,1478.32894737,348.789473684,288
1,289,1485.15151515,349.303030303,289
1,290,414.491525424,350.474576271,290
1,291,1003.71428571,350.75,291
1,292,420.80952381,352.904761905,292
1,293,769.981481481,353.407407407,293
1,294,367.5625,353.625,294
1,295,850.696969697,353.5,295
1,296,1076.6,355.866666667,296
1,297,1577.16666667,357.0,297
1,298,1580.875,359.125,298
1,299,606.131578947,360.513157895,299
1,300,1067.81818182,361.090909091,300
1,301,1075.79310345,360.551724138,301
1,302,1576.51282051,362.128205128,302
1,303,1064.73684211,362.736842105,303
1,304,1070.66666667,362.0,304
1,305,1583.75862069,363.586206897,305
1,306,281.0,363.5,306
1,307,610.074074074,363.555555556,307
1,308,717.526315789,364.052631579,308
1,309,1587.64444444,367.577777778,309
1,310,684.833333333,364.722222222,310
1,311,444.357142857,366.214285714,311
1,312,1072.02597403,367.077922078,312
1,313,686.75,368.083333333,313
1,314,1594.71428571,370.841269841,314
1,315,1071.87096774,373.258064516,315
1,316,1590.28947368,374.157894737,316
1,317,1600.0,372.285714286,317
1,318,1603.66666667,375.575757576,318
1,319,1258.3125,376.96875,319
1,320,428.19047619,377.952380952,320
1,321,1610.57894737,379.912280702,321
1,322,1593.90909091,380.636363636,322
1,323,1463.4375,379.125,323
1,324,1604.7,379.8,324
1,325,1614.94117647,384.852941176,325
1,326,1620.87755102,387.591836735,326
1,327,1626.74358974,389.769230769,327
1,328,1633.2,392.4,328
1,329,1284.5,393.0,329
1,330,1288.6875,393.0625,330
1,331,1637.98360656,397.786885246,331
1,332,1513.52380952,394.80952381,332
1,333,1629.0952381,395.047619048,333
1,334,1645.5,400.444444444,334
1,335,1292.05,405.1,335
1,336,1362.78571429,404.642857143,336
1,337,1616.0,414.0,337
1,338,1338.0,422.294117647,338
1,339,504.956521739,424.217391304,339
1,340,1280.58333333,424.75,340
1,341,1230.71428571,427.071428571,341
1,342,1233.8,428.1,342
1,343,1278.81818182,429.181818182,343
1,344,512.0,430.0,344
1,345,345.833333333,431.388888889,345
1,346,842.914285714,431.228571429,346
1,347,1232.8,431.24,347
1,348,1291.9,432.05,348
1,349,344.428571429,435.571428571,349
1,350,1205.21621622,434.594594595,350
1,351,1309.41666667,436.916666667,351
1,352,1094.56578947,438.960526316,352
1,353,1202.58333333,439.666666667,353
1,354,1248.47368421,438.368421053,354
1,355,1477.47058824,439.431372549,355
1,356,1381.57894737,441.578947368,356
1,357,1123.97619048,443.142857143,357
1,358,1251.41666667,443.472222222,358
1,359,808.3125,444.0625,359
1,360,306.5,446.5,360
1,361,1251.23076923,448.576923077,361
1,362,1653.25862069,449.689655172,362
1,363,800.44,451.04,363
1,364,1121.2972973,453.331081081,364
1,365,1285.68181818,451.272727273,365
1,366,1289.66666667,451.066666667,366
1,367,1096.5,454.5,367
1,368,1243.14285714,453.285714286,368
1,369,798.466666667,455.333333333,369
1,370,1663.43478261,457.260869565,370
1,371,1669.93333333,459.933333333,371
1,372,1675.06666667,459.933333333,372
1,373,816.25,461.75,373
1,374,958.391304348,461.956521739,374
1,375,1025.94444444,460.388888889,375
1,376,1678.8,462.2,376
1,377,481.682926829,468.12195122,377
1,378,1676.7,466.492307692,378
1,379,1441.41176471,468.117647059,379
1,380,1493.5,468.5,380
1,381,1686.80645161,471.548387097,381
1,382,1349.34328358,471.343283582,382
1,383,1674.61538462,470.307692308,383
1,384,650.384615385,472.769230769,384
1,385,654.2,473.08,385
1,386,743.0,472.5,386
1,387,1261.11538462,473.384615385,387
1,388,1577.66666667,475.0,388
1,389,1684.76923077,477.269230769,389
1,390,1038.5,477.305555556,390
1,391,1264.2962963,477.037037037,391
1,392,368.0,478.222222222,392
1,393,1690.52777778,478.75,393
1,394,422.433333333,480.353333333,394
1,395,756.611111111,479.611111111,395
1,396,1696.73333333,481.466666667,396
1,397,789.416666667,481.083333333,397
1,398,1580.46153846,481.846153846,398
1,399,1584.33333333,481.0,399
1,400,372.529411765,482.352941176,400
1,401,1391.5,482.5,401
1,402,480.965517241,485.586206897,402
1,403,1369.07894737,484.657894737,403
1,404,1701.0,485.5,404
1,405,361.685714286,485.971428571,405
1,406,1079.89534884,484.406976744,406
1,407,1697.45070423,487.690140845,407
1,408,469.034482759,487.448275862,408
1,409,694.984375,486.09375,409
1,410,474.441176471,487.970588235,410
1,411,1323.09090909,487.636363636,411
1,412,478.869565217,489.086956522,412
1,413,331.0,491.689655172,413
1,414,1081.39130435,491.434782609,414
1,415,365.5,492.5,415
1,416,812.05,492.6,416
1,417,812.84375,496.65625,417
1,418,496.4,499.6,418
1,419,588.526315789,500.210526316,419
1,420,697.738095238,499.452380952,420
1,421,1604.91666667,500.166666667,421
1,422,330.705882353,499.926470588,422
1,423,703.391304348,500.304347826,423
1,424,659.636363636,502.272727273,424
1,425,1184.90909091,502.363636364,425
1,426,702.117647059,504.176470588,426
1,427,710.28,503.72,427
1,428,332.409090909,506.409090909,428
1,429,1233.56521739,506.086956522,429
1,430,340.0,509.0,430
1,431,1105.57894737,514.894736842,431
1,432,1224.54901961,515.0,432
1,433,544.696969697,517.757575758,433
1,434,812.054054054,517.216216216,434
1,435,1523.16666667,517.083333333,435
1,436,534.601941748,519.40776699,436
1,437,1602.57894737,519.578947368,437
1,438,820.33,523.74,438
1,439,621.380952381,525.571428571,439
1,440,1101.80769231,526.365384615,440
1,441,1466.25,526.0625,441
1,442,1013.6969697,527.0,442
1,443,647.15,528.65,443
1,444,1007.1,529.075,444
1,445,1464.13513514,530.216216216,445
1,446,1241.4,531.48,446
1,447,762.285714286,532.5,447
1,448,827.962962963,533.222222222,448
1,449,1019.11764706,533.411764706,449
1,450,1185.65217391,535.130434783,450
1,451,1234.09756098,535.707317073,451
1,452,1372.25,536.5,452
1,453,557.702702703,539.378378378,453
1,454,747.5,539.5,454
1,455,1195.5,539.5,455
1,456,1236.296875,540.65625,456
1,457,1369.20833333,540.5,457
1,458,622.375,542.919642857,458
1,459,1188.0,542.0,459
1,460,1590.7027027,542.621621622,460
1,461,1583.56097561,543.707317073,461
1,462,1195.28,545.24,462
1,463,1299.55555556,548.733333333,463
1,464,1464.84210526,548.157894737,464
1,465,1197.97222222,553.472222222,465
1,466,926.428571429,555.457142857,466
1,467,1301.64705882,554.941176471,467
1,468,1538.84848485,554.878787879,468
1,469,1346.38297872,557.531914894,469
1,470,1342.29032258,562.258064516,470
1,471,707.151515152,562.787878788,471
1,472,1179.5,562.6,472
1,473,1347.22222222,563.388888889,473
1,474,1445.15789474,563.210526316,474
1,475,683.556451613,566.39516129,475
1,476,1440.24528302,569.188679245,476
1,477,672.226666667,568.133333333,477
1,478,704.470588235,569.882352941,478
1,479,680.632653061,573.224489796,479
1,480,693.20952381,570.780952381,480
1,481,1453.55555556,572.333333333,481
1,482,812.038461538,574.653846154,482
1,483,674.588235294,575.941176471,483
1,484,614.621621622,577.459459459,484
1,485,655.648648649,575.27027027,485
1,486,667.585365854,578.426829268,486
1,487,679.628571429,577.685714286,487
1,488,1444.25,577.625,488
1,489,1533.91666667,578.666666667,489
1,490,704.5,578.510869565,490
1,491,685.916666667,581.020833333,491
1,492,692.063492063,579.571428571,492
1,493,813.916666667,583.138888889,493
1,494,653.576642336,582.722627737,494
1,495,673.754098361,584.819672131,495
1,496,679.04,582.6,496
1,497,698.72,582.44,497
1,498,711.230769231,584.538461538,498
1,499,681.085714286,586.342857143,499
1,500,694.157894737,585.315789474,500
1,501,688.523809524,587.523809524,501
1,502,926.5,587.5,502
1,503,1678.08571429,586.657142857,503
1,504,666.363636364,589.0,504
1,505,651.684210526,590.842105263,505
1,506,679.153846154,591.384615385,506
1,507,671.588235294,592.588235294,507
1,508,799.894736842,592.789473684,508
1,509,701.767195767,592.666666667,509
1,510,589.0,594.181818182,510
1,511,594.12,595.2,511
1,512,585.72,598.7,512
1,513,664.733333333,595.9,513
1,514,689.390350877,596.763157895,514
1,515,479.755555556,600.677777778,515
1,516,593.5,601.393939394,516
1,517,649.333333333,602.055555556,517
1,518,659.621621622,602.297297297,518
1,519,640.35,603.9,519
1,520,677.5,602.772727273,520
1,521,586.5,604.25,521
1,522,685.988095238,605.476190476,522
1,523,658.233333333,607.0,523
1,524,689.136363636,610.659090909,524
1,525,930.5,609.5,525
1,526,696.577777778,610.244444444,526
1,527,1702.1025641,609.769230769,527
1,528,710.153846154,612.0,528
1,529,678.974358974,612.538461538,529
1,530,1700.15909091,614.818181818,530
1,531,1498.59649123,616.157894737,531
1,532,1705.375,617.425,532
1,533,628.75,617.333333333,533
1,534,144.351351351,618.324324324,534
1,535,696.075,619.4,535
1,536,619.5,621.714285714,536
1,537,1701.11764706,621.588235294,537
1,538,140.541666667,624.458333333,538
1,539,144.928571429,624.75,539
1,540,1006.22222222,627.0,540
1,541,592.5,628.0,541
1,542,1530.81818182,627.545454545,542
1,543,1542.67741935,630.548387097,543
1,544,1667.0,631.153846154,544
1,545,814.852941176,632.647058824,545
1,546,1538.04545455,631.318181818,546
1,547,1781.04347826,631.608695652,547
1,548,637.555555556,634.5,548
1,549,1027.77419355,635.258064516,549
1,550,1023.93103448,637.120689655,550
1,551,1543.27536232,637.652173913,551
1,552,602.44047619,636.583333333,552
1,553,828.018181818,638.472727273,553
1,554,712.909090909,639.681818182,554
1,555,717.333333333,639.5,555
1,556,732.857142857,638.333333333,556
1,557,1549.15384615,639.346153846,557
1,558,790.595238095,640.095238095,558
1,559,969.176470588,639.352941176,559
1,560,739.042944785,645.576687117,560
1,561,868.470588235,640.647058824,561
1,562,746.0,637.826086957,562
1,563,620.571428571,643.5,563
1,564,641.0,643.769230769,564
1,565,649.0,643.0,565
1,566,696.157894737,643.315789474,566
1,567,826.857142857,643.821428571,567
1,568,988.0,642.619047619,568
1,569,602.275862069,644.413793103,569
1,570,711.068965517,644.068965517,570
1,571,716.0,643.692307692,571
1,572,819.263157895,644.98245614,572
1,573,923.75,645.5,573
1,574,1533.54385965,643.736842105,574
1,575,877.043478261,645.608695652,575
1,576,902.192307692,644.346153846,576
1,577,953.117647059,645.588235294,577
1,578,871.28125,645.875,578
1,579,1528.11538462,646.75,579
1,580,957.672131148,650.475409836,580
1,581,1522.52,648.24,581
