ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,788.067164179,10.0970149254,1
1,2,769.644776119,19.7910447761,2
1,3,798.007326007,21.8351648352,3
1,4,750.646532438,21.6666666667,4
1,5,812.70855615,22.8903743316,5
1,6,780.843137255,27.3758169935,6
1,7,715.0,37.4851851852,7
1,8,737.477832512,34.8522167488,8
1,9,750.275,35.175,9
1,10,807.153465347,39.1212871287,10
1,11,754.375690608,41.7320441989,11
1,12,725.042553191,48.2978723404,12
1,13,768.989169675,47.3537906137,13
1,14,845.98880597,41.2425373134,14
1,15,855.051020408,53.4306122449,15
1,16,674.677012609,52.5955383123,16
1,17,706.276836158,53.2937853107,17
1,18,830.215654952,44.2076677316,18
1,19,794.413754228,52.5546786922,19
1,20,869.787330317,55.0,20
1,21,717.56937799,60.2009569378,21
1,22,686.137096774,65.0725806452,22
1,23,839.838068182,67.2670454545,23
1,24,876.91372549,62.9607843137,24
1,25,706.456790123,66.9320987654,25
1,26,814.477272727,66.1818181818,26
1,27,632.980683507,75.7280832095,27
1,28,655.16751269,75.6328257191,28
1,29,695.349544073,74.7872340426,29
1,30,749.081409478,65.5127582017,30
1,31,727.583050847,69.1118644068,31
1,32,613.660649819,77.0054151625,32
1,33,869.965897693,77.926780341,33
1,34,826.197568389,77.085106383,34
1,35,681.880952381,77.880952381,35
1,36,779.229390681,72.5400238949,36
1,37,672.432372506,80.4722838137,37
1,38,725.934228188,85.0067114094,38
1,39,832.844632768,90.0254237288,39
1,40,802.119331742,90.2279236277,40
1,41,896.113636364,86.8116883117,41
1,42,583.077054795,90.9434931507,42
1,43,684.495495495,93.957957958,43
1,44,759.463659148,87.8521303258,44
1,45,948.452322738,96.6699266504,45
1,46,649.43697479,94.6554621849,46
1,47,639.742857143,95.0761904762,47
1,48,777.168224299,95.8878504673,48
1,49,912.017647059,102.324509804,49
1,50,990.760545906,103.811414392,50
1,51,931.991803279,102.93715847,51
1,52,970.559440559,97.6456876457,52
1,53,749.383870968,99.5677419355,53
1,54,874.168498168,94.7399267399,54
1,55,659.165217391,101.813043478,55
1,56,599.126482213,103.887351779,56
1,57,568.528896673,105.038528897,57
1,58,891.136094675,101.331360947,58
1,59,1015.72700297,103.810089021,59
1,60,679.13125,108.0,60
1,61,697.733576642,105.616788321,61
1,62,708.59787234,97.3382978723,62
1,63,733.885813149,106.567474048,63
1,64,539.258503401,111.367346939,64
1,65,619.033203125,105.416015625,65
1,66,834.034042553,108.069503546,66
1,67,637.102409639,109.295180723,67
1,68,813.869822485,111.159763314,68
1,69,1031.57281553,116.080097087,69
1,70,767.956043956,109.521978022,70
1,71,672.988372093,113.76744186,71
1,72,842.447619048,116.028571429,72
1,73,950.452830189,114.371069182,73
1,74,744.125773196,117.177319588,74
1,75,868.341935484,113.506451613,75
1,76,1052.69832402,119.134078212,76
1,77,874.800925926,120.981481481,77
1,78,804.391304348,117.789855072,78
1,79,995.804878049,119.837398374,79
1,80,615.514705882,119.62254902,80
1,81,657.835555556,123.734444444,81
1,82,776.212003872,124.564375605,82
1,83,555.906116643,120.536273115,83
1,84,629.709677419,120.215053763,84
1,85,720.637065637,119.335907336,85
1,86,853.893846154,115.338461538,86
1,87,1009.51162791,121.360465116,87
1,88,529.631147541,121.409836066,88
1,89,885.871186441,125.444067797,89
1,90,973.187935035,126.201856148,90
1,91,956.262857143,121.988571429,91
1,92,705.502564103,125.097435897,92
1,93,917.231023102,128.762376238,93
1,94,932.660287081,126.062200957,94
1,95,716.707317073,127.43902439,95
1,96,1001.38223938,130.173745174,96
1,97,518.485148515,130.589108911,97
1,98,673.540740741,130.333333333,98
1,99,621.974789916,128.567226891,99
1,100,1066.08316832,128.79009901,100
1,101,534.968553459,129.937106918,101
1,102,731.75257732,131.587628866,102
1,103,639.035,137.3425,103
1,104,581.315508021,129.796791444,104
1,105,689.601809955,132.998868778,105
1,106,862.271604938,134.802469136,106
1,107,812.597156398,134.663507109,107
1,108,565.532258065,135.767281106,108
1,109,597.491258741,130.996503497,109
1,110,749.805970149,129.220895522,110
1,111,1046.45874587,134.719471947,111
1,112,793.87150838,129.162011173,112
1,113,830.787234043,136.707930368,113
1,114,619.060085837,141.412017167,114
1,115,940.733870968,138.548387097,115
1,116,647.902953586,143.675105485,116
1,117,673.494736842,140.410526316,117
1,118,875.558139535,139.058139535,118
1,119,954.212121212,140.642424242,119
1,120,548.895522388,144.27238806,120
1,121,728.727272727,153.361038961,121
1,122,847.403669725,142.155963303,122
1,123,903.171929825,147.033333333,123
1,124,1213.18324607,139.382198953,124
1,125,1022.07142857,143.37244898,125
1,126,584.209205021,144.669456067,126
1,127,773.772727273,143.654545455,127
1,128,983.906896552,144.624137931,128
1,129,527.929292929,146.904040404,129
1,130,716.759174312,141.853211009,130
1,131,746.197952218,149.003412969,131
1,132,786.563636364,142.448484848,132
1,133,800.068592058,143.812274368,133
1,134,496.263056093,146.932301741,134
