ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,834.228571429,34.6,1
1,2,838.838709677,38.0967741935,2
1,3,872.777777778,38.5555555556,3
1,4,863.933333333,40.2333333333,4
1,5,887.710526316,40.0657894737,5
1,6,884.0,42.4444444444,6
1,7,902.0,40.96875,7
1,8,885.5625,46.4791666667,8
1,9,902.314285714,48.4142857143,9
1,10,940.777777778,55.5555555556,10
1,11,729.304347826,56.4347826087,11
1,12,840.875,57.125,12
1,13,732.806451613,59.3548387097,13
1,14,876.375,60.375,14
1,15,890.701030928,60.9587628866,15
1,16,967.168141593,60.8849557522,16
1,17,932.936170213,60.7446808511,17
1,18,881.625,64.5625,18
1,19,944.953020134,62.4295302013,19
1,20,858.847826087,66.2391304348,20
1,21,903.903225806,64.6129032258,21
1,22,831.75,66.2916666667,22
1,23,926.631578947,67.4210526316,23
1,24,950.507462687,68.1791044776,24
1,25,977.4375,66.5,25
1,26,936.922705314,71.9178743961,26
1,27,889.2,69.0,27
1,28,984.210526316,70.5789473684,28
1,29,962.923076923,70.4615384615,29
1,30,973.5,72.4,30
1,31,989.055555556,73.6944444444,31
1,32,903.556451613,74.4274193548,32
1,33,979.518518519,75.5740740741,33
1,34,877.785714286,75.5476190476,34
1,35,957.459770115,75.7701149425,35
1,36,948.444444444,78.1746031746,36
1,37,993.171052632,77.8684210526,37
1,38,966.731707317,79.756097561,38
1,39,862.605263158,80.2894736842,39
1,40,907.5,81.3636363636,40
1,41,982.828125,81.546875,41
1,42,883.763157895,81.4342105263,42
1,43,641.714285714,83.5,43
1,44,872.657657658,82.0810810811,44
1,45,932.2,83.0,45
1,46,834.628571429,84.0,46
1,47,856.363636364,83.6818181818,47
1,48,884.647058824,86.7647058824,48
1,49,1006.23255814,85.511627907,49
1,50,632.875,86.875,50
1,51,654.390243902,86.512195122,51
1,52,833.189189189,89.0810810811,52
1,53,718.633333333,87.9666666667,53
1,54,863.977777778,89.5333333333,54
1,55,624.8,91.5,55
1,56,870.42,91.3,56
1,57,737.954545455,91.8181818182,57
1,58,847.348837209,96.6395348837,58
1,59,855.952941176,92.7058823529,59
1,60,742.042857143,96.4,60
1,61,754.6,98.04,61
1,62,829.886363636,97.0681818182,62
1,63,985.696969697,97.0707070707,63
1,64,1000.94736842,98.4561403509,64
1,65,947.192307692,98.6025641026,65
1,66,995.380952381,98.2857142857,66
1,67,834.210526316,99.5263157895,67
1,68,884.18,99.3,68
1,69,912.222222222,99.5,69
1,70,876.407407407,103.925925926,70
1,71,952.08,101.06,71
1,72,726.102040816,101.367346939,72
1,73,745.279069767,101.860465116,73
1,74,830.545454545,102.454545455,74
1,75,860.506849315,102.02739726,75
1,76,977.777777778,99.8888888889,76
1,77,1011.85714286,101.523809524,77
1,78,838.372093023,103.395348837,78
1,79,989.484848485,101.96969697,79
1,80,734.119047619,103.666666667,80
1,81,995.180327869,105.393442623,81
1,82,1037.5,105.279069767,82
1,83,832.323529412,106.676470588,83
1,84,867.3,106.54,84
1,85,957.728395062,105.012345679,85
1,86,843.388888889,106.555555556,86
1,87,883.424242424,107.121212121,87
1,88,985.610738255,109.463087248,88
1,89,1002.45535714,109.428571429,89
1,90,734.193548387,108.064516129,90
1,91,1030.04166667,108.75,91
1,92,1068.61764706,108.529411765,92
1,93,963.536585366,109.365853659,93
1,94,968.066666667,111.066666667,94
1,95,908.807692308,112.25,95
1,96,974.212121212,110.787878788,96
1,97,1036.24,111.72,97
1,98,953.141304348,113.25,98
1,99,749.4375,113.125,99
1,100,785.84375,113.46875,100
1,101,1054.01666667,112.316666667,101
1,102,961.882352941,114.117647059,102
1,103,1062.99130435,116.408695652,103
1,104,755.470588235,115.235294118,104
1,105,1058.0,116.807692308,105
1,106,697.107142857,117.0,106
1,107,929.825,116.425,107
1,108,935.033333333,117.566666667,108
1,109,968.806451613,116.290322581,109
1,110,976.784615385,118.276923077,110
1,111,1072.6,116.4,111
1,112,955.244444444,118.977777778,112
1,113,779.5,119.888888889,113
1,114,1051.88059701,119.28358209,114
1,115,1078.60377358,119.264150943,115
1,116,1106.94444444,118.722222222,116
1,117,942.717948718,121.333333333,117
1,118,964.295652174,121.07826087,118
1,119,1087.72839506,120.864197531,119
1,120,727.891304348,121.826086957,120
1,121,1095.70526316,123.052631579,121
1,122,940.4,122.9,122
1,123,1103.20930233,123.209302326,123
1,124,1047.34883721,124.418604651,124
1,125,1055.81818182,124.909090909,125
1,126,956.130434783,126.239130435,126
1,127,980.283783784,125.743243243,127
1,128,913.934782609,128.543478261,128
1,129,1050.64583333,129.041666667,129
1,130,681.013333333,127.306666667,130
1,131,1109.0,127.939759036,131
1,132,810.661016949,128.508474576,132
1,133,1101.05555556,129.833333333,133
1,134,952.333333333,130.0,134
1,135,793.050847458,129.406779661,135
1,136,944.6,130.18,136
1,137,974.5,131.0,137
1,138,1021.18518519,131.148148148,138
1,139,1078.64285714,131.785714286,139
1,140,802.083333333,132.166666667,140
1,141,727.135135135,131.621621622,141
1,142,889.136363636,133.045454545,142
1,143,1088.8974359,134.346153846,143
1,144,1096.77777778,132.611111111,144
1,145,1108.75,134.0625,145
1,146,1113.71212121,134.984848485,146
1,147,1012.7,133.9,147
1,148,1118.8,133.633333333,148
1,149,766.75862069,136.086206897,149
1,150,810.56097561,135.951219512,150
1,151,904.026315789,136.236842105,151
1,152,1102.90909091,135.878787879,152
1,153,1122.64864865,137.108108108,153
1,154,830.909090909,137.772727273,154
1,155,898.55,136.775,155
1,156,1129.54545455,137.818181818,156
1,157,580.929577465,138.464788732,157
1,158,725.292682927,136.87804878,158
1,159,1065.71428571,137.367346939,159
1,160,1003.28571429,138.785714286,160
1,161,732.326086957,142.217391304,161
1,162,917.225806452,140.419354839,162
1,163,925.078947368,140.447368421,163
1,164,1100.55555556,139.805555556,164
1,165,1118.0,140.0,165
1,166,1057.24175824,140.681318681,166
1,167,1011.15238095,141.657142857,167
1,168,989.666666667,142.777777778,168
1,169,999.525423729,144.254237288,169
1,170,992.0,145.0,170
1,171,681.666666667,147.5,171
1,172,555.09375,148.0625,172
1,173,883.903614458,149.096385542,173
1,174,920.632653061,148.87755102,174
1,175,1190.85185185,152.833333333,175
1,176,759.6,153.333333333,176
1,177,852.666666667,153.266666667,177
1,178,892.117647059,153.294117647,178
1,179,932.157894737,154.473684211,179
1,180,1128.1980198,158.207920792,180
1,181,1131.30555556,154.444444444,181
1,182,875.2,157.866666667,182
1,183,994.8,158.457142857,183
1,184,1193.78571429,159.357142857,184
1,185,616.353846154,162.215384615,185
1,186,580.25,162.676470588,186
1,187,683.957446809,162.680851064,187
1,188,656.226415094,164.075471698,188
1,189,1124.5,164.5,189
1,190,612.166666667,164.944444444,190
1,191,969.481481481,165.592592593,191
1,192,615.384615385,167.0,192
1,193,732.214285714,166.357142857,193
1,194,581.8125,167.65625,194
1,195,603.533333333,167.533333333,195
1,196,819.366666667,167.366666667,196
1,197,990.761904762,168.857142857,197
1,198,1081.90625,168.0,198
1,199,1195.34090909,169.681818182,199
1,200,1202.68253968,165.174603175,200
1,201,1208.35714286,165.535714286,201
1,202,1215.16666667,167.064814815,202
1,203,683.352941176,168.411764706,203
1,204,1237.48235294,170.905882353,204
