ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,652.789473684,196.0,1
1,2,1033.70588235,205.411764706,2
1,3,779.6,208.04,3
1,4,983.148148148,207.62962963,4
1,5,790.111111111,214.666666667,5
1,6,1012.77777778,219.5,6
1,7,1119.48571429,224.142857143,7
1,8,601.578947368,225.421052632,8
1,9,844.285714286,227.5,9
1,10,935.0,227.5,10
1,11,984.5,239.5,11
1,12,1005.46153846,241.692307692,12
1,13,830.2,243.5,13
1,14,1001.68421053,250.0,14
1,15,991.212121212,250.848484848,15
1,16,997.608974359,257.307692308,16
1,17,985.158730159,257.841269841,17
1,18,989.822580645,263.258064516,18
1,19,979.363636364,263.181818182,19
1,20,794.352941176,265.411764706,20
1,21,984.967213115,268.639344262,21
1,22,946.35,269.3,22
1,23,996.083333333,268.916666667,23
1,24,975.806122449,272.663265306,24
1,25,969.596491228,271.245614035,25
1,26,982.222222222,274.0,26
1,27,966.853658537,277.390243902,27
1,28,977.493975904,280.807228916,28
1,29,751.56,282.12,29
1,30,339.44,286.24,30
1,31,967.84,283.96,31
1,32,965.088235294,288.823529412,32
1,33,991.625,289.5625,33
1,34,708.5,291.5,34
1,35,962.0,290.210526316,35
1,36,1187.5,291.5,36
1,37,1269.11764706,290.882352941,37
1,38,338.727272727,291.545454545,38
1,39,753.0,292.2,39
1,40,970.289473684,291.236842105,40
1,41,959.379310345,293.137931034,41
1,42,926.3125,294.3125,42
1,43,964.038461538,296.384615385,43
1,44,968.103448276,298.310344828,44
1,45,958.676470588,298.676470588,45
1,46,1167.28571429,302.178571429,46
1,47,954.81,304.65,47
1,48,957.454545455,318.477272727,48
1,49,490.411764706,323.117647059,49
1,50,966.428571429,324.476190476,50
1,51,1264.66666667,325.555555556,51
1,52,488.549019608,336.470588235,52
1,53,1163.04545455,362.227272727,53
1,54,635.306122449,393.081632653,54
1,55,528.333333333,393.125,55
1,56,307.703703704,403.296296296,56
1,57,310.814814815,406.814814815,57
1,58,411.5,413.5,58
1,59,1181.5,417.5,59
1,60,266.1,433.8,60
1,61,1373.53846154,439.153846154,61
1,62,1146.78571429,447.964285714,62
1,63,1342.0,451.5,63
1,64,1448.18518519,456.222222222,64
1,65,1408.35135135,459.216216216,65
1,66,1063.70454545,460.886363636,66
1,67,245.407407407,470.925925926,67
1,68,654.852459016,470.819672131,68
1,69,889.25,473.25,69
1,70,1135.7,480.066666667,70
1,71,1419.5,489.5,71
1,72,1465.15789474,503.263157895,72
1,73,1082.90909091,506.909090909,73
1,74,1356.42307692,511.230769231,74
1,75,531.422222222,515.088888889,75
1,76,566.414634146,526.756097561,76
1,77,697.823529412,528.764705882,77
1,78,799.96969697,528.787878788,78
1,79,1489.35294118,533.588235294,79
1,80,1200.40909091,536.772727273,80
1,81,678.75,543.75,81
1,82,580.444444444,545.111111111,82
1,83,1118.16666667,544.916666667,83
1,84,581.934782609,551.934782609,84
1,85,562.197368421,574.802631579,85
1,86,179.903846154,581.480769231,86
1,87,519.1,589.7,87
1,88,596.666666667,598.111111111,88
1,89,653.395833333,599.291666667,89
1,90,541.428571429,599.980519481,90
1,91,662.5,602.4,91
1,92,173.608695652,602.869565217,92
1,93,537.909090909,606.0,93
1,94,657.090909091,606.909090909,94
1,95,546.903225806,610.935483871,95
1,96,575.666666667,610.533333333,96
1,97,617.607843137,622.31372549,97
1,98,855.775862069,623.706896552,98
1,99,539.12195122,623.93495935,99
1,100,1255.87179487,629.948717949,100
1,101,535.8,631.0,101
1,102,618.444444444,630.555555556,102
1,103,602.62962963,635.240740741,103
1,104,636.423076923,633.076923077,104
1,105,609.366666667,634.9,105
1,106,626.736842105,634.736842105,106
1,107,633.3,635.0,107
1,108,843.8,635.5,108
1,109,638.777777778,637.444444444,109
1,110,567.44,640.76,110
1,111,1204.34615385,640.346153846,111
1,112,633.057971014,642.579710145,112
1,113,611.290322581,642.427419355,113
1,114,623.509090909,641.854545455,114
1,115,843.2,643.2,115
1,116,581.068181818,644.454545455,116
1,117,646.711711712,645.666666667,117
1,118,553.43902439,645.707317073,118
1,119,564.642857143,644.928571429,119
1,120,838.966666667,644.366666667,120
1,121,637.088235294,648.941176471,121
1,122,622.75,650.083333333,122
1,123,556.611111111,652.277777778,123
1,124,567.814814815,651.592592593,124
1,125,281.962962963,653.074074074,125
1,126,836.11627907,653.813953488,126
1,127,574.7,653.2,127
1,128,706.25,653.6,128
1,129,830.9,655.35,129
1,130,563.333333333,656.333333333,130
1,131,802.6,657.4,131
1,132,850.533333333,656.1,132
1,133,622.922077922,657.805194805,133
1,134,643.666666667,657.444444444,134
1,135,648.917808219,660.506849315,135
1,136,547.1875,661.328125,136
1,137,570.833333333,660.5,137
1,138,612.106382979,658.659574468,138
1,139,823.238095238,663.079365079,139
1,140,836.84,661.32,140
1,141,974.450980392,662.019607843,141
1,142,842.814285714,663.0,142
1,143,526.540540541,664.864864865,143
1,144,541.473684211,663.368421053,144
1,145,627.866666667,662.9,145
1,146,830.142857143,664.714285714,146
1,147,1204.13043478,663.130434783,147
1,148,620.625,666.84375,148
1,149,501.551020408,665.510204082,149
1,150,628.852941176,668.029411765,150
1,151,974.157142857,669.128571429,151
1,152,515.956521739,668.855072464,152
1,153,544.666666667,669.125,153
1,154,837.826086957,668.869565217,154
1,155,611.973684211,667.736842105,155
1,156,624.782608696,670.47826087,156
1,157,869.117647059,670.705882353,157
1,158,564.28,670.36,158
1,159,522.931034483,671.310344828,159
1,160,780.75,673.375,160
1,161,803.324675325,673.363636364,161
1,162,615.226415094,674.094339623,162
1,163,628.0,673.636363636,163
1,164,784.636363636,674.909090909,164
1,165,837.057142857,673.8,165
1,166,536.125,675.875,166
1,167,945.658227848,674.797468354,167
1,168,623.625,676.395833333,168
1,169,1226.11111111,678.388888889,169
1,170,889.0,678.875,170
1,171,892.454545455,679.181818182,171
1,172,620.807692308,681.692307692,172
1,173,824.285714286,682.485714286,173
1,174,867.902654867,680.92920354,174
1,175,615.0,684.25,175
1,176,850.852941176,683.941176471,176
