ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,516.642857143,537.071428571,1
1,2,651.564102564,543.564102564,2
1,3,574.846153846,554.153846154,3
1,4,729.0,565.0,4
1,5,645.409090909,574.772727273,5
1,6,465.5,591.0,6
1,7,673.387096774,608.258064516,7
1,8,710.125,608.333333333,8
1,9,718.380952381,609.714285714,9
1,10,927.8,613.76,10
1,11,717.038461538,618.307692308,11
1,12,853.407407407,622.037037037,12
1,13,742.909090909,628.636363636,13
1,14,695.6,634.05,14
1,15,883.409090909,637.181818182,15
1,16,639.297297297,639.540540541,16
1,17,742.692307692,640.923076923,17
1,18,873.444444444,644.333333333,18
1,19,668.142857143,649.80952381,19
1,20,513.153846154,653.423076923,20
1,21,687.148148148,654.074074074,21
1,22,718.75,654.75,22
1,23,920.5,667.5,23
1,24,1245.90909091,666.772727273,24
1,25,929.724137931,669.344827586,25
1,26,724.25,669.805555556,26
1,27,764.75,669.6875,27
1,28,895.0,670.5,28
1,29,1243.42307692,670.807692308,29
1,30,1234.79310345,670.689655172,30
1,31,656.636363636,672.909090909,31
1,32,1231.26923077,672.807692308,32
1,33,1447.11538462,673.153846154,33
1,34,1397.21052632,676.631578947,34
1,35,787.413793103,677.551724138,35
1,36,1033.11764706,680.617647059,36
1,37,1234.16,680.64,37
1,38,822.09375,682.0625,38
1,39,603.642857143,687.464285714,39
1,40,1314.59375,689.03125,40
1,41,1408.18181818,689.606060606,41
1,42,1101.0,690.894736842,42
1,43,699.227272727,692.909090909,43
1,44,802.4,693.96,44
1,45,865.090909091,694.090909091,45
1,46,704.305555556,694.305555556,46
1,47,848.5,695.0,47
1,48,1414.03030303,696.818181818,48
1,49,1349.66666667,700.0,49
1,50,491.5,700.8,50
1,51,1018.65,709.3,51
1,52,1436.73529412,708.294117647,52
1,53,848.352941176,711.0,53
1,54,778.588235294,711.617647059,54
1,55,1527.36363636,712.909090909,55
1,56,979.5,714.916666667,56
1,57,1332.96666667,717.9,57
1,58,1375.475,718.225,58
1,59,845.222222222,719.0,59
1,60,666.5,719.5,60
1,61,1534.70588235,722.5,61
1,62,1325.26470588,723.0,62
1,63,1335.82758621,725.103448276,63
1,64,1018.625,726.09375,64
1,65,1011.11764706,726.588235294,65
1,66,706.391304348,728.043478261,66
1,67,710.5,727.777777778,67
1,68,729.411764706,727.647058824,68
1,69,817.366666667,729.466666667,69
1,70,1256.22222222,732.851851852,70
1,71,913.421052632,734.105263158,71
1,72,1065.19047619,734.142857143,72
1,73,840.103448276,735.724137931,73
1,74,862.090909091,740.909090909,74
1,75,902.636363636,746.090909091,75
1,76,742.588235294,747.117647059,76
1,77,1020.06666667,747.266666667,77
1,78,1075.91428571,747.314285714,78
1,79,782.592592593,747.925925926,79
1,80,768.8,750.0,80
1,81,1015.57575758,752.666666667,81
1,82,691.117647059,754.411764706,82
1,83,1072.4,754.24,83
1,84,604.08,755.04,84
1,85,916.451612903,754.903225806,85
1,86,1244.61538462,755.5,86
1,87,1466.10344828,756.172413793,87
1,88,971.0,757.5,88
1,89,849.8,758.733333333,89
1,90,1285.625,759.25,90
1,91,843.0,760.4375,91
1,92,1371.5,761.285714286,92
1,93,1515.5,761.444444444,93
1,94,942.090909091,761.636363636,94
1,95,914.5,763.2,95
1,96,833.608695652,765.217391304,96
1,97,1247.0,765.142857143,97
1,98,723.291666667,765.708333333,98
1,99,775.321428571,765.678571429,99
1,100,804.8,765.5,100
1,101,1347.77777778,771.5,101
1,102,763.363636364,772.242424242,102
1,103,783.0,771.5,103
1,104,568.1,773.05,104
1,105,1036.5,774.285714286,105
1,106,842.0,775.5,106
1,107,1073.21875,775.125,107
1,108,804.8125,776.21875,108
1,109,837.608695652,776.565217391,109
1,110,1321.5,776.777777778,110
1,111,759.333333333,778.125,111
1,112,685.875,779.333333333,112
1,113,708.5,779.5,113
1,114,1238.63333333,780.366666667,114
1,115,648.074074074,781.407407407,115
1,116,1208.34615385,781.0,116
1,117,773.178571429,781.392857143,117
1,118,932.875,781.333333333,118
1,119,1437.17857143,783.392857143,119
1,120,1027.07407407,785.592592593,120
1,121,690.6,785.6,121
1,122,831.523809524,786.380952381,122
1,123,1345.61538462,785.615384615,123
1,124,618.2,787.5,124
1,125,772.0,787.0,125
1,126,1414.4,787.5,126
1,127,1435.88888889,790.037037037,127
1,128,834.148148148,792.0,128
1,129,1379.31428571,793.6,129
1,130,871.5,793.777777778,130
1,131,1512.0,794.0,131
1,132,770.821428571,794.571428571,132
1,133,954.5,794.777777778,133
1,134,656.384615385,796.615384615,134
1,135,823.481481481,797.111111111,135
1,136,867.1,797.3,136
1,137,717.714285714,798.5,137
1,138,596.04,799.4,138
1,139,771.1,799.966666667,139
1,140,1016.11764706,800.382352941,140
1,141,1199.87179487,799.871794872,141
1,142,854.965517241,800.827586207,142
1,143,1264.8,801.0,143
1,144,1306.82142857,800.892857143,144
1,145,683.882352941,802.411764706,145
1,146,812.75,803.5,146
1,147,1351.5,803.1875,147
1,148,867.5,804.5,148
1,149,923.5,804.5,149
1,150,640.894736842,805.421052632,150
1,151,748.125,806.1,151
1,152,753.0,805.206896552,152
1,153,1431.34782609,805.608695652,153
1,154,1443.63636364,806.090909091,154
1,155,1194.09090909,807.090909091,155
1,156,818.741935484,808.258064516,156
1,157,855.717948718,808.692307692,157
1,158,1545.82142857,808.607142857,158
1,159,1201.59259259,813.185185185,159
1,160,1268.06382979,814.234042553,160
1,161,770.419354839,814.935483871,161
1,162,787.818181818,816.303030303,162
1,163,1170.5,816.8,163
1,164,1242.5,816.4,164
1,165,1396.9047619,817.476190476,165
1,166,658.777777778,818.5,166
1,167,1403.5,818.0,167
1,168,1313.07407407,819.407407407,168
1,169,1376.04,818.76,169
1,170,695.258064516,820.322580645,170
1,171,562.9,820.966666667,171
1,172,1149.38461538,820.615384615,172
1,173,789.92,824.4,173
1,174,591.142857143,824.928571429,174
1,175,771.875,824.875,175
1,176,1194.5,824.714285714,176
1,177,1142.5862069,826.068965517,177
1,178,1454.1875,826.28125,178
1,179,1560.27777778,825.972222222,179
1,180,786.047619048,826.523809524,180
1,181,919.125,827.666666667,181
1,182,695.315789474,828.526315789,182
1,183,713.863636364,828.454545455,183
1,184,988.9,829.966666667,184
1,185,1300.91176471,830.323529412,185
1,186,657.285714286,831.5,186
1,187,699.448275862,831.413793103,187
1,188,1283.69565217,831.217391304,188
1,189,728.548387097,832.290322581,189
1,190,1150.15789474,831.842105263,190
1,191,558.9375,832.75,191
1,192,716.0,833.5,192
1,193,774.352941176,833.0,193
1,194,1051.86363636,832.545454545,194
1,195,1190.45454545,834.181818182,195
1,196,1200.03030303,835.757575758,196
1,197,1267.57575758,836.333333333,197
1,198,780.470588235,838.352941176,198
1,199,1322.92592593,838.592592593,199
1,200,1392.4516129,838.290322581,200
1,201,981.133333333,838.9,201
1,202,1033.63333333,839.366666667,202
1,203,598.782608696,840.913043478,203
1,204,1292.80952381,840.857142857,204
1,205,580.592592593,842.074074074,205
1,206,1198.10714286,842.107142857,206
1,207,824.111111111,843.5,207
1,208,1429.76190476,844.380952381,208
1,209,567.151515152,845.878787879,209
