ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1039.69230769,197.307692308,1
1,2,1035.5,219.5,2
1,3,1005.94285714,239.371428571,3
1,4,991.666666667,250.444444444,4
1,5,1001.02777778,248.361111111,5
1,6,1000.81395349,255.348837209,6
1,7,995.238095238,254.976190476,7
1,8,985.7,257.45,8
1,9,991.685714286,260.371428571,9
1,10,1002.5,260.727272727,10
1,11,978.142857143,266.285714286,11
1,12,973.96969697,268.484848485,12
1,13,969.481481481,271.944444444,13
1,14,969.592592593,279.185185185,14
1,15,969.523809524,284.142857143,15
1,16,973.709090909,286.309090909,16
1,17,960.411764706,291.117647059,17
1,18,965.409836066,289.049180328,18
1,19,970.351351351,295.108108108,19
1,20,956.233766234,299.519480519,20
1,21,961.717948718,298.307692308,21
1,22,959.677419355,305.225806452,22
1,23,959.217391304,317.086956522,23
1,24,1167.5,354.0,24
1,25,867.0,361.2,25
1,26,849.710526316,370.684210526,26
1,27,607.285714286,603.5,27
1,28,601.592592593,608.018518519,28
1,29,640.536585366,633.780487805,29
1,30,626.260869565,639.652173913,30
1,31,847.05,642.75,31
1,32,606.441176471,646.362745098,32
1,33,644.0,642.681818182,33
1,34,613.954545455,645.045454545,34
1,35,629.513513514,646.027027027,35
1,36,640.063829787,646.595744681,36
1,37,578.19047619,648.857142857,37
1,38,611.666666667,650.791666667,38
1,39,635.0,650.192307692,39
1,40,622.45,651.35,40
1,41,645.956521739,650.405797101,41
1,42,573.414634146,652.146341463,42
1,43,845.950819672,650.901639344,43
1,44,569.357142857,653.357142857,44
1,45,651.268292683,653.219512195,45
1,46,587.287878788,654.53030303,46
1,47,612.5,654.75,47
1,48,628.534883721,653.744186047,48
1,49,578.142857143,656.257142857,49
1,50,808.5,656.772727273,50
1,51,842.24137931,656.24137931,51
1,52,568.304347826,658.108695652,52
1,53,634.230769231,657.538461538,53
1,54,607.0,657.163636364,54
1,55,646.4375,658.916666667,55
1,56,655.75,657.59375,56
1,57,590.166666667,660.041666667,57
1,58,640.428571429,658.028571429,58
1,59,839.257142857,662.671428571,59
1,60,809.666666667,660.5,60
1,61,571.2,663.6,61
1,62,625.566666667,661.433333333,62
1,63,638.05,663.15,63
1,64,561.585714286,662.657142857,64
1,65,585.8,663.0,65
1,66,629.391304348,664.695652174,66
1,67,568.363636364,664.818181818,67
1,68,575.021276596,662.553191489,68
1,69,580.75862069,665.034482759,69
1,70,805.827586207,666.051724138,70
1,71,583.344827586,669.103448276,71
1,72,641.074074074,665.740740741,72
1,73,809.722222222,666.666666667,73
1,74,623.921052632,666.868421053,74
1,75,575.346153846,669.076923077,75
1,76,615.220588235,667.676470588,76
1,77,831.558823529,669.352941176,77
1,78,846.260869565,669.0,78
1,79,564.333333333,671.142857143,79
1,80,569.057142857,669.771428571,80
1,81,639.038461538,671.038461538,81
1,82,644.75,669.5,82
1,83,837.794871795,669.615384615,83
1,84,842.807692308,670.769230769,84
1,85,550.0,674.0,85
1,86,815.06,671.58,86
1,87,808.111111111,674.0,87
1,88,573.304347826,673.0,88
1,89,631.107142857,673.0,89
1,90,848.972222222,673.444444444,90
1,91,617.714285714,673.892857143,91
1,92,623.4,674.833333333,92
1,93,567.47826087,677.347826087,93
1,94,580.709677419,676.387096774,94
1,95,635.65,675.25,95
1,96,812.481481481,676.592592593,96
1,97,842.678571429,677.0,97
1,98,556.058823529,678.294117647,98
1,99,575.923076923,678.307692308,99
1,100,627.0,679.527777778,100
1,101,633.28,678.76,101
1,102,831.188405797,679.014492754,102
1,103,585.0,680.0,103
1,104,617.564102564,678.58974359,104
1,105,807.64,679.2,105
1,106,562.386363636,683.636363636,106
1,107,787.526315789,680.631578947,107
1,108,799.323076923,680.707692308,108
1,109,813.714285714,681.571428571,109
1,110,616.933333333,683.566666667,110
1,111,764.657142857,682.914285714,111
1,112,607.838235294,683.985294118,112
1,113,623.060606061,683.060606061,113
1,114,633.391304348,685.956521739,114
1,115,790.621621622,684.513513514,115
1,116,839.244444444,683.933333333,116
1,117,846.327272727,684.4,117
1,118,569.166666667,684.425925926,118
1,119,653.916666667,685.708333333,119
1,120,795.32,684.4,120
1,121,769.862745098,686.411764706,121
1,122,804.533333333,684.133333333,122
1,123,814.0,687.096774194,123
1,124,820.541666667,685.666666667,124
1,125,623.823529412,687.294117647,125
1,126,635.818181818,687.454545455,126
1,127,604.310344828,688.344827586,127
1,128,617.219512195,688.292682927,128
1,129,628.133333333,686.966666667,129
1,130,686.0,687.5,130
1,131,776.538461538,688.0,131
1,132,783.706521739,685.967391304,132
1,133,797.136363636,688.545454545,133
1,134,852.55,687.4,134
1,135,570.545454545,689.939393939,135
1,136,760.975609756,687.414634146,136
1,137,875.215686275,688.215686275,137
1,138,625.6,690.533333333,138
1,139,790.315789474,689.947368421,139
1,140,804.106382979,688.446808511,140
1,141,845.285714286,689.904761905,141
1,142,861.620689655,689.931034483,142
1,143,856.178571429,690.892857143,143
1,144,588.102040816,693.408163265,144
1,145,663.529411765,692.117647059,145
1,146,764.4,692.5,146
1,147,829.293333333,691.173333333,147
1,148,841.789473684,692.368421053,148
1,149,592.208333333,694.125,149
1,150,758.517857143,693.303571429,150
1,151,768.2,693.0,151
1,152,792.666666667,693.980392157,152
1,153,799.52173913,692.391304348,153
1,154,837.615384615,693.384615385,154
1,155,864.317073171,693.292682927,155
1,156,571.820512821,694.717948718,156
1,157,576.866666667,693.866666667,157
1,158,597.152542373,694.406779661,158
1,159,623.189655172,693.793103448,159
1,160,750.071428571,694.642857143,160
1,161,786.607843137,697.509803922,161
1,162,806.961538462,693.961538462,162
1,163,564.591549296,693.535211268,163
1,164,798.333333333,695.333333333,164
1,165,655.8125,695.03125,165
1,166,542.428571429,696.607142857,166
1,167,582.056910569,700.967479675,167
1,168,630.36,696.38,168
1,169,661.75,697.75,169
1,170,713.0,697.0,170
1,171,797.108108108,699.594594595,171
1,172,826.090909091,698.090909091,172
1,173,641.566666667,698.4,173
1,174,692.11627907,697.255813953,174
1,175,738.350877193,698.070175439,175
1,176,807.206896552,697.586206897,176
1,177,818.913043478,697.434782609,177
1,178,854.786666667,697.813333333,178
1,179,866.943548387,697.096774194,179
1,180,609.80952381,699.428571429,180
1,181,650.716981132,698.188679245,181
1,182,781.853658537,698.829268293,182
1,183,560.402439024,702.012195122,183
1,184,574.09375,699.25,184
1,185,597.153846154,700.538461538,185
1,186,601.529411765,699.529411765,186
1,187,542.7,701.3,187
1,188,588.709677419,701.290322581,188
1,189,593.5625,700.6875,189
1,190,806.5,702.023809524,190
1,191,819.923076923,701.346153846,191
1,192,551.745454545,702.618181818,192
1,193,603.6,703.2,193
1,194,631.108108108,702.891891892,194
1,195,778.388888889,702.722222222,195
1,196,569.125,703.125,196
1,197,620.14375,702.2875,197
1,198,646.793103448,705.827586207,198
1,199,763.058823529,702.882352941,199
1,200,771.6,703.633333333,200
1,201,790.515151515,703.96969697,201
1,202,800.8,702.7,202
1,203,575.636363636,703.545454545,203
1,204,661.114285714,704.228571429,204
1,205,849.461538462,703.846153846,205
1,206,575.375,708.041666667,206
1,207,610.872340426,705.191489362,207
1,208,656.04,707.76,208
1,209,727.84,705.2,209
1,210,737.4,705.8,210
1,211,766.714285714,706.357142857,211
1,212,857.90625,706.0625,212
1,213,592.117647059,707.044117647,213
1,214,604.965517241,706.827586207,214
1,215,638.928571429,706.267857143,215
1,216,775.074074074,707.296296296,216
1,217,806.2,707.5,217
1,218,630.321428571,707.25,218
1,219,750.275,708.875,219
1,220,789.818181818,708.454545455,220
1,221,796.710526316,707.131578947,221
1,222,563.910714286,708.285714286,222
1,223,664.825,709.125,223
1,224,725.8,709.0,224
1,225,762.125,709.25,225
1,226,783.206896552,707.413793103,226
1,227,813.264150943,708.811320755,227
1,228,573.277777778,710.611111111,228
1,229,614.828571429,710.114285714,229
1,230,861.181818182,710.636363636,230
1,231,872.285714286,709.428571429,231
1,232,556.416666667,710.75,232
1,233,777.304347826,710.913043478,233
1,234,600.0,708.84057971,234
1,235,755.576923077,711.461538462,235
1,236,772.866666667,712.0,236
1,237,785.275,712.425,237
1,238,795.608695652,712.869565217,238
1,239,800.76,711.6,239
1,240,850.583333333,711.708333333,240
1,241,580.571428571,710.69047619,241
1,242,593.428571429,712.071428571,242
1,243,627.568181818,712.090909091,243
1,244,634.333333333,712.296296296,244
1,245,656.833333333,712.833333333,245
1,246,680.25,712.416666667,246
1,247,739.5,712.894736842,247
1,248,751.75,713.75,248
1,249,770.461538462,713.307692308,249
1,250,807.484848485,713.090909091,250
1,251,855.676470588,712.852941176,251
1,252,865.923076923,713.307692308,252
1,253,570.305555556,715.222222222,253
1,254,584.12195122,713.56097561,254
1,255,597.0,713.7,255
1,256,608.726190476,714.69047619,256
1,257,695.681818182,713.931818182,257
1,258,709.914285714,713.657142857,258
1,259,790.166666667,713.611111111,259
1,260,553.795918367,715.102040816,260
1,261,616.789473684,714.578947368,261
1,262,714.866666667,716.266666667,262
1,263,827.824561404,712.385964912,263
1,264,861.48,714.88,264
1,265,689.476190476,717.523809524,265
1,266,767.739130435,715.782608696,266
1,267,889.266666667,716.333333333,267
1,268,574.333333333,717.074074074,268
1,269,590.886363636,715.0,269
1,270,602.7,717.2,270
1,271,614.9,718.1,271
1,272,622.230769231,714.784615385,272
1,273,784.454545455,717.363636364,273
1,274,792.0,717.666666667,274
1,275,763.678571429,718.178571429,275
1,276,868.636363636,717.045454545,276
1,277,578.657142857,718.342857143,277
1,278,860.307692308,719.794871795,278
1,279,684.7,720.166666667,279
1,280,841.0,719.875,280
1,281,590.438202247,719.898876404,281
1,282,619.272727273,721.363636364,282
1,283,866.0,720.967741935,283
1,284,693.870967742,721.741935484,284
1,285,697.861111111,721.277777778,285
1,286,766.6,722.6,286
1,287,871.714285714,722.392857143,287
1,288,569.136363636,723.863636364,288
1,289,574.297297297,723.567567568,289
1,290,600.202531646,731.310126582,290
1,291,733.976744186,723.023255814,291
1,292,757.192307692,722.525641026,292
1,293,822.720930233,722.418604651,293
1,294,881.28125,724.3125,294
1,295,899.516129032,722.64516129,295
1,296,916.567901235,728.024691358,296
1,297,580.529411765,725.098039216,297
1,298,610.895833333,723.875,298
1,299,617.121212121,725.181818182,299
1,300,746.875,723.925,300
1,301,837.833333333,724.0,301
1,302,586.454545455,725.272727273,302
1,303,593.083333333,724.583333333,303
1,304,606.210526316,724.421052632,304
1,305,667.0,725.907407407,305
1,306,727.2,723.3,306
1,307,875.551724138,727.379310345,307
1,308,924.954545455,724.454545455,308
1,309,554.4,723.733333333,309
1,310,723.14516129,725.596774194,310
1,311,920.5,727.0,311
1,312,550.461538462,726.384615385,312
1,313,595.886792453,728.452830189,313
1,314,640.227272727,726.818181818,314
1,315,799.789473684,726.5,315
1,316,826.306451613,729.532258065,316
1,317,835.933333333,726.733333333,317
1,318,893.333333333,726.433333333,318
1,319,634.424242424,727.96969697,319
1,320,815.517647059,728.129411765,320
1,321,558.777777778,728.722222222,321
1,322,793.625,729.375,322
1,323,899.857142857,728.69047619,323
1,324,924.566666667,729.3,324
1,325,574.958333333,729.458333333,325
1,326,587.648148148,730.851851852,326
1,327,753.333333333,729.037037037,327
1,328,844.238095238,730.238095238,328
