ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,794.894736842,29.5789473684,1
1,2,806.390243902,31.3658536585,2
1,3,760.166666667,32.9444444444,3
1,4,774.379310345,34.1379310345,4
1,5,795.909090909,33.9090909091,5
1,6,799.916666667,34.75,6
1,7,821.295918367,39.3265306122,7
1,8,811.4,40.0666666667,8
1,9,794.866666667,41.9333333333,9
1,10,843.636363636,44.9090909091,10
1,11,825.454545455,50.6363636364,11
1,12,894.4,55.4,12
1,13,882.6,59.5,13
1,14,905.772727273,62.9090909091,14
1,15,875.0,64.0,15
1,16,652.363636364,64.0909090909,16
1,17,860.454545455,65.2272727273,17
1,18,652.0,67.3333333333,18
1,19,744.65,70.925,19
1,20,637.555555556,70.6388888889,20
1,21,627.390243902,71.8780487805,21
1,22,913.526315789,76.5789473684,22
1,23,916.277777778,79.1666666667,23
1,24,859.125,80.0,24
1,25,875.0,79.6363636364,25
1,26,910.714285714,80.380952381,26
1,27,871.578947368,82.2105263158,27
1,28,707.954545455,82.5909090909,28
1,29,867.875,82.5625,29
1,30,862.333333333,83.619047619,30
1,31,607.659574468,84.8723404255,31
1,32,615.907407407,85.5,32
1,33,873.384615385,85.5769230769,33
1,34,707.5,86.0,34
1,35,606.0,88.3823529412,35
1,36,839.304347826,89.5652173913,36
1,37,946.947368421,89.5789473684,37
1,38,595.620689655,91.1034482759,38
1,39,599.12,90.36,39
1,40,609.531914894,92.6170212766,40
1,41,616.043478261,94.5652173913,41
1,42,880.25,94.25,42
1,43,623.333333333,99.125,43
1,44,884.166666667,99.4583333333,44
1,45,890.820512821,99.0769230769,45
1,46,877.271186441,101.813559322,46
1,47,872.363636364,103.333333333,47
1,48,956.256410256,102.769230769,48
1,49,966.5,104.666666667,49
1,50,641.452380952,103.785714286,50
1,51,782.285714286,107.892857143,51
1,52,982.333333333,107.888888889,52
1,53,881.538461538,108.230769231,53
1,54,937.941176471,108.647058824,54
1,55,994.5,111.5,55
1,56,833.5,114.47826087,56
1,57,714.125,116.125,57
1,58,770.722222222,125.388888889,58
1,59,1037.0,125.8,59
1,60,875.75,129.333333333,60
1,61,872.041666667,132.625,61
1,62,1031.31578947,137.157894737,62
1,63,795.0,139.0,63
1,64,895.875,138.333333333,64
1,65,889.965517241,138.982758621,65
1,66,946.763888889,140.027777778,66
1,67,598.5,142.5,67
1,68,518.87755102,146.734693878,68
1,69,769.333333333,147.25,69
1,70,976.777777778,147.777777778,70
1,71,857.0,149.0,71
1,72,1070.93103448,150.586206897,72
1,73,824.125,151.041666667,73
1,74,502.136363636,154.272727273,74
1,75,507.666666667,154.047619048,75
1,76,510.725,157.375,76
1,77,495.724137931,158.448275862,77
1,78,488.153846154,161.0,78
1,79,919.944444444,161.611111111,79
1,80,1075.67857143,161.428571429,80
1,81,1079.91428571,163.571428571,81
1,82,816.666666667,164.857142857,82
1,83,1214.57142857,167.53968254,83
1,84,1224.36363636,169.454545455,84
1,85,1236.46,170.68,85
1,86,1247.4,173.066666667,86
1,87,478.833333333,173.633333333,87
1,88,1225.95238095,175.571428571,88
1,89,992.272727273,176.090909091,89
1,90,1232.06666667,176.4,90
1,91,1102.71794872,178.076923077,91
1,92,1254.71794872,176.897435897,92
1,93,476.208333333,178.333333333,93
1,94,1270.62962963,180.074074074,94
1,95,1262.77777778,180.444444444,95
1,96,472.935483871,182.225806452,96
1,97,1017.94117647,181.235294118,97
1,98,1097.22222222,180.5,98
1,99,1023.08,182.56,99
1,100,1245.0,181.964285714,100
1,101,1101.36363636,182.909090909,101
1,102,1248.12,184.24,102
1,103,1045.975,183.875,103
1,104,1090.875,183.875,104
1,105,1096.2,184.633333333,105
1,106,1285.16129032,185.290322581,106
1,107,1258.29508197,185.803278689,107
1,108,562.558823529,185.676470588,108
1,109,1043.67741935,187.096774194,109
1,110,1291.15789474,187.921052632,110
1,111,939.0,191.5,111
1,112,1173.5,196.5,112
1,113,1255.29166667,202.458333333,113
1,114,1177.08333333,204.166666667,114
1,115,513.814814815,205.185185185,115
1,116,1180.26315789,205.368421053,116
1,117,534.708333333,206.25,117
1,118,906.071428571,209.071428571,118
1,119,1157.0952381,212.238095238,119
1,120,536.619047619,213.80952381,120
1,121,757.075471698,213.962264151,121
1,122,1161.0,215.105263158,122
1,123,926.930232558,218.790697674,123
1,124,682.0,220.5,124
1,125,1068.875,221.208333333,125
1,126,399.093023256,221.930232558,126
1,127,803.1875,222.5,127
1,128,868.65,223.3,128
1,129,1308.04,224.12,129
1,130,403.186046512,224.720930233,130
1,131,1062.8,227.7,131
1,132,1066.79166667,227.5,132
1,133,922.0625,228.1375,133
1,134,391.607142857,228.857142857,134
1,135,407.647058824,230.588235294,135
1,136,392.473684211,232.105263158,136
1,137,397.027027027,232.783783784,137
1,138,600.875,232.875,138
1,139,404.93877551,234.204081633,139
1,140,733.5,235.5,140
1,141,1063.25925926,234.333333333,141
1,142,1141.04,237.4,142
1,143,451.0,238.0,143
1,144,1056.88333333,240.9,144
1,145,389.715686275,240.519607843,145
1,146,746.333333333,242.888888889,146
