ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,791.22,140.84,1
1,2,786.595744681,145.595744681,2
1,3,787.825,152.25,3
1,4,781.835294118,169.505882353,4
1,5,769.581818182,176.963636364,5
1,6,774.525510204,179.214285714,6
1,7,783.214285714,181.828571429,7
1,8,767.761904762,183.30952381,8
1,9,1718.70588235,466.941176471,9
1,10,1762.64444444,490.511111111,10
1,11,1749.80487805,488.536585366,11
1,12,1759.203125,496.109375,12
1,13,1774.5,500.0,13
1,14,1766.30434783,501.52173913,14
1,15,1777.92307692,503.153846154,15
1,16,764.476190476,514.095238095,16
1,17,1797.8,526.0,17
1,18,727.28,547.24,18
1,19,716.894736842,548.228070175,19
1,20,723.75,553.625,20
1,21,715.748344371,556.682119205,21
1,22,1822.22580645,560.629032258,22
1,23,723.657142857,562.942857143,23
1,24,709.361904762,561.352380952,24
1,25,707.25,565.642857143,25
1,26,692.812244898,566.897959184,26
1,27,720.853658537,569.658536585,27
1,28,713.934065934,571.923076923,28
1,29,729.715277778,572.819444444,29
1,30,738.230769231,573.615384615,30
1,31,706.098901099,574.417582418,31
1,32,694.25,576.0,32
1,33,1831.29787234,575.212765957,33
1,34,682.303030303,579.03030303,34
1,35,722.379310345,577.75862069,35
1,36,1837.16666667,578.460784314,36
1,37,1842.63716814,585.548672566,37
1,38,679.894736842,584.631578947,38
1,39,702.923076923,588.409090909,39
1,40,718.341991342,588.134199134,40
1,41,686.50625,586.09375,41
1,42,724.26,590.32,42
1,43,1849.81538462,592.261538462,43
1,44,693.392405063,596.611814346,44
1,45,682.115384615,596.423076923,45
1,46,730.183673469,595.12244898,46
1,47,1857.22093023,599.76744186,47
1,48,683.571428571,602.214285714,48
1,49,708.75,602.375,49
1,50,1856.51724138,605.275862069,50
1,51,691.863636364,606.363636364,51
1,52,737.256756757,606.243243243,52
1,53,720.125,608.75,53
1,54,1862.61538462,609.0,54
1,55,979.732142857,613.696428571,55
1,56,1867.76923077,611.938461538,56
1,57,635.5,618.0,57
1,58,642.32,617.0,58
1,59,702.56,618.08,59
1,60,678.095238095,619.619047619,60
1,61,1867.67272727,619.381818182,61
1,62,1874.21276596,619.021276596,62
1,63,694.681818182,619.627272727,63
1,64,646.092307692,623.830769231,64
1,65,632.666666667,621.388888889,65
1,66,638.333333333,621.388888889,66
1,67,712.485294118,622.705882353,67
1,68,725.866666667,623.5,68
1,69,703.244186047,624.186046512,69
1,70,718.841059603,624.046357616,70
1,71,728.770642202,630.504587156,71
1,72,746.5,627.5,72
1,73,670.153846154,628.702564103,73
1,74,958.634615385,627.576923077,74
1,75,941.172413793,628.603448276,75
1,76,697.388888889,631.027777778,76
1,77,949.625,630.971153846,77
1,78,754.631578947,632.842105263,78
1,79,760.96,635.616,79
1,80,642.947368421,634.578947368,80
1,81,937.090909091,636.909090909,81
1,82,944.178571429,636.25,82
1,83,708.941176471,635.470588235,83
1,84,745.934782609,635.826086957,84
1,85,668.791208791,640.620879121,85
1,86,638.97826087,641.347826087,86
1,87,645.72,639.72,87
1,88,652.285714286,640.261904762,88
1,89,705.639344262,638.229508197,89
1,90,738.7,639.95,90
1,91,951.69047619,641.047619048,91
