X	Y
0	0
0	4025
4025	0
4025	4025
823.25	36.25
865.9315068	46.01369863
843.5	52.5
703.7391304	66.97826087
680.372093	74.11627907
670.7826087	77.30434783
666.3	77.53333333
679.5416667	80.54166667
660.2	82.83333333
860.1578947	83.15789474
913.1578947	84.68421053
664.2	86.06153846
987.5	87.5
861.5609756	95.31707317
955.5	97
933.3076923	98
788.9090909	97.36363636
786.5531915	100.8085106
903.5806452	101.4193548
851.9642857	101.8928571
860.1529412	104.0117647
946.6	103.5333333
791.7021277	103.1489362
939.7666667	105.0666667
886.6875	106.1875
851.0454545	108.5227273
872.625	108.25
1021.363636	108.5454545
1002.219512	109.6585366
1025.25	112.59375
1038.777778	112.6111111
1007.363636	114.9090909
1017.347826	115.0869565
1021.652174	114.7391304
1029.533333	115.7333333
1027.083333	119.1111111
984.4117647	119
948.5	121.1875
1030.1875	122.3125
635.56	139.92
1031.272727	143.5
864.8947368	145.5
697.9375	149.515625
965.5	148.5
867.1578947	151.5964912
932.2352941	170.2352941
1221.846154	171.1153846
1227.357143	171.1428571
1233.807692	172.5769231
1237.857143	173.2142857
1242.25	175.025
1249.44	175.8
1255.865385	178
1269.044643	180.4910714
1301.25	187.5
1022.536585	192.1463415
770.2978723	197.6382979
1295.830189	204.9622642
961	208
1300.15625	208.78125
559.7916667	213.0833333
927.7021277	213.2553191
1039.258065	214.2580645
922.2711864	216.3220339
594.0833333	218.1666667
592.0740741	222.9444444
834.5789474	229.8947368
1021.5	231
462.3611111	238.6944444
536.8888889	239.6666667
808.4242424	243.0909091
1301.277778	245.1111111
1415.269231	244.7307692
1129.489796	250.2653061
1420.113636	251.3409091
1425.722222	252.0277778
1262.805556	251.5833333
895.4074074	253.8148148
1136.6	252.4923077
1122.25641	253.2820513
1063.615385	257.2307692
1138.105263	257.5789474
1418.533333	256
1120.224138	257.7413793
1425.774194	258.2258065
1128.647059	258.7205882
1420.388889	259.1111111
448.0535714	259.5178571
1122.765957	264.3829787
776.5	264.5769231
1446	264.5
447	270.65
774.9285714	270.6428571
1063.466667	271.3666667
1071	272.8979592
1456.888889	272.6666667
1056.527778	273.8333333
1187	276.1538462
1451.857143	282.6428571
1044.69697	285.5454545
1075.288462	284.8076923
1079.166667	288.6481481
1482.647059	287
1455.695652	287.4347826
1062.941176	289.2941176
1403.5	288.5
1486.5	298.7857143
1488	301
1490	304.5
1022.405405	305.1351351
1495.125	306.4583333
1501.964706	311.4823529
1003.5	311.2941176
1511.777778	317.4444444
933.0666667	319.1333333
1279.414634	318.5609756
458.1034483	319.8275862
1397.26087	321.9565217
1521.583333	321.9166667
935.4851485	318.2376238
1278.911765	324.2352941
782.4444444	325.2222222
1210.531915	330
627.2222222	331
648.1764706	331.1176471
783.6956522	331.3478261
1070.866667	331.9333333
643.0666667	332.4222222
1545.5	336.125
1549.769231	340.3846154
1571.961538	347.0769231
1568.230769	349.7692308
399.8205128	351.4871795
1571.592593	352.3333333
543.0952381	355.1904762
1568	355
1581.148148	354.4444444
402.2321429	357.6607143
1576.69697	355.7575758
462.3333333	357.2666667
691.7096774	359
1583.487805	359.7804878
462.1538462	363
1596.916667	363.1666667
689.5945946	365.027027
693.7272727	364.0909091
1588.931034	364.6091954
1360.588235	364.3529412
685.0212766	367.7021277
1606.947368	367.6315789
752.5882353	369.8823529
1592.5	369.5
432.4857143	370.6
1606.1875	373.7083333
1620.794118	378.9411765
1609.607843	378.6470588
1616.604651	381.0465116
1624.3125	382.0625
1627.375	383.25
1617.52	387.04
577.9230769	386.5769231
1597.326087	387.4565217
1624.958333	389.6041667
1563.431373	390.745098
587.7407407	391.4444444
1601.980392	391.8235294
1594.942857	393.6285714
1627.846154	395.6153846
1634.215686	390.6470588
1392.2	396.1
1638.588235	395.6470588
1631.204545	396.6818182
1643.047619	398.047619
1636.571429	398.9285714
1637.388889	402.8888889
604.2631579	402.6315789
1178.5	403.5
1644.777778	403.1111111
1652.155556	403.5777778
600.2142857	404.4285714
599.0952381	409.7619048
645.4736842	409.1578947
1093.683544	409.6075949
1657.189394	411.7651515
1665.678571	411.4642857
1670.5625	419.796875
1663.4375	419.25
1408.057143	421.2857143
950.125	424.875
1673.666667	427.2222222
599.5	431.0375
1072.086957	432.5652174
949.89	432.09
956.825	434.375
1690.923077	436.3846154
1171.366667	440.3666667
1686.962963	439.1481481
1691.681818	442.1363636
486.9206349	447.1587302
1165.380952	445.7142857
1141.333333	447.7179487
441	453.2857143
440.5483871	457.516129
736.0714286	467.2857143
1162.15	466.9
1171	469
632.7368421	470.9649123
577.8	474.8666667
497.9166667	476.625
359.5747126	479.6206897
502.1111111	479.6666667
1168.275	480.35
292.6666667	481.4444444
1162.307692	483
346.7777778	483.8444444
1416.893617	485.106383
352.6451613	486.9032258
345.5227273	489.1818182
1232.928571	490.1428571
1517.090909	491.9090909
1554.9375	495.9375
1736.333333	495
1423.75	496.9166667
489.7333333	499.3333333
882.7333333	498.2666667
478.6153846	499.6153846
1012.8	500
1741.738095	500.2380952
499.8148148	502.654321
1444.651515	500.9090909
749.6842105	502.4210526
1007.933333	504.8333333
1746.2	505.6333333
494.9069767	506.4651163
1353.818182	506
1359.304348	506.9130435
390.7073171	507.3658537
848.5	508.5
1440.666667	506.6666667
1356.25	510.25
1077.818182	513.1818182
301.9230769	514.3076923
864.2727273	515.5
1358.588235	515.3529412
1360.08	518.68
691.9090909	518.2727273
1753	521.5
543.4047619	523.6904762
752.7272727	524.5
1349.204545	525.7954545
539.25	527.5833333
1395.714286	528.3571429
546.296875	529.890625
1392.263158	530.6315789
569.5869565	531.5362319
495.4761905	532.3809524
553.0865385	532.1923077
1339.153846	533.5384615
939.5	535.1875
996.1111111	536.4444444
1388.171429	536.8857143
1771.409836	534.557377
1778.253968	538.1904762
998.8181818	538.8181818
1457	538
1769.315789	538.7368421
345.3333333	539.2708333
691.5789474	540.6842105
686.3846154	544.4102564
494.9259259	546.4074074
645.125	546.78125
1787.275862	547
1781.909091	548.3636364
640.1	550.35
652	548.3157895
1788.918919	552.0540541
567.6666667	552.3333333
1197.806452	556.0645161
1785.52381	557.2857143
1790.133333	556.2666667
1193.565217	558.3478261
1363.962963	559.1111111
1188.116279	560.7209302
1083.09375	562.875
1796.019608	564.254902
1789.245614	566.4912281
1795.1875	569.375
1800.666667	568.5
1403.609756	571.5853659
1798.45	571.9
417.5333333	574.64
1212.076923	574.2307692
327.0645161	577.8064516
1806.409091	578.9545455
422.75	579.875
1404.30303	582.0606061
326.7272727	581.7272727
1804.111111	582.7777778
312	585
316.7222222	584.6388889
322.7391304	584.9130435
1807.909091	589.5909091
1818.533333	587.8
481.8604651	588.3255814
1801.384615	586.8461538
669.7692308	591.3846154
1804.5	592.3611111
1006.935484	595.1935484
484.627451	596.8431373
1364.722222	597.7037037
598.8888889	598.8148148
940.6428571	598.6
987.2105263	598.4736842
679.3095238	599.1666667
1012	602.1538462
942.5	603.8
1742.2	604.5
1737.697674	608.2093023
158.32	609.84
328.5423729	610.1864407
1532.892857	609.0714286
721.5	610.5
1437.555556	616.1746032
1003.26087	616.173913
892.2413793	622.4827586
697.95	623.4625
720.7321429	626.4732143
987	625.1666667
934.9375	626.34375
886.452381	629.1666667
876.9726027	629.609589
303.4545455	631.4090909
664.2340426	630.3829787
902.6666667	629.5555556
696.8076923	631
893.6666667	630.9444444
1057.411765	631.8823529
1034.411765	632.7058824
1830.924528	633.3773585
956.8333333	631.7619048
306.0454545	635.2272727
686.9387755	635.6122449
707.5	635.5
