X,Y
0,0
0,5143
5143,0
5143,5143
1271.521739,98.43478261
1277.464286,101.2142857
1265.965517,102.7241379
1271.849057,104.6792453
1283.484536,106.5876289
1306.41791,109.3731343
1261.695652,111.5217391
1344.2,115.5
1343.666667,122.6363636
1287.232558,127.3023256
1333.038462,127.1923077
1268.875,131.125
1356.136364,131
1314.078947,136.3157895
1339.492063,136.952381
1163.8,141.6333333
1079.916667,171.9722222
1071.666667,173.3
1332,174
1067.555556,176.7777778
1325.236842,175.1578947
1314.909091,177.3636364
1327.666667,180.2
1314.5,181.8333333
1063.818182,188
1056.854167,190.3541667
1051.241379,195.2413793
1053.888889,198.2222222
1318.732143,197.4821429
1043.383562,202.2876712
1129.046512,198.627907
1320.833333,204.7916667
1330.68,205.56
1350.75,205.4166667
1326.333333,207.2962963
1356.857143,208.4
1044.052632,210.2105263
1132.911765,209.6176471
1035.551724,211.1724138
1398.645161,215.6129032
1031.794872,217.1538462
1396.105263,219.7894737
1026.516129,221.6774194
1032.772727,224.2954545
1023.176471,226.2352941
1018.019608,231.0196078
1026.666667,235.1428571
1022.466667,239.3666667
1097.130435,240.2173913
1244.074074,242.5925926
1088.573333,243.2
1009.75,244.25
1095.678571,245.1428571
1097.741935,250.4193548
1380.909091,259.9090909
993.7021277,264.1489362
1108.073171,270.1219512
1191.857143,270.3571429
1402.885714,272.7142857
1110.576923,278
1388,278.5
1324.185185,284.1111111
1315.5,298.5
1243.882353,301.0588235
1363.5,311.6923077
1240.945946,340.4324324
1356.782609,346.9130435
1182.693878,357.7959184
1188,359
1173.5,363
1122.756757,363.6756757
1185.307692,363.9615385
1305.5,367.3636364
1105,370.8
1128.361111,373
1145.263158,379.9210526
1078,381.8636364
1110.6875,384.9375
1134.2,383.6
1060.164179,385.5074627
1119.62963,386
1037.526316,387.6315789
1046.45,387.575
1032.871795,392.2564103
1121.428571,393.2285714
907.5,394.3636364
1106.071429,403.8571429
1159.621622,406.2432432
1157.736842,411.3684211
1020.586207,415.7241379
1182.510638,415.8085106
985.3513514,426.2972973
902.1904762,428.4761905
894.8387097,432.0645161
1004.333333,435.8571429
892.6956522,438.0869565
1390.095238,440.9285714
1189.35,445.4
1275.083333,446.3333333
883.5,448
1350.96,452.36
977.137931,455.4137931
1359.487179,456.4615385
1353.045455,460.0227273
1349,462.40625
887.6,473.4
843,477.6129032
1284.235294,479.7647059
1289.771429,479.0571429
889.725,482.625
1103.5,482.1428571
860.6666667,482.6060606
845.875,483.9375
924.1785714,484.1428571
1281.733333,484.3666667
1287.344828,483.5862069
842.8421053,486.1578947
1029.272727,489.3636364
1065.925926,491.5925926
1030.263158,496.5263158
1314.228571,497.2285714
1208.8,505.3333333
1017,507.5
885.25,508.0909091
869.3214286,509.25
1352.681818,511.2272727
842.0740741,513.4074074
935.6875,513.4375
1296.882353,514.5882353
1124.183673,516.6122449
1128.527778,523.7638889
1121.294118,521.7647059
1114.52439,522.2804878
1146.5,523.5
1106.9,523.3
1253.166667,526.2692308
1133.90625,524.65625
1120.51938,530
1333.85,529.2
1261.317073,533.1463415
1168.285714,534.0714286
1264.652174,537.0869565
901.2941176,537.5882353
1114.378378,538.8648649
1257.522388,539.8358209
1394.125,538.625
1174.782609,541.3913043
1111.882353,542.9411765
1374.6875,543.0625
1109.684211,546
1050,546.5
1105,547
1251.055556,548.2592593
1011.142857,547.8571429
848.0175439,549.3157895
1357.782609,553.1304348
1131.689655,556.6896552
1094.307692,556.6346154
1126.347826,556.3913043
1150.910448,557.4029851
1122.151515,559.3939394
1083.612903,562.1612903
1098.882353,562.4705882
1152.368421,562.7368421
1107.16129,564.3870968
1103.909091,567.6363636
1116,567.5
1099.58,569.58
1091.210526,569.7017544
1108.589744,569.6923077
1139.433333,569.9666667
1199.125,570.1666667
1172.375,571
1080.916667,571.7777778
1103.625,571.875
1133.725,573.45
1076.459459,574.972973
1203.8125,573.34375
1070.52381,575.3333333
1123.081081,575.0810811
1403.5,575.2857143
1112.712121,577.1363636
1067.458333,579.75
1101.46,577.66
1081.259259,582.2962963
1088.214286,581.6428571
1093.818182,581.3181818
1134.916667,587.9166667
939.5333333,591.8666667
831.1578947,594.1578947
1267.909091,592.8181818
1133.615385,594.6923077
1148.703704,596.6666667
1192.921053,594.6578947
1187.237288,600.6779661
1343.724138,604.5862069
943.2222222,611.5
1041,610.76
1214.111111,615.6666667
815.6666667,619.0555556
1135.459459,622.6216216
1079.333333,627.125
779.25,631.75
1094.282051,641.4615385
791.2307692,646.6923077
844.0377358,648.0566038
851.8857143,650.7142857
864.4,653.6
874.8461538,657.7692308
771.5,661.25
914.8787879,662.6363636
1003.5,663
1044.607143,663
1092.728571,666.2285714
1422.96,668.36
954.1176471,670.7058824
1013.305556,669.5833333
1346.592593,671.0740741
1353.4375,670.65625
1420.461538,671.8461538
776.5666667,672.8333333
1327.411765,673.1176471
1176.292683,673.9268293
1135.232558,677.2093023
1393.592593,681.0740741
782.5,682
1385.131148,684.0655738
835.3684211,685.7368421
1422.3,700.1
1363.318182,703.8181818
1422.65,706.05
746.3684211,708.2631579
713.375,713.4375
1161.727273,716.0909091
1157.253165,718.6202532
894.6521739,719
1164.882353,719.5
843.5789474,723.1052632
1163.277778,723.5
1160.32,726
707.1578947,726.3157895
1186.478261,727.5652174
945.1111111,728.6666667
1103.909091,728.9090909
1181.166667,729.0833333
1369.428571,730.047619
707.48,730.88
763.7142857,730.5
799.7857143,732.7857143
1340.947368,732.3684211
705.6896552,738.3448276
1217.764706,738.1176471
810.9545455,741.7272727
986.4444444,741.3333333
699.4181818,742.7818182
1267,744.5
1407.952381,749.8095238
984.9411765,749.0784314
691.027027,755.9189189
698.4489796,756.2244898
1020,757.1818182
1071.3125,761.875
982.4516129,762.8709677
785.1875,767.625
1073.648649,766.972973
691.5,769.2857143
989,769.6140351
768.4,772.4
964.1904762,773.3928571
682.75,774.625
975.9354839,774.0322581
1009,774.6666667
946.1153846,775.6923077
978.4615385,778.3846154
1013.435897,778.1538462
1023.176471,779.9117647
1190.125,780.6666667
1428.941176,782.9411765
858.4,785.1333333
994.65,784.75
948.95,786.75
988.9555556,787.3111111
969.2553191,788.0212766
759.5185185,789.7037037
930.8125,789.625
962.6521739,789.5217391
1019.108333,791.1333333
975.9285714,793.8571429
817.3888889,795.9444444
1024,795.5806452
1018.25,799.375
1132.333333,799.2333333
1022.918919,801.7837838
971.28,803.08
792,805
997.6111111,804.6666667
1403.5,805.5
678.0909091,806.6363636
952.2,808.4352941
982.8,806.84
1007.578947,807
1097.642857,807.5357143
973.5448276,813.4413793
943.4333333,810.5333333
959.7096774,810.8709677
964.952381,810.3095238
876.6153846,812.6153846
929.1538462,813.5384615
968.9166667,815.75
1000.40678,817.6101695
1428.34375,817.21875
877.24,817.68
1387.703704,818.1111111
1433.485714,817.2285714
983.8888889,818.6666667
1006.333333,819.0833333
874.5,821.2
990.5,820.5
917.8205128,822.7435897
1065.5,825.5
1148.888889,828.4444444
1422.411765,827.8823529
988.6,839.24
1429.423077,844.5769231
958.7586207,847.5172414
988.2777778,850.0185185
966.2222222,853.1851852
843.04,852.96
951.0526316,853.7894737
1044.9375,852.96875
1328.195122,855.6097561
804.7857143,857.5535714
