ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1377.54545455,188.318181818,1
1,2,1382.47727273,194.409090909,2
1,3,1385.52380952,200.380952381,3
1,4,1403.63157895,202.912280702,4
1,5,1408.0,207.818181818,5
1,6,1396.28961749,211.617486339,6
1,7,1402.16666667,218.842592593,7
1,8,1409.77777778,214.0,8
1,9,1244.95555556,214.2,9
1,10,1406.36842105,221.596491228,10
1,11,1412.66071429,221.982142857,11
1,12,1416.12328767,226.808219178,12
1,13,1424.09615385,227.615384615,13
1,14,1274.04651163,236.441860465,14
1,15,1413.30769231,273.403846154,15
1,16,1420.63157895,287.789473684,16
1,17,1331.72,296.04,17
1,18,1258.07407407,316.481481481,18
1,19,1260.57142857,322.892857143,19
1,20,1445.81818182,335.431818182,20
1,21,1090.03703704,339.407407407,21
1,22,1398.6,347.942857143,22
1,23,1419.5,348.0,23
1,24,1223.275,349.8,24
1,25,1302.83333333,352.916666667,25
1,26,1231.77419355,356.483870968,26
1,27,1307.88235294,356.5,27
1,28,1228.60606061,363.121212121,28
1,29,1221.84,366.87,29
1,30,1248.0,364.625,30
1,31,1252.88372093,367.976744186,31
1,32,1307.5,366.0,32
1,33,1065.31818182,375.863636364,33
1,34,1217.0,375.5,34
1,35,957.880952381,380.261904762,35
1,36,1460.07142857,379.857142857,36
1,37,1240.72727273,381.272727273,37
1,38,1202.32394366,383.901408451,38
1,39,1235.84848485,385.96969697,39
1,40,1210.1,389.3,40
1,41,1241.91891892,391.824324324,41
1,42,1268.66666667,390.533333333,42
1,43,1231.65217391,394.434782609,43
1,44,1197.5,398.5,44
1,45,1209.85714286,403.571428571,45
1,46,1220.875,403.85,46
1,47,1238.25,406.142857143,47
1,48,1228.66037736,410.0,48
1,49,1200.92523364,409.53271028,49
1,50,1217.44186047,409.348837209,50
1,51,1233.26923077,412.153846154,51
1,52,1275.61363636,412.704545455,52
1,53,1256.0,415.341463415,53
1,54,1238.88235294,414.647058824,54
1,55,1303.39130435,416.739130435,55
1,56,1271.35185185,417.611111111,56
1,57,1223.22580645,422.806451613,57
1,58,1266.78181818,421.963636364,58
1,59,1278.6043956,420.78021978,59
1,60,1310.15555556,422.733333333,60
1,61,1195.16546763,427.669064748,61
1,62,1232.37096774,425.5,62
1,63,1286.47457627,423.813559322,63
1,64,1300.94594595,426.567567568,64
1,65,1308.32608696,427.608695652,65
1,66,1208.52777778,428.138888889,66
1,67,1247.48611111,426.416666667,67
1,68,1260.5915493,428.521126761,68
1,69,1267.07894737,439.652046784,69
1,70,1282.22222222,428.305555556,70
1,71,1277.16,428.64,71
1,72,1254.29508197,430.360655738,72
1,73,1240.96,429.16,73
1,74,1460.2,432.5,74
1,75,1245.68571429,435.342857143,75
1,76,1284.0212766,434.14893617,76
1,77,1191.49350649,438.090909091,77
1,78,1228.64705882,436.235294118,78
1,79,1274.4375,437.1875,79
1,80,1253.80882353,437.661764706,80
1,81,1241.44715447,439.837398374,81
1,82,1279.91566265,438.686746988,82
1,83,1225.26470588,441.970588235,83
1,84,1234.0,440.5,84
1,85,1254.52631579,445.302631579,85
1,86,1180.29213483,440.629213483,86
1,87,1201.84090909,444.363636364,87
1,88,1249.59090909,443.318181818,88
1,89,1312.5,443.5,89
1,90,1189.2,447.266666667,90
1,91,1339.08695652,448.347826087,91
1,92,1313.4,451.5,92
1,93,1260.65714286,453.0,93
1,94,1198.87096774,453.612903226,94
1,95,1328.46153846,455.230769231,95
1,96,1170.71428571,459.5,96
1,97,1335.33928571,458.357142857,97
1,98,1115.91666667,460.027777778,98
1,99,1324.21276596,463.446808511,99
1,100,1096.17647059,468.882352941,100
1,101,1326.03125,472.9375,101
1,102,1251.80152672,473.709923664,102
1,103,1382.0,475.5,103
1,104,1240.1,475.8,104
1,105,1258.15217391,477.695652174,105
1,106,947.5,479.7,106
1,107,1250.61682243,485.140186916,107
1,108,1218.32352941,484.191176471,108
1,109,1130.5,485.714285714,109
1,110,1282.04166667,485.8125,110
1,111,1347.5,489.285714286,111
1,112,1153.35714286,491.5,112
1,113,1223.11363636,491.136363636,113
1,114,1288.83333333,492.533333333,114
1,115,1137.0,497.45,115
1,116,1165.97647059,497.035294118,116
1,117,1330.11764706,497.058823529,117
1,118,1292.14035088,498.122807018,118
1,119,930.091836735,499.663265306,119
1,120,1280.66666667,499.541666667,120
1,121,1185.2,499.942857143,121
1,122,1295.41666667,503.291666667,122
1,123,1317.61728395,503.469135802,123
1,124,1143.91666667,503.733333333,124
1,125,1244.28,503.74,125
1,126,1263.54609929,504.765957447,126
1,127,1318.66666667,506.555555556,127
1,128,1168.66666667,505.555555556,128
1,129,1308.19047619,506.880952381,129
1,130,1347.5,509.5,130
1,131,1180.4137931,514.456896552,131
1,132,1204.5,513.230769231,132
1,133,1168.0,511.893333333,133
1,134,1191.97142857,512.1,134
1,135,1319.75221239,518.486725664,135
1,136,1207.77419355,518.838709677,136
1,137,1139.0,519.5,137
1,138,1143.23076923,519.230769231,138
1,139,1171.9,519.175,139
1,140,1187.88235294,522.630252101,140
1,141,1198.19387755,520.020408163,141
1,142,1177.43564356,526.198019802,142
1,143,1307.34567901,523.061728395,143
1,144,1164.74712644,523.252873563,144
1,145,1182.9,525.8,145
1,146,1277.76470588,528.68627451,146
1,147,1149.09090909,529.636363636,147
1,148,1191.23170732,531.12195122,148
1,149,1203.57635468,531.591133005,149
1,150,1160.4516129,532.634408602,150
1,151,1180.50617284,536.604938272,151
1,152,1299.84065934,532.554945055,152
1,153,1186.8358209,538.820895522,153
1,154,1284.33333333,538.212121212,154
1,155,1172.53703704,537.157407407,155
1,156,1196.76923077,540.641025641,156
1,157,1204.42222222,542.955555556,157
1,158,1303.1875,541.65625,158
1,159,1190.97701149,544.896551724,159
1,160,1134.0,545.5,160
1,161,1163.89959839,544.947791165,161
1,162,1305.7,546.95,162
1,163,1176.66071429,546.910714286,163
1,164,1116.08695652,547.971014493,164
1,165,1198.22222222,548.888888889,165
1,166,1159.15,552.7,166
1,167,1293.734375,549.015625,167
1,168,1224.80357143,550.625,168
1,169,1150.75,551.375,169
1,170,1183.39473684,548.973684211,170
1,171,1193.7,552.35,171
1,172,1116.62962963,554.962962963,172
1,173,1176.3030303,553.257575758,173
1,174,1262.42718447,553.650485437,174
1,175,1294.3125,557.2125,175
1,176,1301.875,556.125,176
1,177,1187.21367521,556.760683761,177
1,178,1194.47368421,558.263157895,178
1,179,1214.26923077,557.423076923,179
1,180,1247.61538462,559.769230769,180
1,181,1090.2962963,562.296296296,181
1,182,1115.0,561.086956522,182
1,183,1146.11594203,561.637681159,183
