ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1285.4,48.65,1
1,2,1279.75555556,54.3185185185,2
1,3,1232.04761905,52.619047619,3
1,4,1265.25233645,53.4205607477,4
1,5,1284.30769231,55.3846153846,5
1,6,1291.26785714,52.9642857143,6
1,7,1257.71428571,53.7857142857,7
1,8,1240.80519481,56.012987013,8
1,9,1338.72727273,57.0909090909,9
1,10,1249.24137931,58.1379310345,10
1,11,1224.16853933,57.4719101124,11
1,12,1254.97959184,57.9387755102,12
1,13,1297.41304348,56.3260869565,13
1,14,1234.55113636,62.2556818182,14
1,15,1307.80327869,56.7540983607,15
1,16,1332.05263158,58.5087719298,16
1,17,1275.65656566,61.7676767677,17
1,18,1305.28571429,62.619047619,18
1,19,1267.75,61.3676470588,19
1,20,1297.22727273,63.5757575758,20
1,21,1339.87179487,62.5384615385,21
1,22,1212.03787879,65.303030303,22
1,23,1319.078125,60.71875,23
1,24,1325.39240506,61.8481012658,24
1,25,1354.45299145,66.1196581197,25
1,26,1258.94160584,66.5328467153,26
1,27,1290.63302752,64.0366972477,27
1,28,1309.03571429,68.1071428571,28
1,29,1313.95,66.3,29
1,30,1332.67213115,67.6393442623,30
1,31,1199.76190476,68.75,31
1,32,1284.52,67.92,32
1,33,1342.54098361,68.2131147541,33
1,34,1363.55555556,69.5,34
1,35,1249.48387097,68.9516129032,35
1,36,1276.96,71.888,36
1,37,1299.775,70.4,37
1,38,1220.09090909,70.5454545455,38
1,39,1316.13709677,76.6129032258,39
1,40,1324.90666667,72.0933333333,40
1,41,1210.84615385,72.6153846154,41
1,42,1226.125,71.875,42
1,43,1307.85555556,73.9111111111,43
1,44,1366.0,74.1481481481,44
1,45,1268.04672897,74.0654205607,45
1,46,1332.87096774,73.7419354839,46
1,47,1342.98816568,75.8343195266,47
1,48,1185.9375,74.6458333333,48
1,49,1297.55395683,77.9496402878,49
1,50,1193.34328358,75.4029850746,50
1,51,1219.16666667,74.9166666667,51
1,52,1331.30263158,81.0921052632,52
1,53,1359.0,75.4594594595,53
1,54,1233.92063492,76.5396825397,54
1,55,1374.66666667,77.8888888889,55
1,56,1177.0,77.2,56
1,57,1243.84615385,78.0769230769,57
1,58,1307.84782609,81.2608695652,58
1,59,1208.34615385,78.9807692308,59
1,60,1289.0,80.8265895954,60
1,61,1322.03225806,80.0322580645,61
1,62,1347.86,79.86,62
1,63,1355.79069767,79.6046511628,63
1,64,1370.26086957,78.2608695652,64
1,65,1199.0,79.2096774194,65
1,66,1223.688,80.408,66
1,67,1273.07894737,81.4736842105,67
1,68,1365.9,79.65,68
1,69,1372.25714286,82.4285714286,69
1,70,1379.24,83.08,70
1,71,1182.72093023,81.3720930233,71
1,72,1300.56097561,85.8048780488,72
1,73,1324.51219512,86.0,73
1,74,1341.58536585,86.8048780488,74
1,75,1279.42553191,85.8510638298,75
1,76,1318.24,86.16,76
1,77,1351.36190476,86.2380952381,77
1,78,1185.21818182,86.5727272727,78
1,79,1217.14814815,87.7037037037,79
1,80,1291.59375,87.40625,80
1,81,1336.63157895,86.7368421053,81
1,82,1363.91603053,88.0076335878,82
1,83,1383.5,87.7142857143,83
1,84,1389.23076923,87.8461538462,84
1,85,1172.61538462,89.1538461538,85
1,86,1204.3030303,88.9696969697,86
1,87,1375.71153846,89.2403846154,87
1,88,1302.125,90.875,88
1,89,1244.67857143,91.6428571429,89
1,90,1387.11650485,93.6893203883,90
1,91,1173.17647059,94.0588235294,91
1,92,1181.01111111,94.3111111111,92
1,93,1318.6875,96.5,93
1,94,1329.11570248,93.9752066116,94
1,95,1342.25,95.25,95
1,96,1367.80952381,95.9047619048,96
1,97,1148.63157895,96.5789473684,97
1,98,1167.89705882,97.4264705882,98
1,99,1346.0,96.2727272727,99
1,100,1376.53846154,98.3846153846,100
1,101,1240.33333333,100.083333333,101
1,102,1406.675,101.2,102
1,103,1354.75568182,99.9318181818,103
1,104,1390.65909091,100.477272727,104
1,105,1152.75,102.25,105
1,106,1381.07692308,101.653846154,106
1,107,1159.07936508,102.825396825,107
1,108,1247.78823529,104.670588235,108
1,109,1377.38461538,105.666666667,109
1,110,1410.70588235,105.764705882,110
1,111,1133.34210526,107.236842105,111
1,112,1418.85245902,106.983606557,112
1,113,1304.72413793,109.017241379,113
1,114,1387.82432432,108.391891892,114
1,115,1405.31147541,111.442622951,115
1,116,1154.34328358,111.388059701,116
1,117,1412.80612245,114.479591837,117
1,118,1139.9137931,112.120689655,118
1,119,1146.56521739,112.623188406,119
1,120,1426.69230769,112.923076923,120
1,121,1394.04878049,112.87804878,121
1,122,1401.5,115.903846154,122
1,123,1125.67857143,117.464285714,123
1,124,1385.45,116.25,124
1,125,1402.5,118.5,125
1,126,1159.8,119.725,126
1,127,1130.55769231,121.961538462,127
1,128,1404.03448276,122.103448276,128
1,129,1423.1886121,122.765124555,129
1,130,1442.1,122.0,130
1,131,1139.97272727,122.418181818,131
1,132,1221.06451613,123.838709677,132
1,133,1396.14893617,125.244680851,133
1,134,1125.08823529,127.676470588,134
1,135,1227.86585366,127.853658537,135
1,136,1413.17021277,126.446808511,136
1,137,1386.23809524,127.69047619,137
1,138,1406.94160584,130.525547445,138
1,139,1247.74647887,128.605633803,139
1,140,1444.51851852,130.0,140
1,141,1146.17948718,133.58974359,141
1,142,1255.2,134.0,142
1,143,1432.4516129,134.5,143
1,144,1141.8125,136.0,144
1,145,1159.80645161,136.217741935,145
1,146,1426.57142857,135.428571429,146
1,147,1166.79245283,138.056603774,147
1,148,1441.88636364,135.284090909,148
1,149,1259.4040404,139.606060606,149
1,150,1096.0,140.8,150
1,151,1104.75,140.583333333,151
1,152,1446.26666667,143.247619048,152
1,153,1116.35251799,142.676258993,153
1,154,1235.7804878,142.292682927,154
1,155,1230.94444444,143.805555556,155
1,156,1294.41666667,145.138888889,156
1,157,1455.93913043,145.104347826,157
1,158,1268.81944444,146.222222222,158
1,159,1404.12037037,145.685185185,159
1,160,1464.25217391,149.217391304,160
1,161,1443.33333333,152.761904762,161
1,162,1146.49019608,152.705882353,162
1,163,1376.0,154.411764706,163
1,164,1455.1,153.633333333,164
1,165,1093.55555556,154.796296296,165
1,166,1467.25,156.625,166
1,167,1382.42857143,157.047619048,167
1,168,1446.26666667,156.333333333,168
1,169,1462.46153846,157.384615385,169
1,170,1479.15,156.475,170
1,171,1096.92105263,159.631578947,171
1,172,1473.90909091,160.022727273,172
1,173,1482.47706422,163.394495413,173
1,174,1085.4,163.324137931,174
1,175,1209.43478261,162.391304348,175
1,176,1276.0,163.5,176
1,177,1116.0,165.065217391,177
1,178,1470.63888889,166.486111111,178
1,179,1207.46428571,168.589285714,179
1,180,1089.11494253,172.0,180
1,181,1131.59722222,172.569444444,181
1,182,1139.05555556,172.925925926,182
1,183,1453.29487179,174.666666667,183
1,184,1145.13953488,174.953488372,184
1,185,1150.25352113,177.253521127,185
1,186,1395.5,176.181818182,186
1,187,1268.0,179.5,187
1,188,1491.0,179.0,188
1,189,1482.83870968,182.258064516,189
1,190,1067.56756757,180.432432432,190
1,191,1072.01470588,182.661764706,191
1,192,1449.90740741,182.277777778,192
1,193,1062.84210526,185.105263158,193
1,194,1311.87878788,184.303030303,194
1,195,1077.47826087,186.782608696,195
1,196,1162.32258065,187.35483871,196
1,197,1130.95,187.75,197
1,198,1346.5,187.714285714,198
1,199,1057.34146341,191.146341463,199
1,200,1481.75862069,189.827586207,200
1,201,1342.47058824,191.735294118,201
1,202,1139.09677419,193.806451613,202
1,203,1384.36666667,193.366666667,203
1,204,1279.55223881,192.701492537,204
1,205,1076.17391304,195.217391304,205
1,206,1250.17777778,194.366666667,206
1,207,1086.48,196.04,207
1,208,1482.675,196.025,208
1,209,1059.11428571,196.514285714,209
1,210,1306.8,197.433333333,210
1,211,1155.0,197.413793103,211
1,212,1082.30769231,198.653846154,212
1,213,1168.94285714,200.314285714,213
1,214,1088.5,202.2,214
1,215,1155.68571429,202.228571429,215
1,216,1093.76190476,202.380952381,216
1,217,1303.35483871,206.612903226,217
1,218,1047.03125,207.5625,218
1,219,1055.31034483,207.948275862,219
1,220,1261.0,207.911764706,220
1,221,1061.37142857,209.857142857,221
1,222,1366.76470588,209.529411765,222
1,223,1299.21428571,209.857142857,223
1,224,1477.175,209.325,224
1,225,1108.14583333,210.645833333,225
1,226,1467.68421053,211.0,226
1,227,1092.03846154,210.397435897,227
1,228,1125.175,214.6625,228
1,229,1434.29411765,214.176470588,229
1,230,1043.25925926,215.259259259,230
1,231,1063.75,216.825,231
1,232,1435.30769231,219.961538462,232
1,233,1054.34782609,221.420289855,233
1,234,1484.2,225.0,234
1,235,1496.36585366,226.463414634,235
1,236,1037.4893617,225.478723404,236
1,237,1045.27272727,227.424242424,237
1,238,1075.20430108,231.225806452,238
1,239,1454.19047619,231.428571429,239
1,240,1333.26666667,234.3,240
1,241,1265.27722772,234.544554455,241
1,242,1475.7826087,237.086956522,242
1,243,1026.10638298,240.936170213,243
1,244,1183.46,241.89,244
1,245,1520.67901235,244.172839506,245
1,246,1492.04166667,246.75,246
1,247,1143.81578947,248.815789474,247
1,248,1513.33333333,248.944444444,248
1,249,1231.52631579,249.263157895,249
1,250,1236.11627907,248.441860465,250
1,251,1021.14925373,251.671641791,251
1,252,1094.76190476,254.619047619,252
1,253,1513.16666667,253.8125,253
1,254,1078.0,255.0,254
1,255,1013.41935484,254.709677419,255
1,256,1149.35135135,255.297297297,256
1,257,1014.86315789,259.684210526,257
1,258,1023.36363636,262.090909091,258
1,259,1064.33333333,266.393939394,259
1,260,1285.375,264.5,260
1,261,1099.89473684,266.763157895,261
1,262,1093.23076923,267.666666667,262
1,263,1331.5,268.909090909,263
1,264,1097.88,271.8,264
1,265,1111.97014925,272.686567164,265
1,266,1467.5,270.5,266
1,267,1076.32432432,275.662162162,267
1,268,1003.52,278.6,268
1,269,1137.8372093,283.302325581,269
1,270,1270.53658537,283.073170732,270
1,271,1322.87878788,283.0,271
1,272,1400.375,282.660714286,272
1,273,1005.62162162,284.297297297,273
1,274,981.166666667,291.037878788,274
1,275,1501.73684211,294.421052632,275
1,276,1507.14545455,292.745454545,276
1,277,1436.24444444,295.088888889,277
1,278,973.85483871,298.032258065,278
1,279,1252.5,299.5,279
1,280,1054.88888889,300.166666667,280
1,281,1515.1875,301.6,281
1,282,969.269230769,301.769230769,282
1,283,995.12173913,302.47826087,283
1,284,1063.0,302.5,284
1,285,1500.29090909,302.363636364,285
1,286,1172.0,303.0,286
1,287,1455.93055556,301.347222222,287
1,288,1253.5,304.0,288
1,289,1347.84090909,302.931818182,289
1,290,1353.65714286,303.142857143,290
1,291,1235.75,306.4375,291
1,292,1312.47368421,305.771929825,292
