ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1199.54285714,353.2,1
1,2,1204.69230769,355.192307692,2
1,3,1225.5,355.0,3
1,4,1203.64705882,360.0,4
1,5,1193.43333333,359.566666667,5
1,6,1235.42307692,361.346153846,6
1,7,1227.5,363.119047619,7
1,8,1221.03571429,364.464285714,8
1,9,1234.94594595,367.27027027,9
1,10,1202.05882353,365.694117647,10
1,11,1225.91891892,368.567567568,11
1,12,1193.66666667,368.2,12
1,13,1212.91907514,368.849710983,13
1,14,1220.41935484,371.35483871,14
1,15,1139.5,372.0,15
1,16,1198.6875,372.6875,16
1,17,1217.30769231,375.076923077,17
1,18,1159.53061224,374.979591837,18
1,19,1145.36363636,383.0,19
1,20,1151.84848485,381.363636364,20
1,21,1156.50980392,383.431372549,21
1,22,1234.51162791,382.813953488,22
1,23,1200.90625,382.046875,23
1,24,1188.51724138,385.448275862,24
1,25,1194.92,386.493333333,25
1,26,1226.12,386.76,26
1,27,1149.91803279,389.68852459,27
1,28,1235.05882353,390.411764706,28
1,29,1157.0,391.684210526,29
1,30,1160.4,395.166666667,30
1,31,1188.09259259,393.555555556,31
1,32,1176.25,395.7,32
1,33,1227.83962264,393.528301887,33
1,34,1163.41509434,399.264150943,34
1,35,1235.10526316,399.447368421,35
1,36,1175.41071429,402.053571429,36
1,37,1183.72,402.16,37
1,38,1205.20930233,403.348837209,38
1,39,1227.56,402.88,39
1,40,1240.78723404,403.893617021,40
1,41,1190.83695652,403.402173913,41
1,42,1145.4,407.914285714,42
1,43,1197.13888889,404.805555556,43
1,44,1153.91304348,407.913043478,44
1,45,1225.16326531,407.489795918,45
1,46,1234.1025641,408.782051282,46
1,47,1191.33333333,411.041666667,47
1,48,1196.66666667,411.69047619,48
1,49,1183.47904192,414.952095808,49
1,50,1260.04761905,414.285714286,50
1,51,1241.9,415.4,51
1,52,1155.4,417.111111111,52
1,53,1192.83018868,418.603773585,53
1,54,1225.09558824,416.382352941,54
1,55,1162.375,418.25,55
1,56,1170.84090909,417.772727273,56
1,57,1201.88333333,414.383333333,57
1,58,1254.30434783,418.239130435,58
1,59,1146.84705882,418.652941176,59
1,60,1177.11764706,419.823529412,60
1,61,1182.44067797,426.220338983,61
1,62,1196.82608696,425.060869565,62
1,63,1243.14184397,424.078014184,63
1,64,1260.0,423.264705882,64
1,65,1154.7804878,425.585365854,65
1,66,1171.84615385,423.5,66
1,67,1188.45833333,425.25,67
1,68,1177.51515152,424.818181818,68
1,69,1203.61111111,426.944444444,69
1,70,1224.25581395,425.720930233,70
1,71,1163.53921569,424.892156863,71
1,72,1214.92045455,424.125,72
1,73,1210.96385542,427.698795181,73
1,74,1243.45238095,430.928571429,74
1,75,1174.62068966,428.413793103,75
1,76,1264.94736842,429.144736842,76
1,77,1231.0,433.507692308,77
1,78,1187.54545455,432.571428571,78
1,79,1223.29411765,432.117647059,79
1,80,1160.2173913,432.014492754,80
1,81,1178.03448276,432.827586207,81
1,82,1205.3,432.55,82
1,83,1268.47619048,433.619047619,83
1,84,1169.01851852,433.722222222,84
1,85,1197.69736842,433.644736842,85
1,86,1181.6875,435.875,86
1,87,1210.38636364,435.431818182,87
1,88,1153.48648649,436.027027027,88
1,89,1175.64556962,438.430379747,89
1,90,1163.1875,437.1875,90
1,91,1222.296875,437.25,91
1,92,1198.63636364,439.831168831,92
1,93,1244.07207207,437.027027027,93
1,94,1259.08510638,440.287234043,94
1,95,1187.85185185,438.62962963,95
1,96,1166.14035088,443.49122807,96
1,97,1227.85454545,441.472727273,97
1,98,1144.5952381,439.363095238,98
1,99,1159.22058824,442.029411765,99
1,100,1210.93939394,440.454545455,100
1,101,1185.68918919,443.243243243,101
1,102,1204.88888889,444.73015873,102
1,103,1216.51764706,441.117647059,103
1,104,1170.40963855,447.542168675,104
1,105,1148.21656051,449.159235669,105
1,106,1209.71428571,446.714285714,106
1,107,1275.52941176,445.235294118,107
1,108,1225.34782609,447.065217391,108
1,109,1248.0,446.380952381,109
1,110,1218.18181818,449.945454545,110
1,111,1211.37931034,449.75862069,111
1,112,1158.98076923,449.538461538,112
1,113,1176.27777778,449.625,113
1,114,1183.95098039,451.441176471,114
1,115,1232.70454545,450.443181818,115
1,116,1242.0,451.804878049,116
1,117,1195.52466368,452.206278027,117
1,118,1148.53846154,455.153846154,118
1,119,1265.46428571,454.571428571,119
1,120,1245.77358491,457.603773585,120
1,121,1180.71428571,458.547619048,121
1,122,1230.26666667,458.0,122
1,123,1156.21428571,458.988095238,123
1,124,1239.625,460.458333333,124
1,125,1149.67307692,461.923076923,125
1,126,1249.53846154,462.346153846,126
1,127,1167.91208791,459.994505495,127
1,128,1175.32142857,463.75,128
1,129,1227.32727273,462.836363636,129
1,130,1163.84375,464.03125,130
1,131,1234.35526316,466.868421053,131
1,132,1199.19402985,464.059701493,132
1,133,1144.90909091,466.0,133
1,134,1154.0,467.565217391,134
1,135,1159.20588235,465.264705882,135
1,136,1185.31205674,465.914893617,136
1,137,1219.85,466.45,137
1,138,1181.75,471.696428571,138
1,139,1147.72340426,470.765957447,139
1,140,1157.44,471.92,140
1,141,1194.39189189,470.810810811,141
1,142,1225.17142857,471.5,142
1,143,1247.71428571,473.339285714,143
1,144,1199.91176471,478.352941176,144
1,145,1215.48235294,474.058823529,145
1,146,1164.76612903,476.072580645,146
1,147,1191.75555556,477.488888889,147
1,148,1145.875,479.125,148
1,149,1151.546875,477.171875,149
1,150,1220.66666667,479.5,150
1,151,1181.16666667,479.5,151
1,152,1215.19047619,480.80952381,152
1,153,1158.12068966,481.586206897,153
1,154,1247.08823529,480.529411765,154
1,155,1186.03508772,483.350877193,155
1,156,1193.82608696,485.115942029,156
1,157,1175.67647059,483.0,157
1,158,1240.2875,485.2875,158
1,159,1157.92727273,489.290909091,159
1,160,1220.0,485.0,160
1,161,1234.42222222,487.755555556,161
1,162,1186.78571429,490.571428571,162
1,163,1181.41666667,489.25,163
1,164,1136.8125,490.6875,164
1,165,1213.6875,490.8125,165
1,166,1245.2972973,491.243243243,166
1,167,1152.38541667,491.927083333,167
