ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1193.63888889,335.861111111,1
1,2,1147.5,356.5,2
1,3,1155.9,368.7,3
1,4,1165.80952381,388.857142857,4
1,5,1194.5,399.928571429,5
1,6,1142.17073171,417.536585366,6
1,7,1191.38888889,422.777777778,7
1,8,1132.53658537,432.951219512,8
1,9,1286.94285714,432.428571429,9
1,10,1261.77777778,453.703703704,10
1,11,1114.8,463.171428571,11
1,12,1183.61290323,467.677419355,12
1,13,1150.33333333,471.5,13
1,14,1259.4,474.24,14
1,15,1196.5,480.210526316,15
1,16,1141.625,490.875,16
1,17,1262.875,496.46875,17
1,18,1181.71428571,498.761904762,18
1,19,1089.44444444,502.888888889,19
1,20,1252.0,515.5,20
1,21,1105.67391304,515.869565217,21
1,22,1087.0,537.111111111,22
1,23,1189.30769231,539.230769231,23
1,24,1102.63636364,547.090909091,24
1,25,1233.4,550.5,25
1,26,1179.03030303,552.939393939,26
1,27,1225.62162162,554.027027027,27
1,28,1088.73529412,557.088235294,28
1,29,1216.23529412,559.441176471,29
1,30,1100.81818182,565.181818182,30
1,31,1081.5483871,575.096774194,31
1,32,1209.25,577.083333333,32
1,33,1115.5,578.933333333,33
1,34,1123.93023256,579.465116279,34
1,35,1214.75,579.678571429,35
1,36,1209.48,587.76,36
1,37,1243.5,592.272727273,37
1,38,1209.22222222,593.388888889,38
1,39,1325.15789474,595.157894737,39
1,40,1222.2,598.5,40
1,41,1324.41666667,598.916666667,41
1,42,1067.58974359,603.025641026,42
1,43,1329.41935484,604.661290323,43
1,44,1156.5,614.029411765,44
1,45,1187.6,614.0,45
1,46,1191.88372093,616.953488372,46
1,47,1338.08333333,618.083333333,47
1,48,1219.5,623.142857143,48
1,49,1045.5,625.307692308,49
1,50,1106.88235294,632.588235294,50
1,51,1119.45454545,635.409090909,51
1,52,1192.4,638.6,52
1,53,1083.12,642.08,53
1,54,1218.07272727,652.163636364,54
1,55,1137.90909091,656.818181818,55
1,56,1007.15384615,659.820512821,56
1,57,1176.9375,660.09375,57
1,58,1035.57142857,662.428571429,58
1,59,1148.16,669.4,59
1,60,1117.25,675.5,60
1,61,1141.53488372,676.790697674,61
1,62,998.703703704,680.925925926,62
1,63,1002.16666667,685.066666667,63
1,64,1195.23529412,700.941176471,64
1,65,1082.5,701.714285714,65
1,66,1080.18918919,711.513513514,66
1,67,1039.88888889,718.388888889,67
1,68,1104.2962963,722.703703704,68
1,69,1079.36,725.52,69
1,70,1006.92,727.28,70
1,71,958.588235294,728.470588235,71
1,72,1022.16666667,727.916666667,72
1,73,1112.58139535,727.953488372,73
1,74,1088.34090909,736.068181818,74
1,75,963.28,755.08,75
1,76,950.068181818,759.045454545,76
1,77,1022.61111111,770.25,77
1,78,965.214285714,770.571428571,78
1,79,968.565217391,773.173913043,79
1,80,985.756756757,795.189189189,80
1,81,1037.33333333,807.666666667,81
1,82,1000.17021277,822.70212766,82
1,83,1323.10810811,852.216216216,83
1,84,1148.34482759,855.275862069,84
1,85,1130.41666667,864.625,85
1,86,1105.0,867.666666667,86
1,87,1135.70967742,873.709677419,87
1,88,883.636363636,882.5,88
1,89,1146.15789474,888.842105263,89
1,90,1114.375,892.625,90
1,91,1105.59259259,893.814814815,91
1,92,1079.36666667,903.65,92
1,93,1109.11428571,905.428571429,93
1,94,1089.93333333,908.366666667,94
1,95,1172.59574468,912.893617021,95
1,96,1042.88,917.04,96
1,97,1065.41025641,916.58974359,97
1,98,1179.2,917.1,98
1,99,1161.43181818,917.568181818,99
1,100,1045.05,921.1,100
1,101,1092.5,922.833333333,101
1,102,1160.5,925.5,102
1,103,1002.91428571,925.485714286,103
1,104,1116.72727273,931.5,104
1,105,1186.4516129,933.516129032,105
1,106,1109.97368421,941.684210526,106
1,107,1032.56521739,944.086956522,107
1,108,1041.92105263,945.184210526,108
1,109,1099.21568627,945.941176471,109
1,110,1169.90909091,946.909090909,110
1,111,1059.18604651,948.395348837,111
1,112,1060.08823529,960.323529412,112
1,113,1169.61538462,960.884615385,113
1,114,1070.30555556,972.694444444,114
1,115,1204.61764706,972.588235294,115
1,116,1209.28571429,972.571428571,116
1,117,1012.35714286,976.285714286,117
1,118,1063.97674419,976.186046512,118
1,119,1087.78378378,978.540540541,119
1,120,1006.0,987.5,120
1,121,1074.0,995.5,121
1,122,1146.825,996.975,122
1,123,1138.71428571,997.857142857,123
1,124,1164.17647059,998.382352941,124
1,125,1056.5,1001.0,125
1,126,1081.0,1007.5,126
1,127,1144.0625,1012.125,127
1,128,1138.52631579,1016.94736842,128
1,129,1134.975,1023.325,129
1,130,1161.59649123,1027.22807018,130
1,131,1043.175,1029.7,131
1,132,1024.0,1035.0,132
1,133,1095.58974359,1041.02564103,133
1,134,1068.4375,1047.375,134
1,135,1036.875,1047.66666667,135
1,136,1132.6,1054.625,136
1,137,1078.81481481,1057.40740741,137
1,138,1194.77083333,1057.6875,138
1,139,1140.43243243,1057.75675676,139
1,140,1201.45454545,1057.95454545,140
1,141,1208.92592593,1059.40740741,141
1,142,1055.45454545,1065.40909091,142
1,143,1059.72972973,1069.18918919,143
1,144,1055.12903226,1072.48387097,144
1,145,1213.5,1071.63333333,145
1,146,1123.68181818,1078.95454545,146
1,147,1160.5,1081.93333333,147
1,148,1058.64705882,1084.52941176,148
1,149,1123.42424242,1085.42424242,149
1,150,1204.975,1086.325,150
1,151,1161.18918919,1086.97297297,151
1,152,1191.69047619,1088.30952381,152
1,153,1124.18181818,1090.81818182,153
1,154,1066.94285714,1093.42857143,154
1,155,1055.33333333,1094.25,155
1,156,1193.84313725,1094.11764706,156
1,157,1275.5,1102.6,157
1,158,1075.5,1109.0,158
1,159,1120.61904762,1113.47619048,159
1,160,959.0,1113.5,160
1,161,1094.61904762,1114.61904762,161
1,162,1145.0952381,1116.21428571,162
1,163,1086.95454545,1118.27272727,163
1,164,1110.87878788,1119.33333333,164
1,165,1068.10344828,1120.75862069,165
1,166,1116.14814815,1121.22222222,166
1,167,1126.5,1121.0,167
1,168,1146.87179487,1122.87179487,168
1,169,1159.08,1123.12,169
