ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1176.19444444,157.75,1
1,2,1180.84615385,157.384615385,2
1,3,1169.41428571,160.528571429,3
1,4,1133.91666667,217.333333333,4
1,5,1140.875,240.125,5
1,6,1114.47058824,269.529411765,6
1,7,983.555555556,298.111111111,7
1,8,976.476190476,308.285714286,8
1,9,970.666666667,315.222222222,9
1,10,956.727272727,337.181818182,10
1,11,1005.61904762,337.428571429,11
1,12,961.5,338.5,12
1,13,1246.73684211,339.789473684,13
1,14,952.575757576,348.484848485,14
1,15,991.76,344.88,15
1,16,960.666666667,346.222222222,16
1,17,997.730769231,346.576923077,17
1,18,1004.82978723,347.234042553,18
1,19,1243.41666667,346.708333333,19
1,20,1202.16666667,348.722222222,20
1,21,990.538461538,350.384615385,21
1,22,963.333333333,350.666666667,22
1,23,1189.0,351.090909091,23
1,24,1216.2,350.5,24
1,25,1199.88235294,352.882352941,25
1,26,971.952380952,353.571428571,26
1,27,983.928571429,355.285714286,27
1,28,1210.44444444,355.944444444,28
1,29,1231.76923077,357.538461538,29
1,30,1224.26829268,360.365853659,30
1,31,945.692307692,361.076923077,31
1,32,951.523809524,361.0,32
1,33,1242.39215686,361.0,33
1,34,941.9,363.05,34
1,35,1236.80952381,362.761904762,35
1,36,1219.85714286,364.285714286,36
1,37,1222.85714286,365.428571429,37
1,38,1227.42857143,365.371428571,38
1,39,1215.51851852,366.592592593,39
1,40,986.586206897,369.948275862,40
1,41,1234.21621622,367.22972973,41
1,42,1244.28571429,369.166666667,42
1,43,1226.12,371.12,43
1,44,1198.73076923,372.346153846,44
1,45,1216.33898305,371.949152542,45
1,46,1221.65,373.3,46
1,47,1146.47619048,376.0,47
1,48,1217.0,378.166666667,48
1,49,1292.84615385,379.0,49
1,50,1252.57894737,380.684210526,50
1,51,1236.82758621,380.827586207,51
1,52,1240.28571429,381.642857143,52
1,53,1154.7826087,383.913043478,53
1,54,1245.03703704,384.555555556,54
1,55,1225.65151515,386.772727273,55
1,56,1198.72727273,391.772727273,56
1,57,1242.5,390.857142857,57
1,58,922.957446809,392.127659574,58
1,59,930.5,393.775,59
1,60,1226.63855422,395.180722892,60
1,61,1243.31034483,396.603448276,61
1,62,914.363636364,397.159090909,62
1,63,1221.38888889,398.962962963,63
1,64,1210.45,398.1,64
1,65,924.044117647,402.058823529,65
1,66,1241.5,402.5,66
1,67,1184.72,401.44,67
1,68,1203.01449275,400.086956522,68
1,69,1216.0,403.594594595,69
1,70,929.129032258,403.096774194,70
1,71,937.794117647,403.558823529,71
1,72,1164.87931034,403.724137931,72
1,73,1195.57142857,402.714285714,73
1,74,910.1,404.1,74
1,75,1206.90625,406.25,75
1,76,1212.33333333,404.222222222,76
1,77,1220.07407407,405.037037037,77
1,78,1201.88888889,406.222222222,78
1,79,1124.61904762,406.904761905,79
1,80,1190.91304348,407.652173913,80
1,81,1199.05882353,408.352941176,81
1,82,1223.43902439,407.12195122,82
1,83,1233.48888889,404.533333333,83
1,84,1245.23880597,406.223880597,84
1,85,907.130434783,407.913043478,85
1,86,1194.375,408.25,86
1,87,1212.29166667,408.166666667,87
1,88,939.272727273,408.545454545,88
1,89,1001.9375,408.375,89
1,90,1176.31914894,408.893617021,90
1,91,1012.18181818,410.272727273,91
1,92,1196.11363636,412.613636364,92
1,93,1206.69230769,412.076923077,93
1,94,1224.83783784,412.297297297,94
1,95,1230.96666667,411.15,95
1,96,1271.47826087,412.0,96
1,97,1214.46428571,414.142857143,97
1,98,907.279069767,413.88372093,98
1,99,1156.55813953,413.162790698,99
1,100,1007.6,415.4,100
1,101,1179.60714286,414.821428571,101
1,102,1188.74418605,413.813953488,102
1,103,1264.125,414.875,103
1,104,1257.06666667,416.066666667,104
1,105,1013.18604651,416.186046512,105
1,106,1201.60784314,416.549019608,106
1,107,1221.8125,417.0625,107
1,108,1234.14285714,417.028571429,108
1,109,1239.77777778,417.777777778,109
1,110,915.180327869,417.37704918,110
1,111,1154.95833333,418.041666667,111
1,112,1217.61538462,417.846153846,112
1,113,998.363636364,419.636363636,113
1,114,921.1,420.5,114
1,115,1150.34375,419.6875,115
1,116,1163.38888889,420.277777778,116
1,117,1183.72,419.48,117
1,118,1193.24137931,419.75862069,118
1,119,1227.44827586,419.586206897,119
1,120,1008.66666667,420.851851852,120
1,121,1019.78787879,420.5,121
1,122,1198.625,420.4375,122
1,123,1026.98484848,423.196969697,123
1,124,1187.77272727,421.909090909,124
1,125,1207.53846154,420.519230769,125
1,126,1277.45,422.75,126
1,127,1159.34146341,424.024390244,127
1,128,1217.39393939,423.075757576,128
1,129,1232.82758621,423.344827586,129
1,130,1033.05128205,423.307692308,130
1,131,1200.78787879,423.575757576,131
1,132,1015.24561404,425.543859649,132
1,133,1153.59322034,426.474576271,133
1,134,1210.37931034,425.620689655,134
1,135,1256.88888889,425.222222222,135
1,136,1005.2962963,424.703703704,136
1,137,1225.93333333,427.316666667,137
1,138,1254.86666667,427.466666667,138
1,139,892.571428571,428.714285714,139
1,140,1171.07894737,429.368421053,140
1,141,1204.97560976,428.780487805,141
1,142,1021.44,429.32,142
1,143,1189.57142857,431.142857143,143
1,144,1195.0,429.565217391,144
1,145,1006.66666667,431.5,145
1,146,1163.68627451,430.921568627,146
1,147,1258.14814815,430.444444444,147
1,148,1216.02752294,431.348623853,148
1,149,901.454545455,433.454545455,149
1,150,1156.18181818,433.272727273,150
1,151,1204.52173913,434.956521739,151
1,152,1002.48275862,435.379310345,152
1,153,1172.75438596,433.947368421,153
1,154,1227.10204082,434.918367347,154
1,155,1244.73684211,435.315789474,155
1,156,1161.55223881,435.119402985,156
1,157,1176.94915254,436.186440678,157
1,158,1210.17857143,436.571428571,158
1,159,1235.90163934,439.31147541,159
1,160,1191.20588235,438.794117647,160
1,161,1197.3,438.333333333,161
1,162,1219.05952381,438.80952381,162
1,163,1255.1,440.05,163
1,164,907.1,439.9,164
1,165,1010.8125,440.8125,165
1,166,1183.29333333,440.093333333,166
1,167,1005.15625,441.4375,167
1,168,1284.35294118,442.470588235,168
1,169,1163.91304348,443.565217391,169
1,170,1011.33333333,444.851851852,170
1,171,1172.64383562,444.904109589,171
1,172,1218.28712871,445.653465347,172
1,173,1154.0,446.805555556,173
1,174,1188.35714286,446.785714286,174
1,175,1248.27777778,447.277777778,175
1,176,1160.5,448.5,176
1,177,1166.575,448.725,177
1,178,1177.875,449.354166667,178
1,179,1208.35,447.675,179
1,180,1238.22727273,448.272727273,180
1,181,1016.0,449.0,181
1,182,1201.69767442,449.790697674,182
1,183,1257.45,451.0,183
1,184,1208.62962963,452.518518519,184
1,185,1232.0,453.5,185
1,186,1237.88888889,453.666666667,186
1,187,1245.29411765,453.117647059,187
1,188,1166.44117647,453.294117647,188
1,189,1179.5,454.272727273,189
1,190,1195.4,454.8,190
1,191,1265.93333333,455.2,191
1,192,1200.75862069,456.482758621,192
1,193,1218.58208955,456.253731343,193
1,194,1149.96875,457.65625,194
1,195,1182.69230769,456.461538462,195
1,196,1170.62195122,456.975609756,196
1,197,1178.25,457.75,197
1,198,1227.5,458.5,198
1,199,868.684210526,459.315789474,199
1,200,1213.85185185,459.518518519,200
1,201,1233.68,459.2,201
1,202,1239.01587302,460.285714286,202
1,203,1264.11111111,458.888888889,203
1,204,1155.91891892,460.540540541,204
1,205,1161.28571429,460.642857143,205
1,206,1251.52173913,460.673913043,206
1,207,1207.5,462.0,207
1,208,1169.63636364,463.090909091,208
1,209,1223.03278689,463.393442623,209
1,210,1175.39622642,464.754716981,210
1,211,1228.8125,465.1875,211
1,212,1233.19047619,464.666666667,212
