ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1265.0,67.8461538462,1
1,2,1288.31578947,71.5263157895,2
1,3,1298.41176471,77.0,3
1,4,1283.5,78.55,4
1,5,1244.5,82.5,5
1,6,1257.15789474,82.7368421053,6
1,7,1324.27777778,85.0,7
1,8,1317.05714286,86.8857142857,8
1,9,1246.6744186,86.8720930233,9
1,10,1255.79775281,88.1797752809,10
1,11,1238.1875,92.2375,11
1,12,1334.10989011,89.5384615385,12
1,13,1355.5,91.5,13
1,14,1282.86111111,93.1388888889,14
1,15,1262.47572816,95.3300970874,15
1,16,1290.61538462,93.8461538462,16
1,17,1339.55737705,93.8196721311,17
1,18,1230.65116279,95.9302325581,18
1,19,1300.17948718,95.7051282051,19
1,20,1344.6,97.15,20
1,21,1351.17647059,97.1470588235,21
1,22,1359.25641026,97.7179487179,22
1,23,1366.45454545,98.3636363636,23
1,24,1237.33333333,100.333333333,24
1,25,1281.47368421,100.0,25
1,26,1221.85185185,101.62962963,26
1,27,1227.2,101.485714286,27
1,28,1233.1875,102.1875,28
1,29,1294.85714286,101.142857143,29
1,30,1379.0,100.555555556,30
1,31,1405.87272727,105.709090909,31
1,32,1326.48275862,105.425287356,32
1,33,1336.48756219,108.611940299,33
1,34,1365.92857143,103.833333333,34
1,35,1387.26923077,104.820512821,35
1,36,1396.59615385,105.884615385,36
1,37,1376.12244898,106.12244898,37
1,38,1358.98181818,107.745454545,38
1,39,1413.34615385,107.923076923,39
1,40,1322.54285714,109.114285714,40
1,41,1315.7972973,110.648648649,41
1,42,1418.46153846,109.461538462,42
1,43,1231.0,110.75,43
1,44,1173.83333333,111.722222222,44
1,45,1350.65384615,112.057692308,45
1,46,1360.71111111,112.933333333,46
1,47,1368.46153846,113.307692308,47
1,48,1249.61111111,113.555555556,48
1,49,1425.72727273,113.257575758,49
1,50,1165.7173913,116.391304348,50
1,51,1342.54545455,116.954545455,51
1,52,1179.1,117.033333333,52
1,53,1431.94,117.8,53
1,54,1362.84931507,120.342465753,54
1,55,1387.77941176,121.838235294,55
1,56,1404.8,122.5,56
1,57,1155.5,122.015625,57
1,58,1381.66101695,120.813559322,58
1,59,1358.15384615,126.538461538,59
1,60,1388.45,127.6,60
1,61,1392.92553191,130.734042553,61
1,62,1435.83333333,127.708333333,62
1,63,1145.9,129.3,63
1,64,1402.96825397,128.777777778,64
1,65,1376.344,131.288,65
1,66,1382.6875,133.25,66
1,67,1431.52941176,131.352941176,67
1,68,1212.33707865,135.921348315,68
1,69,1383.88333333,139.266666667,69
1,70,1397.0,139.5,70
1,71,1134.4375,139.083333333,71
1,72,1401.8442623,140.114754098,72
1,73,1390.93023256,143.604651163,73
1,74,1131.38461538,143.384615385,74
1,75,1214.02777778,145.569444444,75
1,76,1300.90909091,145.363636364,76
1,77,1393.75806452,148.919354839,77
1,78,1384.25,145.5625,78
1,79,1216.875,147.75,79
1,80,1207.86111111,148.666666667,80
1,81,1132.05882353,149.529411765,81
1,82,1129.33333333,154.69047619,82
1,83,1300.92537313,152.985074627,83
1,84,1119.23728814,153.440677966,84
1,85,1399.56,157.333333333,85
1,86,1112.84210526,158.526315789,86
1,87,1122.14285714,158.642857143,87
1,88,1124.86666667,160.6,88
1,89,1104.23880597,164.820895522,89
1,90,1445.16666667,164.388888889,90
1,91,1425.875,168.875,91
1,92,1439.05063291,168.772151899,92
1,93,1317.08333333,167.895833333,93
1,94,1320.45631068,174.621359223,94
1,95,1431.16981132,173.660377358,95
1,96,1094.85365854,176.268292683,96
1,97,1415.81818182,175.454545455,97
1,98,1437.86111111,177.972222222,98
1,99,1327.23076923,178.230769231,99
1,100,1445.49206349,177.841269841,100
1,101,1427.35211268,179.098591549,101
1,102,1415.5,180.85483871,102
1,103,1432.33333333,183.564102564,103
1,104,1329.21875,183.84375,104
1,105,1413.14285714,185.19047619,105
1,106,1382.71428571,185.523809524,106
1,107,1227.0,185.390243902,107
1,108,1415.97297297,188.864864865,108
1,109,1423.83333333,187.470588235,109
1,110,1085.34782609,189.275362319,110
1,111,1331.75342466,191.123287671,111
1,112,1455.51136364,190.113636364,112
1,113,1228.33333333,191.0,113
1,114,1237.06779661,193.305084746,114
1,115,1424.53488372,193.534883721,115
1,116,1241.06666667,195.2,116
1,117,1454.59459459,196.918918919,117
1,118,1228.96551724,196.896551724,118
1,119,1233.85416667,197.854166667,119
1,120,1407.8125,195.46875,120
1,121,1402.7037037,195.555555556,121
1,122,1075.19047619,197.53968254,122
1,123,1425.42857143,198.653061224,123
1,124,1439.23809524,197.523809524,124
1,125,1399.453125,200.015625,125
1,126,1431.05263158,200.842105263,126
1,127,1099.62068966,202.551724138,127
1,128,1068.73913043,203.304347826,128
1,129,1436.42857143,203.761904762,129
1,130,1406.51923077,206.538461538,130
1,131,1397.27777778,206.666666667,131
1,132,1113.43548387,210.822580645,132
1,133,1413.38554217,212.361445783,133
1,134,1421.07894737,212.210526316,134
1,135,1071.29032258,213.870967742,135
1,136,1442.57971014,214.652173913,136
1,137,1058.5,217.705882353,137
1,138,1455.20879121,217.681318681,138
1,139,1447.57317073,221.341463415,139
1,140,1053.5483871,223.161290323,140
1,141,1462.17857143,226.142857143,141
1,142,1049.68,232.36,142
1,143,1071.0,234.638888889,143
1,144,1078.20588235,234.485294118,144
1,145,1221.25641026,236.692307692,145
1,146,1226.76744186,236.76744186,146
1,147,1347.0,237.227272727,147
1,148,1044.08,239.4,148
1,149,1065.28125,239.34375,149
1,150,1232.08333333,239.666666667,150
1,151,1235.8,243.533333333,151
1,152,1240.0,244.944444444,152
1,153,1395.77142857,247.628571429,153
1,154,1239.34782609,252.31884058,154
1,155,1038.26582278,248.253164557,155
1,156,1031.2972973,255.351351351,156
1,157,1060.625,258.0,157
1,158,1136.71428571,257.844155844,158
1,159,1143.42857143,262.553571429,159
1,160,1025.47540984,262.704918033,160
1,161,1354.67857143,265.25,161
1,162,1188.57894737,266.631578947,162
1,163,1021.275,271.2,163
1,164,1192.09090909,272.454545455,164
1,165,1085.0,275.5,165
1,166,1020.02531646,279.835443038,166
1,167,1473.88461538,281.653846154,167
1,168,1324.10526316,281.631578947,168
1,169,1314.16788321,283.854014599,169
1,170,1244.73170732,283.43902439,170
1,171,1246.25806452,294.232258065,171
1,172,1011.11956522,289.489130435,172
1,173,1300.53846154,292.153846154,173
1,174,1328.0,293.060606061,174
1,175,1007.40277778,298.5,175
1,176,1464.7,297.75,176
1,177,1016.87037037,299.074074074,177
1,178,1149.44444444,299.5,178
1,179,1155.0,300.379310345,179
1,180,1251.83333333,300.071428571,180
1,181,1331.23333333,299.75,181
1,182,999.666666667,302.266666667,182
1,183,1471.38,303.92,183
1,184,1251.35714286,306.357142857,184
1,185,1454.06666667,306.666666667,185
1,186,1255.48571429,310.257142857,186
1,187,1249.59459459,312.378378378,187
1,188,1449.94594595,315.72972973,188
1,189,973.533333333,324.533333333,189
1,190,1459.24242424,323.636363636,190
1,191,1198.08333333,328.25,191
1,192,1497.75,330.384615385,192
1,193,1461.51724138,332.32183908,193
1,194,1394.17241379,337.172413793,194
1,195,1411.82474227,337.020618557,195
1,196,1398.33333333,337.611111111,196
1,197,1070.58333333,339.366666667,197
1,198,1402.97222222,338.833333333,198
1,199,1233.5,338.8,199
1,200,1224.40909091,340.590909091,200
1,201,1303.30985915,340.830985915,201
1,202,1224.28125,346.15625,202
1,203,1230.31707317,345.780487805,203
1,204,1318.80952381,344.571428571,204
1,205,1479.78461538,345.723076923,205
1,206,1300.60714286,346.732142857,206
1,207,1235.33333333,351.111111111,207
1,208,1225.56603774,352.528301887,208
1,209,1232.75,353.375,209
1,210,1296.40909091,351.954545455,210
1,211,1256.68421053,358.315789474,211
1,212,1297.37878788,361.378787879,212
1,213,1302.24561404,356.719298246,213
1,214,1448.09090909,357.939393939,214
1,215,1223.60526316,360.078947368,215
1,216,1064.24390244,362.0,216
1,217,1181.86885246,362.295081967,217
1,218,1218.97142857,366.228571429,218
1,219,1233.0,366.944444444,219
1,220,1037.88405797,368.188405797,220
1,221,1480.83333333,368.583333333,221
1,222,1215.36111111,371.666666667,222
1,223,1253.20454545,368.977272727,223
1,224,1259.27142857,368.957142857,224
1,225,1295.04347826,370.347826087,225
1,226,1020.08571429,373.428571429,226
1,227,1472.43939394,373.772727273,227
1,228,1295.62666667,377.333333333,228
1,229,1469.3902439,386.585365854,229
1,230,1375.71875,393.614583333,230
1,231,1471.76271186,394.813559322,231
1,232,1315.5,397.5,232
1,233,1070.26190476,401.523809524,233
1,234,1205.95959596,399.378787879,234
1,235,1421.73529412,405.588235294,235
1,236,1412.05714286,407.971428571,236
1,237,1334.84782609,408.195652174,237
1,238,1345.86324786,406.957264957,238
1,239,1340.04166667,412.291666667,239
1,240,1343.93103448,415.620689655,240
1,241,1334.4,415.04,241
1,242,1350.35820896,416.507462687,242
1,243,889.655172414,418.413793103,243
1,244,998.0,417.0,244
1,245,1192.65625,417.59375,245
1,246,1361.8487395,418.168067227,246
1,247,1457.0,417.0,247
1,248,1474.0,416.5625,248
1,249,1301.65217391,417.028985507,249
1,250,1309.93814433,418.082474227,250
1,251,1201.57831325,426.686746988,251
1,252,1194.68085106,427.659574468,252
1,253,1366.8,429.75,253
1,254,1315.70212766,432.29787234,254
1,255,1102.26470588,433.117647059,255
1,256,1062.03488372,434.372093023,256
1,257,1107.21818182,434.818181818,257
1,258,1188.36641221,435.282442748,258
1,259,1109.85483871,439.338709677,259
1,260,1165.26436782,440.528735632,260
1,261,1306.77272727,438.068181818,261
1,262,1299.90625,441.296875,262
1,263,1256.71666667,442.116666667,263
1,264,1312.88888889,442.981481481,264
1,265,1192.22222222,443.444444444,265
1,266,1307.50980392,445.509803922,266
1,267,1475.5,443.5,267
1,268,1177.91304348,443.956521739,268
1,269,1034.77272727,446.409090909,269
1,270,1111.28169014,447.957746479,270
1,271,913.6,447.815384615,271
1,272,1032.0,450.919354839,272
1,273,1152.5,454.5,273
1,274,1379.6,453.971428571,274
1,275,858.3125,456.875,275
1,276,918.571428571,459.464285714,276
1,277,978.0,460.168674699,277
1,278,1480.0952381,461.571428571,278
1,279,1193.2,463.0,279
1,280,1296.27272727,462.272727273,280
1,281,1375.93333333,462.366666667,281
1,282,1381.88157895,461.526315789,282
1,283,1236.5625,465.041666667,283
1,284,1388.66666667,466.805555556,284
1,285,1104.75609756,465.219512195,285
1,286,1242.57142857,467.214285714,286
1,287,1376.95238095,468.357142857,287
1,288,852.5,467.769230769,288
1,289,1305.54545455,468.181818182,289
1,290,1300.06818182,469.636363636,290
1,291,942.735294118,471.0,291
1,292,1329.85714286,471.238095238,292
1,293,884.0,471.736842105,293
1,294,854.125,472.875,294
1,295,1287.875,471.361111111,295
1,296,1278.96428571,474.142857143,296
1,297,1297.75,474.166666667,297
1,298,1107.56862745,473.784313725,298
1,299,1243.0625,474.90625,299
1,300,842.363636364,476.181818182,300
1,301,923.556818182,471.863636364,301
1,302,1477.33333333,476.266666667,302
1,303,1281.29166667,477.583333333,303
1,304,1287.92,477.68,304
1,305,881.222222222,477.902777778,305
1,306,862.80952381,478.857142857,306
1,307,1108.875,479.375,307
1,308,868.594594595,478.635135135,308
1,309,874.15625,480.625,309
1,310,1247.78787879,479.545454545,310
1,311,1283.15151515,481.454545455,311
1,312,1328.02702703,480.243243243,312
1,313,927.661538462,482.107692308,313
1,314,1111.21052632,481.526315789,314
1,315,887.868421053,481.684210526,315
1,316,1045.81818182,484.727272727,316
1,317,1076.08571429,485.942857143,317
1,318,1110.55555556,485.277777778,318
1,319,926.923076923,488.384615385,319
1,320,1111.91666667,488.416666667,320
