ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1241.58064516,299.329032258,1
1,2,1254.10714286,299.964285714,2
1,3,1259.96153846,304.5,3
1,4,1244.55844156,305.636363636,4
1,5,1239.56,310.18,5
1,6,1252.94871795,310.038461538,6
1,7,1254.93103448,314.724137931,7
1,8,1244.11320755,315.075471698,8
1,9,1283.73333333,317.466666667,9
1,10,1234.52631579,314.592105263,10
1,11,1260.92,318.1,11
1,12,1228.27272727,318.606060606,12
1,13,1252.04201681,321.697478992,13
1,14,1237.01680672,323.588235294,14
1,15,1243.56666667,325.533333333,15
1,16,1280.39130435,328.456521739,16
1,17,1230.68,330.64,17
1,18,1245.48514851,332.356435644,18
1,19,1251.83928571,333.928571429,19
1,20,1236.44615385,334.430769231,20
1,21,1291.19565217,333.934782609,21
1,22,1285.09803922,334.098039216,22
1,23,1239.27586207,339.689655172,23
1,24,1225.94252874,338.298850575,24
1,25,1267.82608696,340.597826087,25
1,26,1282.44285714,339.428571429,26
1,27,1248.87,342.2,27
1,28,1271.3,345.166666667,28
1,29,1280.11702128,344.893617021,29
1,30,1223.72727273,348.254545455,30
1,31,1275.25,350.375,31
1,32,1229.47058824,352.235294118,32
1,33,1281.63414634,353.280487805,33
1,34,1296.45810056,351.290502793,34
1,35,1240.0,352.153846154,35
1,36,1269.2,354.4,36
1,37,1264.14285714,357.30952381,37
1,38,1247.31034483,361.724137931,38
1,39,1270.26724138,364.275862069,39
1,40,1239.05776173,362.083032491,40
1,41,1278.16666667,360.966666667,41
1,42,1262.05714286,366.59047619,42
1,43,1224.9,366.2,43
1,44,1281.56862745,367.392156863,44
1,45,1286.72340426,366.936170213,45
1,46,1277.23333333,369.933333333,46
1,47,1308.3452381,369.416666667,47
1,48,1248.44736842,371.815789474,48
1,49,1207.27173913,373.108695652,49
1,50,1291.62650602,370.686746988,50
1,51,1241.98765432,375.913580247,51
1,52,1221.63636364,376.5,52
1,53,1299.83333333,375.333333333,53
1,54,1227.24528302,378.566037736,54
1,55,1267.16129032,377.709677419,55
1,56,1282.85714286,377.392857143,56
1,57,1313.37055838,379.842639594,57
1,58,1233.5,376.9,58
1,59,1257.04975124,377.393034826,59
1,60,1247.31578947,379.473684211,60
1,61,1306.41025641,380.102564103,61
1,62,1213.71428571,380.357142857,62
1,63,1269.70833333,382.333333333,63
1,64,1250.78571429,383.75,64
1,65,1303.14285714,383.714285714,65
1,66,1251.27272727,386.863636364,66
1,67,1261.25657895,391.559210526,67
1,68,1289.02857143,382.914285714,68
1,69,1238.51363636,388.513636364,69
1,70,1300.84883721,388.360465116,70
1,71,1274.25714286,388.857142857,71
1,72,1222.33333333,390.444444444,72
1,73,1250.87878788,391.242424242,73
1,74,1295.96135266,396.0,74
1,75,1248.11111111,391.611111111,75
1,76,1330.43478261,391.826086957,76
1,77,1247.97674419,395.953488372,77
1,78,1317.07352941,392.985294118,78
1,79,1213.06153846,390.315384615,79
1,80,1224.44444444,395.222222222,80
1,81,1232.16666667,395.875,81
1,82,1280.57738095,397.25,82
1,83,1193.14583333,397.951388889,83
1,84,1220.97222222,397.111111111,84
1,85,1326.1,399.2,85
1,86,1292.39130435,400.434782609,86
