ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1012.89473684,304.421052632,1
1,2,1042.0,314.535714286,2
1,3,1029.79166667,315.0,3
1,4,1038.38888889,316.277777778,4
1,5,1060.77777778,316.555555556,5
1,6,1014.57142857,318.714285714,6
1,7,1026.0,320.727272727,7
1,8,1051.43243243,321.810810811,8
1,9,1155.19444444,322.638888889,9
1,10,1083.66666667,323.761904762,10
1,11,1001.22727273,323.227272727,11
1,12,1393.1,324.9,12
1,13,1008.03703704,324.333333333,13
1,14,1039.38095238,324.761904762,14
1,15,1069.2,328.5,15
1,16,1083.375,328.21875,16
1,17,1090.39393939,326.393939394,17
1,18,1031.65384615,328.230769231,18
1,19,938.384615385,329.615384615,19
1,20,1002.44230769,329.173076923,20
1,21,933.3125,330.8125,21
1,22,1008.0,331.565217391,22
1,23,1012.13793103,330.172413793,23
1,24,1021.55172414,332.620689655,24
1,25,1078.11111111,331.833333333,25
1,26,1053.16666667,332.777777778,26
1,27,1072.7826087,330.717391304,27
1,28,1026.5,334.0,28
1,29,1068.23076923,333.846153846,29
1,30,1083.33333333,333.888888889,30
1,31,991.222222222,334.5,31
1,32,999.538461538,334.769230769,32
1,33,1058.36585366,334.048780488,33
1,34,1006.64179104,337.507462687,34
1,35,1012.33333333,336.722222222,35
1,36,1031.45945946,335.891891892,36
1,37,931.5,338.0,37
1,38,980.066666667,338.333333333,38
1,39,1017.62264151,337.471698113,39
1,40,1025.64615385,339.707692308,40
1,41,973.5,340.285714286,41
1,42,1052.35483871,338.903225806,42
1,43,1043.19607843,342.176470588,43
1,44,1108.94285714,342.514285714,44
1,45,984.425,339.525,45
1,46,1001.51851852,341.666666667,46
1,47,1035.33333333,342.647619048,47
1,48,1089.65,342.6,48
1,49,995.464285714,342.75,49
1,50,1063.4137931,342.862068966,50
1,51,1075.82857143,342.314285714,51
1,52,1403.12820513,343.025641026,52
1,53,1025.51923077,345.980769231,53
1,54,1052.51282051,344.320512821,54
1,55,1104.375,345.25,55
1,56,1015.51785714,343.839285714,56
1,57,1008.73333333,348.28,57
1,58,1463.11764706,348.176470588,58
1,59,973.933333333,348.0,59
1,60,981.707317073,348.284552846,60
1,61,1003.8125,347.125,61
1,62,1013.13513514,350.945945946,62
1,63,1100.03846154,347.692307692,63
1,64,969.5,349.0,64
1,65,991.531914894,350.106382979,65
1,66,998.652173913,348.913043478,66
1,67,1056.61176471,350.141176471,67
1,68,1110.28571429,349.5,68
1,69,1063.71428571,350.357142857,69
1,70,1071.02380952,350.023809524,70
1,71,1042.15384615,351.461538462,71
1,72,986.117647059,354.470588235,72
1,73,1020.19277108,351.530120482,73
1,74,1028.95,352.225,74
1,75,1046.42857143,353.5,75
1,76,996.764705882,354.058823529,76
1,77,1002.725,354.075,77
1,78,1118.63636364,354.090909091,78
1,79,1062.04761905,355.523809524,79
1,80,1113.0,354.684210526,80
1,81,1091.75,356.15,81
1,82,991.4,356.885714286,82
1,83,1034.46590909,355.522727273,83
1,84,984.409090909,359.090909091,84
1,85,1006.11111111,357.592592593,85
1,86,998.24,359.2,86
1,87,1025.2,358.26,87
1,88,1056.42857143,359.857142857,88
1,89,1096.81818182,358.545454545,89
1,90,975.928571429,359.5,90
1,91,1016.57407407,359.055555556,91
1,92,1050.4,359.95,92
1,93,1091.61904762,360.428571429,93
1,94,1129.53125,360.90625,94
1,95,1069.74193548,360.35483871,95
1,96,991.371428571,361.514285714,96
1,97,1009.97222222,361.277777778,97
1,98,1186.44,361.2,98
1,99,1003.53333333,362.1,99
1,100,1014.42105263,362.105263158,100
1,101,1030.17857143,362.785714286,101
1,102,1042.12371134,362.721649485,102
1,103,1076.25714286,364.142857143,103
1,104,1441.9375,364.125,104
1,105,1064.26,363.0,105
1,106,1159.45833333,365.5,106
1,107,1047.94117647,367.294117647,107
