ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1025.83333333,103.5,1
1,2,1021.4,105.64,2
1,3,1016.27272727,106.0,3
1,4,1091.85,132.05,4
1,5,1105.92105263,132.052631579,5
1,6,1099.38095238,133.476190476,6
1,7,1093.86666667,136.533333333,7
1,8,1120.7184466,140.786407767,8
1,9,832.136363636,143.056818182,9
1,10,1129.82692308,147.423076923,10
1,11,1124.96551724,145.965517241,11
1,12,1147.8372093,149.88372093,12
1,13,1154.5,152.363636364,13
1,14,822.666666667,152.958333333,14
1,15,826.5,154.0,15
1,16,816.981132075,156.547169811,16
1,17,1180.32352941,157.147058824,17
1,18,1027.90625,164.3125,18
1,19,1028.82352941,169.264705882,19
1,20,1028.33333333,173.266666667,20
1,21,1120.91071429,171.892857143,21
1,22,990.866666667,174.5,22
1,23,1032.375,173.875,23
1,24,980.545454545,174.484848485,24
1,25,1120.63076923,178.246153846,25
1,26,988.206896552,179.051724138,26
1,27,1141.93333333,179.577777778,27
1,28,1004.78571429,180.0,28
1,29,1130.77777778,180.603174603,29
1,30,1129.0,185.111111111,30
1,31,974.166666667,185.083333333,31
1,32,1023.22077922,185.662337662,32
1,33,1124.19047619,184.761904762,33
1,34,966.48,185.94,34
1,35,982.181818182,187.090909091,35
1,36,995.105263158,188.868421053,36
1,37,1013.66197183,186.61971831,37
1,38,956.548387097,188.774193548,38
1,39,971.214285714,190.178571429,39
1,40,992.40625,191.375,40
1,41,1219.38235294,189.970588235,41
1,42,1028.13636364,190.636363636,42
1,43,1005.14634146,192.329268293,43
1,44,1011.0,194.618181818,44
1,45,1099.5,192.8,45
1,46,1224.93877551,195.693877551,46
1,47,1023.74193548,195.419354839,47
1,48,1092.91666667,196.916666667,48
1,49,1000.08823529,197.823529412,49
1,50,1035.77777778,198.703703704,50
1,51,1136.125,198.875,51
1,52,1028.98058252,204.398058252,52
1,53,1058.41818182,203.854545455,53
1,54,1041.25862069,203.431034483,54
1,55,1100.06122449,208.510204082,55
1,56,1110.16666667,209.333333333,56
1,57,1114.54545455,209.636363636,57
1,58,1065.0,209.878787879,58
1,59,1037.33333333,211.266666667,59
1,60,1071.10344828,210.896551724,60
1,61,1240.46875,210.8125,61
1,62,1042.5,216.5,62
1,63,833.125,217.125,63
1,64,1025.72727273,216.363636364,64
1,65,1036.33333333,218.0,65
1,66,1150.7,220.2,66
1,67,1116.64583333,221.145833333,67
1,68,1140.5,221.53125,68
1,69,1144.125,220.5625,69
1,70,1123.77142857,221.485714286,70
1,71,1035.51948052,222.857142857,71
1,72,1044.5,223.923076923,72
1,73,1213.92307692,229.4,73
1,74,758.75,234.55,74
1,75,904.384615385,238.384615385,75
1,76,1101.5,242.666666667,76
1,77,1080.48387097,244.322580645,77
1,78,1109.8,244.0,78
1,79,751.578947368,246.421052632,79
1,80,1096.875,247.525,80
1,81,1568.25,247.5,81
1,82,1090.2972973,249.864864865,82
1,83,1072.38888889,249.740740741,83
1,84,1107.97345133,252.769911504,84
1,85,1573.92857143,253.142857143,85
1,86,1085.29166667,255.0,86
1,87,1095.01992032,259.796812749,87
1,88,1281.77272727,255.090909091,88
1,89,1063.26086957,254.695652174,89
1,90,1070.09859155,257.38028169,90
1,91,1077.90243902,255.87804878,91
1,92,1121.1,253.6,92
1,93,1525.54285714,253.971428571,93
1,94,1106.07142857,256.857142857,94
1,95,1630.3559322,258.491525424,95
1,96,1048.19354839,258.0,96
1,97,1587.92307692,257.307692308,97
1,98,1595.01315789,255.828947368,98
1,99,1026.5,259.5,99
1,100,1109.88095238,260.166666667,100
1,101,1126.47272727,258.2,101
1,102,995.818181818,259.659090909,102
1,103,1116.64705882,259.823529412,103
1,104,1276.17142857,260.228571429,104
1,105,1569.11764706,260.588235294,105
1,106,989.717391304,263.065217391,106
1,107,1121.11764706,259.676470588,107
1,108,1631.75,263.0,108
1,109,1635.8,261.333333333,109
1,110,1063.23188406,262.739130435,110
1,111,1070.125,263.0,111
1,112,1131.73684211,261.421052632,112
1,113,1145.0952381,260.380952381,113
1,114,983.083333333,263.916666667,114
1,115,1077.64814815,263.972222222,115
1,116,1105.66666667,263.571428571,116
1,117,1139.12295082,265.073770492,117
1,118,1043.05,265.1,118
1,119,1091.34375,265.625,119
1,120,1120.63829787,265.968085106,120
1,121,1129.83018868,267.396226415,121
1,122,577.729885057,270.695402299,122
1,123,588.616666667,265.483333333,123
1,124,1069.90322581,266.64516129,124
1,125,1276.16666667,267.188888889,125
1,126,583.578947368,266.736842105,126
1,127,680.517857143,265.875,127
1,128,1206.64788732,269.802816901,128
1,129,1634.26086957,267.630434783,129
1,130,567.363636364,269.454545455,130
1,131,595.844827586,269.275862069,131
1,132,1014.93939394,270.96969697,132
1,133,1092.22222222,273.238095238,133
1,134,1086.14925373,269.134328358,134
1,135,1118.63636364,271.318181818,135
1,136,1268.95555556,274.688888889,136
1,137,1081.39215686,272.274509804,137
1,138,1143.73809524,273.738095238,138
1,139,1152.0,272.705882353,139
1,140,1636.10344828,272.724137931,140
1,141,1101.8115942,273.753623188,141
1,142,1477.6,273.4,142
1,143,595.090909091,275.636363636,143
1,144,1047.94047619,274.261904762,144
1,145,1066.88888889,275.833333333,145
1,146,575.697674419,278.465116279,146
1,147,858.277777778,278.111111111,147
1,148,1062.09677419,278.419354839,148
1,149,1098.07407407,278.259259259,149
1,150,599.628571429,278.314285714,150
1,151,1074.94871795,278.743589744,151
1,152,1083.44186047,279.325581395,152
1,153,592.855670103,281.195876289,153
1,154,1637.16,278.88,154
1,155,564.314814815,280.222222222,155
1,156,587.653061224,278.367346939,156
1,157,1016.25274725,282.846153846,157
1,158,1033.11111111,281.333333333,158
1,159,1483.5,280.666666667,159
1,160,1561.77777778,281.037037037,160
1,161,579.460674157,284.921348315,161
1,162,1091.94594595,282.297297297,162
1,163,1097.72222222,282.277777778,163
1,164,568.957894737,284.968421053,164
1,165,1103.4,283.6,165
1,166,1642.94285714,282.142857143,166
1,167,1268.0,285.8,167
1,168,1299.20833333,284.291666667,168
1,169,1635.8627451,283.215686275,169
1,170,736.782608696,285.586956522,170
1,171,1046.05555556,285.738095238,171
1,172,1086.16666667,285.111111111,172
1,173,587.4375,286.3125,173
1,174,1011.8627451,286.039215686,174
1,175,1551.85714286,284.75,175
1,176,929.411764706,289.117647059,176
1,177,1098.58333333,289.729166667,177
1,178,560.15625,287.1875,178
1,179,572.388888889,289.277777778,179
1,180,1054.96,289.6,180
1,181,1264.92307692,291.923076923,181
1,182,1301.79411765,289.352941176,182
