ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1130.85714286,248.666666667,1
1,2,1180.05555556,260.222222222,2
1,3,1133.5,262.0,3
1,4,1206.25,261.821428571,4
1,5,1160.08333333,266.666666667,5
1,6,1173.0,266.5,6
1,7,1325.88888889,267.703703704,7
1,8,1127.1369863,266.931506849,8
1,9,1133.72727273,270.454545455,9
1,10,1138.24242424,270.727272727,10
1,11,1143.11320755,271.849056604,11
1,12,1147.61290323,272.032258065,12
1,13,1236.29411765,271.588235294,13
1,14,1166.59574468,273.021276596,14
1,15,1170.2,272.3,15
1,16,1176.7195122,273.097560976,16
1,17,1150.56097561,274.853658537,17
1,18,1155.63157895,273.473684211,18
1,19,1160.97826087,274.543478261,19
1,20,1154.68292683,280.219512195,20
1,21,1138.0,280.25,21
1,22,1173.88888889,280.444444444,22
1,23,1146.47058824,282.0,23
1,24,1177.35294118,281.941176471,24
1,25,1184.43902439,282.024390244,25
1,26,1105.57894737,282.894736842,26
1,27,1190.04545455,284.727272727,27
1,28,1158.3125,286.125,28
1,29,1164.14814815,287.759259259,29
1,30,1172.27272727,287.303030303,30
1,31,1144.48979592,287.673469388,31
1,32,1231.81818182,288.909090909,32
1,33,1132.95238095,291.19047619,33
1,34,1227.3125,290.8125,34
1,35,1140.71052632,292.184210526,35
1,36,1156.0,292.291666667,36
1,37,1163.22222222,293.407407407,37
1,38,1173.9,293.7,38
1,39,1415.91666667,294.333333333,39
1,40,1266.5,297.285714286,40
1,41,1083.68181818,299.863636364,41
1,42,1131.69148936,306.978723404,42
1,43,1268.88888889,307.333333333,43
1,44,1131.76470588,312.294117647,44
1,45,983.5,347.5,45
1,46,1167.13559322,347.949152542,46
1,47,1123.44827586,348.896551724,47
1,48,1154.77083333,348.770833333,48
1,49,1204.90909091,353.363636364,49
1,50,888.217391304,360.304347826,50
1,51,955.5,360.5,51
1,52,1573.6,359.6,52
1,53,1184.53333333,362.133333333,53
1,54,962.8,365.04,54
1,55,1156.875,366.125,55
1,56,892.545454545,368.636363636,56
1,57,897.032258065,367.548387097,57
1,58,1237.14285714,367.857142857,58
1,59,981.461538462,369.153846154,59
1,60,962.636363636,369.590909091,60
1,61,1193.27659574,370.531914894,61
1,62,1198.61904762,369.476190476,62
1,63,711.5,371.5,63
1,64,1112.52941176,373.735294118,64
1,65,1126.125,374.875,65
1,66,967.8,376.15,66
1,67,1510.4375,375.625,67
1,68,921.466666667,376.866666667,68
1,69,1109.125,377.125,69
1,70,926.12,378.36,70
1,71,976.771428571,378.428571429,71
1,72,983.307692308,381.653846154,72
1,73,990.0,382.0,73
1,74,1100.75,383.75,74
1,75,889.933333333,385.4,75
1,76,894.125,385.125,76
1,77,937.95,385.9,77
1,78,900.545454545,388.363636364,78
1,79,943.125,389.875,79
1,80,960.733333333,391.033333333,80
1,81,965.111111111,390.444444444,81
1,82,947.111111111,392.222222222,82
1,83,970.2,395.5,83
1,84,829.8,402.0,84
1,85,939.5,407.5,85
1,86,650.0,409.5,86
1,87,667.411764706,416.117647059,87
1,88,910.790697674,419.069767442,88
1,89,669.8,422.1,89
1,90,699.933333333,423.733333333,90
1,91,1530.0,432.333333333,91
1,92,612.4,433.3,92
1,93,610.357142857,436.642857143,93
1,94,865.0,438.666666667,94
1,95,869.517241379,438.655172414,95
1,96,1042.48148148,440.740740741,96
1,97,1031.18518519,446.777777778,97
1,98,1140.57142857,446.8,98
1,99,1149.66666667,448.238095238,99
1,100,1670.0,449.0,100
1,101,858.5,453.5,101
1,102,1036.25925926,454.074074074,102
1,103,1051.0,454.5,103
1,104,1040.33333333,457.5,104
1,105,946.157894737,462.473684211,105
1,106,1049.0,462.888888889,106
1,107,1038.0,463.391304348,107
1,108,977.125,465.333333333,108
1,109,1031.80952381,466.142857143,109
1,110,1041.79310345,466.103448276,110
1,111,1025.7,466.95,111
1,112,1027.72727273,470.363636364,112
1,113,868.777777778,471.5,113
1,114,942.379310345,470.862068966,114
1,115,975.027777778,474.861111111,115
1,116,943.352941176,477.029411765,116
1,117,1066.33333333,476.666666667,117
1,118,981.28,478.98,118
1,119,903.693877551,479.87755102,119
1,120,1019.39130435,481.217391304,120
1,121,961.153846154,482.923076923,121
1,122,1039.66666667,487.083333333,122
1,123,981.2,489.5,123
1,124,1050.42105263,491.894736842,124
1,125,1031.0,493.0,125
1,126,610.533333333,494.866666667,126
1,127,1035.73684211,494.684210526,127
1,128,1047.0,495.25,128
1,129,938.818181818,499.181818182,129
1,130,1094.5,499.5,130
1,131,900.769230769,502.846153846,131
1,132,933.8,505.85,132
1,133,1049.23076923,506.615384615,133
1,134,1001.125,510.6,134
1,135,1005.83333333,516.0,135
1,136,1008.75,518.25,136
1,137,933.2,519.233333333,137
1,138,995.666666667,520.666666667,138
1,139,683.5,531.8,139
1,140,956.684210526,541.052631579,140
1,141,1001.5,543.0,141
1,142,1008.22727273,542.136363636,142
1,143,996.5,546.115384615,143
1,144,958.294117647,547.411764706,144
1,145,1013.0,548.5,145
1,146,1002.92307692,550.384615385,146
1,147,1657.96428571,554.892857143,147
1,148,1023.53333333,559.333333333,148
1,149,949.5,562.0,149
1,150,1020.03846154,564.307692308,150
1,151,1728.39130435,566.282608696,151
1,152,1010.72222222,569.888888889,152
1,153,969.0,574.80952381,153
1,154,935.157894737,577.315789474,154
1,155,1027.66666667,591.555555556,155
1,156,967.9,596.95,156
1,157,1030.5,600.5,157
1,158,915.5,604.5,158
1,159,1123.5,617.714285714,159
1,160,1180.0,634.0,160
1,161,1170.125,642.5,161
1,162,1073.80952381,644.142857143,162
1,163,1135.26666667,651.333333333,163
1,164,1223.27272727,657.818181818,164
1,165,1024.34482759,667.275862069,165
1,166,1702.04347826,669.608695652,166
1,167,1768.0,669.8,167
1,168,1706.04761905,674.904761905,168
1,169,1710.90625,678.71875,169
1,170,1348.68888889,682.022222222,170
1,171,1350.48275862,686.827586207,171
1,172,1368.24,723.32,172
1,173,1735.55319149,724.510638298,173
1,174,1743.51612903,727.290322581,174
1,175,1753.94594595,730.513513514,175
1,176,1747.16666667,739.208333333,176
1,177,1166.5,741.5,177
1,178,1195.14285714,741.5,178
1,179,1210.2,743.333333333,179
