ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1001.65384615,122.346153846,1
1,2,920.0,131.5,2
1,3,926.592592593,132.074074074,3
1,4,934.407407407,131.925925926,4
1,5,952.0,141.0,5
1,6,784.428571429,142.714285714,6
1,7,859.5,145.0,7
1,8,825.333333333,156.619047619,8
1,9,845.875,156.5,9
1,10,1010.125,155.875,10
1,11,838.0,156.826086957,11
1,12,951.782608696,157.391304348,12
1,13,967.142857143,161.0,13
1,14,766.888888889,161.777777778,14
1,15,999.105263158,164.421052632,15
1,16,907.5,191.0,16
1,17,920.434782609,204.913043478,17
1,18,843.5625,206.375,18
1,19,833.0,207.5,19
1,20,882.611111111,210.777777778,20
1,21,828.789473684,213.052631579,21
1,22,966.947368421,216.684210526,22
1,23,800.0,221.8,23
1,24,814.6,227.5,24
1,25,788.727272727,229.5,25
1,26,953.909090909,230.090909091,26
1,27,868.826086957,233.695652174,27
1,28,606.0,239.5,28
1,29,995.75,268.625,29
1,30,803.588235294,281.117647059,30
1,31,959.384615385,292.076923077,31
1,32,889.2,294.733333333,32
1,33,822.5,297.454545455,33
1,34,921.56,296.92,34
1,35,881.588235294,301.588235294,35
1,36,926.421052632,306.578947368,36
1,37,874.263157895,312.157894737,37
1,38,1025.44444444,313.5,38
1,39,854.35,321.75,39
1,40,764.08,332.8,40
1,41,1016.37037037,335.703703704,41
1,42,885.125,339.4375,42
1,43,934.8,340.7,43
1,44,862.0,346.8,44
1,45,877.6,349.6,45
1,46,1017.11764706,352.117647059,46
1,47,1006.70833333,359.0,47
1,48,1021.4375,363.625,48
1,49,776.625,368.4375,49
1,50,1014.0,372.0,50
1,51,1069.0,373.0,51
1,52,938.1,374.05,52
1,53,970.833333333,374.916666667,53
1,54,991.465116279,379.11627907,54
1,55,986.9375,383.375,55
1,56,913.578947368,386.105263158,56
1,57,1002.77777778,395.5,57
1,58,987.5,407.8,58
1,59,1023.71428571,411.5,59
1,60,937.0,412.5,60
1,61,1003.5,418.272727273,61
1,62,1084.70833333,420.291666667,62
1,63,979.272727273,425.818181818,63
1,64,1077.04545455,431.681818182,64
1,65,966.090909091,436.909090909,65
1,66,1077.25,437.375,66
1,67,960.7,438.4,67
1,68,1201.15789474,442.842105263,68
1,69,1219.5,444.727272727,69
1,70,1166.23809524,446.666666667,70
1,71,1149.0,447.0,71
1,72,1095.66666667,451.0,72
1,73,1256.0,451.173913043,73
1,74,1089.73333333,452.666666667,74
1,75,955.5,464.0,75
1,76,1032.35,466.45,76
1,77,1036.14285714,470.19047619,77
1,78,1083.5,476.0,78
1,79,510.0,483.5,79
1,80,1008.9047619,484.19047619,80
1,81,1017.07142857,485.5,81
1,82,1062.56521739,485.913043478,82
1,83,1115.16,485.36,83
1,84,1011.95238095,487.761904762,84
1,85,1001.83333333,487.333333333,85
1,86,978.739130435,490.043478261,86
1,87,994.75,489.5,87
1,88,1081.26086957,495.52173913,88
1,89,1163.11111111,497.518518519,89
1,90,1007.47368421,500.631578947,90
1,91,408.363636364,504.909090909,91
1,92,1054.33333333,506.857142857,92
1,93,542.523809524,508.095238095,93
1,94,1120.27586207,507.655172414,94
1,95,1065.0,515.5,95
1,96,1111.0,516.173913043,96
1,97,991.869565217,516.782608696,97
1,98,1010.85714286,520.0,98
1,99,1102.88235294,520.588235294,99
1,100,1015.55555556,528.703703704,100
1,101,1041.26666667,533.066666667,101
1,102,1089.5,533.833333333,102
1,103,1062.125,535.083333333,103
1,104,1100.9375,537.0,104
1,105,1112.77777778,540.296296296,105
1,106,1217.0,544.5,106
1,107,1137.95238095,546.380952381,107
1,108,1159.46153846,547.153846154,108
1,109,1078.8,549.5,109
1,110,1121.0,553.5,110
1,111,1055.0,553.5,111
1,112,1022.0,554.8,112
1,113,1089.44444444,554.166666667,113
1,114,1183.82758621,554.896551724,114
1,115,977.380952381,557.476190476,115
1,116,1091.48387097,558.258064516,116
1,117,1155.33333333,558.857142857,117
1,118,1051.5,561.785714286,118
1,119,531.5,565.0,119
1,120,1112.26086957,566.043478261,120
1,121,1239.88888889,567.888888889,121
1,122,1095.30952381,567.785714286,122
1,123,1048.0,570.730769231,123
1,124,1212.14285714,573.19047619,124
1,125,1079.875,573.666666667,125
1,126,1200.09090909,574.090909091,126
1,127,1205.25,574.285714286,127
1,128,1070.11764706,575.588235294,128
1,129,1192.70833333,577.375,129
1,130,1081.26666667,577.733333333,130
1,131,1133.0,578.666666667,131
1,132,1175.27272727,578.878787879,132
1,133,1209.8125,580.5,133
1,134,1258.5,581.0,134
1,135,998.75,581.75,135
1,136,1108.15384615,583.346153846,136
