ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1184.54545455,34.7272727273,1
1,2,1164.425,43.275,2
1,3,1171.61290323,42.4838709677,3
1,4,1153.56521739,47.5869565217,4
1,5,1324.24285714,48.1285714286,5
1,6,1171.0,47.7368421053,6
1,7,1129.72857143,51.6714285714,7
1,8,1157.07692308,52.3076923077,8
1,9,1192.68421053,51.701754386,9
1,10,1121.36363636,52.9090909091,10
1,11,1218.02857143,52.7428571429,11
1,12,1213.14772727,55.6136363636,12
1,13,1206.08333333,56.8333333333,13
1,14,1293.2755102,59.5816326531,14
1,15,1194.96153846,59.3076923077,15
1,16,1303.0,60.2,16
1,17,1226.53846154,62.6538461538,17
1,18,1258.4516129,66.3548387097,18
1,19,1289.51515152,65.8181818182,19
1,20,1273.72,68.06,20
1,21,1295.80645161,67.5483870968,21
1,22,1304.14285714,67.6666666667,22
1,23,1310.54285714,68.2,23
1,24,1091.91111111,70.4666666667,24
1,25,1258.57446809,72.0,25
1,26,1008.21428571,72.6428571429,26
1,27,1283.8,73.0666666667,27
1,28,1289.85714286,74.2857142857,28
1,29,1084.15789474,75.2894736842,29
1,30,1259.39473684,77.1842105263,30
1,31,999.285714286,77.2857142857,31
1,32,1267.5,78.2222222222,32
1,33,1077.84,79.52,33
1,34,1357.74,86.94,34
1,35,1070.02631579,88.6315789474,35
1,36,1355.86363636,92.0454545455,36
1,37,1360.0,93.6875,37
1,38,1209.11111111,107.666666667,38
1,39,497.684210526,136.684210526,39
1,40,493.6,139.15,40
1,41,486.75,142.375,41
1,42,482.111111111,144.777777778,42
1,43,1536.5,208.0,43
1,44,791.952380952,213.571428571,44
1,45,781.875,216.875,45
1,46,794.071428571,218.535714286,46
1,47,1533.5,219.0,47
1,48,789.608695652,221.152173913,48
1,49,1529.76923077,220.307692308,49
1,50,1319.71428571,232.571428571,50
1,51,777.833333333,259.958333333,51
1,52,933.083333333,269.694444444,52
1,53,1428.89795918,270.959183673,53
1,54,1428.60869565,276.565217391,54
1,55,1080.0,279.0,55
1,56,1429.69230769,280.807692308,56
1,57,1448.75641026,280.41025641,57
1,58,1447.13157895,285.684210526,58
1,59,951.068965517,292.75862069,59
1,60,1441.19047619,294.476190476,60
1,61,560.727272727,294.727272727,61
1,62,947.5,295.714285714,62
1,63,1435.77777778,296.777777778,63
1,64,565.0,296.529411765,64
1,65,525.636363636,301.090909091,65
1,66,956.886956522,301.295652174,66
1,67,1468.24,301.04,67
1,68,965.481481481,303.148148148,68
