ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1109.5,158.888888889,1
1,2,1072.75,158.375,2
1,3,1112.86363636,161.909090909,3
1,4,1116.85185185,163.555555556,4
1,5,1123.90909091,163.909090909,5
1,6,1128.4375,168.875,6
1,7,1133.4375,168.75,7
1,8,1141.85714286,169.0,8
1,9,1136.88888889,172.044444444,9
1,10,1066.75,174.05,10
1,11,1076.57894737,173.578947368,11
1,12,1143.66666667,174.333333333,12
1,13,1153.5,174.5,13
1,14,1104.7,176.3,14
1,15,1061.29411765,177.411764706,15
1,16,1125.55813953,176.651162791,16
1,17,1130.3,176.8,17
1,18,1153.72,178.6,18
1,19,1029.6,181.4,19
1,20,1131.7826087,181.47826087,20
1,21,1140.66666667,181.222222222,21
1,22,1150.54545455,184.636363636,22
1,23,1155.74418605,183.76744186,23
1,24,1009.16666667,184.916666667,24
1,25,1143.5,185.0,25
1,26,1134.04761905,188.603174603,26
1,27,1140.0,187.0,27
1,28,1161.06666667,187.377777778,28
1,29,1153.40816327,189.93877551,29
1,30,1165.18518519,190.962962963,30
1,31,1175.875,190.75,31
1,32,1170.65306122,191.244897959,32
1,33,1180.28571429,194.523809524,33
1,34,1197.86666667,194.6,34
1,35,1154.09090909,195.484848485,35
1,36,1175.69767442,196.627906977,36
1,37,1122.6,198.266666667,37
1,38,1144.31034483,198.448275862,38
1,39,1184.24390244,198.292682927,39
1,40,1212.18644068,199.508474576,40
1,41,1161.26315789,199.684210526,41
1,42,1172.0,200.5,42
1,43,1191.3,201.175,43
1,44,1226.5,201.071428571,44
1,45,1138.69811321,201.924528302,45
1,46,1106.5,203.5,46
1,47,1161.77777778,203.388888889,47
1,48,1182.72727273,203.522727273,48
1,49,1155.58823529,205.808823529,49
1,50,1188.7,204.65,50
1,51,1218.5483871,204.322580645,51
1,52,1069.61538462,206.384615385,52
1,53,1149.45,205.2,53
1,54,1193.13043478,207.695652174,54
1,55,1073.34615385,210.384615385,55
1,56,973.8,211.0,56
1,57,983.621621622,210.702702703,57
1,58,1066.09090909,211.818181818,58
1,59,1198.82352941,213.970588235,59
1,60,1084.55882353,213.044117647,60
1,61,1149.48214286,213.517857143,61
1,62,1203.85185185,213.259259259,62
1,63,1161.0,214.5,63
1,64,1109.38888889,217.888888889,64
1,65,1157.86111111,218.652777778,65
1,66,1169.60714286,217.535714286,66
1,67,1198.59459459,219.648648649,67
1,68,971.5,221.714285714,68
1,69,1166.76470588,222.176470588,69
1,70,1186.8,224.0,70
1,71,1207.50649351,224.233766234,71
1,72,959.727272727,227.113636364,72
1,73,1268.96153846,228.269230769,73
1,74,1184.53061224,228.816326531,74
1,75,1211.0,229.35,75
1,76,1277.0,229.733333333,76
1,77,1281.54166667,232.166666667,77
1,78,964.395833333,233.5,78
1,79,975.41509434,234.471698113,79
1,80,1270.17142857,233.257142857,80
1,81,931.090909091,234.396103896,81
1,82,941.642857143,234.607142857,82
1,83,1016.29545455,235.75,83
1,84,921.833333333,237.0,84
1,85,958.951219512,239.634146341,85
1,86,1535.77777778,242.444444444,86
1,87,939.076923077,243.384615385,87
1,88,972.0,242.846153846,88
1,89,986.5,242.714285714,89
1,90,993.237704918,241.557377049,90
1,91,1022.57692308,244.307692308,91
1,92,1565.375,244.875,92
1,93,1583.66666667,244.37254902,93
1,94,928.849056604,245.056603774,94
1,95,955.0,245.5,95
1,96,920.651685393,245.97752809,96
1,97,1008.36956522,246.826086957,97
1,98,1540.97333333,245.666666667,98
1,99,943.875,247.875,99
1,100,1018.66666667,248.133333333,100
1,101,1027.3375,249.2875,101
1,102,1557.19512195,248.317073171,102
1,103,975.346666667,249.733333333,103
1,104,987.461538462,248.846153846,104
1,105,1578.82539683,248.793650794,105
1,106,1591.28125,248.71875,106
1,107,1545.79032258,254.129032258,107
1,108,1549.14705882,249.735294118,108
1,109,1565.375,249.625,109
1,110,911.12244898,251.040816327,110
1,111,999.901960784,250.843137255,111
1,112,1539.85106383,253.638297872,112
1,113,950.464285714,252.75,113
1,114,1534.17857143,253.232142857,114
1,115,1585.72,251.4,115
1,116,970.5,252.25,116
1,117,1012.25316456,253.0,117
1,118,916.708333333,254.0,118
1,119,922.0,253.826086957,119
1,120,1021.14583333,254.354166667,120
1,121,903.078947368,254.473684211,121
1,122,1558.60714286,255.026785714,122
1,123,1594.30434783,254.956521739,123
1,124,1550.76923077,255.153846154,124
1,125,1598.21428571,256.428571429,125
1,126,929.791666667,256.666666667,126
1,127,1028.375,256.75,127
1,128,1569.72580645,256.741935484,128
1,129,1005.4,258.1,129
1,130,947.0,258.705882353,130
1,131,1580.18803419,259.299145299,131
1,132,895.684210526,258.052631579,132
1,133,1588.86315789,259.378947368,133
1,134,1019.0,260.452380952,134
1,135,1025.10526316,260.736842105,135
1,136,1036.02777778,260.916666667,136
1,137,900.684210526,262.463157895,137
1,138,1011.81818182,263.151515152,138
1,139,1045.03846154,262.423076923,139
1,140,954.214285714,263.333333333,140
1,141,999.318181818,263.863636364,141
1,142,891.315789474,265.157894737,142
1,143,961.868421053,263.842105263,143
1,144,1594.7755102,264.244897959,144
1,145,906.714285714,266.261904762,145
1,146,940.3,265.8,146
1,147,946.884615385,266.5,147
1,148,996.785714286,267.357142857,148
1,149,1019.0,267.5,149
