ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1035.71428571,181.136054422,1
1,2,1036.225,187.9,2
1,3,1027.6746988,190.036144578,3
1,4,1021.63888889,195.527777778,4
1,5,1035.5060241,194.397590361,5
1,6,1025.85714286,200.25,6
1,7,1035.81818182,198.818181818,7
1,8,1019.1875,202.6875,8
1,9,1038.73333333,204.466666667,9
1,10,1036.3,206.9,10
1,11,987.5,208.0,11
1,12,1040.80898876,214.674157303,12
1,13,1027.16666667,216.714285714,13
1,14,1049.43589744,219.384615385,14
1,15,1040.875,222.704545455,15
1,16,1032.0,223.205882353,16
1,17,1019.42857143,224.964285714,17
1,18,1049.97222222,224.583333333,18
1,19,1000.81818182,224.909090909,19
1,20,1055.75675676,226.864864865,20
1,21,984.129032258,229.306451613,21
1,22,1028.20833333,230.708333333,22
1,23,392.425531915,232.829787234,23
1,24,992.882352941,233.588235294,24
1,25,1044.66923077,233.830769231,25
1,26,1056.22222222,235.444444444,26
1,27,871.757575758,235.818181818,27
1,28,1006.5,236.0,28
1,29,1013.58333333,236.083333333,29
1,30,1022.20481928,238.030120482,30
1,31,979.137931034,240.517241379,31
1,32,997.595744681,239.787234043,32
1,33,1039.0,241.5,33
1,34,753.666666667,243.838709677,34
1,35,443.5,243.5,35
1,36,1256.52,242.48,36
1,37,985.403508772,243.0,37
1,38,997.609022556,246.872180451,38
1,39,1026.20408163,246.755102041,39
1,40,989.435897436,248.666666667,40
1,41,389.038461538,248.628205128,41
1,42,979.96039604,251.02970297,42
1,43,1034.34782609,247.217391304,43
1,44,1039.73333333,247.333333333,44
1,45,1044.56,248.28,45
1,46,1050.62962963,249.62962963,46
1,47,972.262295082,250.819672131,47
1,48,376.75,251.178571429,48
1,49,396.333333333,251.444444444,49
1,50,869.202702703,252.851351351,50
1,51,1013.51764706,252.429411765,51
1,52,1026.46428571,252.910714286,52
1,53,998.058823529,255.058823529,53
1,54,1035.0625,254.171875,54
1,55,377.066666667,254.733333333,55
1,56,741.68,255.72,56
1,57,854.460674157,254.91011236,57
1,58,1021.82242991,260.76635514,58
1,59,398.413793103,255.103448276,59
1,60,964.0,257.0,60
1,61,1002.68292683,257.975609756,61
1,62,1044.65934066,255.89010989,62
1,63,862.19047619,257.904761905,63
1,64,992.844827586,258.344827586,64
1,65,361.846153846,258.461538462,65
1,66,873.666666667,259.135802469,66
1,67,1056.31404959,258.347107438,67
1,68,663.52173913,260.956521739,68
1,69,1013.29787234,264.563829787,69
1,70,370.85,262.75,70
1,71,1006.7826087,263.173913043,71
1,72,377.540229885,263.850574713,72
1,73,385.343195266,261.029585799,73
1,74,867.181818182,262.25,74
1,75,969.073770492,261.016393443,75
1,76,975.179487179,264.820512821,76
1,77,1047.04285714,263.3,77
1,78,404.0,262.866666667,78
1,79,880.833333333,263.888888889,79
1,80,984.091891892,261.097297297,80
1,81,998.365853659,263.414634146,81
1,82,1056.6984127,271.079365079,82
1,83,359.933333333,264.866666667,83
1,84,365.291139241,266.53164557,84
1,85,850.520547945,261.698630137,85
1,86,860.631578947,264.394736842,86
1,87,395.856115108,261.755395683,87
1,88,412.516129032,265.483870968,88
