X,Y
0,0
0,4830
4830,0
4830,4830
1275.5,171.2222222
1254.6,174
1248.909091,175.6363636
1252.297297,180.1621622
1193.280702,190.1052632
1248.772727,189.7727273
1383.742857,196.8571429
1202.555556,195.1904762
1208.285714,198.8571429
1150.125,200.875
1380.666667,200.5833333
1123.5,202.2
1174.657143,207.3142857
1086.321429,207.75
1369.705882,210.0294118
1376.811881,208.5841584
1379.178571,209.9642857
1093.075,211.85
1108.791667,212.5
1179.5,213.5
1101.810345,215.1206897
1242.533333,213.8333333
1365.4,212
1374.030303,216.6363636
1366.459016,216.1639344
1051,216.59375
1055.66,219.78
1174.222222,219.5
1363.352941,221.0147059
1101.954545,220.5454545
1061.176471,222.5
1346.45045,223.9369369
1358.371429,222.1428571
1373.470588,222.7058824
1369.473684,225.9736842
1067.5,227.5
1355.597938,227.6907216
1342.259259,231.1851852
1362.731343,231.9253731
1332.590909,231.1363636
1234.619048,232.5714286
1365,235.4
909.5,238.1428571
1129.111111,238.7777778
1331.428571,238.9642857
1243.5,240.5
1123.631579,240.5526316
886.1111111,242.6666667
1487.636364,243.5454545
1515.058824,244.8235294
1106.111111,245.3333333
1480.333333,246.8888889
1084.615385,254.3846154
1197.555556,253.7777778
1211.5,257.2857143
1278.5,257.5
1149.16129,258
1337.285714,259.5
1155.916667,261.1666667
1051.875,262.125
1010.833333,264.2777778
1046.666667,265.1111111
1067.083333,267.2222222
1068.5,272
1416.615385,274.6153846
783.2,282.2
800.3333333,281.2666667
803.8,281.9333333
1434.111111,283.3333333
788,284.5
1111.880952,288.9761905
1012.157895,296.8421053
1559,299.2
1444.086957,303.2608696
978.95,311.25
1275.314286,315.0571429
1542.555556,316.1111111
1660.533333,322.6666667
1359.689655,339.4482759
830.5686275,338.627451
1354.688889,342.9777778
1575.15,342.75
646.75,346.5
1578.727273,346.7272727
840.9285714,347.8571429
995.5,354.2
869,355.5
971.2,356.5
966.5,360.25
1468.6875,363.0625
924.6666667,363.5362319
968.75,365.375
1471.818182,367.8636364
974.125,368.875
868.3636364,370.0909091
1476.882353,370.4117647
933,374.5
865.5619048,377.2952381
874.0454545,377.6818182
590.2903226,381.1290323
990.3333333,380.8888889
1643.6,386.75
1642.096774,392.4516129
1595.5,400.2222222
1656.347826,401.5652174
1495.933333,401.7
1499.714286,404.6428571
838.8666667,405.4
1506.212121,409.1212121
1513.111111,414.2222222
1538.1875,426.375
1543.382353,426.8823529
1535.8125,428.8125
1559.7,430.02
1548.875,432.2678571
1553.4,431.4
1554,437.0909091
1561.352941,437.2745098
1573.044444,442.1555556
1565.307692,441.5384615
1568.117647,446.8529412
1586.384615,443.6153846
1560.090909,444.8181818
411.8888889,448.6666667
1560.027523,450.5321101
1572.277778,451.1666667
1579.316384,452.8248588
1593.518519,453.1111111
927.7272727,456.2272727
1589.529412,456.8117647
933,460
1267.722222,460.1388889
1571.111111,460.962963
1579.9,461.05
1599.884615,460.6153846
929.6666667,463.2380952
1604.291667,462.25
924.5454545,463.5757576
1608.236364,468.6181818
1571.833333,469.8333333
928.1111111,471.8333333
1577.5,472.5
988.6666667,473.4444444
756.48,474.6
1585.1875,476.25
732.8,478
1517.5,478
955.0555556,479.6111111
1061.294118,482.7058824
1571.714286,481.7857143
1567.388889,483.5
1571.8,485.95
1570.520833,490.4583333
1285.090909,493.7575758
534.2222222,498.5
1262.666667,504.7333333
1552.928571,504.1428571
1530.846154,512.3076923
1210.666667,520.3589744
1193,525.5
1117.666667,529.8888889
1171.5,530
1202.5,530.5
625.3181818,542.3181818
1227.5,546.5
1332.121212,551.6666667
1337.338235,552.7352941
634.1818182,552.8181818
1259.125,555.125
1327.4,555.44
997.7894737,555.6315789
1332.5,557.4
1055.428571,559.1428571
1319,558.2727273
996,559
1326.47619,560.047619
1333.928571,561.6428571
1339.692308,562.3076923
1212.888889,565.8888889
1301.5,569.2857143
1254.5,571.5
1330.666667,572.8888889
1317.3,573.9
1535.9375,573.6875
1289.4,576.4
1034.5,576.7142857
1140.384615,577.3846154
1392.418182,577.3636364
1311.5,579.5
1328.241379,580.1896552
1268.52381,579.6190476
1140.636364,581.9090909
1253.222222,583.7777778
1274.2,582.8
1271,583.2307692
1237.485714,584.8857143
1276.9375,586.3125
1604.5,587.5
1306.875,591.875
1263.875,594.3333333
1601.179487,595.5128205
1302.842105,596.1578947
1353.333333,595.3333333
526.5,598.2
616.3636364,597.9090909
1086.181818,597.7272727
1408,597.8
1099.947368,599.2105263
1073.888889,600.6666667
1083.818182,600.5454545
1246.363636,601.4545455
1584.333333,600.7333333
1064.758621,601.6206897
1292.05,604.6
1080.6,608.6
1179.5,609
1466.125,608.875
1258.916667,610.0833333
1266.5,612.6451613
784,612.7
1084,613.5
1403.5,614.5
784.5862069,616
1338.5,617.5
1530.285714,616.3571429
779.025,617.8
790.9333333,618.7333333
1179.857143,620.0714286
943.8275862,621.6551724
1257.75,622.375
1150.76,622.96
656.5,624.5
1447.333333,624.2619048
1520.866667,623.8666667
1304.909091,627.3636364
1204.083333,628.75
315.5,628.5
991.7333333,629.1333333
1290.555556,629.5555556
1012.125,632
318.9545455,632.8181818
1182.196721,633.8114754
998,633.9047619
1402.352941,634.4705882
610.1111111,635.6666667
1018.3,635.85
1245.529412,636.1176471
859.5,637.2
1012.5,637.7777778
1354.636364,641.5454545
1438,645
1246.139535,645.4883721
354,646.8
640.5,647.1071429
652.25,647.75
1195.5,648
1163.714286,648.952381
622.5,654.2
1167.666667,653.9166667
642.6666667,656.1111111
578.6,657.7
606.125,666.125
781,667.5
620.5,670
722.5882353,673.7058824
565.1875,676.375
604.8,675.5
314.0833333,677.4166667
647.3846154,676.8461538
562.6,679.1666667
361.7142857,680.2142857
723.5,680.5
775,683.375
1485.588235,683.8823529
672.875,684.875
1203.866667,685.5333333
551.6666667,686.6
1480.647059,688
560.3333333,688.2222222
606.125,690.125
1473.181818,690.1818182
1194.529412,690.5882353
1191.230769,691.9230769
705.4444444,694.5
654,696.7857143
639.9705882,699.3529412
751.25,699.5625
1227.666667,699.1481481
275.5,702.5
1223.956522,700
1206.8,703.0666667
1564.645161,704.3225806
227.5,704
1219.6875,704.5625
1092.55,705.05
1202.64,707.34
526.7142857,707.5
279.65625,707.28125
1205.4,710.4
1209.25,711.35
1220.4,711.76
1225.25,715.15
1074,716
295.1666667,718.0833333
1076.882353,719.5882353
1221.272727,719.5454545
546.6666667,719.962963
1214.96875,719.28125
233.6153846,720.6153846
550.8333333,721.1666667
597.9285714,721.6428571
577,723.5
549.2222222,723.7777778
1218.674419,727.1860465
558.125,728.875
1223.560976,727.8292683
238.6590909,730.0454545
546.125,730.125
1069.045455,730.4545455
1074.846154,730.3846154
1228.424242,729.7878788
566.6363636,731.5454545
601.0909091,733.3636364
562.875,734.125
604.1538462,734.3846154
1041.666667,734.1111111
1119,734.5
1224.4,733.55
609.4102564,735.9230769
1228.28,735.8
663,737.2
759,737
1166.725,737.075
1073.538462,737.6153846
1126.617978,739.1123596
1171.5,739.5
1229.24,739.88
1113.615385,739.6153846
829.5,740.5
1117.153846,740.7307692
1102.846154,744.2307692
1125.549296,745.8309859
1169.945946,745.5675676
702.125,746.875
633.6142857,750.6714286
1595,750.1538462
612.1363636,751.1363636
1080.4,751.8
1120,753
836.4,755.5
1582.08,755.28
1576.8,757
445.3846154,759.6153846
852.5,761.125
850.4375,763.625
444.6666667,765.875
855.7058824,766.1176471
1304.384615,770.3846154
1549.090909,770.9090909
783.05,773.25
1070.333333,774.4444444
715.5,776
839.8666667,778.4666667
1041,777.5
647.2307692,779.5384615
712.9090909,779.3636364
612.25,781.6666667
241.3333333,782.75
217.1538462,791.2307692
224.1111111,793.1111111
328,793.2
572.8653846,793.0576923
1131.636364,794.9090909
1109.853333,796.2666667
698.375,800.75
858.1818182,801.0909091
490.2,803.5
1278.5,803.5
615.6153846,811.3846154
1271.818182,813.5454545
583.6785714,813.0357143
619.8285714,816.6857143
1268.35,817.275
593.125,820.125
186.6129032,828.8709677
604.05,830.25
600.6428571,833.4285714
557.45,833.4
716.1,833.6666667
1496.090909,834.6363636
521.5217391,839.173913
168.3846154,840.6153846
194.2666667,841.0666667
561.5,842.5
611.5,847
198.90625,848.59375
619.7777778,852.1111111
202.875,853.125
769.5,856.8
608,859
773.1333333,858.4666667
489.6153846,865.6153846
1171.5,868
483.7142857,869.7857143
490.1333333,870.4666667
493.125,874.25
1323.5,873.7142857
1058.5,876.5
816.8823529,878.5882353
1350.133333,880.4666667
817.0434783,883.0869565
512.8,884.5
1137,887.5
568.3333333,889.4444444
1341.444444,890.8888889
508.6470588,894
494.125,896.875
1393.173913,899.8695652
1003.5,903.5
1232.2,908
1227.724138,910.9310345
633.0909091,916.8181818
1000.5,923.5
1176,926
909.4545455,930.3636364
1316.5,931.5
1231.166667,931.6190476
1114.5,934.5
1087.2,935.875
1339.5,938.5
1286.2,941.0571429
447,944.5
524.0555556,944.8888889
674.7222222,946.7222222
663.5365854,953.2195122
668.2,952.24
658.8,953.6
1370.521739,953.7826087
656.7209302,956.7906977
645.2818182,956.2272727
1302.733333,958.0666667
157.7692308,959.6153846
1307.5,960.5
375,963.5
686,963.5
1388.588235,963.8823529
477.2,965.7
628.2777778,970.6111111
612.3529412,970.4705882
633.4615385,972.4871795
1197.904762,973.4761905
1202.444444,973.6666667
429.2432432,974.0810811
628.1944444,975.9166667
652,975.5
1194.923077,975.9615385
162.1176471,978.5294118
1407.875,979.3333333
1277.578947,980.4210526
649.5,984.5
158.6206897,985.6896552
953.1034483,987.2413793
615.3333333,990.1111111
941.7142857,991.5
1338.5,991.5
145.75,1002.125
1240.636364,1003.545455
1044.384615,1011.615385
415.95,1022.25
603.5,1022.5
944.7878788,1026.090909
1684.5,1027
1586.090909,1029.636364
1365.826087,1040
658.125,1040.875
152.8,1042.5
404.7142857,1043.214286
1378.714286,1043.5
453.9166667,1044.75
578.3,1045.9
451.3571429,1047.214286
456.1142857,1048.285714
572,1047.875
1301.904762,1047.190476
1455.933333,1050.533333
1453,1052.173913
1340.5,1053.5
1331.5,1057.5
587.7142857,1060
1338.470588,1061.176471
1347.416667,1061.708333
1342.75,1062.6875
1141.909091,1064.363636
1252.882353,1069.588235
1280.444444,1071.222222
1342.631579,1072.473684
1284.444444,1072.777778
1103.294118,1075.411765
1352.8125,1076.6875
1283.5,1083.5
1396.5,1083.285714
1343.666667,1094.111111
1530.133333,1094.4
425.0833333,1094.75
1322.307692,1096
130.6666667,1097.888889
1036.636364,1098.090909
1403.722222,1098.083333
1323.5,1100
547.7727273,1103.409091
1347.076923,1103.115385
122.1578947,1106.157895
1146.181818,1107.636364
1277.2,1107.5
1303.275862,1112.448276
1088.627907,1112.72093
1415.96,1123.4
442.6666667,1124.733333
652.8867925,1127.09434
657.3777778,1129.933333
1380,1132
1128.47619,1133.285714
1376.4,1133.9
1036.75,1135.4375
1086.125,1136.875
469.0416667,1137.875
1381.5,1137.714286
1374.36,1139.04
1383,1141.5
1520.615385,1142.384615
1690.214286,1142.642857
1362.272727,1144.227273
1368.466667,1142.3
1068.333333,1146.25
1040.714286,1147.5
1522.545455,1148.636364
519,1149.8
1243.842105,1150.157895
732.1818182,1151.545455
1345.30303,1151.606061
1082.333333,1153.111111
1073.518519,1156.407407
1124.5,1156.5
732.1818182,1158.090909
1019.5,1157.96
1301.65,1157.075
1377,1158
476.0925926,1167.388889
1058.615385,1168.384615
131.7333333,1169
637.8297872,1172.212766
473,1173
131.0526316,1174.105263
1233.545455,1178.363636
1035.84,1178.4
491.5,1181.5
504.6153846,1189.384615
1075.5,1189
468.1428571,1193.190476
1110.125,1194.125
597.5,1197
1293.9,1201.266667
1103.266667,1202.2
643,1202.846154
758.9818182,1204.218182
1393.444444,1210.333333
558.4761905,1214.619048
448,1216.5
638.125,1216.125
1720.8125,1219.3125
1716.058824,1220.588235
667.7142857,1223.785714
151.5185185,1225.407407
576.4545455,1225.363636
1144.875,1226.125
749.6666667,1229.111111
545.8,1231
1631,1237.8
1671.5,1242.166667
1123.72,1245.92
583.2083333,1249.333333
565,1252.416667
1386.384615,1251.961538
687.5357143,1255.035714
1129.25,1255.75
692.8846154,1259.653846
749.3846154,1261.384615
690.2222222,1261.888889
1321.363636,1266.090909
1380.5,1268.5
1386.357143,1267.785714
698.72,1270.84
734.2,1271.5
1329.868421,1275.289474
699.4210526,1275.894737
568.9333333,1278.066667
696.1904762,1277.857143
692.6969697,1279.909091
700.3636364,1280.909091
1078.2,1283.5
1339.85,1283.8
698.7619048,1284.952381
703.25,1285.666667
695.25,1285.333333
1226.307692,1285.423077
748,1290.529412
701.5833333,1292.016667
1211.625,1292.5
752.4418605,1292.186047
1693.961538,1293.576923
756.2068966,1295.655172
756.2,1303.333333
767.0344828,1303.206897
1087.833333,1306.722222
646,1309.210526
725.4,1309.4
744.1176471,1311.705882
1673.75,1313.625
663,1318
1115.071429,1319.285714
1665.674419,1319.116279
1350.636364,1320.909091
1154.285714,1322.5
1717.6,1331.5
1412.888889,1339.222222
1313.444444,1340.666667
1161.25,1344.75
398.5789474,1345.684211
1115.333333,1346.125
1122.5,1347.5
405.875,1347.875
1095.675676,1349.810811
1160.6,1349.12
397.9130435,1352.391304
1096.846154,1354.115385
336.875,1354.125
1201.233333,1353.866667
1159.425532,1355.851064
1152.734694,1357.285714
1342.733333,1357.2
1375.666667,1356.833333
104,1358.277778
1044,1360
1163.125,1361.666667
1180.5,1362
1157.519231,1362.807692
1189.363636,1365.636364
463.2307692,1367.230769
112.6078431,1371.411765
1190.2,1370.6
117.5384615,1371.692308
1726.863636,1372.409091
418.3333333,1381.25
1195.5,1381.2
107,1386.5
419.5,1386.2
89.33333333,1388.666667
804.1538462,1389.230769
135.6363636,1388.863636
399.1,1388.75
1004.705882,1391.705882
786.1333333,1395.533333
977.5,1397
1111.172414,1398.62069
404.5,1404.5
388.6923077,1406.076923
1141.041667,1407.291667
116.4,1410.3
120.8787879,1410.727273
394.2,1411.5
723.0625,1410.6875
975.3636364,1414.090909
925.8,1416
113.5384615,1418.384615
1458.6,1427.5
198.5,1434.5
668.75,1434.25
1432.478261,1437.521739
1317.428571,1439.619048
1398.5,1442.5
1433,1441.571429
679.2666667,1445.2
667.2,1447.5
1401.486486,1447.378378
1427.857143,1447.071429
450.5,1448.5
212.6666667,1449.444444
1312.451613,1451.419355
1430.25,1450.5
1412.421053,1452.315789
861.4166667,1455.083333
1324.818182,1454.909091
859.3333333,1457.5
1378.75,1457.111111
1454.034483,1457
1157.5,1459.5
1320.148148,1458.851852
1325.388889,1460.25
602.0416667,1461.75
602.1538462,1468.538462
1176.861111,1471.611111
1454.5,1473
575.3636364,1481.454545
1002.5,1482
108.9444444,1484.111111
1291.785714,1484.642857
1400.6,1486.933333
1388.142857,1489
1391.388889,1488.555556
1017.333333,1490.25
1650.666667,1489.75
589.5,1491.5
975,1492
1397.333333,1492
1333.454545,1494.681818
1299.666667,1495.428571
1016.2,1499.5
1391.875,1499.875
703.9333333,1501
1377.8,1501
1185.449612,1502.790698
1290.7,1502.2
588.3255814,1503.27907
679.1875,1502.6875
1477.826087,1502.913043
1300.125,1503.75
1362.928571,1503.285714
1372.512195,1503.902439
594.15,1504.15
1173.413793,1504.517241
581.6857143,1504.542857
670.8888889,1505.666667
839.1666667,1505.722222
980.5,1507.5
1178.035714,1505.964286
584.0416667,1508.375
605.5333333,1508.866667
836.8125,1508.6875
1292.352941,1509.058824
1178.7,1509.8
1195.28169,1509.084507
1318.153846,1509.923077
1167.8,1511.233333
1180.678261,1511.904348
975.75,1512.25
1188.844444,1514.577778
1290.818182,1513.409091
1394.384615,1512.615385
612.9411765,1514.411765
1421.222222,1513.301587
1428.5,1514.230769
1410.363636,1515.818182
589.4444444,1517.277778
1279.666667,1516
1361.228571,1516.6
675.5,1518.714286
607.625,1519.5625
1277.068966,1519.206897
1320.055556,1520.111111
1307.5,1522.2
635.6363636,1525.090909
755.5,1524.8
605.7,1525.9
1395.714286,1525.071429
1407.357143,1526.428571
673.8181818,1529.727273
786.3846154,1529.615385
986.2,1531.5
1415.545455,1530.818182
1307.142857,1533.171429
1337.25,1534.25
696.3333333,1534.888889
1377.896552,1535.206897
619.5,1535.666667
1306.066667,1538.266667
1329,1539.5
1003.333333,1540.111111
673.7826087,1540.695652
1085.827586,1541.103448
629.5,1542.5
1454.333333,1541.095238
609.952381,1544.238095
1369.5,1544.5
1393.5,1544.5
530.5,1544.333333
1386.933333,1545.733333
1419,1544.941176
638.75,1546.75
610.8823529,1548.411765
632.7777778,1547.5
1358.157895,1547.842105
1023.857143,1550.071429
1393.588235,1550.647059
1389.941176,1551.852941
707.45,1554.833333
1014.537313,1552.716418
1387.037037,1556
804.3333333,1557.533333
1390.769231,1558.230769
1008.339286,1557.732143
571.5,1560.5
1346.935484,1559.935484
616.6153846,1561.615385
1002.974359,1563.807692
620.2105263,1563.052632
475.5,1564.714286
1345.5,1564.5
1356.814815,1566.185185
1116,1566
1394.071429,1567.142857
756.2,1570.333333
990.4736842,1572.526316
1232.357143,1571.785714
418.8,1574
572.8571429,1574.190476
762.5,1577.5
1262.289474,1576.842105
540.72,1576.58
454.5227273,1578.977273
569.3636364,1579.090909
698.4,1578.6
129.4324324,1579.810811
135.6153846,1582.846154
545.4230769,1579.673077
648.6153846,1583.615385
541.9090909,1584.5
1393.025,1583.925
1285.307692,1586
551.4642857,1588.035714
537.5,1588.5
1267.333333,1589
130.3636364,1593.454545
717.7857143,1592.285714
1021.5,1599
606.24,1600.8
956.8421053,1600.842105
1568.24,1600.8
661.2857143,1603.5
613.6666667,1605.888889
606.3076923,1605.230769
479,1608.8
603.9583333,1609.375
650.7857143,1610.357143
663.25,1610.388889
677.5454545,1612.363636
667.4444444,1613.5
709.5555556,1612.666667
1200.12,1613.36
831,1616.647059
652.1904762,1619.333333
987.9,1619.95
469.5,1620.5
644.6153846,1620.615385
258.6363636,1626.545455
623.8095238,1626.857143
1660.263158,1627.368421
492.0769231,1630.903846
1648.291667,1631.5625
1335.888889,1632.944444
1395.5,1633.714286
1126.285714,1634.5
1343.818182,1637.818182
1376,1638.5
655.6551724,1642.310345
1245.3,1640.8
1267.5,1643.5
1321.928571,1643
202.6,1644.4
1349.6,1644.5
1409.369565,1644.478261
1242.5,1646.5
1339.166667,1649.541667
1361.733333,1649.933333
1364.444444,1655.333333
1336.448276,1655.344828
1343.461538,1659.230769
1383.566667,1659.733333
1332.166667,1659.833333
1333.818182,1663.363636
1339.285714,1665.5
1371.538462,1665.846154
459.2,1667.5
1332.470588,1666.647059
1354.490566,1670.867925
1367.790323,1670.387097
1158.125,1671.875
1357.290323,1674.516129
1361.882353,1672.294118
1394,1672.615385
815.6857143,1674.114286
1110.2,1675.5
1076.542857,1675.828571
632.7142857,1680.619048
1361.352941,1681
1343.214286,1682.214286
126.2,1683.5
796.8,1683.5
856.8461538,1684.769231
1312.909091,1684.636364
1340.722222,1686.055556
1344.705882,1685.588235
602.1176471,1688.588235
1337.047619,1688.809524
1091.5,1691.277778
1276.88,1692.44
1303.705882,1691.705882
1305.2,1696
956.0967742,1697.967742
535.4117647,1698.588235
836.5,1698.875
813,1700
1171.666667,1701
525.0425532,1701.319149
530.4,1699.857143
565,1701.8
955,1702.5
833.1176471,1702.588235
951.2962963,1702.777778
553.9642857,1703.892857
943.2093023,1703.465116
492.5,1704.8
501.6363636,1704.909091
545,1703.9
794.125,1704.875
1258.333333,1705.444444
504.0769231,1706.153846
1566.142857,1706.2
525.5625,1707.15625
956.516129,1708.064516
499.3846154,1710.384615
564.4912281,1709.298246
1116.375,1709.5
533.2222222,1710.888889
564.2857143,1713.428571
954.0188679,1712.415094
1071.166667,1711.277778
523.5416667,1713.541667
1308.666667,1713.444444
496.875,1716.875
572.0588235,1717.235294
548.5263158,1718.842105
579.4285714,1717.571429
475.6666667,1719.111111
796.5454545,1719.909091
537.3333333,1722.25
820.2142857,1723.428571
474.75,1725.5625
827.875,1726.125
563.3076923,1727.923077
480.5416667,1729.166667
557.3846154,1733.384615
716,1733
478.6428571,1734.214286
1077.25,1734.333333
1371.5,1734.2
693.5,1736.5
795.5,1737
511.1,1737.7
190.8,1739.5
459.125,1739.125
575.7058824,1738.882353
582.1578947,1738.684211
1083.5,1739.166667
530.8666667,1738.844444
563.5,1741
569.92,1740.32
943.7333333,1741.066667
489.875,1743.5
582.0652174,1743.347826
1250,1744
500.8421053,1745.157895
571.7407407,1746.37037
898.6428571,1746.535714
958.1428571,1749.071429
564.1428571,1749.928571
567.85,1750.45
804.28,1751.16
546.6,1751.6
479,1752.8
961.4827586,1752.413793
473.8,1754.1
558.65,1754.325
1371.5,1755.8125
1223.16,1756.6
1367.848485,1757.212121
459.6315789,1758.578947
576.254902,1757.313725
968.6190476,1758.047619
1228.8,1757.5
544.125,1759.3125
569,1759
502.8888889,1761.666667
553.625,1762.5
570.6666667,1763.142857
576.08,1762.28
582.3111111,1761.688889
980.3,1761.7
564.5517241,1762.551724
923.25,1763.25
1131,1763.5
488.1904762,1765.142857
498.9333333,1767.733333
541.4222222,1767.022222
575.6190476,1766.52381
583,1767.703704
971.7777778,1767.5
1131.5,1768.5
494.6078431,1770.196078
411.2727273,1770.727273
500.5,1771
