X,Y
0,0
0,4830
4830,0
4830,4830
1001.653846,122.3461538
920,131.5
926.5925926,132.0740741
934.4074074,131.9259259
952,141
784.4285714,142.7142857
859.5,145
825.3333333,156.6190476
845.875,156.5
1010.125,155.875
838,156.826087
951.7826087,157.3913043
967.1428571,161
766.8888889,161.7777778
999.1052632,164.4210526
907.5,191
920.4347826,204.9130435
843.5625,206.375
833,207.5
882.6111111,210.7777778
828.7894737,213.0526316
966.9473684,216.6842105
800,221.8
814.6,227.5
788.7272727,229.5
953.9090909,230.0909091
868.826087,233.6956522
606,239.5
995.75,268.625
803.5882353,281.1176471
959.3846154,292.0769231
889.2,294.7333333
822.5,297.4545455
921.56,296.92
881.5882353,301.5882353
926.4210526,306.5789474
874.2631579,312.1578947
1025.444444,313.5
854.35,321.75
764.08,332.8
1016.37037,335.7037037
885.125,339.4375
934.8,340.7
862,346.8
877.6,349.6
1017.117647,352.1176471
1006.708333,359
1021.4375,363.625
776.625,368.4375
1014,372
1069,373
938.1,374.05
970.8333333,374.9166667
991.4651163,379.1162791
986.9375,383.375
913.5789474,386.1052632
1002.777778,395.5
987.5,407.8
1023.714286,411.5
937,412.5
1003.5,418.2727273
1084.708333,420.2916667
979.2727273,425.8181818
1077.045455,431.6818182
966.0909091,436.9090909
1077.25,437.375
960.7,438.4
1201.157895,442.8421053
1219.5,444.7272727
1166.238095,446.6666667
1149,447
1095.666667,451
1256,451.173913
1089.733333,452.6666667
955.5,464
1032.35,466.45
1036.142857,470.1904762
1083.5,476
510,483.5
1008.904762,484.1904762
1017.071429,485.5
1062.565217,485.9130435
1115.16,485.36
1011.952381,487.7619048
1001.833333,487.3333333
978.7391304,490.0434783
994.75,489.5
1081.26087,495.5217391
1163.111111,497.5185185
1007.473684,500.6315789
408.3636364,504.9090909
1054.333333,506.8571429
542.5238095,508.0952381
1120.275862,507.6551724
1065,515.5
1111,516.173913
991.8695652,516.7826087
1010.857143,520
1102.882353,520.5882353
1015.555556,528.7037037
1041.266667,533.0666667
1089.5,533.8333333
1062.125,535.0833333
1100.9375,537
1112.777778,540.2962963
1217,544.5
1137.952381,546.3809524
1159.461538,547.1538462
1078.8,549.5
1121,553.5
1055,553.5
1022,554.8
1089.444444,554.1666667
1183.827586,554.8965517
977.3809524,557.4761905
1091.483871,558.2580645
1155.333333,558.8571429
1051.5,561.7857143
531.5,565
1112.26087,566.0434783
1239.888889,567.8888889
1095.309524,567.7857143
1048,570.7307692
1212.142857,573.1904762
1079.875,573.6666667
1200.090909,574.0909091
1205.25,574.2857143
1070.117647,575.5882353
1192.708333,577.375
1081.266667,577.7333333
1133,578.6666667
1175.272727,578.8787879
1209.8125,580.5
1258.5,581
998.75,581.75
1108.153846,583.3461538
1187.2,584.9333333
1062.842105,587.1578947
1117.714286,587.5
1090.761905,588.6190476
1026.666667,593.1111111
1033.5,593.8
1090,595
542,599.5
559.6153846,599.3846154
1031.24,599.2
646.9,600.95
1266.1875,600.9375
1114.275862,602.4137931
1186.47619,610.6190476
1097.5,611.7272727
1159.909091,611.0909091
1173.466667,614.3333333
1157.514286,615.8
667.5,617.7142857
1066.857143,619.8095238
563.7083333,621
1158.904762,620.9047619
1176.578947,620.8947368
1180.526316,620.6315789
1118.032258,621.8387097
1207.5,621.2222222
511.65,624.5
583.5,625
1133.875,625.125
1216.619048,624.7619048
1073.125,626.125
1180.9,625.6
1162.608696,628.2173913
1074,629.375
507.5,635.1
1178,636
722.625,636.8125
1075.6875,637.9375
1193.4,639.4
635.5,641
1141,640.826087
1229.222222,641.5
1089.75,643.5
1174.090909,643.0909091
1137.071429,643.5357143
513.5,646.2222222
1050.619048,645.4761905
1209.181818,645.8181818
1158.928571,648.25
463.1538462,649.4615385
497.7894737,651
1191.153846,655.3846154
581.3703704,656.1111111
585.9333333,659.4
501.625,660.25
531.4444444,660.8888889
1238,663
472.5,665.2857143
499.9090909,666.9090909
1046,667.5
1229.2,670.08
444.0588235,670.8235294
1198.117647,671.4117647
1167.030303,672.1818182
1061.875,672.375
681,674.8
1088.714286,676.6428571
1127.090909,676.9090909
1069.5,680.5
1189,680.826087
519.8,683.5
534.75,684.75
1130.5,683.7916667
1209.882353,685.4117647
602.1111111,690.3333333
1170.074074,689.5925926
1269.086957,691.0434783
1285.371429,694.2285714
1068.76,696.8
1060.5,699.2222222
1200.419355,704.4516129
653.1818182,705
1232.851852,704.9259259
1099.5,705.5
1127,705.6206897
1138.1,707.0333333
1222.7,705.75
1122.571429,707.6190476
628.0909091,709.0909091
560.75,710.0833333
1031.125,709.8125
595.9090909,711.9090909
1157.30303,711.5757576
575.8888889,713.5185185
556,713.5
1134.176471,714.3529412
1169.217391,715.3043478
1247.2,716.24
1162.382353,717.6764706
606,717.5
1041.04,718.92
1049.5,719.2857143
1087.5,719.6
630,721
1098.88,723.24
565.8571429,726.2857143
1085.785714,725.6428571
492.6428571,728.2857143
1150.785714,729.5
1089.851852,730.1111111
1220.5,731.5
1083.5,732.5
542.5853659,733.1463415
1164,736.5
1168.210526,737.1052632
1225.155172,736.6724138
468,739.5
551.4074074,742.0740741
575.1034483,742.8275862
1132.75,745.625
1080.941176,749.3529412
589.875,749.6666667
584.4615385,751.0384615
573.6666667,753.125
580.6923077,753.0769231
1237.269231,752.6923077
465.7692308,756.1538462
1124.470588,756.6470588
500.173913,758
1078.392857,760.2857143
1127.142857,761.0357143
1191.727273,760.1590909
1203.310345,761.6896552
1054.92,763.2
1167.8,763.5
1237.5,763
1211.65625,765.375
1197.24,767.96
1253.857143,767.6071429
460.7,769.7
479.5,773
580.0909091,772.7727273
1196.26087,772.9130435
1042.8,774
1157.608696,776.1304348
497.3684211,778.2105263
591.56,778.08
1122.45,780.3
1166.76,780.96
543.1904762,782.8571429
565,782.3076923
586.75,784.75
510,787.5
1165.375,787.25
1115.684211,790.1578947
497.1818182,791.1818182
565.4545455,790.6363636
1229.47619,791.2380952
643.0909091,793.9090909
1214.538462,795.1538462
1119.814815,796.4444444
355.5,798
1098.222222,797.8518519
1162.4,797.6
506.24,799.2
543.5357143,799.4642857
1137.333333,799.75
567.5833333,801.5833333
1065.4,803.5
573,807.40625
1207.269231,807.3461538
1247.606061,806.9393939
1291.842105,808.1578947
617,809.2068966
1211.333333,809
1134.551724,811.4137931
1232.612903,814.9354839
524.1428571,817
551.0909091,819.9090909
603.3076923,819.9615385
546,821.5
582.25,822.75
554.35,826
1151.636364,826.2727273
479.5454545,827.5
1035.5,828
1233.142857,828.1904762
1270,828
616.5,829.7142857
1111.333333,830.125
1126.111111,829.6666667
1134.32,831.96
1231.153846,834.3846154
1293.692308,838.9230769
571.25,841.25
1174.875,841.1875
1236.933333,841.6
508.7142857,843.5
1221.913043,843.0434783
1303,842.8
1040.846154,844
1118.045455,844
611.25,844.75
1153.238095,844.952381
1226.45,844.9
530,846
1146.578947,847.4210526
1110.777778,851.5
1264.214286,850.5
563.5,852.5555556
1155.5,852.5714286
445,854.3076923
487.5,853.7142857
1100.65625,853.40625
1026.222222,854.9444444
1164.384615,854.6153846
1186.2,856.4333333
1275.653846,856
480.3333333,857.1111111
582,857
1066.894737,858
1156.2,857.9
1161.666667,861.4166667
1177.52,863.16
1181.857143,862.8095238
549.5,864.2
691.5,867.5
1206.269231,866.2307692
484.3043478,869.9130435
1278.526316,869.6315789
1074.969697,870.8181818
1121.5,872.1071429
455.4166667,874.75
1112.3125,875.0625
1212.26087,874.4782609
468,876
1224.785714,877.3571429
1314.375,877.4375
632.5,879
1116.368421,878.2631579
1182.5,879.5
1097.517241,881.6206897
1019.75,881.6
1168.869565,882.0869565
1279.3,884.075
442.9090909,883.9090909
1125,884.173913
765.6,885.6
459.5,886.8
1170.64,886.28
1191.826087,887
1139.5,887.5
1160.482759,889.7586207
1165.565217,889.6086957
1169.35,890.75
1185.366667,889.6333333
1129.217391,891.3913043
1175.047619,890.7619048
1333,891
1178.909091,892.0909091
1016.782609,892.6086957
1026.388889,894.1388889
1093.136364,894
1135.538462,897.3076923
1163.5,898
604,899.5
783,899.5
1150.366667,899.1333333
1299.5,899.5
614.72,899.92
1261.846154,900
1072.909091,900.9090909
438.1818182,901.8181818
735,901.5714286
1193.72,901.88
463.8214286,903.1428571
589.9142857,902.8285714
767.7857143,903.5
1213.8125,904.1875
1286.555556,904.7037037
566.5,907
622.2272727,906.9090909
1005.8,909.24
466.4117647,909.6764706
501,910
1065.956522,910.3913043
730.0625,912.25
1053.833333,910.7916667
1131.576923,911.7692308
1086,914
1196.173913,914.4347826
1205.611111,914.3333333
1242.368421,914
1122.933333,914.9333333
1143.517241,915.4482759
1071.5,916
431.3684211,917.2105263
543.1666667,918.2777778
621.84,918
563,919.8461538
669.5,920.5
1219.5,920
1114.916667,920.9166667
552.9411765,922.5588235
603.5,923.5
1077.083333,923.5
1106.391304,923.7391304
544.0454545,924.3181818
1176.235294,926.0588235
468.0384615,927.7307692
1061.785714,927.1785714
649.3636364,928.9090909
1266.363636,929.4545455
509.5925926,930.0740741
462.1904762,933.1428571
580.1785714,932.5714286
1019.727273,933.5
529.1666667,934
584.2631579,934.7894737
1169.533333,935.8888889
1151.884615,936.2692308
1111.888889,940.2962963
1088.857143,941.6190476
1150.428571,942.3571429
1275.846154,942.7692308
1147.24,945
1092.307692,946.1153846
1237.714286,947.5
1321.090909,947.0909091
559.5,948.5
1330.666667,949
1117.074074,950.5925926
1150.117647,949.4117647
482.7037037,951.4814815
1084,950.5
1158.142857,950.9285714
1094.222222,953.5
1135.307692,953.6923077
535.5,955.5
633.0625,954.90625
662.75,956.5
1025.666667,955.7222222
1063,956
656.5925926,957.3703704
1141.24,956.68
1241.913043,956.6956522
610.5,957
1247.733333,957.3333333
484.4705882,960.7647059
600.5,961.2857143
434.5,963.5
1116.041667,962.2083333
833.1904762,964.1428571
1058.25,964.05
534.6071429,964.9285714
989.875,965.875
1291.5,966.2222222
454,967.1428571
1117.555556,967.8148148
633.2105263,967.6315789
1089.368421,967.7894737
667.84,968.52
803.6190476,968.5238095
1037,969
1096.333333,969.1904762
1193.066667,969.8333333
568,971.5
1177.958333,970.6666667
1107.909091,972.9090909
506,974
1078.608696,973.7826087
1156.458333,977
564.5,979
1092.5,980.1875
521.5,982
1316.588235,983.1176471
1147.407407,984.4444444
1334.95,984.75
800.3823529,986.3823529
1093.434783,985.173913
487.6111111,986.8888889
492.7692308,987.2307692
661.8,987.24
1031.888889,987.1111111
532.8421053,988.8421053
645.0714286,989.3571429
702,988.6666667
405.5,989.5
503.8,989.5666667
1143.769231,991.5
1181.571429,991.3809524
509.4333333,992.9333333
599.173913,993.3043478
1028.6875,992.8125
1174.421053,993.8947368
1159.5,993.875
1116.916667,995.5
551.9259259,996.2592593
1178.75,995.375
482,996.826087
469.1923077,999.4615385
560.05,998.75
1164.666667,998.7333333
518.2857143,1000.380952
1078,1000.173913
621.8064516,1003.290323
1015.5,1003.5
1044.5,1002.5
478,1004.5
1077.894737,1004.421053
542.8333333,1006.47619
634.5,1004.5
1193.2,1005.24
1032,1007
1165.576923,1007.230769
561.3448276,1011.172414
1251,1011.5
1224,1012
327.6333333,1015.366667
1316.821429,1014.428571
453.32,1016
625.1333333,1015.533333
1162.166667,1017.333333
583.969697,1017.818182
521.4545455,1020.636364
614.5769231,1022.153846
1019.5,1022.5
1248.88,1024
444.6,1025.4
449.15,1024.7
521.4285714,1025.904762
1051.222222,1026.5
1164,1028.5
1300.285714,1029.5
501.8666667,1031.933333
589.2631579,1032.368421
1059.5,1031.777778
1139.961538,1032.307692
1069.928571,1033.214286
1146.916667,1034.5
1249.5,1033.727273
1017,1035.5
1049,1035.5
1035.5,1036.4
1096.08,1037.32
491.5,1039.285714
599,1041.2
1097.842105,1041.368421
444.5,1043.285714
547.5,1043
620.625,1043.125
1116,1043.5
1340.258065,1043.096774
1350.52381,1043.5
1109.380952,1043.571429
1248.666667,1044.142857
1231.52381,1044.619048
1081.363636,1045.681818
1216.75,1047.05
1128.62069,1050.068966
455.625,1050.84375
527.7096774,1050.612903
1083.527778,1051.138889
1088.92,1052.2
1348.6,1052.96
402.5,1054.1875
1031.407407,1054.925926
532.173913,1056
1075.304348,1055.782609
1110.5,1057.5
1115.266667,1057.666667
1148.769231,1057.538462
545.8823529,1058.588235
1289.8,1058.85
492.4117647,1060.882353
582.6666667,1061.555556
428.9375,1063.4375
732.3333333,1063.733333
1278.407407,1063.814815
601,1067.5
1059.5,1066.5
880.08,1068.56
577.08,1071.28
1177.111111,1071.518519
1101.090909,1076.090909
553.4814815,1078.111111
1220.909091,1079.090909
1159.875,1080.0625
587.5,1080.75
662.7368421,1080.631579
658.7222222,1081.944444
1040.5,1083
1217.181818,1083.090909
1221.166667,1083.111111
334.925,1085.025
602.75,1085.666667
703.7804878,1086.804878
456.08,1087.68
562.8333333,1087.875
711.8095238,1088.857143
1232.111111,1088.722222
1284.766667,1089.866667
1348.666667,1089.111111
448.8928571,1091.5
874.75,1090.75
1115.307692,1092.5
1138.538462,1095.846154
1225.8,1095.8
331.75,1096.75
484.7,1099.5
1196.526316,1099.631579
1293.842105,1101.315789
600.08,1102.56
1094.333333,1103.333333
1247.714286,1102.5
506,1104.125
1120.421053,1105.368421
566.5,1106
602.28,1107.6
705.75,1108.9375
483.8846154,1110.307692
610.2222222,1109.111111
568.9090909,1111.909091
588.9677419,1112.129032
1307.5,1111.5
1154.909091,1112.909091
542.3529412,1113.529412
1017,1115
1097.869565,1115.173913
1351.538462,1114.692308
443.030303,1115.666667
525.68,1116.76
500.25,1117.625
660.8181818,1118.681818
1158.44,1118.8
1198.393939,1119.848485
1219.310345,1119.655172
582.1428571,1120.809524
1135.545455,1122.181818
431.2142857,1123.5
1257.045455,1123.272727
459.5,1125.714286
1133.190476,1125.857143
1287.5,1126
467.5,1130.333333
1150.4,1129.68
956,1132.5
1120,1132.210526
1163.666667,1131.5
1127.5,1134.5
1071.90625,1135.75
1376.090909,1136.090909
495.25,1137.333333
693.56,1137.4
1103.395349,1137.325581
1282.090909,1136.772727
1095.52381,1137.619048
1275.142857,1139.190476
1296.230769,1139.846154
452,1142
1240,1141.4
532.75,1145.4
1226.48,1145.24
1084.882353,1145.588235
1073,1147.5
1028,1148
476.7222222,1148.833333
1151.913043,1149.217391
564.826087,1149.73913
1020.2,1150
1155.214286,1151.642857
1131.894737,1154.421053
1158,1155.5
1235.916667,1155.75
1304.210526,1157.052632
837.625,1160
1210.4,1161.4
432.2,1163.5
753.2857143,1163.5
1123.407407,1163.148148
527.6666667,1166.125
1309.888889,1166.296296
449.5,1167
1091.5,1166.5
1128.171429,1167.171429
389.2173913,1167.913043
1187.384615,1170.384615
1222.75,1173.4375
1277.142857,1174
559,1175
670,1176
1331.04,1177.6
399.1,1180.833333
1159.032258,1181.967742
1211.785714,1181.357143
381.9354839,1182.645161
688,1181.5
1253.391304,1182.521739
1089.5,1183.5
1149.6,1184.16
535.96,1187.4
644,1187.5
663.8125,1190.3125
1174.724138,1190.655172
1211.611111,1192.277778
444.2857143,1193.392857
1159.333333,1193.5
1148.954545,1196.272727
1160.590909,1198.272727
1281,1198
1069.266667,1198.966667
350.3478261,1200.217391
858,1202.352941
1020.875,1203.125
658.9130435,1203.73913
1309.884615,1203.5
1204.352941,1205.470588
867.4,1207.36
1149.045455,1207.318182
1156,1208.5
409.625,1209.5625
548.5454545,1208.727273
431,1211.744186
1061.733333,1213.333333
1195.1,1214.2
1199.074074,1213.962963
1092.8125,1216.53125
715.125,1217.125
1154.086957,1217.217391
1212.869565,1217.217391
1146.222222,1218.5
1300.5,1220.5
1114.588235,1220.882353
1072.5,1222
393.8518519,1223.703704
1155.928571,1224.142857
1068.941176,1224.823529
1294.56,1226.92
1199.666667,1230.5
870.8,1235.5
1118.875,1236.5
1248.9,1236.966667
1114.5,1238.714286
1379.5,1241
1425.846154,1241
1280.3125,1242.1875
667.5,1243.285714
1171.384615,1243.384615
1269.653846,1243
1210.181818,1243.515152
1104.708333,1246.791667
1196.5,1246.833333
1027.512195,1246.853659
1099.90625,1248.0625
1265.5,1248
1152.034483,1248.827586
1289.692308,1249.230769
467.3846154,1252.615385
1117.138889,1253.388889
1313.111111,1252.666667
1171.677419,1254.483871
1147.416667,1256.666667
1095.583333,1257.266667
1115.27027,1259.243243
1308.222222,1258.888889
1105.678571,1260
1063.846154,1261.538462
1004,1263
1030.15625,1264.125
1279,1263.777778
1052,1264.5
1262.4375,1265.625
1040.653846,1266.769231
1073.04,1269.28
1236.04,1270.76
1311,1269.724138
1158.5,1270.727273
954.625,1272
1001.307692,1272.038462
1199.5,1272.153846
910,1274.8
1114.655172,1276.655172
1167.5,1277
1072.851852,1279
1203.909091,1279.090909
1151.615385,1281.653846
1137.333333,1283.111111
1148.045455,1283.818182
947.5,1284.272727
968.6666667,1284.190476
1354.111111,1286.222222
1072.538462,1287.307692
1038.941176,1288.235294
1033.535714,1291.035714
1176.2,1291.5
1181.5,1291.5
963.8823529,1291.588235
1062.73913,1292.043478
1187.5,1291.777778
1067.352941,1293.529412
1031.235294,1295.352941
1310.842105,1295.684211
1059.5,1297
1062.791667,1299.583333
997.4666667,1301.133333
1231.736842,1300.631579
1328.433333,1301.666667
1007.32,1303.24
1075.5,1303.5
1105.818182,1304.454545
1033.833333,1305.466667
973.5,1307.5
1003.807692,1307.269231
1181.25,1307.75
1013.592593,1309.259259
1046.75,1309.666667
984.9333333,1310.6
1036.372093,1311.046512
627.5,1312.5
1087.135135,1311.864865
1145.5,1312.153846
1158.073171,1312.219512
1340.541667,1314.958333
1066.5,1316.285714
1057.857143,1317.357143
1107.5,1318.2
1165.157895,1318.157895
1295.826087,1318.478261
1237.892857,1319.678571
1305.266667,1320.2
661.75,1320.75
1291.555556,1321.592593
1137.047619,1321.809524
1159.058824,1322.323529
1252.631579,1324.210526
1312.75,1323.75
1139.24,1326
1186.190476,1326.142857
1143.666667,1327.633333
1156.105263,1327.421053
1160.153846,1327.461538
1289.125,1325.9375
1325.342857,1326.628571
621.5238095,1328.380952
1293.525,1327.425
1096.352941,1329
500.25,1331.5
597.3684211,1330.526316
1056.733333,1331.066667
1067.5,1333.214286
1080,1334
1130.64,1332.84
1366.5,1336
1145.529412,1336.647059
1059.086957,1338.565217
535,1341.52381
1292.85,1340.7
1045.5,1342.5
1120.8,1341.36
574,1345.5
638.55,1347.75
1288.2,1347.3
1017.814815,1351.185185
1035.5,1352.5
1010.454545,1353
790.6666667,1354
685.5333333,1354.733333
1144.666667,1355.875
1228.37931,1355.793103
491.0833333,1357.5
1105.6,1356.96
778.875,1357.3125
1354.673913,1358.282609
1360.5,1361.75
566.2857143,1363.5
580.2413793,1362.758621
1042.5,1362.5
613.4117647,1363.882353
1334.807692,1365.961538
1428.2,1366
829.5909091,1367.727273
1258,1368
1036.5,1369.5
516.7692308,1370.076923
1030.117647,1371.411765
793.5,1372
1324.521739,1372.391304
647.5238095,1373.380952
1073.684211,1375.157895
1187.619048,1375
1207.62963,1375.407407
511.7,1376.7
1038.5,1377.363636
1310,1377.2
1154.304348,1379.217391
1299.5,1378.5
747.5,1379.5
823.875,1382.125
1348.411765,1381.294118
1045.2,1382.76
1015.448276,1383.689655
1146.708333,1384
1206.115385,1384.5
1228.375,1384.25
743.8823529,1385.588235
989.2222222,1386.5
1088,1387.5
1233.625,1386.125
1181.625,1388.75
730.2,1389.7
751.1538462,1389.538462
1055.363636,1389.545455
1356.28,1389.6
1228.727273,1390.954545
1010.357143,1392.535714
1160.086957,1394.217391
953.7,1395.5
1256.714286,1395
742.1428571,1398.071429
754.7826087,1400.304348
1318.142857,1400.190476
1270.75,1401.375
717.173913,1402
1215.6,1402.066667
1235.071429,1401.142857
1125.727273,1403.5
1165.827586,1403.896552
1391.296296,1404.222222
1203.08,1404.56
1192.307692,1406
1021.9,1406.95
1115.5,1406.7
1224.1,1407.95
1185.181818,1409.181818
569.7391304,1409.608696
1132.769231,1409.692308
598.3333333,1410.916667
1193.5,1412.222222
1389.428571,1411.619048
1242.56,1413.32
1094.56,1414.08
1425.592593,1414.740741
694,1415
715.5,1415.307692
605.2857143,1415.357143
1045.538462,1415.846154
681.9090909,1417.636364
1249.5,1417
806.5,1419.5
1225.5,1419.5
1193.258065,1422.612903
682.8,1425
577.4,1425.6
742.5925926,1425.925926
502,1427.5
1203.5,1427.5
724.0625,1428.3125
1189.75,1428.375
1174.2,1429.333333
712.6,1433.933333
733.4285714,1433.190476
790.1578947,1432.842105
1077.818182,1433.181818
1153.809524,1433.142857
1205.190476,1435.142857
1366.777778,1435.555556
1101.666667,1436.5
1237.2,1436.8
1132.128205,1439.307692
1306.8,1438
1124.675676,1438.810811
1097.809524,1439.52381
687.2,1441
948.25,1441.625
704.5882353,1442.117647
775,1443
665,1444
1018,1444
1058,1444
1144.193548,1443.774194
755.3,1445.35
1069.88,1444.64
1076.884615,1446.307692
1306.142857,1446.190476
964.7586207,1447.482759
1121.461538,1446.723077
550.0666667,1448.4
1072.136364,1448.5
581.5909091,1449.272727
591.9166667,1449.333333
735.5,1449
982.8571429,1449.666667
1233.44,1450.08
1367.894737,1449.578947
596,1451
1092.785714,1452.5
1351.2,1452.533333
525.2941176,1453.411765
846.9428571,1453.342857
1030.785714,1453.5
748.2142857,1453.214286
1082.020833,1453.6875
1188.2,1454
