X,Y
0,0
0,4830
4830,0
4830,4830
759.5,126
741.1818182,135.9090909
787.5,136
876.4074074,152.2407407
1216,169
1182.325,175.4
1218.081081,175.1891892
1110.95,177.6
1102,179.0588235
1095.509804,178.9019608
1024.166667,182.0833333
1220.553571,182.8392857
1089.239437,185.5070423
1185.689655,185.1724138
1213.179487,185.6538462
1094.862069,190.7241379
1217.186047,192.8604651
1232.388889,190.6666667
764.4042553,196.2765957
1122.111111,194.7777778
1219.8,198
725.6103896,197.8571429
752.1142857,199.8857143
761.0769231,201.1538462
738.0625,201.25
793,200.625
718.4366197,202.9295775
732.8571429,204.7053571
747.6923077,205.3846154
706.875,205.5
775.925,206.875
782.7307692,205.3461538
768.3913043,207.4130435
693.8518519,208.2962963
1238.344828,207.6091954
785.4754098,210.3934426
1246.571429,212.2857143
688.0212766,213.4255319
794.7230769,211.6
659.3846154,214.7435897
1227.75,214.375
694.25,214.5714286
680.4576271,216.2372881
785.4078947,217.4605263
669.2962963,218.4444444
962.0869565,218.6521739
1235.660714,219.6785714
673.8392857,221.25
1247.638889,219.5833333
649.3194444,222.1111111
657.0588235,222.0882353
770.3928571,220.6428571
793.1494253,219.9770115
1285.361702,220.4893617
664.1320755,220.3584906
752.1311475,222.6557377
762.5641026,222.6410256
956.7857143,221.2619048
1251.960784,225.8039216
746.4871795,222.7692308
1296.731707,222.3902439
694.9661017,223.8983051
636.2857143,227.7
643.3333333,225.3333333
679.8222222,224.8666667
739.8636364,224.75
664.4285714,226.4285714
686.4705882,225.8823529
652.5263158,228.3684211
671.1923077,226.3846154
754.0571429,227.0857143
766.5443038,229.5696203
949.7945205,227.7671233
959.6216216,227.2162162
1005,227.5
700.1818182,228.5454545
964.2666667,228.4666667
1239.717949,227.8461538
757.7857143,233.1530612
671.3428571,231.3428571
687.9230769,233.3076923
950.125,233.125
1283,233.7368421
1287.7,233.6
961.5925926,235.1851852
674.6744186,236.6511628
681.673913,235.2608696
967.8947368,234.5526316
976.1914894,237.6595745
765.5294118,238.8235294
776.2982456,237.0877193
1075.266667,239.9333333
1317.777778,239.5
769.8571429,239.3333333
657.9527027,242.2972973
778.7058824,241.1176471
984.8666667,240.4222222
1320.454545,242.8181818
760.3142857,243.4857143
1003.5,242.2222222
770.721519,244.4177215
781.6666667,246.1428571
965.125,246.125
1135.44,246.32
634.4647887,249.4225352
1129.416667,248.0833333
1326.824324,249.2837838
1334.666667,249.2666667
614.137931,250.4482759
622.8245614,248.6052632
1135.142857,250.9285714
1140,251
947,252
1081.4,252.4
619.8235294,253.1470588
932.525,252.625
687.2608696,254.4347826
787,253.5
967.1111111,253.4444444
607.3981481,254.5185185
942.9666667,255.2
573.2222222,256.7777778
615.2777778,257.3333333
782.40625,257.375
1306.714286,256.4761905
1331.107143,257.75
1353.740741,258.9444444
628.5294118,257.9607843
643.5,258.5
621.2380952,258.8095238
636.4871795,259.1282051
661.5376344,258.9462366
938.6363636,259.5227273
948.3684211,259.1052632
565.58,261.28
920.6923077,260.7692308
1223.4,260.65
1354.173077,263.3076923
1332.5,261.9375
613.5098039,263.1372549
1275.028571,263.7857143
605.5,263.25
656.64,264.52
668.2790698,264.6511628
947.3548387,265.0967742
1334.619048,264.8095238
620.2,264.9
895.4516129,264.4193548
564.6923077,266
679.7592593,266.5555556
1219.153846,265.7692308
889.86,268.42
914.5217391,267
1224.818182,267.4545455
1340.147059,267.6470588
858.3783784,268.4594595
973.5263158,268.4868421
1351,269.6666667
1358.870968,269.7741935
626.0363636,271.1272727
850.4032258,270.3870968
912.7857143,271.1071429
672.0188679,271.6226415
1224.4,273.3142857
1280.25,272.4375
561.2432432,273.3783784
616.3010753,271.8172043
797.4666667,272.8888889
861.5833333,273.3055556
908.08,273.04
917.754717,275.5660377
622.4545455,276.030303
854.3555556,275.2888889
553.08,276.44
611.3076923,279.2692308
910.9,277.3
1220.230769,277.6923077
856.2,279.45
861.6785714,279.1071429
868.5238095,278.5
876.1818182,280.1818182
617.5,280.3
899.2,281
625,283.2
771.6428571,283.4285714
853.047619,282.8095238
1332.65,283.15
611.7692308,284.8461538
767.5833333,283.75
860.71875,284.40625
867.4565217,283.8695652
928.9550562,282.6966292
948.4545455,284.6818182
1067,284.5
1149.84375,283.84375
553.4444444,283.9074074
631.2564103,283.7948718
782.7647059,285.4705882
921.5555556,284.9259259
570.6842105,285
601.6190476,285.9238095
874.2,285.8571429
900.3636364,285.2272727
904.3846154,286.3846154
1056.253333,285.1466667
773.7619048,287.1428571
916.5555556,286.3333333
562.8301887,287.3584906
849.9807692,288.3076923
629.8857143,289.2
644.9166667,289.25
799.4545455,290.1212121
829.5588235,289.1764706
1070.689655,288.5172414
590.8358209,291.0895522
768.8571429,291.0714286
916.3181818,290.9090909
928.7894737,290.8421053
1006.883721,290.7209302
1384.111111,290.7037037
792.3157895,292.5614035
822.0857143,291.7714286
1327.529412,291.7647059
784.8730159,292.8571429
901.4358974,292.3846154
579.1623932,296.2136752
802.7380952,295.9285714
1064.583333,296.2916667
1377.354839,296.6451613
730.4468085,297.9574468
1386.432432,297.2162162
939.7297297,298.7027027
1338.088889,296.8888889
616.1730769,299.0961538
901,299.5
607.6216216,300.2432432
644.7083333,300.3125
1367.5,299.6944444
961.0759494,301.4303797
727.6666667,303.3333333
803.5555556,301.8888889
938.2916667,302
626.6315789,303.9736842
652.6666667,302.8888889
731.7142857,302.5
968.1290323,302.4193548
1338.983051,304.4576271
782.8928571,303.9642857
913.6428571,304.25
949.8,304
954.2058824,303.9411765
981.3888889,303.9444444
945.4285714,304.2142857
1308.125,305.125
1368.24,305.52
985.25,307.1666667
976.2727273,306.6363636
730.72,308.16
778.2916667,308.4166667
909.2333333,308.6
951.2702703,308.9459459
965.5454545,308.3636364
770.4,305.2444444
796.6190476,308.4761905
946.6666667,308.8888889
725.3714286,307.9714286
1333.428571,310.1428571
719.1428571,311.2857143
875.6046512,311.0232558
912.3043478,311.5217391
944.2195122,311.9512195
978.5918367,310.755102
730.1904762,313.2857143
771.6521739,312.7608696
964.3125,312.875
1018.888889,313.3333333
900.2857143,313.952381
907.8666667,314
952,315.5
671,316.5185185
723.0487805,316.2195122
987.2,316.875
675.8108108,318.7567568
882.375,317.375
687.4333333,318.4333333
729.2115385,318.3461538
906.1034483,318.6551724
339.2962963,321.3703704
639.32,319.76
667.74,321.14
944.0833333,320.1666667
979.6041667,319.1458333
344.2307692,321.2307692
919.7619048,320.6666667
970.5961538,320.5961538
644.9333333,323.2333333
961.2307692,322.6538462
477,324.6304348
674.6521739,323.6521739
681.2272727,323.2727273
690.9473684,326.0526316
939.6052632,322.2368421
976.9310345,324.1724138
919.3589744,326.1538462
956.5952381,325.3333333
1393.609756,326.7804878
902.3478261,326.6086957
971.8139535,327.627907
951.1481481,327.4814815
1006.178571,327.7857143
485.2278481,328.6202532
779.5,329.1666667
941.7435897,329.1282051
1416.555556,329.2222222
651.0930233,330.3255814
645.6153846,331.6153846
990.3389831,331.4745763
978.75,332.0833333
453.6190476,333.4285714
936.3333333,333
974.6363636,332.8181818
655,334.3076923
659.3396226,334.7735849
951.8333333,334.5833333
963.9230769,335.4230769
889.3181818,336.0454545
948.5652174,340.0434783
985.6857143,336.7142857
664.5,337.5
928.2068966,336.7241379
970.6206897,337
998.9090909,336.6363636
335.9661017,336.5254237
1386.26,337.1
922.25,339.0625
1015.285714,339.2142857
960.75,339.5
926.4347826,341.0869565
1385.307692,341.7307692
1395.62963,341
963.625,342.4375
922.4166667,342.8333333
698.6761905,344.0666667
710.55,344.15
992.5576923,343.75
671.75,345.875
1008.9375,344.3125
1024.433333,344.1666667
1390.595238,345.5
707.5714286,347.1428571
925.96,347.2
1007.416667,347.25
1396.179487,347.025641
963.8817204,347.8817204
999.7272727,347.8787879
791.0757576,349.0454545
973,350.2857143
980.1388889,349.4166667
703.1666667,352.1666667
710.9240506,351.9367089
1005.652174,351.7391304
1398.857143,352.2857143
724.5,351.8
800.2727273,353.7878788
989.5238095,354.3333333
884.537037,355.5
935.6363636,355.5
718.71875,355.0625
858.0606061,356.7424242
702.0909091,356.3636364
916.2325581,360.255814
946.3488372,357.255814
950.8888889,357.6666667
986.3770492,360.6229508
707.5217391,358.2608696
696.1612903,359.4516129
724.2903226,359.4677419
935.137931,360.6206897
702.4333333,362.8
887.2,361.8
930.9019608,363.2941176
992,361.8571429
864.4285714,364.3333333
697.8888889,364.5185185
729.5957447,365.0425532
924.8888889,364.7777778
1041.043478,364.2173913
707.037037,365.1481481
725.6,366.4
907.6666667,366.4444444
915.125,366.375
711.1538462,367.5384615
718.65,367.05
946,367.2
974.8536585,366.6097561
950.1538462,368
990.7272727,366.9393939
1041.809524,369.5714286
895.3333333,368.8888889
964.0465116,367.7906977
995.1724138,369.8965517
718.7777778,370.4444444
958.9347826,369.2173913
923.7021277,372.2978723
1006.333333,372
704.9459459,372.0810811
913.4545455,373.3636364
932,372.7142857
712.1458333,374.6666667
733.2790698,373.0930233
908.2580645,373.5483871
937.7058824,373.8235294
1413.307692,374
725.9615385,373.5897436
961.3478261,376.3913043
967.5,375.06
1025.081081,373.0810811
1030.16,376.04
985.0196078,376.5882353
1002.090909,375.2727273
1016.684211,377.1052632
934.1111111,377.8888889
945.3088235,377.8382353
873.9333333,378.2
956.3636364,380.0909091
935.8,381
940.4285714,382.2857143
880.0810811,383.5135135
917.4,382.0666667
929.6111111,383.3333333
1009.114286,382.6714286
961.8636364,384.5909091
967.9166667,384.875
934.6842105,386.1578947
946.5357143,387.1428571
995.9459459,385.4324324
1028.097561,387.097561
973.6428571,387.6428571
1018.444444,388.8888889
883.5862069,390.2413793
901.2,391.1
983.9589041,388.9178082
1060.148148,389.5925926
950.7692308,390.6153846
915.0930233,392.8837209
1010,392.5
967.9565217,394.173913
1037.333333,391.8611111
945.4583333,396.0416667
1027.333333,394.2222222
1415.625,395.5
309.8,396
803.8888889,396.5555556
972.7916667,396.625
957.5666667,397.65
1179.846154,398.7692308
1409.727273,400.0909091
806,400.5
935.7941176,400.3823529
992.8888889,399.5555556
1039.036364,400.1090909
726.2580645,400.7096774
903.2195122,401.2439024
974.59375,401.84375
304.03125,400.9375
734.95,402.4333333
927.8666667,402.4333333
1027.928571,404.3571429
298.96,406.04
898.875,404.875
924.8181818,404.7272727
1020.190476,405.2539683
742.0833333,406.3333333
923.047619,407.6190476
929.3571429,406.8571429
933.15,408.4
296.3870968,410.9354839
1479.617021,407.9361702
972.0454545,410.9090909
1425.735294,409.5588235
739.4594595,411.4324324
927.8684211,411.2894737
1032.242424,409.9090909
1041.619048,411.6190476
956.92,411.78
291.1944444,414.3888889
749.0869565,412.7826087
1429.612903,412.7096774
1486.533333,412.8666667
1102.588235,414
931.1388889,415.1666667
1325.565217,415.7391304
960.1142857,416.8857143
969.7916667,416.2083333
1050.666667,417.1904762
1055.352941,413.8588235
1038.714286,416.3571429
712.6,419.0666667
751.6857143,419.0571429
918.1818182,419.5909091
926.0645161,420.3548387
1029.578947,418.6842105
857.0689655,420.8965517
748.4754098,422.6229508
835.8181818,423
1093.027778,421.3611111
1201.5,423.5
961.1304348,424.326087
999.9285714,423.8571429
854.2857143,426.7619048
885.8125,427.5625
974.7142857,425.9142857
1098.1,425.05
933.1176471,427.5882353
1034.852941,427.4117647
716,428.5
754.2857143,428.0714286
967.375,427.75
996.2258065,429.1290323
1196.714286,429.5
952.1168831,429.2727273
757.2857143,431.6428571
891,430.3076923
960.2142857,431
730,433.2727273
979.0952381,433.4761905
854.5,433.5
878.9347826,434.0869565
998.9230769,434.5769231
1010.424242,434.1515152
890.1176471,434.9411765
912.9032258,435.7419355
939.5,435.5
758.7647059,437.1176471
722.75,438.05
962.1,438.1
1063.9375,437.65625
878.8333333,438.9166667
930.45,439.35
946,439.7
763.6296296,439.8518519
918.2727273,440.5454545
976.5882353,439.0588235
1051.880952,439.6190476
1202.296296,440
891.7352941,441.6176471
967.5384615,440.8974359
952.7419355,443.2580645
1279.533333,442.6333333
998.45,443.65
1492.297297,444.3243243
929.9166667,444.75
1016.5,445.0416667
1045.541667,445.125
1226.325,445.375
1027.396825,441.4920635
1072.677419,445.7580645
1256.272727,447.9090909
1267.1875,447.53125
750.9090909,449.2727273
945.4146341,448.6097561
1497.25,448.75
918.6875,449.5625
1036.725806,447.6612903
1244.066667,449.9666667
926.3333333,450.7777778
1019,450.375
1253.076923,451.2692308
978.5,452
985.2,452.3
1030.931034,453.6206897
894.2,453.2
972.3529412,453.1176471
1001.955556,454.5111111
798.2222222,455.7222222
940.9411765,454.8235294
953.0909091,455.7272727
958.5384615,454.6923077
1007.461538,456.3846154
1071.84,456.68
818.3181818,457.0454545
1039,457
807.7272727,456.7676768
1187.705882,457.7058824
1214.1875,457.5625
801.6363636,458.9090909
1056.263158,458.7368421
1076.095238,459.8095238
818.1875,460
1206.380952,459.8095238
1001.625,460.75
1044.85,460.75
1187.347826,461.5217391
1504.666667,462.5
1508.8,464.3
805.5945946,463.2702703
1017.717949,463.6282051
965.1034483,463.6896552
1036,463.8947368
1274.85,463.725
1047.965517,465.2068966
1259.5,466.1
812.3018868,466.7169811
1073.692308,466.0384615
840.0714286,466.8571429
955.1463415,465.3902439
1083.5,467.5
1028.804878,468.195122
1058.375,467.0625
1506.583333,468.5
1003.725,468.875
1266.793103,470.0344828
1244.15,471.575
1254.083333,470.8333333
971.375,472.0833333
1071.787879,473.3636364
1220.5625,471.75
1279.052632,471.9473684
1203.5,473.0666667
1271.085714,474.4285714
1022,473.7727273
1026.769231,473.7692308
1031.21875,474.5625
959.2222222,475.4444444
973.95,476.65
1184,478.8510638
1025.916667,477.3333333
1159.37931,476.9655172
1040.395062,476.8888889
1275.488889,479.0444444
1502.125,477.8214286
1508.933333,477.5333333
976.7777778,478.8888889
1015.761194,479.1641791
1020.875,479.75
1191.727273,479
759.2333333,480.4666667
763.9117647,479.4117647
981.8648649,478.9189189
1055.84,479.92
1181.625,480.875
1512.848485,480.2121212
1051.814815,481.8148148
1216.578947,482.3157895
1381.366667,480.2666667
964.3508772,480.9473684
1058.042553,484.3617021
1080,483.5416667
1375.875,483.6
769.1904762,483.6666667
814.9130435,484.4347826
1241.594203,483.5362319
1191.705882,485.0294118
1262.828829,484.036036
1380.826087,486.173913
763.4642857,485.4285714
968,486.44
983.7105263,486.1052632
1166.125,486.125
1250.305556,486.6805556
1019.580645,487.5483871
819.9615385,489.3076923
869.5,489
1192.173913,489.6086957
1369.105263,489.7894737
770.125,491.125
1082.021277,490.9148936
1197,491.2068966
1206.333333,490.8571429
1232.241379,490.8505747
1505.4,491.5
760.75,492.35
755.1578947,493.0526316
972.1515152,493.2121212
1373.75,493.375
767.2909091,493.5818182
961.609375,495.203125
1106.857143,494.1428571
1361.75,494.0833333
1091.555556,495.1111111
1220.227273,494.4090909
1378.47619,494.952381
1115.037037,496.8518519
1206.130435,496
1212.478261,496
760.8947368,496.5789474
998,496.5957447
1051.444444,496.6666667
774.7142857,497.7619048
785.75,497.5833333
981,496.8809524
1070.238095,498.7142857
1133.581395,497.0232558
1236.571429,498.047619
1244.35,497.8
792.5,499
868,499.5
1258.481481,498.3518519
781.9166667,499.5833333
825.2857143,500.5
1022.367647,501.4705882
972.5882353,501.1176471
1061.8,501.5818182
1038.865385,505.3461538
1072,502.6666667
1123.076923,501.5769231
1250.387097,502
1081.8,500.3
1171.78125,502.65625
1226.933333,502.9
1237.477273,504.4318182
830.3684211,504.3947368
1179.375,504.375
1506.089286,503.125
787.047619,505.1904762
998.875,505.5
792.6153846,505.4615385
986.1304348,506.3913043
1094.5,507.5
1289.652174,506.6521739
269.5333333,507.5333333
755.5555556,507.8888889
885.6666667,508.25
992.7878788,508.1515152
1251.852941,507.2352941
273.4482759,509.6206897
1082.675,508.975
1175.210526,509.4210526
1023.875,510.125
1049.580645,510.1935484
1188.909091,510.2272727
1209.435897,510.5897436
1263.8,510
998.4545455,511.1818182
1107.764706,512.7794118
1130.088235,512.5
1289.823529,513.5294118
1253.35,514.275
1527.8,513.7666667
965.047619,513.8095238
1012.923077,514.3076923
1080.8125,515.0625
1095.869565,515.3913043
1122.081081,515
1190,514.375
1234.457143,516.2285714
989.1176471,516.5882353
1003.547945,516.2328767
1023.428571,515.5428571
1066.373333,516.5066667
1074.555556,517.1388889
1049.833333,518.0833333
1527.6,518.1333333
1531.846154,520.2307692
842,519.9411765
979.8985507,518.0869565
1017.28125,519.84375
1155.583333,518.75
1239.705882,519.7058824
1084.642857,519.5714286
1180.136364,519.2727273
1223.833333,519.6111111
1273.076923,519.8461538
903.5,521
972.6,520.05
1174.866667,520.9333333
1041.5,521.0526316
835.1111111,523.5555556
856,522.4166667
1082.846154,525.5192308
1234.25,523.6666667
829.4237288,525.8644068
1018.125,525.125
1200.307692,525.8153846
1058.4,525.3666667
1076.4,524.16
791.44,526.4
1067.5,528.5416667
1106.662162,528.1216216
1141.372093,528
1525.53125,526.78125
966.2307692,528.3846154
1024.573333,528.64
1051.111111,526.6666667
1093.611111,529.2777778
1265,529.4
1006.21875,529.0625
1044.033333,529.1666667
1521.52381,530.7142857
621.6470588,531.4705882
788.875,530.7916667
838.0909091,531.3636364
910.0263158,531.3421053
972.68,530.24
1037.058824,529.7647059
1112.44,531.04
1258.592593,532.4444444
1048.659574,533.4680851
1088.375,532.1071429
1230.363636,532.7954545
1515.625,532
835.2857143,534.6190476
1030.75,534.0625
1529.425926,534.8333333
913.0666667,535.6666667
923.5967742,536.5403226
1040.538462,535.8461538
1122.71875,535.71875
1219.575758,535.5757576
1269.636364,535.9090909
841.35,536.1
1004.948718,535.7179487
1260.214286,536.3571429
888.0869565,538.1304348
989.5909091,537.4090909
996.2258065,538.2580645
1152.965517,538.8275862
1245.888889,538.3333333
1251.5,536.3888889
1515.588235,537.3823529
1521.25,536.8125
709.9666667,539.6
1133,539.3076923
1206.25,538.5625
640.3333333,539.3333333
1045.818182,540.1515152
1106.603774,540.6415094
1162.413793,539.6896552
1173.857143,540.3333333
1235.75,540.05
991.1818182,541.5454545
828.5294118,541.2352941
838.9347826,540.4130435
932.25,542.35
955.85,540.05
1126.181818,543.3636364
1524.277778,541.9444444
1534.704545,543.5568182
1009.222222,542.6666667
1093.897959,545.5510204
1180,542.8
1470.066667,542.8666667
703.3823529,544.1470588
709.6190476,543.952381
715.3783784,544.4324324
832.5833333,544.75
843.8125,545.9375
1235.5,544.5
633.8888889,544.5
991.5405405,547.2162162
1069.242424,545.6969697
1080.5,546.4782609
1055.434783,547.1304348
1086.423077,548.0384615
1114.253731,546.8656716
1176.222222,547.0555556
1475,547.5
1525.789474,547.4210526
1013.1875,548.1875
1103.272727,547.9090909
704.5,549.5
698.1935484,549.6129032
1170.9375,551.3125
1204.309524,550.2380952
1542.5,551.125
706.3571429,554.5714286
867.5,553
1000.315789,553.1578947
1083.903846,553.3269231
1192,553.3333333
1268.466667,552.4666667
1466.485714,554.2285714
1483.804688,553.0859375
841.25,553.8125
1059.163265,554.877551
1071.608696,553.6086957
1101.833333,553.9583333
1240,553.2857143
993.2333333,555.3666667
1042.484848,554.7575758
1139.666667,554.7083333
1112.125,555.75
1145.096774,557.3870968
1473.227273,558.8939394
1535.707317,557.4878049
822.2631579,557.7368421
844.5,558.5
1206.409091,558
1104.76,559.84
1245.538462,561
1072.25,561.3409091
1086.333333,560.8571429
1479.333333,562.4333333
1120.9,562.1
1239.71875,563.65625
1141.857143,562.8571429
1250.722222,563.3888889
878.4117647,563.8823529
1183.153846,564.1153846
1004.381818,565.0363636
1157.642857,565.3214286
1169,566.173913
1174.652174,566.4782609
1264.714286,567.2142857
1277.59322,564.9830508
1075.322581,566.0322581
1153.259259,567.2592593
1227.875,567.7916667
1243.869565,566.4782609
1259.5,566.5
888.4166667,567.7083333
953.3658537,567.4146341
1556.727273,568.6363636
614.2727273,569.2727273
696.6,568.6857143
1134.692308,568.6923077
1178.815789,569.9210526
1198.166667,569.5833333
1046.583333,571.4166667
1167.25,570
1233.585366,569.9512195
882.75,570.9166667
1128,571.6190476
1172.484848,571.3333333
1059.285714,572.4444444
1140.088235,571.5294118
1153.416667,573.6666667
613.3829787,574.8510638
958.6363636,573.0909091
986.88,575.8
1167.615385,575.5769231
889.7272727,578.7272727
1247.083333,578.9166667
1559.393939,578.7272727
1008.245902,579.442623
1086.8,578.5
1124.111111,578.5555556
1176.633333,579.2666667
1255.210526,579.0526316
610.2352941,580.2941176
891.8235294,582.9411765
1038.377778,582.9555556
1077.133333,582.2
1204.25,581.6666667
644.1153846,583.4615385
1031.138889,583.5833333
1056.103448,582.6206897
1090.704545,585.1590909
1127.842105,582.7105263
1137,582.2380952
1156.192308,582.8846154
1161.928571,583.6904762
1183.487179,582.4102564
616.1538462,582.7692308
1197.172414,584.137931
1559.04,584.84
638.125,584.6666667
1049.102941,581.2352941
1142.2,584.25
676,586
1253.658537,584.7317073
1076.892857,587
1145.5,588.75
1186.5,589.4166667
1333.565217,588.0869565
617.5,589.5
1028.727273,589
1556.714286,589.9428571
651.8965517,589.5517241
1085.0625,591.46875
1215.5625,592.78125
1052.928571,593.5357143
1559.571429,593.8571429
1018.518519,592.9814815
1064.375,594.4375
