X	Y
0	0
0	4830
4830	0
4830	4830
1130.857143	248.6666667
1180.055556	260.2222222
1133.5	262
1206.25	261.8214286
1160.083333	266.6666667
1173	266.5
1325.888889	267.7037037
1127.136986	266.9315068
1133.727273	270.4545455
1138.242424	270.7272727
1143.113208	271.8490566
1147.612903	272.0322581
1236.294118	271.5882353
1166.595745	273.0212766
1170.2	272.3
1176.719512	273.097561
1150.560976	274.8536585
1155.631579	273.4736842
1160.978261	274.5434783
1154.682927	280.2195122
1138	280.25
1173.888889	280.4444444
1146.470588	282
1177.352941	281.9411765
1184.439024	282.0243902
1105.578947	282.8947368
1190.045455	284.7272727
1158.3125	286.125
1164.148148	287.7592593
1172.272727	287.3030303
1144.489796	287.6734694
1231.818182	288.9090909
1132.952381	291.1904762
1227.3125	290.8125
1140.710526	292.1842105
1156	292.2916667
1163.222222	293.4074074
1173.9	293.7
1415.916667	294.3333333
1266.5	297.2857143
1083.681818	299.8636364
1131.691489	306.9787234
1268.888889	307.3333333
1131.764706	312.2941176
983.5	347.5
1167.135593	347.9491525
1123.448276	348.8965517
1154.770833	348.7708333
1204.909091	353.3636364
888.2173913	360.3043478
955.5	360.5
1573.6	359.6
1184.533333	362.1333333
962.8	365.04
1156.875	366.125
892.5454545	368.6363636
897.0322581	367.5483871
1237.142857	367.8571429
981.4615385	369.1538462
962.6363636	369.5909091
1193.276596	370.5319149
1198.619048	369.4761905
711.5	371.5
1112.529412	373.7352941
1126.125	374.875
967.8	376.15
1510.4375	375.625
921.4666667	376.8666667
1109.125	377.125
926.12	378.36
976.7714286	378.4285714
983.3076923	381.6538462
990	382
1100.75	383.75
889.9333333	385.4
894.125	385.125
937.95	385.9
900.5454545	388.3636364
943.125	389.875
960.7333333	391.0333333
965.1111111	390.4444444
947.1111111	392.2222222
970.2	395.5
829.8	402
939.5	407.5
650	409.5
667.4117647	416.1176471
910.7906977	419.0697674
669.8	422.1
699.9333333	423.7333333
1530	432.3333333
612.4	433.3
610.3571429	436.6428571
865	438.6666667
869.5172414	438.6551724
1042.481481	440.7407407
1031.185185	446.7777778
1140.571429	446.8
1149.666667	448.2380952
1670	449
858.5	453.5
1036.259259	454.0740741
1051	454.5
1040.333333	457.5
946.1578947	462.4736842
1049	462.8888889
1038	463.3913043
977.125	465.3333333
1031.809524	466.1428571
1041.793103	466.1034483
1025.7	466.95
1027.727273	470.3636364
868.7777778	471.5
942.3793103	470.862069
975.0277778	474.8611111
943.3529412	477.0294118
1066.333333	476.6666667
981.28	478.98
903.6938776	479.877551
1019.391304	481.2173913
961.1538462	482.9230769
1039.666667	487.0833333
981.2	489.5
1050.421053	491.8947368
1031	493
610.5333333	494.8666667
1035.736842	494.6842105
1047	495.25
938.8181818	499.1818182
1094.5	499.5
900.7692308	502.8461538
933.8	505.85
1049.230769	506.6153846
1001.125	510.6
1005.833333	516
1008.75	518.25
933.2	519.2333333
995.6666667	520.6666667
683.5	531.8
956.6842105	541.0526316
1001.5	543
1008.227273	542.1363636
996.5	546.1153846
958.2941176	547.4117647
1013	548.5
1002.923077	550.3846154
1657.964286	554.8928571
1023.533333	559.3333333
949.5	562
1020.038462	564.3076923
1728.391304	566.2826087
1010.722222	569.8888889
969	574.8095238
935.1578947	577.3157895
1027.666667	591.5555556
967.9	596.95
1030.5	600.5
915.5	604.5
1123.5	617.7142857
1180	634
1170.125	642.5
1073.809524	644.1428571
1135.266667	651.3333333
1223.272727	657.8181818
1024.344828	667.2758621
1702.043478	669.6086957
1768	669.8
1706.047619	674.9047619
1710.90625	678.71875
1348.688889	682.0222222
1350.482759	686.8275862
1368.24	723.32
1735.553191	724.5106383
1743.516129	727.2903226
1753.945946	730.5135135
1747.166667	739.2083333
1166.5	741.5
1195.142857	741.5
1210.2	743.3333333
1276.060606	745.9545455
717.7826087	747.6086957
1204.473684	747.8421053
845.4705882	749.6470588
1278.176471	752.7647059
1164.068966	754
406.1904762	761.1428571
1199.5	766
1203.153846	769.8846154
1155	772.5
1206.333333	773.4444444
1158.4375	773.75
1180.5	777.8
569.2	781
1164.642857	783.1428571
1187.957447	782.9361702
1182.333333	784.2424242
865.9473684	785.6315789
1243.5	786.5
1186.090909	788.1818182
1160.588235	790.8823529
1167.666667	791.1111111
614.6363636	794.3636364
810.5	793.5
1125.4	795.6
1258.352941	795.5294118
1146.066667	797.4
1187.214286	798.3571429
338	798.7083333
1136.8	801.5
644.0392157	803.5098039
674.5	803.5
1263.261538	804.2153846
1258.46875	804
1312.555556	803.5
1221.888889	806.3333333
709.3478261	807.3913043
610.5	809
848	811.5
1373.75	812.4
1261.074074	813.6296296
1300.5	814
1155.5	814.5
1142.615385	815.6153846
874.7142857	817.9489796
1294.333333	819.5555556
1205.111111	821.3333333
803.875	822.875
880.6060606	825.030303
896.5	824.6666667
1271.272727	824.4090909
1739.826087	825
1217.190476	825.1428571
1262.211765	826.6117647
896.8823529	828.1764706
780.5	829.5
1277.117647	829.1176471
324	831
509.6666667	830.6666667
1271.222222	832.4444444
508.1666667	834.547619
634.3846154	835.3846154
1174.5	834.8125
1267.1	834.8
864.8461538	839
1276.5	839
1372.7	839.66
540.125	839.875
533.137931	840.0344828
778.2	841.5
536.5333333	843.7
543.2307692	845.2307692
1371.714286	845.5
1390.5	847.0714286
1396.645161	848.1935484
546	849
1182.666667	849.0833333
540.6136364	849.1590909
403.5	851.5
1047.384615	850.6153846
782	852
817.875	852
1053.05	851.75
1148.210526	853
1158.111111	852.3333333
1349.545455	852.1363636
543.6097561	855.1219512
760.0833333	852.9166667
1199.210526	853.6315789
588.75	855.375
1193.464286	857.0357143
592.5217391	858.3478261
1153.8	859.44
1197.294118	858.8823529
242.9375	862.3125
1121.5	862.7142857
609.4545455	864.6363636
1045.666667	865.75
681.5	866.5
1495	866.5
460.1538462	868.4615385
1191.25	868
595.1875	869.15625
1204.190476	868.8571429
651.5	870.7142857
656.5	872
647	873
600.3564356	873.5643564
1200.730769	877.4230769
811.5	878.5
598.8823529	880.4117647
1194.181818	881.1363636
661.3846154	881.9230769
1208.941176	884.5882353
1052.5	886.2
1201.277778	886.1111111
658.25	888.375
681.5	887.7142857
1313	891
679.8	892.28
1197.645833	891.4166667
1203.931034	892.6206897
589.8181818	893.8181818
1197.16129	896.9032258
1203.810811	898
646.9473684	914.9473684
638.2941176	917.7352941
1401.5	922.3636364
649	924.826087
1286.333333	925.3333333
1306	927
1251.7	930.1
848	930.85
825.0909091	932.6363636
828.75	933.05
1102.230769	933.8461538
554.8461538	941.2307692
596.6363636	942.9090909
1116.756757	944.5405405
602.2325581	943.5813953
612.8888889	944.1111111
852.8103448	941.6724138
560.6521739	945.3478261
583.3333333	944.7777778
619.6666667	945
659	945.2
675.9444444	945.8888889
795.7682927	944.304878
578.5	946.5
630.7	945.7
851.2	947.3636364
543	946.5
596.4166667	946.75
555.75	947.4166667
587.7419355	947.9677419
568.1875	951.765625
602.4615385	949.3076923
687.25	950.25
523.3333333	950.3333333
622.5	950.6333333
264	952
574.5	951.7142857
636.4285714	952.4761905
654.4444444	952.9444444
659.1481481	953.2962963
562.4545455	954.1818182
611.15	953.95
648.4	955.4
616.5	956
575.195122	957.5365854
643.6206897	958.0689655
654.2105263	958
662.9090909	958.1818182
681.6666667	959.4666667
659	960.1666667
574.4117647	961.8823529
629.85	962.4
886.5	961.2857143
599.375	962.25
1272.631579	962.4210526
602.6666667	963.5333333
592.5416667	965.1666667
550.76	966.04
567.9516129	965.516129
615.4545455	966.3636364
1165.75	966.25
584.3333333	967.2666667
575.04	967.84
863.8108108	967.8378378
593.5	969.5
521.1052632	971.4210526
580.08	971.88
610	971.8
576.125	973.375
643.5454545	975.3636364
666.3448276	975.3793103
675.5	975.7142857
617.9387755	976.7142857
626.516129	977.6451613
633.7692308	978.3846154
649.3043478	979.7826087
682.0909091	979.6363636
544.0909091	980.6363636
607.6153846	980.4615385
622.8076923	981
677.875	982.5
699.5	982.2
554.7352941	984
565.1333333	984.4666667
635.5263158	984.4736842
610.8333333	985.3333333
621.8333333	985.125
645.0909091	985.3636364
628.4868421	986.5394737
660.0769231	986.5769231
638	987.6785714
956.8333333	988
591.2363636	987.3090909
672.2	989
684.9259259	989.3333333
544.125	989.875
552.7	990.3
612.2222222	989.2222222
1142.576923	990.5
557.3333333	991.125
647.9130435	990.9565217
579.5	992.1111111
594.84	992
1149.68	991.48
608.1875	992.4583333
656.125	993
1145.875	994.1666667
542.1666667	995.5
635.5	995
598.2105263	997.0526316
630	996.6666667
1141.346154	995.9615385
684.0714286	996.9285714
698.2	996.9333333
706.7619048	999.9047619
703.3809524	998
1162.5	1001
596.6	1003.04
618	1005.5
686.68	1005.92
664.8888889	1008.333333
588.25	1008.166667
651.2777778	1009.166667
643.1666667	1011.722222
625.4375	1012.625
883.875	1014.875
592.2	1016
835.5	1016.285714
619.2222222	1016.944444
631.3846154	1016.615385
529.45	1020.75
552.4444444	1022.222222
672.1111111	1022.222222
545.9285714	1024.857143
629.7777778	1025.5
657.44	1027.12
690.6666667	1028.074074
922.5833333	1028.416667
651.755102	1031.632653
555.4871795	1030.641026
611.3333333	1032.25
688.125	1032.125
549.3846154	1032.384615
693.5625	1033.34375
559.1612903	1033.032258
589.5	1035.041667
658	1035.8
555	1037
532.7142857	1038.5
598.4137931	1039.62069
605.2857143	1040.5
546.3888889	1039.194444
553.0714286	1042.714286
545.3846154	1044.538462
600.8571429	1043.321429
1741.5	1043.5
574	1045
596	1045.2
549.8333333	1046.5
584.0909091	1047.848485
637.4615385	1046.692308
590.875	1048.125
523.7142857	1049.52381
532.3608247	1049.257732
630.0566038	1051.09434
548.0909091	1051.363636
566.25	1050.75
521	1052.8125
529.8030303	1055.5
552.05	1053.75
632.9130435	1055.130435
702.5882353	1054.882353
1175.111111	1055.555556
521.2	1057.3
666.3846154	1056.615385
595.6086957	1058.021739
679.3636364	1061.545455
613.5	1060.714286
691.4705882	1060.647059
535.6153846	1062.615385
601.5263158	1063
668.5	1065.8
543.1176471	1066.588235
615.7857143	1067.071429
683.5	1066.714286
643.7777778	1068.5
691.875	1071.875
667.7377049	1073.770492
1146	1074.315789
1368	1075.5
660.7368421	1076.842105
636.6428571	1078.285714
670.26	1078.95
645.125	1083.53125
686.05	1082.75
573.9	1087.45
615.2941176	1086.588235
604.6363636	1088.363636
576.7	1091.2
651.5333333	1096.2
539.3076923	1104.038462
542.7333333	1109.533333
539.1764706	1110.617647
217	1112
338.8461538	1116.538462
1065.095238	1117.571429
1072.909091	1120.363636
1090.583333	1128.527778
1071.9375	1130.0625
1109.8	1129.9
1089.208333	1133.041667
1092.5	1132.5
1377	1132
1347	1135.5
1320.137931	1143.37931
1412.9	1143.95
1428.777778	1144.333333
1428.928571	1147.857143
1192.875	1149.125
1441.05	1149.1
1362.5	1149.5
639.8461538	1150.653846
579.5	1151.5
1216.25	1154.166667
1367.1	1154.2
1102.623656	1158.268817
675.5	1159
642.1666667	1158.722222
1365.935484	1161.064516
1289.684211	1160.473684
1459.285714	1161.5
643.4	1164.28
656.9090909	1163.636364
1287.5	1164.115385
852.8421053	1165.315789
1450.363636	1165.318182
589.3076923	1173
1398.410256	1175.794872
588.5	1179.5
1438.96	1180.24
671.3636364	1180.545455
1251.5	1183
166.625	1185
665.3333333	1189.333333
1383.529412	1190.352941
1188.727273	1199.5
1386.384615	1204.384615
1377.153846	1205.230769
760.625	1210.25
1406	1210
1280.875	1214.875
1393.394737	1214.5
1370.285714	1216.071429
1181.357143	1218.857143
1393	1220
1436.333333	1224.888889
1182	1226.5
402.0833333	1235.833333
1387.909091	1236.090909
1132.034483	1264.034483
1128	1268.291667
1752.384615	1276.384615
1264.4	1282.133333
209.4	1293.4
1160.058824	1306.176471
741.5	1313
1302.888889	1315.666667
787.6585366	1319.317073
1174.642857	1322.785714
1253.366667	1324.366667
1115.785714	1327.714286
1420.655172	1328.413793
1426.808511	1328.914894
1417.8	1331.333333
1159.866667	1333.533333
1422.408163	1335.020408
1373.714286	1334.5
1427.611111	1337.25
284.25	1351.4375
732.3076923	1351.153846
1459.5	1358.5
732	1359
745.8888889	1358.666667
1171.333333	1358.75
727.7407407	1360.407407
737	1360.5
733.5172414	1363.275862
738.2631579	1365.263158
1164.066667	1366.4
728.8823529	1366.470588
259	1369.5
734.05	1369.025
741.5	1370.071429
718.2857143	1371.5
770.0666667	1370.666667
736.66	1374.02
793	1383.5
620.9	1383.5
763.3714286	1385.114286
777.5428571	1389.628571
522	1394
802.4705882	1395.647059
807.9	1414.05
793.3673469	1415.734694
794.8421053	1420.131579
495.3333333	1422.111111
795.3142857	1438.742857
805.7222222	1444.111111
1156.407407	1448.074074
814.7	1448.5
817.3181818	1452.363636
795.08	1455.16
790.9846154	1459
1100.340909	1487.090909
1096.538462	1490.461538
446.6666667	1491.111111
616	1490.828571
1101.1	1492.2
1140	1494
1849.333333	1502.25
1353.5	1508.633333
1444	1508.538462
1360.875	1528.875
1857.166667	1530.041667
1454.629032	1530.467742
1356.809524	1533.095238
1360.8	1532.5
1467.666667	1533.733333
1339.666667	1547
1427.25	1548.25
621.5	1548.5
1403.5	1555.5
1327.282051	1556.564103
637.7142857	1562.5
1209.392857	1564.357143
1214.235294	1567.588235
1202.490196	1570
674.1311475	1572.459016
633.4583333	1572.583333
494.5	1574.5
1206.632653	1571.918367
638.5333333	1574.566667
293.5	1576.8
543.6363636	1576.909091
646.7857143	1576.642857
670.3529412	1578
1207.921569	1577.392157
1196.446809	1578.702128
1202.44898	1580.510204
1200	1585
628.2857143	1586.071429
1193.407407	1584.222222
1197.285714	1588.214286
595.8888889	1587.666667
1162.111111	1589.722222
494.1176471	1591.411765
661.15	1593.266667
1190.070175	1591.035088
1196.464286	1593.464286
904.90625	1595.0625
1187.176471	1598.921569
1197.477273	1600.795455
1192.391304	1600.086957
481.2	1601.96
576.125	1600.875
1192.3	1607.166667
1183.84	1603.52
547	1606
1188.294118	1607.264706
1196.027027	1608.189189
1183.666667	1608.111111
542	1609.238095
546.4545455	1610.636364
1181.2	1611.828571
556.3636364	1612.909091
1189.693182	1615.75
1183.241379	1620.431034
550.1578947	1618.842105
1186.941176	1622.705882
1041.066667	1625.7
1814.846154	1627.5
1036.875	1628.625
842.8666667	1630.533333
563.125	1631.875
1073.444444	1632.37037
1030.1	1634.9
843	1635.846154
1027.708333	1639.958333
1199.157895	1646.842105
1195.7	1651.875
1204.085106	1653
1212.683333	1654.833333
1199.653846	1655.769231
1194.852941	1658.705882
1204.714286	1658.142857
1201.3125	1662.145833
1209.677419	1661.129032
1217.6	1662.4
1212.041667	1665.625
555.5	1670.5
742.2162162	1681.621622
870.9642857	1685.178571
874.2222222	1703
850.8666667	1708.533333
1715.166667	1714.083333
658.8	1715.56
859.0909091	1719.090909
661.2	1719.885714
656.6111111	1722.222222
666.4444444	1730.148148
576.3181818	1731.136364
582.1111111	1731.722222
1186.384615	1731.615385
853.5	1733.5
571.5	1735.714286
584.125	1736.125
1198.346154	1735.519231
663.1587302	1743.269841
668	1747.125
922.6190476	1746.952381
659.34375	1751.90625
664	1751.653846
1263.166667	1753.555556
1446.875	1752.875
1443.411765	1754.117647
891.875	1758.875
677.5	1765
1109.236842	1771.368421
1113.5	1773.625
899.0714286	1775.142857
958.4651163	1785.930233
962.7826087	1791.086957
950.75	1794.4375
852.3333333	1801.083333
890.6153846	1802.384615
856.8421053	1806.157895
965.375	1807.25
870.7333333	1809.666667
877.9090909	1811.363636
963	1813.5
1005.111111	1813.888889
874.2	1818
966.6590909	1817.25
877.4583333	1821.041667
943.2	1820.3
949.7222222	1821.166667
1211.125	1822.125
873.5	1823.5
1010.904762	1823.52381
1003.5	1824
943.125	1825.666667
1475	1826.708333
1008.384615	1830.384615
988.05	1834.9
867.5	1843.5
896	1842.641026
943	1848
901.8108108	1850.081081
939.2916667	1858.958333
822.452381	1861.738095
917.6666667	1888
921.5882353	1891.117647
908.8888889	1895.333333
1011.166667	1895.5
468.1	1905.55
1491.833333	1906.083333
1168.285714	1911.666667
1821.397059	1918.661765
852.1304348	1921.913043
1808.16	1921.28
1819.1	1924.085714
1811.897959	1925.755102
1124.625	1927.25
1804.211765	1928.976471
1201	1931.5
273.3	1936.2
1071.9	1936.52
1802.2	1936.5
1699.222222	1939.5
1331.1	1940.55
1742.344828	1941.034483
1732.724138	1941.482759
1728.538462	1943.153846
1748.037037	1942.925926
836.8095238	1944.857143
1438	1948
1343.166667	1948.916667
1432.272727	1953.606061
1238.363636	1956.5
1413.2	1957.5
1379.5	1959
973.826087	1959.608696
1236.76	1961.36
1425.5	1961
1429.7	1961
557.7714286	1964
600.9230769	1964.384615
1436.818182	1966.181818
551.9	1967.333333
1186.875	1970.09375
593.8333333	1972.333333
336.9090909	1972.636364
972.6086957	1973.434783
1183.14	1975.04
1241.913043	1977.782609
1505.5	1978.5
668.8421053	1983.157895
1175.384615	1987.923077
671.2105263	1993.947368
1230	2065
924.2	2067.333333
927.8888889	2070.444444
1231.361702	2073.765957
944.2222222	2075.5
1236.309859	2073.169014
921.6666667	2080.25
926.5	2080.8
1234.5	2080.882353
915.95	2082.1
1231.473684	2084.105263
621.6666667	2084.25
1734.2	2084.5
628.5	2085.6
914.8	2087
606.0909091	2089.363636
923.8170732	2092.939024
1467.5	2094.2
564.8	2097.5
957.125	2098.125
544.2	2101.1
503.3846154	2111.384615
566.9333333	2116.266667
1413.361111	2115.277778
406.44	2117.7
1205.545455	2123.818182
1411.5	2127.285714
572.5	2129.777778
531.5	2129.714286
621.7692308	2140.384615
1692.6	2153.6
1326.636364	2160.909091
1445.363636	2166.090909
1485.384615	2178.384615
633.2105263	2180.631579
324.2857143	2195.5
1438.142857	2203.761905
1504.125	2208.875
1410.75	2211.75
1322.5	2216.5
1462.75	2221.666667
1502.71831	2222.366197
1402.388889	2225.222222
1379.2	2230.4
1427.925	2227.525
1472.75	2229.75
1390.5	2230.8
1329.693878	2229.989796
1335.650602	2232.481928
1339.571429	2235.44898
1343.903846	2233.692308
1402.5	2236.5
1327.5	2238.75
1373.092593	2238.407407
1381.384615	2239.615385
1393.125	2240.765625
1233.363636	2241.909091
1307.5	2242.8
1334.888889	2243.444444
1349	2244
1323.230769	2245.153846
1366.071429	2244.857143
1465.2	2245
1328.866667	2246.466667
419.5	2247
1338.566667	2246.466667
1515.185185	2246.814815
1698.166667	2246.766667
1335.526316	2248.947368
1316.5	2251.25
1375.9	2250.95
1326.5	2252
1368.647059	2252.5
393.9142857	2253.314286
1321.535714	2252.321429
1360.117647	2252.411765
1423.151515	2256.636364
1536.59375	2259.875
1428.2	2259.733333
1445.884615	2263.230769
1694.424242	2262.515152
1700.269231	2263.653846
260.6428571	2268.642857
471.2727273	2269.5
1431.25	2270.416667
272.75	2272.75
268.5	2275.5
281.5	2275.5
1173.818182	2274.818182
1346.5	2275.5
1392.363636	2275.090909
1432.65	2274.6
273.875	2279.8125
1356.2	2283.5
1385.259259	2284.148148
1159.529412	2285
1369.842105	2284.842105
1376.5	2286.5
456.6363636	2287.909091
1071.931034	2287.37931
306.3333333	2289.444444
1549.375	2289.75
908.2857143	2291.5
1172.5	2292.5
240.7692308	2296
279.2857143	2297.47619
1146.966667	2298.233333
253.9279279	2302.765766
305.5	2300.285714
539.5	2300.4
247.2903226	2302.612903
1105.36	2300.88
1095.625	2302.375
1142.8	2302.733333
284.0909091	2304.363636
258.3181818	2308.454545
1087.189189	2307.459459
1156.285714	2308
274	2310.384615
261	2313
265.6111111	2312.611111
256.147541	2314.819672
540.6285714	2316.2
407.68	2316.68
499.5	2316.8
554.3913043	2316.782609
275.875	2318.65
533.8947368	2318.421053
482.7407407	2321.666667
259.9583333	2322.875
279.875	2323.125
1133.75	2323.25
1184.4	2323.666667
264.4845361	2323.690722
276.8181818	2327.181818
433.8333333	2326.722222
409	2329.222222
1356	2329.5
271.35	2329.933333
295.2222222	2331.5
1388.866667	2331.533333
266.1851852	2333.481481
463.1875	2332.5
1167.75	2332.85
1456	2334.625
407.4210526	2335.736842
1449.653846	2337.769231
270.1666667	2337.75
1457.6	2338.4
1057.560976	2342.926829
244.2	2346.3
1705.302326	2346.209302
436	2347.5
410.1428571	2348.171429
291.3333333	2349.266667
503.6666667	2350.111111
572.25	2352.416667
1107.5	2354.777778
473.8461538	2359.346154
1026	2359.857143
1258.806452	2363.903226
497.7333333	2367.8
474.9090909	2372.363636
1110.238095	2376.333333
1182.882353	2387.411765
1099.111111	2390.481481
1104.470588	2396.352941
394.6666667	2396.888889
1684.5	2397.8125
467.8571429	2404.47619
1099.5	2404.5
1681	2405.5
1594	2407
833.04	2407.6
466.9117647	2410.529412
474.8947368	2413.421053
900.4285714	2413.857143
467.4421053	2418.905263
800.3333333	2419.52381
951.8275862	2423.448276
956.6818182	2424.318182
950	2428.1
334.0357143	2432.107143
1462.333333	2436.444444
1525.666667	2438.75
1048.133333	2441.333333
1124.5	2441.8125
1475.375	2443.8125
945.8095238	2448.904762
1172.636364	2447.136364
1206.5	2448
1178.45	2451.375
1627.846154	2450
1184.020408	2450.55102
1170.404762	2452.5
870.2682927	2456.756098
1173.642857	2456.571429
1181.658228	2458.037975
848.5	2460.714286
896.6222222	2470.333333
892.4210526	2473.947368
867.0454545	2474.727273
