X	Y
0	0
0	6000
6000	0
6000	6000
0	0
0	6000
6000	0
6000	6000
1080.5	240.5
987.5	335.4166667
987.5	341
1113	409
909.2777778	411.6666667
885.5	451.5
1055.684211	471.8421053
1025	491.5
1110.208333	506.125
1044.692308	510.1153846
1114.833333	510.9166667
1146.054054	510.7297297
1124.647059	524.5294118
1062.125	526.125
1111.277778	527.7222222
1160.444444	529.5833333
1133.222222	531.5
1211.2	532.5
1128.3	540.125
983.5652174	542.173913
1222.181818	542.1818182
1082.888889	551.8518519
1080.5	566.5
1060.159091	569
1272.04	571.52
1239.928571	573.0714286
1234.321429	575.3214286
1281.666667	578.7575758
1322.90625	579.96875
1016.37931	581.4482759
979.5	581.7142857
1257.806452	584.0967742
1046	587.5
1063.025641	588.9487179
1194	589.1923077
1205.826087	590
1259.714286	589.3571429
1013	594.9166667
1082.709677	594.2580645
1198.75	594.25
1053.466667	596.3
1196	597.5
1104	597.6785714
1201.615385	597.7692308
1009	599.2
1042.233333	607.9333333
1072.47619	607.4047619
1082.829787	608.6170213
1147.5	607.7857143
1175.21875	609.4375
1031.615385	610.1923077
1225.75	614.625
1084.193548	616.0645161
1114.621622	630.3243243
1107.5	635.1
1129.894737	637.5789474
1011	638.5
1125	638.3888889
1056.789474	642.6315789
1208.615385	645.3846154
1242.083333	645.3611111
1053.472222	646.9444444
1245.235294	648.8823529
1161.1875	648.8125
1251.4375	649.375
1249	652.3076923
1272.208333	655.0625
1277.125	654.875
977.3333333	656.8888889
1041.625	659.5
1279.633333	659.7333333
1062.333333	661.5555556
1187.851852	661.7777778
1036.393939	664
1234.3	663.4
1163.5	664.8
1085.653846	671.3461538
1315.652174	676.3913043
1267.24	679.36
1011.875	679.875
1187.5	681.7777778
1231.24	683.04
1090.172414	686.8965517
1241.146341	692.6097561
1179.5	698.5
1085.958333	701.7916667
1285.615385	705.6153846
1001.818182	710.1818182
1061.264706	714.4117647
1290.166667	715.5
1122.48	715.56
1223.535714	715.3214286
1264.272727	717.6666667
1105.692308	722
1385.911765	727.3529412
1280.761905	730.952381
1172.058824	735.1176471
1247.5	740.5
1145	741.5
1141.409091	741.8636364
1189.333333	756.3333333
1184.117647	757.6470588
1225.8	757.76
1235.15625	759.3125
1195.421053	761.8421053
1070	763.3666667
1226.24	765.36
1236.972222	764.3888889
1177.928571	780.2857143
1034.434783	811.0869565
1038.125	811.125
1029.631579	821.5263158
977.6923077	826
1062.15	829.45
1065.363636	830.0909091
1382.125	846.125
911	853.5
982.5	878.5
1236.529412	892.8823529
1019.411765	893.2941176
1234.166667	894.8333333
1435.5	937
844.9333333	987.3333333
987.5	990.2857143
1052.263158	1016.842105
1215.5	1018
1215.619048	1021.428571
1281.8125	1025.6875
1239.5	1029.5
1256.954545	1033.272727
1304.857143	1033.928571
1262.666667	1036.111111
1298.285714	1037.5
1304.810811	1038.594595
1315.586207	1041.068966
1032.714286	1043.5
1209.222222	1043.481481
1317.769231	1053.423077
1300.02439	1054.560976
1252.565217	1057.913043
1237.148148	1065.703704
1173.166667	1072.5
1207	1080.807692
1325.421053	1084.105263
1307.5	1096.714286
1227.5	1098.727273
1168.692308	1102.961538
1216.615385	1107.74359
1283.230769	1125.5
1229.956522	1127.347826
1188.842105	1128.421053
1339.837209	1128.627907
1249.647059	1132.529412
1089.354839	1135.741935
875.5	1142
1341.818182	1145.181818
1179.5	1147.5
1168.8	1149.5
1299.5	1150.2
1317.294118	1152.588235
1193.181818	1157.818182
1211.5	1162
1070.076923	1166.384615
1202.933333	1166.4
1222.058824	1166.352941
1205.642857	1168.285714
1144.888889	1176.722222
1302.4	1204.6
1219.3125	1207.40625
1171.5	1213.5
1220.961538	1215.115385
1272.5	1216.5
1249.472222	1223.222222
891.0588235	1233.764706
977.2857143	1243.5
1281.571429	1243.071429
1225.64	1245.16
1209.189189	1249.891892
1271.333333	1258.611111
1187.272727	1259.5
1203.096774	1262.193548
1231.285714	1266.914286
688.7317073	1281.536585
1207.533333	1287.466667
1250.740741	1305.259259
1188.894737	1325.421053
1332.5	1326.714286
1216.461538	1330.487179
1225.731707	1343.414634
1240.861538	1347.092308
1184.8	1347.5
1218.606061	1347.181818
1226	1354.5
1237.413793	1353.931034
1208.315789	1355.657895
1247.391304	1358.043478
1178.882353	1360.588235
1222.166667	1362.066667
1466	1363.5
1189.304348	1367.652174
1272.5	1376.5
1470.5	1382
1219.482759	1385.413793
1307.769231	1386.923077
1332.5	1385.5
1254	1389.5
1502	1389.307692
1283.5	1401.285714
1221.5	1401.857143
1291.518519	1402
1199.470588	1403.941176
1149.310345	1404.758621
1158.117647	1406.411765
1236.457143	1407.171429
1241.535714	1410
1219.125	1412.71875
1043.5	1413.5
1242.666667	1415.615385
1214.551724	1420.275862
1203.5	1427.5
1218.740741	1430.925926
1152.107143	1431.178571
1238.5	1433.2
1173.5	1434.5
1236.842105	1436.526316
1294.825	1435.975
1206.068182	1436.431818
982.5	1439.5
1237.3	1439.2
1187.363636	1440.136364
1250.2	1439.6
1240.785714	1441.357143
1270	1441.5
1232.44186	1443.44186
1181.047619	1450.190476
1238.933333	1451.5
1249	1453.5
1146.157895	1459.684211
941.8181818	1461.818182
1271.285714	1461.964286
1285.5	1462
1273.625	1465.4375
1187.875	1467.125
1315.5	1470
1197.818182	1481.181818
1217	1483.5
703.3076923	1491.5
825	1499.5
1145.5	1499.5
1267.5	1502
1206.5	1504.5
1323.5	1505
1290.25	1510.333333
1236.947368	1518.789474
1286.277778	1520.833333
1320.615385	1526.384615
1232.619048	1527.52381
1221.411765	1528.882353
1280.461538	1530.769231
920.875	1534.125
1137.25	1533.75
1219.702703	1538.783784
899.5	1540.5
1062.111111	1541.333333
813	1541.76
1293.217391	1543.391304
819	1545.5
1168.538462	1544.846154
1232.818182	1544.818182
1313.878788	1546.666667
1166.230769	1547.615385
1330.272727	1548.636364
851.8076923	1549.115385
788.8148148	1549.555556
721	1550.5
923.5	1552.714286
1266	1554.1875
1336.391304	1555.217391
1345.764706	1555.794118
1332.22807	1561.017544
1252.814815	1561.555556
1326.558559	1563.441441
1144	1563.5
1198.352941	1564.529412
634.5	1565.5
1184.15	1564.983333
1066.25	1568.666667
1253.285714	1568.714286
1302.5	1572.125
1229.035714	1573.785714
1057.272727	1575.5
1254.181818	1577.090909
1275	1577.5
1219.5	1579.727273
