X	Y
0	0
0	6000
6000	0
6000	6000
1266.666667	305.2666667
1173.103448	399.9310345
1299.045455	473.7272727
1241.813953	536.5813953
1211.5	556
1296.229167	570.9583333
1230.909091	574.7575758
1301	575.5
1331.975	575.675
1310.12	589.08
1297.478261	592.173913
1346.560976	594.7073171
1319.052632	596.2105263
1397.241379	597.2413793
1320.333333	603.6666667
1314.609756	604.4878049
1169.5	607
1408.642857	606.7857143
1269.172414	616.1034483
1266.5	631.5
1245.826923	633.4038462
1457.666667	636
1426.09375	637.96875
1420.419355	639.9032258
1466.9	643.7
1507.347826	645.0869565
1202.424242	645.9393939
1165.4375	646.625
1443.709677	648.7096774
1232	652.3076923
1248.666667	653.8666667
1380.074074	653.7407407
1391.575758	655.030303
1445.380952	653.952381
1198.933333	660.6
1268.911765	659
1384.894737	659
1239.633333	661.3666667
1382.307692	662.0769231
1290.074074	662.5925926
1387.571429	662.7857143
1194.35	663.875
1228.21875	672.78125
1258.5	671.8863636
1269.431818	673.0909091
1333.548387	672.5806452
1217.793103	674.5172414
1361.285714	674.2142857
1411.5	679.5
1269.971429	680.1142857
1300.541667	694.6875
1293.529412	699.3529412
1316.1	702.45
1197.090909	703.0909091
1311	703.3157895
1242.863636	707.1363636
1394.642857	709.9285714
1239.435897	711.7435897
1430.053191	711.8191489
1347.375	713.75
1437.315789	714.0526316
1434.714286	717.1428571
1458.361702	719.0212766
1163.5	721
1227.166667	724.0416667
1465.666667	724.3333333
1373.862069	726.3448276
1248.909091	726.6363636
1420.5	728.3684211
1222.675676	728.5675676
1349.666667	729.75
1271.7	736.1
1501.823529	741.0196078
1453.37931	743.862069
1198.212121	744.5454545
1373.526316	746.3684211
1417.275862	747.7241379
1454.125	749.875
1276.333333	751.5666667
1425.666667	753
1420.625	756.375
1426.921053	757.5789474
1365.619048	763
1271.714286	766.3571429
1471.714286	770.3571429
1187.5	775.2857143
1247.055556	779.3611111
1409.5	780
1475.607143	780.1785714
1308.5	780.4166667
1450.5	782.5294118
1291.5	786.7142857
1466.444444	795.1388889
1358.292683	799.7560976
1433.5	805
1331.125	806
1327.36	806.68
1375.214286	820.7142857
1370.245614	822.2280702
1411.8	822.76
1421.371429	824
1381.75	826.5
1250.375	827
1256.103448	827.8275862
1423.055556	829.1944444
1412.264706	830.0882353
1363.903226	845
1220.678571	876.0357143
1215.730769	885.8846154
1163.5	890.7142857
1249.361111	894.25
1097.066667	918.0666667
1168.666667	943.0833333
1205.625	957.75
1421.366667	958.5
1030.875	1052
1173.5	1055
1238.222222	1081.5
1402.125	1082.25
1401.666667	1086.125
1467.882353	1090.411765
1425.5	1093.833333
1442.75	1097.95
1448.615385	1100.615385
1484.5	1102
1490.818182	1102.272727
1502.064516	1105.774194
1218.666667	1108
1396.114286	1108.571429
1503.457143	1117.714286
1485.978261	1119.5
1438.708333	1122.791667
1423.266667	1130.166667
1359.833333	1136.916667
1393.04	1145.52
1511.08	1148.6
1493.1875	1161.3125
1413.692308	1163.5
1354.821429	1167.785714
1402.923077	1172.564103
1469.46875	1189.90625
1416.129032	1191.83871
1375.105263	1193
1525.978261	1193.608696
1436.05	1197.1
1275.5	1200.5
1061.538462	1206.846154
1527.818182	1209.181818
1365.142857	1211.928571
1354.416667	1214.25
1485.8	1215
1503.111111	1217.388889
1379.5	1222
1397.5	1227
1256.5	1231
1407.904762	1231.095238
1390.516129	1232
1330.9	1241.3
1488.5	1269
1405.35	1271.975
1357.56	1277.92
1406.888889	1279.916667
1458.4	1281.4
1435.513514	1288.135135
1077.5	1298.5
1163.5	1308
1467.636364	1307.666667
1411.777778	1310.111111
1394	1315.027027
1388.888889	1317.666667
1457.657143	1323
1373.454545	1323.863636
1389.121212	1327
1412	1331.5
1417.052632	1331.5
1388.384615	1346.846154
1393.588235	1352.323529
1436.733333	1370.2
1374.909091	1390.090909
1518.571429	1391.380952
1402.657895	1394.921053
1411.790698	1408.302326
1404.636364	1412
1426.971014	1411.550725
1370.8	1412.133333
1409.125	1414.125
1416.125	1413.625
1412.162791	1419.186047
1423.352941	1418.323529
1394.216216	1420.459459
1433.4	1423.04
1364.947368	1425.473684
1408.114286	1426.657143
1651.764706	1428.058824
1375.321429	1432
1458.4	1441.4
1656.4	1446.066667
1405.53125	1450.34375
1518.5	1450.5
1494.15	1451.45
1423	1466
1469.733333	1466.333333
1407.352941	1466.852941
1477.466667	1466.633333
1385.5	1468.411765
1335.451613	1469.451613
1344.263158	1471.263158
1422.542857	1471.571429
1427.633333	1474.633333
1405.131579	1477.263158
1229.5	1478
1429.261905	1480.142857
1400.4	1484.8
1389.444444	1491.888889
1338.346154	1496.153846
1404.758621	1496
1420.5	1498
1424.363636	1498.090909
1359.722222	1499.111111
1391.9375	1500.979167
1423	1501.285714
1480.682927	1500.682927
1168.708333	1504.208333
1424.15	1504.8
1436.148148	1504.481481
1373.3125	1504.895833
1418.458333	1508.104167
1367	1515.173913
1363.2	1516.3
1424.852941	1515.882353
1332.190476	1524.428571
1456.92	1526.12
1459.384615	1529.884615
1374	1531.7
1383.7	1545.3
1403	1548
889.4230769	1555.923077
1011.5	1564
1331.75	1564.25
1453.576923	1566.153846
1393	1569
1509.470588	1569.647059
1476.117647	1575.411765
1423.608696	1583.347826
1472.5	1585.5
1506.588235	1591.117647
1418.695652	1591.913043
1407.35	1593.4
1466.642857	1595.404762
1107	1599
1323.228571	1598
1405.487805	1603.219512
1085.521739	1605.130435
1248.090909	1605.636364
999.09375	1606.5
1479.321429	1608
1005.055556	1610.333333
1418.714286	1609.5
1499.777778	1611.555556
1353.428571	1611.107143
975	1614.433333
1037.645161	1613.741935
1516.456522	1613.673913
907.9411765	1615.235294
1109.1875	1617.3125
1452	1618.652174
1507.444444	1621.222222
1522.407407	1619.925926
1531.631579	1620.526316
1438.903226	1626.032258
1512.283333	1627.025
1518.57377	1627.311475
1330.411765	1627.705882
1384.157895	1629.157895
1370.254545	1630.090909
1252.5	1633.5
1439.076923	1633.692308
1488.137255	1636.784314
1415.633333	1638.5
1243.178571	1640.25
1440.411765	1641.882353
1460.307692	1642.923077
1406	1644
1464.342105	1646.421053
1534.769231	1647.076923
1391.027027	1648.648649
1471.909091	1649.363636
1413.076923	1651.435897
1311.1	1651.7
1474.085106	1655.234043
1481.371429	1656.085714
1232.136364	1657.477273
1259.512821	1656.923077
1531.5	1657.5
1366.933333	1658.066667
1082.631579	1660.210526
1456.714286	1660.5
1358.210526	1663.894737
1305.172414	1665.896552
1445.692308	1665
1457.153846	1665.538462
1512.5	1665.285714
1172.73913	1666.478261
1437.095238	1666.309524
1395.631579	1667.5
1407.033333	1667.766667
1034.5	1668.222222
1245.925	1668.7
1229.666667	1669.916667
1442.138889	1671.5
1185	1673.5
1262.583333	1673.972222
1414	1674
1284.740741	1674.814815
1135.578947	1676.105263
1267.823529	1676.176471
1496	1675.5
1416.588235	1677.235294
1186.958333	1677.875
1485.625	1677.75
1289.608696	1679.043478
1412	1680.5
1275.52	1681.76
1379.5	1682
