X	Y
0	0
0	6000
6000	0
6000	6000
1062.5	137.5
1063.442308	141.4038462
1059.428571	152.8285714
1018.742268	157.2680412
1031.595745	157.8085106
1039.898305	159.6440678
1000.2	160.5285714
1012.022222	161.9555556
1029.186047	164.8372093
1034.927273	164.2181818
996.3921569	164.4313725
1021.060241	164.0481928
1050.951456	163.1165049
991.7142857	167.2142857
987.1515152	165.6363636
1045.027027	167.1891892
1005.5	168.1
996.125	169.6666667
1038.040541	170.5810811
989.1818182	170.7272727
1026.558442	172.1818182
1052.314286	171.2571429
985.3209877	174.0123457
1018.960526	172.5657895
995.4878049	174.8780488
1010.742857	173.2142857
1038.235294	174.5882353
1032.285714	175.9285714
1060.111111	176.4444444
978.2894737	177.7894737
1016.895833	178.3958333
999.2068966	177.862069
1041.214286	179
1007.993902	182.4390244
1039.888889	183.6111111
1067.588235	182.1176471
1032.604651	185.1744186
1046.808989	184.494382
1054.3375	181.7875
1021.509259	186.6666667
982.8269231	187.2307692
994.2916667	189.2083333
1058.883721	188.6976744
1015.111111	190.5555556
975.6363636	191.3636364
1022.111111	192.6666667
1051.423729	192.0847458
1064.214286	193.9047619
1025.5	195.625
1055.758621	196.3793103
1008.380282	197.3098592
1021.517241	198.2758621
1049.777778	199.4259259
1063.052632	200.8947368
1015.72	200.92
1089.120301	203.2105263
1004.857143	205.702381
1023.380952	204.8928571
1099.793651	204.9047619
1051.652174	205.6086957
1084.784314	206.372549
1068.913043	212.2608696
971.5	213.6666667
1082.905405	212.027027
993.3414634	214.5365854
1102.565789	215.8289474
990.3965517	219.1551724
1024.744681	217.5744681
1068.738095	219.6904762
1077.307692	217.9076923
1005.018182	219.2181818
1060.772152	218.1265823
998.4375	220.34375
1014.587302	218.4761905
977.4137931	221.4482759
1109.06383	220.4468085
1022.770492	223.852459
1046.746032	219.6666667
1031.545455	224.2727273
1037.536232	223.9565217
1054.384615	223.6615385
1099.462366	224.0645161
996.7941176	225.1176471
1015.457143	224.6571429
1065.933333	225.6
1005.935484	224.3225806
1111.632653	227.4897959
1046.444444	229.5925926
1090.615385	227.8076923
1057.333333	229.9166667
1083.611111	229
1009.694737	230.8
1101.428571	230.3
1108.884615	231.3846154
1039.891892	236.3243243
1051.716049	236.345679
1001.077778	231.9444444
1032.808824	232.5882353
1066.044118	233.0735294
1057.782609	236.4782609
1078.575758	234.6060606
1085.695652	234.2826087
1099.659091	235.6818182
1005.52	237.88
1023.129909	236.7824773
1086.87234	241.1914894
1108.5	240.95
1010.39726	246.1917808
1022.531915	243.787234
1001.765432	244.2469136
1016.833333	246.7333333
1048.980769	243.3653846
1043.786885	247
1120.82	248.34
1034.5	248.1111111
1061.55814	246.1007752
1024.117647	249.9411765
1017.382353	252.3823529
1028.857143	250.2285714
1039.510204	251.2653061
1052.721805	251.5488722
1073.73913	253.0434783
1034.223881	254.9850746
1022.6	257.58
1045.75	255.75
1058.62963	257.4074074
1042.527778	258.8611111
1029.117647	260.7294118
1047.52381	260.3333333
1014.8	262.875
1057.382353	263.0294118
1061.666667	261.2380952
1036.076923	264.0961538
1019.28	267.18
1026.028169	268.4507042
1028.754386	272.8070175
1182.214286	995.5
1240.866667	1009.533333
1232.84375	1029.71875
1264.375	1031.25
1227.690909	1033.109091
1231.012658	1049.898734
1265.309524	1049.571429
1259.449438	1052.370787
1272.645833	1051.479167
1201.565217	1058.913043
1235.833333	1057.791667
1229.090909	1060.018182
1235.740741	1063.851852
1120.380952	1096.571429
1226.45098	1096.72549
1199.666667	1099.5
1138.333333	1109.333333
1301.037975	1122.974684
1301.581081	1129.743243
1316.380952	1131.52381
1238.545455	1134.636364
1313.266667	1138.8
1261.76087	1153.391304
1314.829268	1154.560976
1319.675	1156.725
1104.325	1164.6
1102.212121	1167.727273
1189.666667	1167.25
1257.5	1169.5
1320.333333	1174.157895
1289.588235	1174.647059
1247.935484	1178.322581
1289.431818	1181.272727
842.8214286	1184.5
1291.54902	1189.039216
858.6470588	1190.568627
1267.6	1192.24
845.1818182	1193.727273
1283.043478	1192.869565
1289.643836	1195.643836
1261.235294	1194.54902
1274.354839	1196.290323
1294.994152	1202.02924
826.962963	1197.407407
848.72	1196.4
1265.592593	1197.518519
1278.323529	1195.294118
858.3636364	1198.636364
1321.407407	1198.388889
1328.148148	1200.574074
1333.970149	1201.58209
1341.066667	1198.933333
1348.15493	1202.873239
1321.78022	1205.879121
1355.657143	1205.628571
817.25	1208.958333
1133.2	1209.733333
1290.630435	1211.065217
821.8615385	1212.246154
815.3902439	1214.97561
849.0967742	1219.387097
1300.5	1221.375
918.2	1221.5
822.8951613	1224.298387
847.2615385	1225.007692
878.297619	1227
817.5869565	1230.217391
1293.714286	1230.107143
829.6923077	1230.596154
1203.5	1231
849.6769231	1233.276923
883.0740741	1234.388889
876.7407407	1236.814815
889.4615385	1236.846154
870.9491525	1239.830508
1301.882353	1243.323529
860.2142857	1245.380952
852.3333333	1245.757576
1264.826087	1248
1293.84	1250.84
1304.413333	1249.8
1288.625	1253.3125
1300.625767	1257.202454
1139.952381	1255.095238
1286.566667	1257.266667
1291	1262
1317.384615	1269.923077
1211.5	1274.977273
1249.111111	1278.888889
1201.777778	1280.030303
1215.697248	1282.743119
1243.5	1285.285714
1208.711538	1286.557692
1194	1287
1189.433333	1288.2
1214.588235	1291.470588
1221.933333	1292.433333
1226.806452	1292.403226
1212.442623	1296.95082
1215.285714	1304.071429
1229.446154	1305.030769
1196.486111	1307.777778
1166.5	1310.5
1330.818182	1312.018182
1339.057143	1311.714286
1203.525	1314.5
1329.638889	1318.902778
1334.55	1321.85
1294.71875	1338.09375
1300.277778	1338.277778
1297.5	1343.285714
1300.75	1348.073529
1310.964286	1346.678571
1292.538462	1349.846154
1310.833333	1350.916667
1296.909091	1351.181818
1299.488372	1356.511628
1168.363636	1370.909091
1173.118421	1374.289474
1163.061856	1377.113402
1170.3125	1379.5625
1184.230769	1380.25
1178.82	1379.86
1173.458333	1384.138889
1175.346154	1387.153846
868.5	1390.148148
1297.119565	1394.956522
964.1904762	1398.952381
1288.408163	1401.469388
838.5	1404.714286
1207.95	1405.875
1222.1	1407
1210.890909	1414.836364
1165.918919	1419.324324
1240.875	1462.125
1226.02381	1493.857143
1223.184	1505.504
1232.506494	1503.181818
1241.943396	1506
1219.266667	1509.566667
1157.090909	1512.909091
