X	Y
0	0
0	4025
4025	0
4025	4025
1122.714286	141.5
1243.2	170.25
1285.645833	178.3125
1291.666667	183.9166667
1325.222222	190.5555556
1337.787234	193.8510638
1344.178571	195.4642857
1331.37931	196.6896552
1469.444444	263.1111111
697.6506024	573.9036145
690.1746032	576.9206349
703.4782609	573.9565217
714.2093023	576.7674419
707.4693878	576.6530612
697.7058824	581.0588235
692.7826087	584.3913043
707.2857143	588.6
700.6590909	585.1136364
687.6813187	590.9010989
715.7954545	590.6818182
697.2666667	591.7666667
704.6938776	593.7142857
692.9411765	594.1764706
701.2289157	600.2771084
695.7454545	602.2545455
684.4848485	599.2121212
690.7833333	600.0333333
732.25	600.375
687.3015873	608.031746
693	608.3333333
722.0081301	612.0813008
698.775	611.7
735.3548387	610.6129032
728	614.3888889
682.1578947	613.7368421
951.1428571	618.5238095
698.5217391	620.5217391
744.4375	622.296875
682.6216216	621.7567568
750.625	624.625
690.285	620.93
702.3120567	627
727.3846154	624.5594406
710.295082	626.5409836
676.0632911	625.2658228
671.2745098	629.0196078
682.0612245	629.6122449
715.6973684	628.1447368
748.4	631.2125
686.7222222	631.0555556
739.9	631.925
730.5060976	633.7621951
942.9361702	632.0212766
950.2238806	629.3432836
958.5316456	632.7088608
666.8484848	633.5909091
680.4302326	638.8255814
685.32	636
690.4923077	640.5538462
711.4090909	634.7727273
719.9404762	636.8928571
697.4	636.0285714
951.8163265	636.7755102
702.5111111	637.3555556
965.2	636.6
643.9285714	638.4285714
667.952381	638.9047619
708.862069	637.6896552
674	639.547619
711.0983607	643.4262295
943.3120567	644.5177305
706.5833333	642.4166667
924.8488372	644.5581395
930.8571429	641.3095238
657.4166667	643.75
676.5729167	646.7291667
701.8510638	644.7446809
740.6219512	639.6707317
752.888	640.616
661.6721992	649.9751037
695.6382979	643.2978723
715.8085106	645.106383
952.3505155	643.6185567
746.4210526	646.9473684
733.8977273	644.1022727
951.4242424	650.1818182
740.46875	649.96875
931.7846154	649.1692308
935.9922481	643.8372093
647.3888889	650.4444444
700	650.5
705.8214286	650.6785714
751.0980392	653.2156863
755.5416667	648.59375
1002.5	650.0833333
725.4806202	648.8372093
637.6666667	652.1111111
669.6603774	653.1698113
713.7391304	652.3043478
926.1162791	654.5581395
940.3505155	657.8969072
948.9827586	654.8103448
618.4489796	655.2244898
665.0967742	657.7419355
720.7590361	656.1927711
747.45	656.7833333
643.3783784	657.1081081
741.5614035	658.9473684
710.5376344	659.6021505
733.6573427	659.1888112
724.3316327	666.3010204
635.9090909	663.7272727
930.4177215	661.4177215
939.9090909	664.3636364
955.1935484	664.9354839
612.8923077	666.3076923
620.3846154	666.3846154
933.6583333	668.3416667
628.2903226	666.9569892
669.6976744	667.6744186
738	670.2580645
967.2173913	670.8695652
615.4150943	671.8679245
633.9823009	672.8672566
731.7244094	676.8503937
747.1758621	671.9034483
628.4571429	678.5714286
607.6666667	679.5151515
823.6014493	679.4927536
698.3220339	681.6610169
963.8767123	682.5616438
947.26	682.3666667
622.2272727	685.0681818
745.0530612	687.0081633
728.5	685.1785714
817.9444444	686.2222222
955.1	686.1
609.2727273	686.8181818
813.7	686.4
825.7605634	689.1267606
635.0078125	687.5546875
629.8169014	695.6971831
814.8292683	692.8861789
716.4	692.4444444
644.125	694.75
748.5	694.5
824.2258065	695.0322581
831.9090909	695.3181818
804.3636364	696.6363636
728.5753425	699.1917808
638.3846154	699.6923077
1014.35	700.2
632.3409091	701.0227273
793.0377358	701.0566038
805.0062893	701.9245283
823.66	701.58
838.4782609	701.173913
607.8723404	702.7659574
642.1940299	701.8208955
783.9444444	703.2222222
816.5769231	704.0769231
690.6870229	706.0076336
987.5	705.1111111
629.8125	708.2708333
995.4158416	706.8613861
1008	705.4705882
637.4857143	707.1428571
726.1688312	707.3766234
736.1111111	706.3055556
777.5454545	706.4204545
792.539823	708.8849558
683.4761905	708.8095238
805.5	708.2714286
844.0422535	706.8732394
699.9393939	709.3333333
709.5	709.7142857
770.0659341	710.6703297
813.2727273	709.8181818
851.5555556	708.9259259
871.9166667	710.1666667
603.7368421	709.5614035
614.5735294	709.8382353
827.3076923	711.7435897
983.8604651	708.7906977
638.0843373	711.8674699
780.0535714	715.9285714
858.2641509	713.5471698
997.6533333	712.3466667
837.5952381	711.4920635
867.5263158	713.4736842
953.1772152	713.3797468
751.4311927	710.7522936
595.0789474	714.8684211
600.6333333	713.5
615.4032258	715.5806452
656.2	715.05
739.1554054	711.2905405
761.1230769	715.2205128
789.8507463	715.1044776
847.7641509	717.2924528
624.0724638	720.8115942
804.2307692	715.9615385
989.7777778	714.8333333
634.4583333	717.0694444
699.8666667	715.8190476
974.2258065	716.4193548
605.0909091	717.5
730.2564103	716
746.1793103	722.9793103
588.725	718.35
601.3134328	721.8656716
610.1348315	721.5505618
753.4285714	720.2857143
771.2884615	719.0384615
693.5357143	719.7857143
704.2142857	720.9285714
952.5357143	719.3928571
594.9090909	720.3636364
646.3870968	719.1129032
979.2866667	720.5666667
1036.622222	719.1666667
700.2857143	723
1041.206897	723.2758621
632.8333333	723.5925926
756.3673469	723.9795918
1028.520548	724.0821918
718.1021672	724.8390093
739.4081633	724.8061224
795.9208633	722.0791367
584.3333333	724.969697
680.5244755	726.3776224
1000.590361	724.4457831
594.5193798	726.4651163
646.8080808	729.4949495
690.9032258	728.4193548
695.2972973	726.9459459
730.8571429	725.2467532
753.0416667	727.6666667
849.6206897	725.8850575
983.0080645	727.1209677
737.3277311	737.7731092
606.5	729.1428571
729.3728814	734.3559322
772	728.3043478
777.797619	729.6309524
969.0714286	728.8571429
992.7410072	725.352518
616.2391304	730.3695652
724.4390244	732.6585366
757.4533333	731.32
766.1818182	728.3454545
576.5	731.7916667
597.4594595	734.3513514
746.2941176	736.9607843
788.5255102	728.1122449
621.8	732.55
1001.192308	732.8076923
585.5217391	736.3043478
593.4938272	740.2098765
634.4109589	735.5342466
640.4096386	734.9518072
713.3333333	734.8888889
957.446281	734.8181818
764.9384615	735.8615385
999.7356322	736.3678161
628.0754717	733.5566038
668	737.2
680.884058	733.9275362
804.009901	738.1980198
966.3953488	734.7209302
986.5655738	738.0491803
1402.1	737.35
615.9090909	737.1931818
756.9361702	738.3617021
946.3863636	738.8409091
963.1621622	743.2432432
973.5549133	738.5722543
625.5625	740.6458333
650.8125	742.5
675.5581395	740.3953488
686.1764706	736.627451
691.1956522	736.7608696
1019.6	740.16
1039.15625	740.3125
793.8850575	741.4597701
683.5	742.875
719.4489796	740.9183673
762.2142857	744.0238095
768.2285714	740.8571429
776.4752475	740.8712871
782.9756098	740.0487805
794	740.5
693.3529412	741.745098
938.7692308	742.2307692
983	743.75
1394.7	743.2
1001.756637	744.5442478
1028.056604	741.9433962
616.7105263	743.3421053
673.3571429	745.6428571
727.9238095	747.1428571
753.8201439	746.2158273
956.1944444	745.5555556
693.8490566	747.8867925
765.6363636	746.5
781.2162162	747.5675676
743	747.1940299
788.1696429	750.8571429
951.0967742	747.3548387
682.9105691	750.3252033
701.3571429	748.2142857
734.8148148	747.962963
770.9365079	748.6666667
921.0714286	748.1428571
1032.12	747.8
630.516129	747.483871
635.28	746.64
944.0675676	749.5810811
1017.470588	748.0735294
1023.548387	750.0483871
622.4033149	750.281768
797.1875	750.75
929.0493827	745.0864198
936.8224299	751.1401869
993.3723404	753.287234
776.0970874	756.4174757
977.1941748	750.6165049
1008.019231	752.9230769
1387.65625	750.6875
955.1052632	752.2105263
1392.625	752.375
640.1468531	748.6643357
