X	Y
0	0
0	4025
4025	0
4025	4025
1039.692308	197.3076923
1035.5	219.5
1005.942857	239.3714286
991.6666667	250.4444444
1001.027778	248.3611111
1000.813953	255.3488372
995.2380952	254.9761905
985.7	257.45
991.6857143	260.3714286
1002.5	260.7272727
978.1428571	266.2857143
973.969697	268.4848485
969.4814815	271.9444444
969.5925926	279.1851852
969.5238095	284.1428571
973.7090909	286.3090909
960.4117647	291.1176471
965.4098361	289.0491803
970.3513514	295.1081081
956.2337662	299.5194805
961.7179487	298.3076923
959.6774194	305.2258065
959.2173913	317.0869565
1167.5	354
867	361.2
849.7105263	370.6842105
607.2857143	603.5
601.5925926	608.0185185
640.5365854	633.7804878
626.2608696	639.6521739
847.05	642.75
606.4411765	646.3627451
644	642.6818182
613.9545455	645.0454545
629.5135135	646.027027
640.0638298	646.5957447
578.1904762	648.8571429
611.6666667	650.7916667
635	650.1923077
622.45	651.35
645.9565217	650.4057971
573.4146341	652.1463415
845.9508197	650.9016393
569.3571429	653.3571429
651.2682927	653.2195122
587.2878788	654.530303
612.5	654.75
628.5348837	653.744186
578.1428571	656.2571429
808.5	656.7727273
842.2413793	656.2413793
568.3043478	658.1086957
634.2307692	657.5384615
607	657.1636364
646.4375	658.9166667
655.75	657.59375
590.1666667	660.0416667
640.4285714	658.0285714
839.2571429	662.6714286
809.6666667	660.5
571.2	663.6
625.5666667	661.4333333
638.05	663.15
561.5857143	662.6571429
585.8	663
629.3913043	664.6956522
568.3636364	664.8181818
575.0212766	662.5531915
580.7586207	665.0344828
805.8275862	666.0517241
583.3448276	669.1034483
641.0740741	665.7407407
809.7222222	666.6666667
623.9210526	666.8684211
575.3461538	669.0769231
615.2205882	667.6764706
831.5588235	669.3529412
846.2608696	669
564.3333333	671.1428571
569.0571429	669.7714286
639.0384615	671.0384615
644.75	669.5
837.7948718	669.6153846
842.8076923	670.7692308
550	674
815.06	671.58
808.1111111	674
573.3043478	673
631.1071429	673
848.9722222	673.4444444
617.7142857	673.8928571
623.4	674.8333333
567.4782609	677.3478261
580.7096774	676.3870968
635.65	675.25
812.4814815	676.5925926
842.6785714	677
556.0588235	678.2941176
575.9230769	678.3076923
627	679.5277778
633.28	678.76
831.1884058	679.0144928
585	680
617.5641026	678.5897436
807.64	679.2
562.3863636	683.6363636
787.5263158	680.6315789
799.3230769	680.7076923
813.7142857	681.5714286
616.9333333	683.5666667
764.6571429	682.9142857
607.8382353	683.9852941
623.0606061	683.0606061
633.3913043	685.9565217
790.6216216	684.5135135
839.2444444	683.9333333
846.3272727	684.4
569.1666667	684.4259259
653.9166667	685.7083333
795.32	684.4
769.8627451	686.4117647
804.5333333	684.1333333
814	687.0967742
820.5416667	685.6666667
623.8235294	687.2941176
635.8181818	687.4545455
604.3103448	688.3448276
617.2195122	688.2926829
628.1333333	686.9666667
686	687.5
776.5384615	688
783.7065217	685.9673913
797.1363636	688.5454545
852.55	687.4
570.5454545	689.9393939
760.9756098	687.4146341
875.2156863	688.2156863
625.6	690.5333333
790.3157895	689.9473684
804.106383	688.4468085
845.2857143	689.9047619
861.6206897	689.9310345
856.1785714	690.8928571
588.1020408	693.4081633
663.5294118	692.1176471
764.4	692.5
829.2933333	691.1733333
841.7894737	692.3684211
592.2083333	694.125
758.5178571	693.3035714
768.2	693
792.6666667	693.9803922
799.5217391	692.3913043
837.6153846	693.3846154
864.3170732	693.2926829
571.8205128	694.7179487
576.8666667	693.8666667
597.1525424	694.4067797
623.1896552	693.7931034
750.0714286	694.6428571
786.6078431	697.5098039
806.9615385	693.9615385
564.5915493	693.5352113
798.3333333	695.3333333
655.8125	695.03125
542.4285714	696.6071429
582.0569106	700.9674797
630.36	696.38
661.75	697.75
713	697
797.1081081	699.5945946
826.0909091	698.0909091
641.5666667	698.4
692.1162791	697.255814
738.3508772	698.0701754
807.2068966	697.5862069
818.9130435	697.4347826
854.7866667	697.8133333
866.9435484	697.0967742
609.8095238	699.4285714
650.7169811	698.1886792
781.8536585	698.8292683
560.402439	702.0121951
574.09375	699.25
597.1538462	700.5384615
601.5294118	699.5294118
542.7	701.3
588.7096774	701.2903226
593.5625	700.6875
806.5	702.0238095
819.9230769	701.3461538
551.7454545	702.6181818
603.6	703.2
631.1081081	702.8918919
778.3888889	702.7222222
569.125	703.125
620.14375	702.2875
646.7931034	705.8275862
763.0588235	702.8823529
771.6	703.6333333
790.5151515	703.969697
800.8	702.7
575.6363636	703.5454545
661.1142857	704.2285714
849.4615385	703.8461538
575.375	708.0416667
610.8723404	705.1914894
656.04	707.76
727.84	705.2
737.4	705.8
766.7142857	706.3571429
857.90625	706.0625
592.1176471	707.0441176
604.9655172	706.8275862
638.9285714	706.2678571
775.0740741	707.2962963
806.2	707.5
630.3214286	707.25
750.275	708.875
789.8181818	708.4545455
796.7105263	707.1315789
563.9107143	708.2857143
664.825	709.125
725.8	709
762.125	709.25
783.2068966	707.4137931
813.2641509	708.8113208
573.2777778	710.6111111
614.8285714	710.1142857
861.1818182	710.6363636
872.2857143	709.4285714
556.4166667	710.75
777.3043478	710.9130435
600	708.8405797
755.5769231	711.4615385
772.8666667	712
785.275	712.425
795.6086957	712.8695652
800.76	711.6
850.5833333	711.7083333
580.5714286	710.6904762
593.4285714	712.0714286
627.5681818	712.0909091
634.3333333	712.2962963
656.8333333	712.8333333
680.25	712.4166667
739.5	712.8947368
751.75	713.75
770.4615385	713.3076923
807.4848485	713.0909091
855.6764706	712.8529412
865.9230769	713.3076923
570.3055556	715.2222222
584.1219512	713.5609756
597	713.7
608.7261905	714.6904762
695.6818182	713.9318182
709.9142857	713.6571429
790.1666667	713.6111111
553.7959184	715.1020408
616.7894737	714.5789474
714.8666667	716.2666667
827.8245614	712.3859649
861.48	714.88
689.4761905	717.5238095
767.7391304	715.7826087
889.2666667	716.3333333
574.3333333	717.0740741
590.8863636	715
602.7	717.2
614.9	718.1
622.2307692	714.7846154
784.4545455	717.3636364
792	717.6666667
763.6785714	718.1785714
868.6363636	717.0454545
578.6571429	718.3428571
860.3076923	719.7948718
684.7	720.1666667
841	719.875
590.4382022	719.8988764
619.2727273	721.3636364
866	720.9677419
693.8709677	721.7419355
697.8611111	721.2777778
766.6	722.6
871.7142857	722.3928571
569.1363636	723.8636364
574.2972973	723.5675676
600.2025316	731.3101266
733.9767442	723.0232558
757.1923077	722.525641
822.7209302	722.4186047
881.28125	724.3125
899.516129	722.6451613
916.5679012	728.0246914
580.5294118	725.0980392
610.8958333	723.875
617.1212121	725.1818182
746.875	723.925
837.8333333	724
586.4545455	725.2727273
593.0833333	724.5833333
606.2105263	724.4210526
667	725.9074074
727.2	723.3
875.5517241	727.3793103
924.9545455	724.4545455
554.4	723.7333333
723.1451613	725.5967742
920.5	727
550.4615385	726.3846154
595.8867925	728.4528302
640.2272727	726.8181818
799.7894737	726.5
826.3064516	729.5322581
835.9333333	726.7333333
893.3333333	726.4333333
634.4242424	727.969697
815.5176471	728.1294118
558.7777778	728.7222222
793.625	729.375
899.8571429	728.6904762
924.5666667	729.3
574.9583333	729.4583333
587.6481481	730.8518519
753.3333333	729.037037
844.2380952	730.2380952
847.5833333	729.625
891.9375	729.75
550.2432432	730.8918919
624.8809524	731.1190476
648.5	732.3571429
728.7333333	730.9
887.9565217	730.5217391
580.7931034	732.0344828
611.2891566	731.3855422
619.5106383	732.1276596
692.8333333	732.25
835.238806	733.1641791
851.76	731.92
868.6428571	731.1071429
879.3125	733.09375
884.037037	732.3333333
928.25	732.25
567.6491228	731.8421053
