X	Y
0	0
0	4025
4025	0
4025	4025
772.7	500.8
769.46	505.46
753.0471698	519.2641509
795.9193548	519.5483871
805.9565217	522.7608696
790.8378378	527.7297297
789.3030303	533.1818182
798	534.25
795.5	536
784.6315789	538.4868421
791.0689655	538.4827586
808.7076923	537.1230769
777.6875	537.8541667
790	543.0454545
794.9565217	541.2173913
801.1395349	542.6976744
776.1157025	543.8760331
804.2333333	545.7
792.4411765	547.6176471
797.8717949	548.6923077
787.8214286	549.0357143
782.7368421	550.0526316
785.3	552
782.0645161	555.0322581
726.75	570.3333333
743.7837838	571.3783784
805.7142857	571.5
797.0208333	574
723.8125	575.5
720.2857143	576.6190476
726.5	578
807.1272727	581.3454545
756.6829268	583.4146341
798.9545455	587.2727273
766.8125	594.3541667
815.3333333	595.627451
790.1111111	597.25
761.75	597.25
718	601
732.8139535	602.0232558
743.2857143	617
728.7254902	620.4117647
769.7	628.1
747.5662651	632.5060241
750.6	638.6666667
816.8714286	635.9
745.5714286	639.2142857
691.3076923	639.5384615
758	640.8
686.7857143	642.3571429
755.8148148	646.7777778
699.8	647
790.1052632	647.4210526
765.3333333	648.3636364
828.7692308	654.1538462
671.516129	660.4193548
788.55	660.65
764.0655738	662.0327869
784.5217391	663.9347826
800.15625	664.9375
778.7575758	666.4242424
798	680.5
1258.5	683.5
658.5909091	685.6363636
665.2222222	688.5925926
658.0454545	691.2727273
659.8588235	697.0352941
665.3636364	695.5454545
698.0232558	695.8837209
687.6666667	697.6410256
660.0810811	702.8108108
688.5	707
698.6511628	708.7790698
683.1818182	712.0606061
975.5405405	715.9189189
927.7368421	718.5789474
924.0909091	721.1212121
939.8627451	729.3529412
1012	731.6595745
764.4545455	735.2727273
1041.255319	738.0425532
606.5294118	739.0294118
1011.588235	744.0294118
1030	744
670.8	747.325
683.5	747.2727273
664.7619048	748
1061.827586	747.8965517
645.9285714	749.4285714
1278.294118	747.9411765
610.4444444	752.0833333
1274.203125	751.125
643	752
651	751.7333333
668.7978723	756.1808511
662.6451613	755.1774194
759.1142857	752.9714286
719.5882353	753.8529412
790.8888889	753.3888889
795.1	753.8
752.0384615	753.5961538
745.7045455	755.2613636
742.0714286	760
793.5357143	758.9642857
956.0294118	760.5588235
737.9333333	758.8222222
626.6486486	761.5675676
635.7333333	761.9
1193.5	763.1428571
708.7910448	765.4477612
690.95	764.925
928.5789474	764.7894737
1418.625	765.2291667
697.75	765.45
915.2727273	767.0454545
630.5588235	769.0294118
1417.285714	769.3809524
943.7619048	770.8571429
1382.318182	769.6818182
1102.235294	771.3823529
937.5273632	776.5572139
797	775.4891304
1023.378378	773.2432432
1381.875	773.875
1437	772.6666667
1194.285714	775.1904762
1451	777.8571429
1102.909091	777.3636364
931.6666667	783.0322581
1144.625	779.25
1148.73913	779.6086957
1310.727273	778.5
1259.5	780
1444.170732	779.8292683
1487.736842	779.6315789
793	780.5
1471.431373	780.0784314
621.8	782
1159.216216	782.7567568
1187.609756	782.4146341
1466.465116	784.0930233
748.6086957	785.1304348
895.1666667	785.6
1123.5	784.5454545
1141.070588	782.5058824
1118	785.3571429
1458.771429	786.2857143
567.972973	787.6216216
929.25	786.5
1122.590909	787.8181818
1117.136842	791.3157895
1176.592593	788.6666667
574.6363636	789.4545455
692.8529412	789.2352941
916.0508475	790.3728814
746.3469388	790.8367347
751.4864865	791.8648649
935.1612903	792.6129032
1163	792.9705882
574.5789474	794.2631579
619.7142857	793.6122449
741.6078431	794.9411765
613.75	795.5
1083.586207	794.9310345
939.4133333	796.36
1116.863636	798.5454545
1390.640625	798.21875
567.3793103	799.9310345
608.9411765	798.5882353
971	800.6491228
978.3188406	798.9275362
1020.363636	799.4242424
1169.136364	801.2272727
1205.272727	800.4545455
1114.238095	806.7047619
605.75	802.9772727
982.173913	803.0434783
1378.714286	803.5
573.0666667	804.1333333
611.4242424	804.1212121
981.5925926	806.0740741
1286.764706	805.4411765
1110.066667	805.8666667
1118.307692	807.4615385
988.3611111	808.3888889
1075.314815	807.8703704
1421.888889	807.4444444
682.8461538	809.0769231
1352.888889	809.1111111
1415.588235	809.0294118
995.8125	811.328125
1410.428571	810.7714286
726	814
986.25	815.5892857
1040.714286	813.5
1112.2	814.1
651.25	815.8055556
585.7222222	817.3888889
596.4545455	816.8311688
632.8717949	817.4358974
1104.7	816.4166667
1109.461538	818.1538462
980.04	818.2
1130.637931	820.7241379
1352.592593	819.037037
987.15	822.55
1196.15873	819.6031746
994.2264151	820.0566038
1106.894737	822.1578947
979.8235294	823.3529412
1111.4375	823.5
1117.707317	822.5365854
754.3	823.65
586.5254237	823.9322034
795.8	826.12
1469.407407	826.7037037
957.8139535	829.8604651
1131.142857	829.0714286
1476.838235	830.9705882
926.2857143	830.5
1185.8	831.65
1468.496063	836.4566929
573.0344828	831.9655172
626.862069	833.4827586
1125.605263	835
581.8181818	835.5454545
579.3333333	838.1111111
1474.238095	837.6428571
624.3214286	841
1219.388889	841.1388889
1469.636364	844.9090909
1010.389381	851.3539823
1296.685185	846.2222222
1489	846
1050.422222	852.7407407
1057.55814	848.3953488
569	854.125
576.3974359	854.0384615
1258.625	854.8333333
1262.307692	858.2307692
568.7931034	861.5862069
1050.6	861.3
743	863.8
726.3157895	864.8157895
736.1111111	864.7037037
1247.727273	865.7727273
732.7647059	867.9705882
781.8181818	866.8181818
533.015625	869.234375
739.5714286	868.7142857
762.21875	868.625
795.1904762	868.1428571
573.7058824	869.4264706
1039.125	870.75
1101.25	870.0625
592.2727273	871.8181818
784.2777778	871.2222222
778.9333333	871.0666667
1506	873.6190476
1525.015152	873.6060606
567.0714286	874.2857143
779.32	880.2228571
1189.959184	874.4285714
622.3762376	878.7821782
571.1040892	883.2565056
1036.432099	878.345679
1042.607143	878.9642857
1010.52	879.06
1030.416667	881.25
1141.666667	880.3333333
1520.818182	881.9090909
1040.176471	885
1271	883.1020408
1490.653846	881.9038462
1495.428571	883.8095238
607.3676471	886.9705882
934.0294118	886.3823529
1031.818182	885.5454545
1135.102564	886.2051282
1539.633333	886.3666667
624.9	888.8
1039	889
1276	888.625
1399.777778	889.2222222
733.2592593	890.7407407
613.40625	891.125
774.8035714	890.1071429
564.5	892
616.8461538	890.7692308
985.1578947	892.8421053
522.8571429	894.7619048
952.0571429	894.1142857
973.5862069	894.7011494
1136.857143	893.9285714
1300	894.862069
1481.37037	894
1502.02381	895.7380952
577.4444444	896.7222222
1414.928571	896.6428571
1092.290323	898.1290323
975.2857143	900.7142857
1272.881579	899.5789474
1406.769231	899.7692308
1403.538462	902.3589744
1515.809524	901.1904762
610.5806452	902.483871
1114	903.625
1007.847826	903.8043478
1142.4	905.7333333
1390.595745	904.6808511
1104.786561	913.2094862
1097.555556	907.3333333
1396.752809	904.5617978
1345.296296	907.3333333
1509.705882	908.4313725
1389.636364	910.0909091
530.6052632	914.5315789
543.1125	915.3
549.1153846	912.3076923
673.8	911.4
1111.529412	910.8039216
1028.166667	916.030303
540.0666667	916.4
1023.652174	914.2173913
1313.948718	915.3589744
1320.323529	915.1470588
1324.9	915.8
1450.717391	917.6304348
1034.5	918
1064.820513	917.5641026
652.9	920.5375
1336.571429	920.047619
668.5769231	922.4615385
1322.420339	926.2135593
1111.5	922.0625
680.8	931.0153846
688.6931818	930.2954545
701.0444444	929.2444444
674.7462687	927.9253731
695.6666667	929.4444444
695.6888889	935.3777778
1313.926829	932.4146341
675.8461538	934
700.5	934.5
1346.4	933.56
685.8461538	934.3846154
699.1111111	936.2222222
1319.33	938.92
